Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,25.51,26.28,25.51,25.97,18035945.0,,,,,0.77,,,0.77,,,25.51,26.28,26.28,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,25.96,26.38,25.87,26.26,7714310.0,,,,,0.51,0.41,0.1,0.51,,,25.55,26.28,26.38,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,26.31,26.86,26.08,26.84,4461652.0,,,,,0.78,0.6,0.18,0.78,,,25.63,26.28,26.86,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,26.78,26.96,26.44,26.8,5563052.0,,,,,0.52,0.12,0.4,0.52,,,25.81,26.28,26.96,0.2,1,0.27,15.11,26.36,26.36,,,,,,,,,,,25.97,26.84
2024-12-27 05:00:00,26.74,27.22,26.645,26.79,5379823.0,,,,,0.57,0.42,0.16,0.57,0.63,,26.04,26.28,27.22,0.21,1,-0.03,-1.43,26.83,26.83,,,,,,,,,,,26.26,26.84
2024-12-30 05:00:00,26.8,27.175,26.54,26.96,10335295.0,,,,,0.64,0.39,0.25,0.64,0.6,,26.29,26.28,27.22,0.21,1,0.08,4.57,26.77,26.77,0.13,7.69,26.46,26.6,,,,,,,26.79,26.96
2024-12-31 05:00:00,27.07,27.41,27.01,27.19,7648164.0,,,,,0.4,0.45,0.05,0.45,0.59,,26.49,26.28,27.41,0.21,1,0.2,11.31,26.78,26.78,0.09,4.92,26.74,26.83,,,,,,,26.79,27.19
2025-01-02 05:00:00,27.82,28.14,27.52,27.73,6250734.0,,,,,0.62,0.95,0.33,0.95,0.63,,26.68,26.28,28.14,0.21,1,0.38,21.06,26.91,26.91,0.23,12.73,26.64,26.87,,,,,,,26.79,27.73
2025-01-03 05:00:00,27.85,27.88,27.4,27.68,6704135.0,,,,,0.48,0.15,0.33,0.48,0.62,,26.99,26.28,28.14,0.21,1,0.25,13.77,27.29,27.29,0.25,14.31,26.76,27.02,,,,27.69,,,26.96,27.73
2025-01-06 05:00:00,27.67,28.29,27.55,27.66,7956469.0,,,,,0.74,0.61,0.13,0.74,0.65,,27.23,26.28,28.29,0.21,1,-0.04,-2.0,27.72,27.72,0.19,10.7,27.07,27.26,,,,27.76,,,27.19,27.73
