Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,15.865,16.46,15.83,16.32,42161066.0,,,,,0.63,,,0.63,,,15.83,16.46,16.46,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,16.32,16.38,16.135,16.28,13107525.0,,,,,0.24,0.06,0.18,0.24,,,15.86,16.46,16.46,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,16.29,16.48,16.235,16.46,5068128.0,,,,,0.25,0.2,0.05,0.25,,,15.89,16.46,16.48,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,16.39,16.555,16.27,16.52,5177867.0,,,,,0.29,0.09,0.19,0.29,,,15.95,16.46,16.56,0.15,1,0.12,6.84,16.3,16.3,,,,,,,,,,,16.28,16.52
2024-12-27 05:00:00,16.44,16.59,16.3,16.38,14480370.0,,,,,0.29,0.07,0.22,0.29,0.34,,16.04,16.46,16.59,0.2,1,-0.04,-2.29,16.49,16.49,,,,,,,,,,,16.28,16.52
2024-12-30 05:00:00,16.26,16.41,16.11,16.33,14343485.0,,,,,0.3,0.03,0.27,0.3,0.27,,16.11,16.59,16.11,0.05,0,-0.09,-5.43,16.5,16.5,0.0,0.11,16.39,16.39,,,,,,,16.33,16.52
2024-12-31 05:00:00,16.36,16.4899,16.24,16.27,12261657.0,,,,,0.25,0.16,0.09,0.25,0.28,,16.11,16.57,16.11,0.05,0,-0.06,-3.15,16.38,16.38,-0.06,-3.26,16.51,16.45,,,,,,,16.27,16.52
2025-01-02 05:00:00,16.4,16.525,16.1601,16.24,20048579.0,,,,,0.36,0.25,0.11,0.36,0.3,,16.11,16.55,16.11,0.05,0,-0.04,-2.58,16.32,16.32,-0.07,-3.83,16.48,16.42,,,,,,,16.24,16.38
2025-01-03 05:00:00,16.27,16.475,16.01,16.45,14845872.0,,,,,0.46,0.24,0.23,0.46,0.33,,16.11,16.53,16.01,0.1,0,0.09,5.14,16.23,16.23,0.0,0.29,16.32,16.33,,,,16.34,,,16.24,16.45
2025-01-06 05:00:00,16.54,16.905,16.47,16.53,14773110.0,,,,,0.44,0.46,0.02,0.46,0.37,,16.01,16.9,16.9,0.05,1,0.14,8.25,16.26,16.26,0.06,3.32,16.25,16.31,,,,16.38,,,16.24,16.53
2025-01-07 05:00:00,16.66,16.765,16.39,16.55,12545473.0,,,,,0.38,0.23,0.14,0.38,0.38,,16.05,16.9,16.9,0.05,1,0.05,2.86,16.46,16.46,0.09,4.86,16.24,16.32,,,,16.46,,,16.24,16.55
2025-01-08 05:00:00,16.47,16.53,16.28,16.43,15744340.0,,,,,0.25,0.02,0.27,0.27,0.39,,16.09,16.9,16.9,0.05,1,-0.05,-2.86,16.55,16.55,0.05,2.75,16.34,16.39,,,,16.5,,,16.43,16.55
2025-01-10 05:00:00,16.41,16.41,15.87,16.02,16406465.0,,,,,0.54,0.02,0.56,0.56,0.43,,15.87,16.9,15.87,0.05,0,-0.26,-14.84,16.6,16.6,-0.1,-5.48,16.59,16.49,,,,16.34,,,16.02,16.55
2025-01-13 05:00:00,15.98,16.23,15.93,16.22,16176914.0,,,,,0.3,0.21,0.09,0.3,0.39,,15.87,16.85,15.87,0.05,0,-0.11,-5.99,16.33,16.33,-0.12,-6.56,16.58,16.46,,,,16.28,,,16.02,16.55
2025-01-14 05:00:00,16.4,16.7,16.295,16.59,18637150.0,,,,,0.4,0.48,0.08,0.48,0.4,,15.87,16.8,15.87,0.05,0,0.28,15.91,15.99,15.99,-0.01,-0.74,16.39,16.37,,,,16.36,,,16.02,16.59
2025-01-15 05:00:00,17.09,17.14,16.89,17.04,21982985.0,,,,,0.25,0.55,0.3,0.55,0.43,,15.87,17.14,17.14,0.05,1,0.41,22.29,16.21,16.21,0.18,10.15,16.1,16.28,,,,16.6,,,16.02,17.04
