Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,112.28,113.26,111.55,111.99,2079145.0,,,,,1.71,,,1.71,,,113.26,111.55,111.55,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,113.25,113.7,111.46,111.56,1810749.0,,,,,2.24,1.71,0.53,2.24,,,111.55,113.7,113.7,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,111.1,111.72,110.21,110.89,1667338.0,,,,,1.51,0.16,1.35,1.51,,,110.21,113.7,110.21,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,111.02,111.66,110.55,111.49,1404797.0,,,,,1.11,0.77,0.34,1.11,,,110.21,113.53,110.21,0.05,0,-0.04,-2.0,111.35,111.35,,,,,,,,,,,110.89,111.99,
2025-01-27,112.29,114.46,112.29,114.42,1328977.0,,,,,2.17,2.97,0.8,2.97,1.91,,110.21,114.46,114.46,0.05,1,1.76,60.47,110.5,110.5,,,,,,,,,,,110.89,114.42,
2025-01-28,114.42,114.85,112.85,113.42,1607286.0,,,,,2.0,0.43,1.57,2.0,1.97,,110.42,114.46,114.85,0.1,1,0.97,43.98,112.14,112.14,0.72,35.94,110.91,111.63,,,,,,,110.89,114.42,
2025-01-29,112.79,114.89,112.79,113.5,1299845.0,,,,,2.1,1.47,0.63,2.1,1.94,,110.86,114.46,114.89,0.15,1,-0.46,-24.7,114.24,114.24,0.71,35.56,111.31,112.03,,,,,,,111.49,114.42,
2025-01-30,114.3,114.65,113.25,114.26,1546274.0,,,,,1.4,1.15,0.25,1.4,1.92,,111.46,114.46,114.89,0.15,1,0.42,22.78,113.31,113.31,0.46,24.8,112.49,112.96,,,,,,,113.42,114.42,
2025-01-31,105.98,111.63,105.98,111.55,4019229.0,,,,,5.65,2.63,8.28,8.28,3.35,,105.98,114.89,105.98,0.05,0,-0.98,-44.27,114.08,114.08,-0.49,-26.1,114.41,113.92,,,,113.54,,,111.55,114.26,
2025-02-03,110.45,112.635,109.3,112.3,3053594.0,,,,,3.34,1.09,2.25,3.34,3.42,,105.98,114.44,105.98,0.05,0,-0.98,-44.42,113.68,113.68,-0.42,-22.73,113.84,113.42,,,,113.14,,,111.55,114.26,
2025-02-04,112.16,113.28,111.53,111.97,2190367.0,,,,,1.75,0.98,0.77,1.75,3.37,,105.98,114.02,105.98,0.05,0,0.21,11.86,111.73,111.73,-0.5,-26.66,113.72,113.22,,,,112.36,,,111.55,114.26,
2025-02-05,112.76,113.65,112.14,113.61,1851778.0,,,,,1.51,1.68,0.17,1.68,3.29,,105.98,113.65,113.65,0.05,1,0.66,33.22,111.97,111.97,-0.09,-5.03,112.91,112.83,,,,112.33,,,111.55,113.61,
2025-02-06,114.42,114.42,112.55,113.48,1280636.0,,,,,1.87,0.81,1.06,1.87,3.38,,106.36,113.65,114.42,0.1,1,0.75,37.05,112.27,112.27,0.52,27.34,111.55,112.07,,,,112.8,,,111.97,113.61,
2025-02-07,113.41,113.835,112.9,113.52,1219500.0,,,,,0.93,0.35,0.58,0.93,1.91,,107.17,113.65,114.42,0.1,1,-0.05,-2.58,113.58,113.58,0.39,21.55,112.19,112.58,,,,113.11,,,111.97,113.61,
2025-02-10,113.34,113.65,111.89,111.96,1573459.0,,,,,1.76,0.13,1.63,1.76,1.6,,107.9,113.65,114.42,0.1,1,-0.76,-37.23,113.75,113.75,-0.01,-0.63,112.93,112.92,,,,112.79,,,111.96,113.61,
2025-02-11,112.22,112.425,110.83,111.44,1080817.0,,,,,1.59,0.47,1.13,1.59,1.57,,108.55,113.65,114.42,0.1,1,-1.04,-46.12,113.35,113.35,-0.59,-30.37,113.97,113.39,,,,112.56,,,111.44,113.52,
