Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,191.13,197.94,190.38,190.45,2470381.0,,,,,7.56,,,7.56,,,197.94,190.38,190.38,0.05,0,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,190.2,193.63,188.58,190.41,606843.0,,,,,5.05,3.18,1.87,5.05,,,190.38,193.63,193.63,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,190.0,192.47,189.8,192.46,142010.0,,,,,2.67,2.06,0.61,2.67,,,188.58,193.63,193.63,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,192.11,194.335,191.68,191.83,359487.0,,,,,2.66,1.88,0.78,2.66,,,188.83,193.63,194.34,0.1,1,0.71,35.37,190.86,190.86,,,,,,,,,,,190.41,192.46
2024-12-27 05:00:00,190.55,192.405,189.085,190.42,332379.0,,,,,3.32,0.57,2.75,3.32,4.25,,189.08,194.34,189.08,0.05,0,-1.02,-45.57,192.59,192.59,,,,,,,,,,,190.41,192.46
2024-12-30 05:00:00,188.26,190.29,186.36,188.41,366125.0,,,,,3.93,0.13,4.06,4.06,3.55,,189.08,194.08,186.36,0.1,0,-1.71,-59.68,191.93,191.93,-0.6,-31.13,191.91,191.31,,,,,,,188.41,192.46
2024-12-31 05:00:00,188.89,190.83,187.33,188.97,342764.0,,,,,3.5,2.42,1.08,3.5,3.24,,189.08,193.31,186.36,0.1,0,-0.73,-35.94,189.99,189.99,-1.04,-46.12,192.5,191.46,,,,,,,188.41,191.83
2025-01-02 05:00:00,189.84,190.99,187.09,187.61,328590.0,,,,,3.9,2.02,1.88,3.9,3.49,,189.08,192.62,186.36,0.1,0,-0.4,-21.8,188.73,188.73,-0.99,-44.68,191.43,190.44,,,,,,,187.61,190.42
2025-01-03 05:00:00,187.86,188.94,187.2864,188.08,403664.0,,,,,1.65,1.33,0.32,1.65,3.29,,189.08,191.99,186.36,0.1,0,-0.44,-23.99,188.66,188.66,-0.55,-28.72,189.79,189.25,,,,187.64,,,187.61,188.97
2025-01-06 05:00:00,189.29,190.306,186.3,186.7,493023.0,,,,,4.01,2.23,1.78,4.01,3.42,,189.08,191.43,186.3,0.15,0,-0.46,-24.47,187.92,187.92,-0.43,-23.32,188.82,188.39,,,,186.52,,,186.7,188.97
