Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,245.28,252.06,244.0,249.42,3064170.0,,,,,8.06,,,8.06,,,244.0,252.06,252.06,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,247.75,251.34,247.08,250.71,1041747.0,,,,,4.26,1.92,2.34,4.26,,,244.4,252.06,252.06,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,250.86,253.27,250.14,253.26,460721.0,,,,,3.13,2.56,0.57,3.13,,,244.78,252.06,253.27,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,251.0,252.89,251.0,251.76,651289.0,,,,,1.89,0.37,2.26,2.26,,,245.63,252.06,253.27,0.1,1,0.52,27.7,251.39,251.39,,,,,,,,,,,249.42,253.26
2024-12-27 05:00:00,249.2,251.845,247.69,249.94,1288181.0,,,,,4.16,0.09,4.07,4.16,4.37,,246.39,252.06,253.27,0.1,1,-1.66,-58.93,253.31,253.31,,,,,,,,,,,249.94,253.26
2024-12-30 05:00:00,246.66,249.56,245.01,248.2,1146538.0,,,,,4.55,0.38,4.93,4.93,3.75,,245.01,253.27,245.01,0.05,0,-1.78,-60.67,251.75,251.75,-0.83,-39.83,252.44,251.61,,,,,,,248.2,253.26
2024-12-31 05:00:00,248.64,250.0381,246.67,247.16,876709.0,,,,,3.37,1.84,1.53,3.37,3.57,,245.01,252.86,245.01,0.05,0,-1.39,-54.27,249.82,249.82,-1.58,-57.6,253.22,251.64,,,,,,,247.16,251.76
2025-01-02 05:00:00,248.56,248.75,244.135,245.12,1120854.0,,,,,4.62,1.59,3.03,4.62,3.87,,245.01,252.47,244.14,0.1,0,-1.54,-57.0,248.37,248.37,-1.61,-58.09,251.65,250.04,,,,,,,245.12,249.94
2025-01-03 05:00:00,246.0,246.87,243.66,246.52,827765.0,,,,,3.21,1.75,1.46,3.21,4.06,,245.01,251.64,243.66,0.15,0,-0.32,-17.74,246.59,246.59,-0.99,-44.77,249.37,248.38,,,,245.52,,,245.12,248.2
2025-01-06 05:00:00,246.6,246.935,242.61,243.55,1334759.0,,,,,4.32,0.41,3.91,4.32,4.09,,245.01,250.44,242.61,0.2,0,-0.78,-38.13,245.85,245.85,-0.99,-44.83,248.1,247.1,,,,243.62,,,243.55,247.16
2025-01-07 05:00:00,243.34,244.28,240.08,241.38,1167854.0,,,,,4.2,0.73,3.47,4.2,3.94,,245.01,248.87,240.08,0.21,0,-2.57,-68.74,246.39,246.39,-1.31,-52.71,247.37,246.06,,,,242.05,,,241.38,246.52
2025-01-08 05:00:00,241.56,244.2687,241.56,243.3,1124927.0,,,,,2.71,2.89,0.18,2.89,3.85,,245.01,247.02,240.08,0.21,0,-0.12,-7.13,242.87,242.87,-0.88,-41.28,245.73,244.85,,,,241.9,,,241.38,246.52
2025-01-10 05:00:00,242.28,244.8695,240.01,240.69,1387361.0,,,,,4.86,1.57,3.29,4.86,3.9,,245.01,245.56,240.01,0.21,0,-0.35,-19.03,242.13,242.13,-1.19,-49.98,245.47,244.28,,,,240.9,,,240.69,243.55
2025-01-13 05:00:00,238.98,242.34,238.7085,241.47,1179658.0,,,,,3.63,1.65,1.98,3.63,3.98,,245.01,244.87,238.71,0.21,0,-0.91,-42.46,242.73,242.73,-0.49,-25.87,243.05,242.56,,,,240.57,,,240.69,243.3
2025-01-14 05:00:00,244.03,245.74,241.86,244.97,1032372.0,,,,,3.88,4.27,0.39,4.27,3.97,,238.71,245.74,245.74,0.05,1,2.14,64.95,240.24,240.24,0.53,28.15,241.29,241.83,,,,242.0,,,240.69,244.97
2025-01-15 05:00:00,248.99,249.45,242.82,243.92,1815077.0,,,,,6.63,4.48,2.15,6.63,4.46,,239.06,245.74,249.45,0.1,1,1.22,50.77,242.23,242.23,0.55,28.9,241.77,242.32,,,,242.66,,,240.69,244.97
2025-01-16 05:00:00,244.46,248.19,244.46,246.65,2289668.0,,,,,3.73,4.27,0.54,4.27,4.73,4.04,240.1,245.74,249.45,0.1,1,0.84,40.03,244.34,244.34,1.44,55.17,240.67,242.1,,,,244.92,,,241.47,246.65
2025-01-17 05:00:00,248.31,248.6,246.48,246.61,1369247.0,,,,,2.12,1.95,0.17,2.12,4.18,4.03,241.04,245.74,249.45,0.1,1,1.35,53.37,244.38,244.38,1.2,50.1,242.33,243.53,,,,246.4,,,243.92,246.65
2025-01-21 05:00:00,247.61,248.96,244.8038,247.5,2011696.0,,,,,4.16,2.35,1.81,4.16,4.29,4.07,241.88,245.74,249.45,0.1,1,0.43,23.03,246.49,246.49,0.77,37.78,244.38,245.16,,,,247.45,,,243.92,247.5
2025-01-22 05:00:00,247.75,249.99,246.8,248.0,1346961.0,,,,,3.19,2.49,0.7,3.19,4.07,4.11,242.64,245.74,249.99,0.15,1,0.69,34.8,246.68,246.68,0.9,42.02,244.73,245.64,,,,248.68,,,246.61,248.0
2025-01-23 05:00:00,248.06,250.58,246.4,250.11,1221860.0,,,,,4.18,2.58,1.6,4.18,3.58,4.08,243.74,245.74,250.58,0.2,1,1.3,52.54,247.23,247.23,0.83,39.73,246.11,246.94,,,,249.75,,,246.61,250.11
2025-01-24 05:00:00,250.12,250.39,247.0,247.73,1061670.0,,,,,3.39,0.28,3.11,3.39,3.41,4.03,245.11,245.74,250.58,0.2,1,-0.14,-7.69,248.75,248.75,0.48,25.87,247.02,247.51,,,,249.24,,,247.5,250.11
2025-01-27 05:00:00,245.35,249.965,245.33,249.72,1175583.0,,,,,4.63,2.24,2.4,4.63,3.91,4.02,245.33,250.58,245.33,0.05,0,-0.2,-11.03,249.38,249.38,0.42,22.64,247.78,248.19,,,,249.9,,,247.73,250.11
2025-01-28 05:00:00,250.11,254.85,249.55,253.66,1578883.0,,,,,5.3,5.13,0.17,5.3,4.14,4.04,245.33,254.85,254.85,0.05,1,2.96,71.36,247.4,247.4,1.09,47.54,247.66,248.75,,,,251.56,,,247.73,253.66
2025-01-29 05:00:00,254.15,255.73,252.47,253.93,1442857.0,247.41,3.78,254.97,239.85,3.26,2.07,1.19,3.26,4.15,4.06,245.81,254.85,255.73,0.1,1,2.1,64.59,250.33,250.33,1.36,53.61,248.32,249.67,,,,253.19,,,247.73,253.93
2025-01-30 05:00:00,255.38,258.08,255.38,256.79,1019487.0,247.71,4.21,256.13,239.29,2.7,4.15,1.45,4.15,4.15,4.08,246.8,254.85,258.08,0.15,1,1.57,57.42,253.23,253.23,2.23,65.88,247.9,250.13,,,,255.4,,,249.72,256.79
2025-01-31 05:00:00,257.35,258.31,255.505,256.07,1888314.0,247.92,4.5,256.92,238.92,2.81,1.52,1.29,2.81,4.03,4.08,248.49,254.85,258.31,0.2,1,1.07,46.94,254.53,254.53,1.58,57.72,250.87,252.45,,,,256.69,,,253.66,256.79
2025-02-03 05:00:00,251.95,257.4,250.66,256.27,1167172.0,248.04,4.68,257.4,238.68,6.74,1.33,5.41,6.74,4.45,4.12,250.45,254.85,258.31,0.2,1,-0.26,-14.57,256.64,256.64,0.74,36.35,253.87,254.61,,,,257.46,,,253.93,256.79
2025-02-04 05:00:00,257.11,259.21,256.075,258.74,1187311.0,248.32,5.1,258.52,238.12,3.13,2.94,0.19,3.13,4.02,4.09,250.66,254.85,259.21,0.21,1,1.34,53.16,255.69,255.69,0.91,42.3,254.54,255.45,,,,259.11,,,256.07,258.74
2025-02-05 05:00:00,258.74,260.79,256.8307,257.85,2106137.0,248.64,5.44,259.52,237.76,3.96,2.05,1.91,3.96,4.16,4.04,252.46,254.85,260.79,0.21,1,0.79,38.31,256.83,256.83,0.48,25.59,256.19,256.67,,,,259.07,,,256.07,258.74
2025-02-06 05:00:00,257.68,273.78,257.68,270.39,3758217.0,249.52,6.96,263.44,235.6,16.1,15.93,0.17,16.1,6.55,4.22,254.21,254.85,273.78,0.21,1,5.82,80.26,256.5,256.5,3.02,71.69,253.82,256.84,,,,263.91,,,256.27,270.39
2025-02-07 05:00:00,270.07,274.18,268.21,269.69,1639617.0,250.43,8.02,266.47,234.39,5.97,3.79,2.18,5.97,7.18,4.45,257.68,254.85,274.18,0.21,1,5.92,80.41,260.06,260.06,3.85,75.44,254.89,258.74,,,,267.72,,,257.85,270.39
2025-02-10 05:00:00,271.11,271.47,265.435,267.48,1392909.0,251.32,8.63,268.58,234.06,6.04,1.78,4.25,6.04,7.04,4.67,261.14,254.85,274.18,0.21,1,-1.46,-55.5,270.64,270.64,2.93,71.17,258.97,261.9,,,,269.34,,,257.85,270.39
2025-02-11 05:00:00,263.5,270.8883,263.0,269.12,2045125.0,252.22,9.27,270.76,233.68,7.89,3.41,4.48,7.89,7.99,5.01,263.0,274.18,263.0,0.05,0,-0.28,-15.91,269.05,269.05,1.96,63.0,262.98,264.94,,,,271.23,,,267.48,270.39
