Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,225.16,229.75,224.62,228.32,6833319.0,,,,,5.13,,,5.13,,,224.62,229.75,229.75,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,227.77,228.25,225.95,227.14,3467872.0,,,,,2.3,0.07,2.37,2.37,,,224.88,229.75,229.75,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,226.65,229.28,225.65,228.9,1873589.0,,,,,3.63,2.14,1.49,3.63,,,225.12,229.75,229.75,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,228.78,232.01,228.42,231.86,3072184.0,,,,,3.59,3.11,0.48,3.59,,,225.35,229.75,232.01,0.1,1,2.36,67.04,226.94,226.94,,,,,,,,,,,227.14,231.86
2024-12-27 05:00:00,231.0,231.56,228.8,229.51,2923308.0,,,,,2.76,0.3,3.06,3.06,3.56,,226.02,229.75,232.01,0.1,1,0.31,16.96,229.78,229.78,,,,,,,,,,,227.14,231.86
2024-12-30 05:00:00,227.15,227.43,225.4,226.6,2371579.0,,,,,2.03,2.08,4.11,4.11,3.35,,225.4,232.01,225.4,0.05,0,-2.63,-69.18,231.95,231.95,-0.05,-2.69,228.9,228.85,,,,,,,226.6,231.86
2024-12-31 05:00:00,227.15,227.545,225.6,225.89,1936889.0,,,,,1.94,0.94,1.0,1.94,3.27,,225.4,231.68,225.4,0.05,0,-1.81,-61.08,229.14,229.14,-1.13,-48.44,230.81,229.68,,,,,,,225.89,231.86
2025-01-02 05:00:00,227.07,227.99,224.65,225.52,2089908.0,,,,,3.34,2.1,1.24,3.34,3.21,,225.4,231.37,224.65,0.1,0,-0.54,-28.37,226.54,226.54,-1.63,-58.47,231.14,229.51,,,,,,,225.52,229.51
2025-01-03 05:00:00,225.98,227.42,225.86,226.52,2637525.0,,,,,1.56,1.9,0.34,1.9,2.87,,225.4,230.7,224.65,0.1,0,0.32,17.48,225.66,225.66,-0.71,-35.22,228.22,227.51,,,,225.99,,,225.52,226.6
2025-01-06 05:00:00,224.68,226.92,221.36,221.74,3829308.0,,,,,5.56,0.4,5.16,5.56,3.37,,225.4,230.1,221.36,0.15,0,-1.89,-62.12,226.48,226.48,-0.91,-42.27,227.07,226.16,,,,223.34,,,221.74,226.52
2025-01-07 05:00:00,221.5,223.08,219.9065,220.63,3016422.0,,,,,3.17,1.34,1.83,3.17,3.18,,225.4,228.79,219.91,0.2,0,-2.95,-71.24,225.91,225.91,-1.43,-55.03,226.92,225.49,,,,221.11,,,220.63,226.52
2025-01-08 05:00:00,220.09,221.38,219.2,220.17,3120530.0,,,,,2.18,0.75,1.43,2.18,3.23,,225.4,227.01,219.2,0.21,0,-0.79,-38.13,221.63,221.63,-1.66,-58.92,226.23,224.57,,,,220.13,,,220.17,226.52
2025-01-10 05:00:00,219.97,220.0,216.28,218.19,3585164.0,,,,,3.72,0.17,3.89,3.89,3.34,,225.4,225.37,216.28,0.21,0,-1.22,-50.66,220.88,220.88,-1.82,-61.25,225.1,223.27,,,,218.7,,,218.19,221.74
