Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-08 05:00:00,53.7,54.32,53.19,54.32,1134831.0,,,,,1.13,,,1.13,,,53.19,54.32,54.32,0.05,1,,,,,,,,,,,,,,,,
2025-01-10 05:00:00,53.7,53.97,53.09,53.62,1205833.0,,,,,0.88,0.35,1.23,1.23,,,53.09,54.32,53.09,0.05,0,,,,,,,,,,,,,,,,
2025-01-13 05:00:00,53.27,54.7,53.18,54.58,1017426.0,,,,,1.52,1.08,0.44,1.52,,,53.09,54.7,54.7,0.05,1,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,54.56,54.94,54.09,54.84,1105077.0,,,,,0.85,0.36,0.49,0.85,,,53.17,54.7,54.94,0.1,1,0.61,31.38,53.74,53.74,,,,,,,,,,,53.62,54.84
2025-01-15 05:00:00,55.59,55.66,54.76,55.49,856074.0,,,,,0.9,0.82,0.08,0.9,1.13,,53.35,54.7,55.66,0.15,1,0.46,24.47,54.51,54.51,,,,,,,,,,,53.62,55.49
2025-01-16 05:00:00,55.3,55.6,54.9,55.45,940197.0,,,,,0.7,0.11,0.59,0.7,1.04,,53.7,54.7,55.66,0.15,1,0.31,16.96,54.96,54.96,0.46,24.56,53.88,54.34,,,,,,,54.58,55.49
2025-01-17 05:00:00,55.83,56.0,55.06,55.18,952141.0,,,,,0.94,0.55,0.39,0.94,0.98,,53.99,54.7,56.0,0.2,1,-0.16,-8.81,55.53,55.53,0.18,10.26,54.75,54.93,,,,,,,54.84,55.49
2025-01-21 05:00:00,55.27,55.665,54.705,54.94,917015.0,,,,,0.96,0.48,0.48,0.96,0.87,,54.39,54.7,56.0,0.2,1,-0.25,-14.31,55.44,55.44,-0.01,-0.63,55.2,55.19,,,,,,,54.94,55.49
2025-01-22 05:00:00,54.89,54.925,53.21,53.25,1535415.0,,,,,1.71,0.02,1.73,1.73,1.05,,53.21,56.0,53.21,0.05,0,-0.97,-43.98,55.42,55.42,-0.5,-26.52,55.86,55.36,,,,54.68,,,53.25,55.45
2025-01-23 05:00:00,53.05,53.05,51.91,52.32,1380610.0,,,,,1.14,0.2,1.34,1.34,1.13,,53.21,55.86,51.91,0.1,0,-1.31,-52.64,54.81,54.81,-0.82,-39.32,55.87,55.05,,,,53.44,,,52.32,55.18
2025-01-24 05:00:00,52.13,53.07,51.93,52.91,1119578.0,,,,,1.14,0.75,0.39,1.14,1.22,,53.21,55.46,51.91,0.1,0,-0.17,-9.65,53.0,53.0,-0.72,-35.6,55.15,54.44,,,,52.79,,,52.32,54.94
2025-01-27 05:00:00,52.93,54.41,52.9,54.4,863356.0,,,,,1.51,1.5,0.01,1.51,1.34,,53.21,55.1,51.91,0.1,0,1.04,46.12,52.17,52.17,-0.14,-8.08,53.85,53.71,,,,52.97,,,52.32,54.4
2025-01-28 05:00:00,54.08,55.11,53.69,54.27,1179167.0,,,,,1.42,0.71,0.71,1.42,1.43,,51.91,55.11,55.11,0.05,1,0.68,34.22,53.18,53.18,0.41,22.39,52.61,53.02,,,,53.29,,,52.32,54.4
2025-01-29 05:00:00,54.33,54.64,53.92,54.54,1098402.0,,,,,0.72,0.37,0.35,0.72,1.23,,52.07,55.11,55.11,0.05,1,0.07,4.0,54.33,54.33,0.58,30.11,52.53,53.11,,,,53.82,,,52.91,54.54
2025-01-30 05:00:00,54.79,55.55,54.27,55.43,1192618.0,,,,,1.28,1.01,0.27,1.28,1.21,,52.22,55.11,55.55,0.1,1,0.58,30.11,54.17,54.17,0.52,27.38,53.27,53.79,,,,54.72,,,54.27,55.43
2025-01-31 05:00:00,55.16,55.75,54.57,55.31,1580198.0,,,,,1.18,0.32,0.86,1.18,1.22,,52.55,55.11,55.75,0.15,1,0.38,21.06,54.71,54.71,0.3,16.59,54.19,54.49,,,,55.5,,,54.27,55.43
2025-02-03 05:00:00,54.49,55.87,53.8,55.76,1541257.0,,,,,2.07,0.56,1.51,2.07,1.33,1.17,53.03,55.11,55.87,0.2,1,0.16,9.37,55.33,55.33,0.37,20.56,54.31,54.69,,,,56.01,,,54.54,55.76
2025-02-04 05:00:00,55.13,55.74,54.41,54.43,1497745.0,,,,,1.33,0.02,1.35,1.35,1.32,1.18,53.6,55.11,55.87,0.2,1,-0.44,-23.75,55.61,55.61,0.01,0.63,55.07,55.08,,,,55.52,,,54.43,55.76
2025-02-05 05:00:00,51.63,54.4,51.195,54.37,2149124.0,,,,,3.2,0.03,3.23,3.23,1.82,1.24,51.2,55.87,51.2,0.05,0,-0.69,-34.8,55.55,55.55,-0.3,-16.7,55.66,55.36,,,,54.99,,,54.37,55.76
2025-02-06 05:00:00,54.73,54.81,53.72,54.2,1297892.0,,,,,1.09,0.44,0.65,1.09,1.78,1.3,51.2,55.64,51.2,0.05,0,-0.11,-6.56,54.45,54.45,-0.36,-19.85,55.54,55.18,,,,54.63,,,54.2,55.76
2025-02-07 05:00:00,54.41,54.48,53.115,53.22,1290117.0,,,,,1.36,0.28,1.09,1.36,1.82,1.38,51.2,55.42,51.2,0.05,0,-0.58,-29.9,54.5,54.5,-0.53,-27.97,55.46,54.93,,,,53.84,,,53.22,54.43
2025-02-10 05:00:00,53.22,53.45,52.55,52.59,963264.0,,,,,0.9,0.23,0.67,0.9,1.59,1.42,51.2,55.21,51.2,0.05,0,-0.8,-38.83,54.14,54.14,-0.48,-25.78,54.73,54.25,,,,52.95,,,52.59,54.37
2025-02-11 05:00:00,52.59,52.59,51.9333,52.43,1189026.0,,,,,0.66,0.0,0.66,0.66,1.45,1.44,51.2,55.01,51.2,0.05,0,-0.4,-21.55,53.14,53.14,-0.55,-28.77,54.46,53.91,,,,52.38,,,52.43,54.2
2025-02-12 05:00:00,52.02,52.28,51.26,51.49,1066555.0,,,,,1.02,0.15,1.17,1.17,1.04,1.43,51.2,54.82,51.2,0.05,0,-0.55,-28.81,52.72,52.72,-0.62,-31.84,54.03,53.41,,,,51.64,,,51.49,53.22
2025-02-13 05:00:00,51.92,52.43,51.5606,52.33,1115780.0,54.07,1.19,56.45,51.69,0.87,0.94,0.07,0.94,1.01,1.4,51.2,54.64,51.2,0.05,0,-0.05,-2.86,52.13,52.13,-0.29,-16.07,52.99,52.7,,,,51.67,,,51.49,52.59
2025-02-14 05:00:00,52.45,53.1889,52.385,52.6,1219365.0,54.0,1.23,56.46,51.54,0.8,0.86,0.05,0.86,0.91,1.36,51.2,54.47,51.2,0.05,0,0.55,29.03,51.58,51.58,-0.01,-0.46,52.3,52.3,,,,51.77,,,51.49,52.6
2025-02-18 05:00:00,52.55,52.55,51.35,51.78,1497021.0,53.92,1.3,56.52,51.32,1.2,0.05,1.25,1.25,0.98,1.34,51.2,54.31,51.2,0.05,0,-0.27,-15.38,52.51,52.51,-0.02,-1.09,52.16,52.14,,,,51.67,,,51.49,52.6
2025-02-19 05:00:00,51.76,52.69,51.6,52.44,1125772.0,53.84,1.33,56.5,51.18,1.09,0.91,0.18,1.09,1.06,1.33,51.2,54.15,51.2,0.05,0,-0.08,-4.57,52.35,52.35,0.13,7.69,51.86,51.99,,,,52.02,,,51.78,52.6
2025-02-20 05:00:00,52.44,52.84,52.12,52.42,1144986.0,53.74,1.34,56.42,51.06,0.72,0.4,0.32,0.72,0.97,1.31,51.2,54.0,51.2,0.05,0,0.32,17.74,51.89,51.89,0.0,0.11,52.31,52.31,,,,52.26,,,51.78,52.6
2025-02-21 05:00:00,52.76,53.0,51.84,52.27,1327179.0,53.61,1.32,56.25,50.97,1.16,0.58,0.58,1.16,1.02,1.29,51.2,53.86,51.2,0.05,0,-0.08,-4.86,52.46,52.46,-0.0,-0.11,52.31,52.3,,,,52.35,,,51.78,52.44
2025-02-24 05:00:00,52.42,53.79,52.13,53.53,1381692.0,53.54,1.26,56.06,51.02,1.66,1.52,0.14,1.66,1.18,1.28,51.2,53.79,53.79,0.05,1,0.56,29.03,52.18,52.18,0.33,18.42,51.82,52.16,,,,52.94,,,52.27,53.53
2025-02-25 05:00:00,53.65,54.63,53.11,54.11,1476810.0,53.49,1.22,55.93,51.05,1.52,1.1,0.42,1.52,1.23,1.23,51.33,53.79,54.63,0.1,1,0.92,42.61,52.38,52.38,0.44,23.99,52.06,52.51,,,,53.46,,,52.27,54.11
2025-02-26 05:00:00,53.93,54.54,53.22,53.77,1048480.0,53.45,1.19,55.83,51.07,1.32,0.43,0.89,1.32,1.28,1.2,51.66,53.79,54.63,0.1,1,0.12,6.84,53.68,53.68,0.45,24.42,52.31,52.77,,,,53.82,,,52.27,54.11
2025-02-27 05:00:00,53.75,54.0,53.11,53.35,925567.0,53.45,1.19,55.83,51.07,0.89,0.23,0.66,0.89,1.31,1.16,51.96,53.79,54.63,0.1,1,-0.38,-20.81,54.12,54.12,0.24,13.5,52.93,53.17,,,,53.96,,,53.35,54.11
2025-02-28 05:00:00,53.58,54.57,53.52,54.51,1264936.0,53.54,1.18,55.9,51.18,1.05,1.22,0.17,1.22,1.32,1.14,52.23,53.79,54.63,0.1,1,0.37,20.3,53.51,53.51,0.12,6.84,53.61,53.73,0.07,,,54.31,,,53.35,54.51
2025-03-03 05:00:00,54.5,54.52,53.1,53.61,1313670.0,53.57,1.17,55.91,51.23,1.42,0.01,1.41,1.42,1.27,1.12,52.47,53.79,54.63,0.1,1,0.13,7.41,53.69,53.69,-0.03,-1.49,53.92,53.9,0.11,,,54.22,,,53.35,54.51
2025-03-04 05:00:00,53.08,53.08,52.24,52.41,1902962.0,53.49,1.18,55.85,51.13,0.84,0.53,1.37,1.37,1.24,1.14,52.24,54.63,52.24,0.05,0,-1.05,-46.4,54.56,54.56,-0.25,-13.82,54.02,53.78,-0.2,,,53.53,,,52.41,54.51
2025-03-05 05:00:00,52.57,52.845,51.6439,52.22,1219522.0,53.4,1.2,55.8,51.0,1.2,0.44,0.77,1.2,1.22,1.15,52.24,54.51,51.64,0.1,0,-0.69,-34.8,53.44,53.44,-0.44,-23.56,54.09,53.66,-0.44,-0.51,,52.73,,,52.22,54.51
2025-03-06 05:00:00,51.89,53.23,51.58,53.1,1302518.0,53.35,1.18,55.71,50.99,1.65,1.01,0.64,1.65,1.37,1.19,52.24,54.22,51.58,0.15,0,0.35,19.03,52.23,52.23,-0.42,-22.83,54.01,53.59,-0.44,-0.55,,52.61,,,52.22,53.61
2025-03-07 05:00:00,52.86,56.12,52.6,55.51,1575690.0,53.35,1.18,55.71,50.99,3.52,3.02,0.5,3.52,1.83,1.25,51.58,56.12,56.12,0.05,1,1.64,58.7,51.96,51.96,0.45,24.18,52.47,52.92,-0.24,-0.04,,53.68,,,52.22,55.51
2025-03-10 04:00:00,55.31,57.13,55.0,55.97,2041164.0,53.38,1.23,55.84,50.92,2.13,1.62,0.51,2.13,1.97,1.32,51.81,56.12,57.13,0.1,1,1.43,55.13,53.42,53.42,1.04,46.15,51.76,52.8,0.21,0.65,,54.74,,,52.22,55.97
2025-03-11 04:00:00,55.57,55.82,53.21,53.35,1972050.0,53.28,1.13,55.54,51.02,2.61,0.15,2.76,2.76,2.25,1.42,52.34,56.12,57.13,0.1,1,-1.08,-47.2,56.02,56.02,0.51,27.16,53.0,53.52,0.45,0.89,,54.41,,,53.1,55.97
2025-03-12 04:00:00,53.1,53.59,50.18,50.23,2446596.0,53.11,1.26,55.63,50.59,3.41,0.24,3.17,3.41,2.69,1.55,50.18,57.13,50.18,0.05,0,-2.87,-70.79,56.05,56.05,-0.79,-38.31,55.21,54.42,0.19,0.43,,53.08,,,50.23,55.97
