Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,441.6,450.75,441.6,450.38,365649.0,,,,,9.15,,,9.15,,,441.6,450.75,450.75,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,463.25,477.405,456.41,456.86,883494.0,,,,,20.99,27.02,6.03,27.02,,,442.06,450.75,477.4,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,454.43,456.86,451.57,453.79,496531.0,,,,,5.29,0.0,5.29,5.29,,,445.59,450.75,477.4,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,455.99,460.97,453.08,455.26,470149.0,,,,,7.89,7.18,0.71,7.89,,,448.77,450.75,477.4,0.1,1,-0.8,-38.66,456.1,456.1,,,,,,,,,,,450.38,456.86,
2025-01-27,429.33,430.2,408.2,414.53,1280856.0,,,,,22.0,25.06,47.06,47.06,19.28,,408.2,477.4,408.2,0.05,0,-19.63,-87.08,460.82,460.82,,,,,,,,,,,414.53,456.86,
2025-01-28,419.52,421.5799,405.17,413.36,896819.0,,,,,16.41,7.05,9.36,16.41,20.73,,408.2,473.94,405.17,0.1,0,-20.95,-87.27,448.67,448.67,-12.63,-85.47,464.01,451.39,,,,,,,413.36,455.26,
2025-01-29,414.98,422.4251,412.11,417.71,605976.0,,,,,10.32,9.07,1.25,10.32,17.39,,408.2,467.06,405.17,0.1,0,1.59,57.83,413.61,413.61,-11.41,-84.99,453.74,442.34,,,,,,,413.36,455.26,
2025-01-30,424.82,429.61,419.34,426.57,481399.0,,,,,10.27,11.9,1.63,11.9,18.72,,408.2,460.87,405.17,0.1,0,6.6,81.39,412.61,412.61,-5.42,-79.55,436.33,430.91,,,,,,,413.36,426.57,
2025-01-31,427.71,430.75,420.31,423.01,497521.0,,,,,10.44,4.18,6.26,10.44,19.23,,408.2,455.3,405.17,0.1,0,2.65,69.33,419.78,419.78,3.02,71.66,413.0,416.02,,,,412.35,,,413.36,426.57,
2025-02-03,407.06,413.65,397.8,408.73,1063397.0,,,,,15.85,9.36,25.21,25.21,14.86,,408.2,450.29,397.8,0.15,0,-8.92,-83.6,428.36,428.36,-0.4,-21.6,418.67,418.27,,,,408.44,,,408.73,426.57,
2025-02-04,411.83,415.64,393.59,400.91,1522155.0,,,,,22.05,6.91,15.14,22.05,15.98,,408.2,442.42,393.59,0.2,0,-11.05,-84.83,421.93,421.93,-5.14,-79.0,425.67,420.53,,,,404.52,,,400.91,426.57,
2025-02-05,405.73,405.81,398.14,400.07,661776.0,,,,,7.67,4.9,2.77,7.67,15.45,,408.2,432.65,393.59,0.2,0,-4.33,-77.0,407.57,407.57,-7.51,-82.42,426.88,419.37,,,,405.03,,,400.07,423.01,
2025-02-06,402.45,403.0,391.32,394.99,963201.0,,,,,11.68,2.93,8.75,11.68,15.41,,408.2,424.84,391.32,0.21,0,-2.96,-71.33,401.62,401.62,-6.47,-81.21,418.48,412.01,,,,397.83,,,394.99,408.73,
2025-02-07,398.57,403.14,395.97,400.93,639127.0,,,,,7.17,8.15,0.98,8.15,14.95,,408.2,417.8,391.32,0.21,0,0.43,23.27,398.23,398.23,-2.15,-65.08,405.43,403.28,,,,394.45,,,394.99,400.93,
2025-02-10,403.48,405.91,398.4501,399.8,742494.0,,,,,7.46,4.98,2.48,7.46,11.4,,408.2,412.24,391.32,0.21,0,2.41,67.42,396.17,396.17,-0.14,-7.74,399.61,399.48,,,,392.72,,,394.99,400.93,
2025-02-11,396.54,400.665,394.2,397.07,657139.0,,,,,6.47,0.87,5.6,6.47,8.29,,408.2,407.85,391.32,0.21,0,-1.93,-62.61,401.2,401.2,-0.12,-6.79,398.81,398.69,,,,393.55,,,394.99,400.93,
2025-02-12,388.66,394.59,386.47,391.21,635241.0,,,,,8.12,2.48,10.6,10.6,8.87,15.43,408.2,404.38,386.47,0.21,0,-4.3,-76.89,400.32,400.32,-1.14,-48.79,399.08,397.94,,,,393.52,,,391.21,400.93,
2025-02-13,393.07,394.45,387.64,393.23,642032.0,,,,,6.81,3.24,3.57,6.81,7.9,14.55,408.2,400.62,386.47,0.21,0,-1.92,-62.49,395.76,395.76,-2.4,-67.37,401.25,398.85,,,,393.4,,,391.21,399.8,
2025-02-14,395.04,397.03,389.29,390.14,655544.0,,,,,7.74,3.8,3.94,7.74,7.82,13.56,408.2,397.65,386.47,0.21,0,-0.53,-28.15,392.06,392.06,-2.32,-66.65,398.92,396.61,,,,391.34,,,390.14,397.07,
2025-02-18,395.7,398.55,392.38,395.55,572103.0,,,,,6.17,8.41,2.24,8.41,8.01,12.84,386.47,398.55,398.55,0.05,1,1.16,49.24,391.81,391.81,-0.41,-22.34,394.26,393.85,,,,392.22,,,390.14,395.55,
2025-02-19,392.92,393.54,388.86,392.38,330246.0,,,,,4.68,2.01,6.69,6.69,8.05,12.02,387.07,398.55,398.55,0.05,1,1.12,48.24,391.57,391.57,0.47,24.99,391.57,392.04,,,,390.88,,,390.14,395.55,
2025-02-20,392.67,395.465,384.99,389.42,443368.0,,,,,10.47,3.08,7.39,10.47,8.02,11.15,384.99,398.55,384.99,0.05,0,-3.06,-71.93,395.51,395.51,-0.54,-28.28,393.22,392.68,,,,390.01,,,389.42,395.55,
2025-02-21,389.72,391.73,376.13,377.48,639038.0,,,,,15.6,2.31,13.29,15.6,9.78,10.76,384.99,397.87,376.13,0.1,0,-7.45,-82.35,393.88,393.88,-3.15,-72.36,395.28,392.14,,,,384.84,,,377.48,395.55,
2025-02-24,378.5,381.26,366.73,369.25,916596.0,,,,,14.53,3.78,10.75,14.53,11.14,10.39,384.99,395.7,366.73,0.15,0,-10.08,-84.34,388.8,388.8,-6.75,-81.57,398.32,391.57,,,,377.42,,,369.25,392.38,
2025-02-25,365.68,375.66,364.63,372.21,779638.0,407.39,25.03,457.45,357.33,11.03,6.41,4.62,11.03,11.66,10.1,384.99,391.35,364.63,0.2,0,-2.64,-69.22,375.61,375.61,-6.05,-80.62,392.25,386.2,,,,372.09,,,369.25,389.42,
2025-02-26,378.0,383.4,375.285,377.39,697487.0,404.47,24.05,452.57,356.37,8.11,11.19,3.08,11.19,12.56,9.88,384.99,386.01,364.63,0.2,0,4.07,76.2,368.88,368.88,-2.93,-71.17,383.02,380.08,,,,371.01,,,369.25,377.48,
2025-02-27,378.05,380.76,368.65,369.27,486397.0,400.97,22.42,445.81,356.13,12.11,3.37,8.74,12.11,12.89,9.72,384.99,383.4,364.63,0.2,0,-1.47,-55.77,374.43,374.43,-0.83,-39.62,374.78,373.95,,,,367.09,,,369.25,377.39,
2025-02-28,367.3,371.7,364.805,371.59,550784.0,397.68,20.28,438.24,357.12,6.89,2.43,4.46,6.89,11.15,9.7,384.99,380.76,364.63,0.2,0,-2.9,-70.97,375.65,375.65,0.17,9.87,371.59,371.77,,,,367.22,,,369.27,377.39,
2025-03-03,372.21,374.185,351.91,354.95,724620.0,393.67,18.23,430.13,357.21,22.27,2.6,19.68,22.27,12.7,10.04,384.99,377.53,351.91,0.21,0,-7.16,-82.05,372.43,372.43,-4.03,-76.07,377.15,373.11,,,,361.63,,,354.95,377.39,
2025-03-04,348.23,359.63,340.38,351.79,955228.0,391.16,19.51,430.18,352.14,19.25,4.68,14.57,19.25,14.34,10.46,384.99,374.18,340.38,0.21,0,-9.9,-84.23,369.34,369.34,-6.55,-81.32,378.1,371.55,,,,357.1,,,351.79,371.59,
2025-03-05,353.94,360.02,351.36,353.85,969461.0,388.78,20.3,429.38,348.18,8.66,8.23,0.43,8.66,13.84,10.92,384.99,367.08,340.38,0.21,0,-0.55,-28.81,354.08,354.08,-5.06,-78.83,370.42,365.35,,,,353.58,,,351.79,371.59,
2025-03-06,343.97,349.18,337.97,346.28,863903.0,385.92,21.08,428.08,343.76,11.21,4.67,15.88,15.88,14.59,11.44,384.99,361.47,337.97,0.21,0,-2.76,-70.05,353.4,353.4,-5.17,-79.06,366.04,360.86,,,,346.82,,,346.28,354.95,
2025-03-07,345.39,357.23,343.59,354.47,1078895.0,383.04,20.2,423.44,342.64,13.64,10.95,2.69,13.64,15.94,12.05,337.97,357.23,357.23,0.05,1,0.31,17.22,351.22,351.22,-0.65,-32.9,353.56,352.92,,,,346.12,,,346.28,354.47,
2025-03-10,343.44,347.45,337.21,337.68,1205562.0,379.63,20.37,420.37,338.89,10.24,7.02,17.26,17.26,14.94,12.58,337.21,357.23,337.21,0.05,0,-4.3,-76.91,350.44,350.44,-2.76,-70.08,354.33,351.57,,,,341.21,,,337.68,354.47,
2025-03-11,336.94,344.11,332.97,340.42,1078206.0,376.89,20.88,418.65,335.13,11.14,6.43,4.71,11.14,13.32,12.99,337.21,356.23,332.97,0.1,0,-7.03,-81.9,351.21,351.21,-3.55,-74.25,353.63,350.09,-46.1,,,338.71,,,337.68,354.47,
2025-03-12,348.14,352.22,333.98,334.69,911248.0,374.24,21.88,418.0,330.48,18.24,11.8,6.44,18.24,15.23,13.41,337.21,353.9,332.97,0.1,0,-1.5,-56.22,339.09,339.09,-3.72,-74.97,350.15,346.43,-46.63,,,336.81,,,334.69,354.47,
2025-03-13,333.82,336.22,330.32,331.8,708840.0,371.51,22.77,417.05,325.97,5.9,1.53,4.37,5.9,13.24,13.57,337.21,352.22,330.32,0.15,0,-4.31,-76.94,339.95,339.95,-4.83,-78.31,349.48,344.64,-45.95,,,332.62,,,331.8,340.42,
2025-03-14,339.85,343.75,336.08,340.82,605022.0,369.35,23.01,415.37,323.33,7.67,11.95,4.28,11.95,12.9,13.66,337.21,348.94,330.32,0.15,0,3.06,71.93,332.7,332.7,-0.23,-13.17,337.55,337.32,-45.46,0.64,,333.33,,,331.8,340.82,
2025-03-17,338.97,348.11,338.97,344.06,369384.0,367.07,22.57,412.21,321.93,9.14,7.29,1.85,9.14,11.27,13.57,330.32,348.11,348.11,0.05,1,6.13,80.73,332.76,332.76,1.34,53.29,335.68,337.02,-41.0,5.63,,336.81,,,331.8,344.06,
2025-03-18,341.41,341.49,335.71,336.38,382492.0,364.54,22.3,409.14,319.94,5.78,2.57,8.35,8.35,10.72,13.4,331.21,348.11,348.11,0.05,1,-2.22,-65.75,342.64,342.64,1.56,57.41,334.42,335.99,-39.58,6.37,,336.02,,,331.8,344.06,
2025-03-19,338.1,346.5,336.2427,342.21,454625.0,362.34,21.65,405.64,319.04,10.26,10.12,0.14,10.26,9.12,13.24,332.06,348.11,348.11,0.05,1,-0.92,-42.77,341.81,341.81,1.64,58.6,335.78,337.42,-36.04,9.42,,340.53,,,336.38,344.06,
2025-03-20,337.31,342.945,333.94,339.18,615504.0,360.26,21.26,402.78,317.74,9.0,0.74,8.27,9.0,9.74,13.01,332.86,348.11,348.11,0.05,1,1.4,54.46,337.86,337.86,-0.51,-27.16,341.56,341.04,-32.32,8.68,,340.61,,,336.38,344.06,
2025-03-21,335.28,339.41,332.41,338.36,813564.0,358.06,20.54,399.14,316.98,7.0,0.23,6.77,7.0,8.75,12.58,332.41,348.11,332.41,0.05,0,-1.93,-62.55,341.84,341.84,-0.86,-40.7,341.76,340.9,-30.29,9.29,,340.9,,,336.38,342.21,
2025-03-24,344.73,349.98,343.8461,349.5,577255.0,356.44,19.47,395.38,317.5,6.13,11.62,5.49,11.62,9.25,12.23,332.41,349.98,349.98,0.05,1,5.16,79.03,337.19,337.19,2.24,65.93,336.65,338.89,-27.1,8.94,,344.57,,,338.36,349.5,
2025-03-25,349.41,355.335,346.645,353.62,580780.0,354.76,17.69,390.14,319.38,8.69,5.83,2.86,8.69,9.31,11.83,333.29,349.98,355.34,0.1,1,7.63,82.53,339.53,339.53,3.31,73.21,337.95,341.26,-22.08,10.24,,348.0,,,338.36,353.62,
2025-03-26,351.27,353.49,344.87,346.63,714454.0,352.93,15.91,384.75,321.11,8.62,0.13,8.75,8.75,9.01,11.29,335.5,349.98,355.34,0.1,1,-1.43,-55.13,351.35,351.35,3.02,71.66,339.43,342.44,-19.65,10.64,10.88,348.96,,,338.36,353.62,
