Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,423.44,430.065,421.4577,427.33,761771.0,,,,,8.61,,,8.61,,,421.4577,430.065,430.065,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,425.79,437.2731,423.65,430.59,531985.0,,,,,13.62,9.94,3.68,13.62,,,421.89,430.065,437.27,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,429.49,434.56,426.11,432.34,403903.0,,,,,8.45,3.97,4.48,8.45,,,423.43,430.065,437.27,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,429.62,436.5799,429.08,435.33,638016.0,,,,,7.5,4.24,3.26,7.5,,,424.81,430.065,437.27,0.1,1,2.37,67.12,430.38,430.38,,,,,,,,,,,427.33,435.33,
2025-01-27,435.07,437.615,419.66,427.52,1876371.0,,,,,17.95,2.29,15.67,17.95,11.23,,419.66,437.27,419.66,0.05,0,-2.41,-67.46,434.14,434.14,,,,,,,,,,,427.52,435.33,
2025-01-28,427.33,427.33,414.66,417.86,1333802.0,,,,,12.67,0.19,12.86,12.86,12.08,,419.66,437.62,414.66,0.1,0,-8.74,-83.47,435.64,435.64,-3.03,-71.72,434.78,431.76,,,,,,,417.86,435.33,
2025-01-29,417.95,422.165,405.84,418.75,876429.0,,,,,16.33,4.31,12.02,16.33,12.62,,419.66,435.32,405.84,0.15,0,-4.39,-77.15,425.76,425.76,-4.47,-77.38,435.29,430.82,,,,,,,417.86,435.33,
2025-01-30,424.29,431.38,420.86,423.99,518647.0,,,,,10.52,12.63,2.11,12.63,13.45,,405.84,431.38,431.38,0.05,1,3.06,71.93,417.13,417.13,-3.14,-72.36,430.98,427.84,,,,,,,417.86,427.52,
2025-01-31,424.6,427.07,420.43,422.05,912354.0,,,,,6.64,3.08,3.56,6.64,13.28,,407.12,431.38,431.38,0.05,1,1.65,58.78,419.95,419.95,-0.48,-25.69,423.0,422.51,,,,419.35,,,417.86,423.99,
2025-02-03,465.0,474.665,445.0,469.04,1509041.0,,,,,29.67,52.62,22.95,52.62,20.22,,408.33,431.38,474.66,0.1,1,22.53,87.46,415.84,415.84,10.57,84.59,409.21,419.77,,,,438.39,,,418.75,469.04,
2025-02-04,464.47,466.2604,458.79,465.03,824573.0,,,,,7.47,2.78,10.25,10.25,19.69,,414.96,431.38,474.66,0.1,1,21.49,87.34,430.55,430.55,13.76,85.84,412.25,426.01,,,,453.0,,,422.05,469.04,
2025-02-05,469.24,471.815,457.23,468.55,749228.0,,,,,14.58,6.79,7.8,14.58,19.34,,420.93,431.38,474.66,0.1,1,-0.25,-13.77,467.78,467.78,13.21,85.67,423.31,436.52,,,,467.1,,,422.05,469.04,
2025-02-06,468.67,469.99,458.82,460.56,646327.0,,,,,11.17,1.44,9.73,11.17,19.05,,426.3,431.38,474.66,0.1,1,-2.23,-65.89,466.95,466.95,7.65,82.56,441.74,449.39,,,,473.15,,,460.56,469.04,
2025-02-07,465.0,468.8,457.347,459.78,624585.0,,,,,11.45,8.24,3.21,11.45,20.01,,431.14,431.38,474.66,0.1,1,-4.38,-77.15,467.35,467.35,-2.3,-66.49,469.19,466.89,,,,473.7,,,459.78,468.55,
2025-02-10,460.68,466.53,458.86,464.91,829940.0,,,,,7.67,6.75,0.92,7.67,11.02,,435.49,431.38,474.66,0.1,1,2.18,65.31,459.57,459.57,-0.9,-42.02,465.57,464.67,,,,473.12,,,459.78,468.55,
2025-02-11,460.65,467.69,460.28,463.74,516844.0,,,,,7.41,2.78,4.63,7.41,10.46,,439.41,431.38,474.66,0.1,1,1.98,63.2,460.83,460.83,-0.53,-27.79,464.56,464.04,,,,469.52,,,459.78,464.91,
