Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,217.6,220.055,217.02,219.66,350139.0,,,,,3.03,,,3.03,,,217.02,220.055,220.055,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,218.39,220.92,217.74,219.99,342361.0,,,,,3.18,1.26,1.92,3.18,,,217.17,220.055,220.92,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,220.18,223.2,218.8,222.05,375814.0,,,,,4.4,3.21,1.19,4.4,,,217.54,220.055,223.2,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,221.59,222.15,218.363,219.97,278600.0,,,,,3.79,0.1,3.69,3.79,,,218.36,223.2,218.36,0.05,0,-0.01,-0.57,220.68,220.68,,,,,,,,,,,219.66,222.05,
2025-01-27,219.71,222.02,219.71,221.42,346607.0,,,,,2.31,2.05,0.26,2.31,3.34,,218.36,222.96,218.36,0.05,0,-0.31,-17.48,221.46,221.46,,,,,,,,,,,219.97,222.05,
2025-01-28,220.98,222.3,219.79,221.17,334795.0,,,,,2.51,0.88,1.63,2.51,3.24,,218.36,222.73,218.36,0.05,0,0.6,30.96,220.25,220.25,0.17,9.82,220.57,220.75,,,,,,,219.97,222.05,
2025-01-29,220.73,222.0,218.75,218.88,322781.0,,,,,3.25,0.83,2.42,3.25,3.25,,218.36,222.51,218.36,0.05,0,-1.27,-51.78,221.76,221.76,-0.51,-27.2,221.73,221.21,,,,,,,218.88,221.42,
2025-01-30,220.59,225.62,219.5,224.11,364999.0,,,,,6.12,6.74,0.62,6.74,3.72,,218.36,225.62,225.62,0.05,1,1.47,55.77,219.92,219.92,0.57,29.86,219.96,220.54,,,,,,,218.88,224.11,
2025-01-31,224.11,226.045,223.5,224.31,384901.0,,,,,2.54,1.93,0.61,2.54,3.47,,218.72,225.62,226.04,0.1,1,2.72,69.78,219.72,219.72,0.87,41.09,220.23,221.11,,,,223.03,,,218.88,224.31,
2025-02-03,220.49,221.1,217.185,218.86,565376.0,,,,,3.91,3.21,7.12,7.12,4.43,,217.18,226.04,217.18,0.05,0,-2.63,-69.15,225.05,225.05,0.08,4.63,221.3,221.39,,,,221.56,,,218.86,224.31,
2025-02-04,218.41,220.55,218.07,218.65,602942.0,,,,,2.48,1.69,0.79,2.48,4.43,,217.18,225.6,217.18,0.05,0,-2.83,-70.54,223.44,223.44,-0.57,-29.73,222.1,221.53,,,,220.61,,,218.65,224.31,
2025-02-05,208.16,208.16,195.8101,197.58,1477120.0,,,,,12.35,10.49,22.84,22.84,8.34,,217.18,225.18,195.81,0.1,0,-10.64,-84.63,222.34,222.34,-5.87,-80.34,228.45,222.57,,,,210.65,,,197.58,224.31,
2025-02-06,198.04,202.13,197.4201,199.32,1012421.0,,,,,4.71,4.55,0.16,4.71,7.94,,217.18,222.24,195.81,0.1,0,-9.67,-84.09,214.85,214.85,-7.13,-82.01,226.0,218.87,,,,203.64,,,197.58,218.86,
2025-02-07,200.32,200.32,193.48,195.94,856053.0,,,,,6.84,1.0,5.84,6.84,8.8,,217.18,219.6,193.48,0.15,0,-0.82,-39.35,198.43,198.43,-6.52,-81.28,219.1,212.59,,,,197.0,,,195.94,218.65,
2025-02-10,197.2,197.2,194.8,196.45,658603.0,,,,,2.4,1.26,1.14,2.4,7.85,,217.18,215.68,193.48,0.15,0,-1.43,-55.13,198.67,198.67,-4.6,-77.75,210.8,206.19,,,,192.1,,,195.94,199.32,
