Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,31.14,31.48,30.88,31.2,2783063.0,,,,,0.6,,,0.6,,,30.88,31.48,31.48,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,31.0,31.06,30.65,30.74,2629520.0,,,,,0.41,0.14,0.55,0.55,,,30.65,31.48,30.65,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,30.84,30.84,30.285,30.52,4120261.0,,,,,0.55,0.1,0.45,0.55,,,30.65,31.44,30.28,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,30.49,30.805,30.33,30.51,2719718.0,,,,,0.48,0.29,0.19,0.48,,,30.65,31.32,30.28,0.1,0,-0.12,-6.56,30.7,30.7,,,,,,,,,,,30.51,31.2,
2025-01-27,30.58,31.31307,30.58,31.05,3822707.0,,,,,0.73,0.8,0.07,0.8,0.6,,30.28,31.31,31.31,0.05,1,0.27,14.84,30.43,30.43,,,,,,,,,,,30.51,31.05,
2025-01-28,31.07,31.345,30.9471,31.09,3028641.0,,,,,0.4,0.29,0.1,0.4,0.56,,30.33,31.31,31.34,0.1,1,0.29,16.17,30.59,30.59,0.12,7.01,30.54,30.66,,,,,,,30.51,31.09,
2025-01-29,31.04,31.18,30.56,30.67,2318638.0,,,,,0.62,0.09,0.53,0.62,0.57,,30.43,31.31,31.34,0.1,1,-0.19,-10.76,31.13,31.13,0.09,5.03,30.59,30.68,,,,,,,30.51,31.09,
2025-01-30,30.99,31.3092,30.675,30.99,2734875.0,,,,,0.63,0.64,0.0,0.64,0.59,,30.52,31.31,31.34,0.1,1,-0.05,-2.86,30.97,30.97,0.06,3.32,30.75,30.8,,,,,,,30.67,31.09,
2025-01-31,30.86,31.415,30.86,31.15,3409991.0,,,,,0.55,0.43,0.13,0.55,0.6,,30.6,31.31,31.42,0.15,1,0.24,13.5,30.7,30.7,0.01,0.57,30.97,30.98,,,,31.08,,,30.67,31.15,
2025-02-03,30.92,31.29,30.6,31.05,2333806.0,,,,,0.69,0.14,0.55,0.69,0.58,,30.6,31.42,30.6,0.05,0,0.03,1.72,31.03,31.03,0.04,2.29,30.91,30.95,,,,31.14,,,30.67,31.15,
2025-02-04,30.85,31.45,30.71,31.3,2387516.0,,,,,0.74,0.4,0.34,0.74,0.65,,30.6,31.45,31.45,0.05,1,0.08,4.29,31.09,31.09,0.13,7.52,30.77,30.9,,,,31.23,,,30.99,31.3,
2025-02-05,31.56,31.645,31.34,31.52,2099018.0,,,,,0.3,0.34,0.04,0.34,0.59,,30.64,31.45,31.64,0.1,1,0.23,13.22,31.05,31.05,0.12,6.9,30.96,31.08,,,,31.34,,,31.05,31.52,
2025-02-06,31.66,31.76,31.4,31.61,1511223.0,,,,,0.36,0.24,0.12,0.36,0.54,,30.74,31.45,31.76,0.15,1,0.16,8.81,31.32,31.32,0.14,7.91,31.05,31.19,,,,31.54,,,31.05,31.61,
2025-02-07,31.68,31.76,31.335,31.62,1476046.0,,,,,0.43,0.15,0.27,0.43,0.51,,30.89,31.45,31.76,0.15,1,0.05,2.86,31.53,31.53,0.14,8.25,31.13,31.27,,,,31.7,,,31.3,31.62,
2025-02-10,31.73,31.77,31.3601,31.67,1006687.0,,,,,0.41,0.15,0.26,0.41,0.46,,31.02,31.45,31.77,0.2,1,0.03,1.72,31.6,31.6,0.08,4.8,31.38,31.46,,,,31.74,,,31.52,31.67,
2025-02-11,31.35,31.56,31.15,31.56,3216261.0,,,,,0.41,0.11,0.52,0.52,0.41,,31.15,31.77,31.15,0.05,0,-0.03,-1.72,31.65,31.65,0.01,0.8,31.57,31.58,,,,31.73,,,31.56,31.67,
2025-02-12,31.09,31.695,31.08,31.51,2326591.0,,,,,0.62,0.14,0.48,0.62,0.47,0.55,31.15,31.74,31.08,0.1,0,-0.08,-4.57,31.66,31.66,-0.03,-1.49,31.65,31.62,,,,31.69,,,31.51,31.67,
2025-02-13,31.55,32.01,31.51,31.83,1657703.0,,,,,0.5,0.5,0.0,0.5,0.5,0.54,31.08,32.01,32.01,0.05,1,0.13,7.69,31.5,31.5,0.03,1.49,31.59,31.61,,,,31.73,,,31.51,31.83,
2025-02-14,31.96,32.1,31.42,31.43,2332365.0,,,,,0.68,0.27,0.41,0.68,0.55,0.54,31.13,32.01,32.1,0.1,1,-0.04,-2.29,31.63,31.63,-0.02,-1.2,31.64,31.62,,,,31.6,,,31.43,31.83,
