Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,199.79,206.12,198.0,205.69,1590247.0,,,,,8.12,,,8.12,,,198.0,206.12,206.12,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,205.51,207.16,202.71,205.42,2233336.0,,,,,4.45,1.47,2.98,4.45,,,198.41,206.12,207.16,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,207.15,207.325,200.55,206.0,1256282.0,,,,,6.77,1.91,4.87,6.77,,,199.28,206.12,207.32,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,206.23,206.23,203.92,204.33,672988.0,,,,,2.31,0.23,2.08,2.31,,,200.49,206.12,207.32,0.15,1,-0.54,-28.59,205.79,205.79,,,,,,,,,,,204.33,206.0,
2025-01-27,204.75,207.78,204.33,207.0,1363118.0,,,,,3.45,3.45,0.0,3.45,5.02,,201.51,206.12,207.78,0.2,1,0.5,26.57,205.28,205.28,,,,,,,,,,,204.33,207.0,
2025-01-28,207.95,208.64,202.9,203.43,1258392.0,,,,,5.74,1.64,4.1,5.74,4.54,,202.76,206.12,208.64,0.21,1,-0.45,-24.23,205.37,205.37,-0.3,-16.59,205.83,205.53,,,,,,,203.43,207.0,
2025-01-29,201.61,202.34,195.91,198.07,1925320.0,,,,,6.43,1.09,7.52,7.52,5.16,,195.91,208.64,195.91,0.05,0,-4.46,-77.38,207.3,207.3,-1.68,-59.18,207.12,205.44,,,,,,,198.07,207.0,
2025-01-30,201.63,202.89,198.89,201.78,2124611.0,,,,,4.0,4.82,0.82,4.82,4.77,,195.91,208.0,195.91,0.05,0,-0.83,-39.52,201.92,201.92,-1.4,-54.52,205.73,204.32,,,,,,,198.07,207.0,
2025-01-31,201.66,204.1,200.72,201.36,1107845.0,,,,,3.38,2.32,1.06,3.38,4.98,,195.91,207.4,195.91,0.05,0,1.65,58.7,198.76,198.76,-1.29,-52.28,204.91,203.62,,,,200.43,,,198.07,203.43,
2025-02-03,196.5,200.9,195.99,199.11,1602686.0,,,,,4.91,0.46,5.37,5.37,5.37,,195.91,206.83,195.91,0.05,0,-1.33,-53.16,202.08,202.08,-0.54,-28.15,201.82,201.29,,,,199.13,,,198.07,201.78,
