Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,102.61,106.975,102.51,105.1,5696148.0,,,,,4.46,,,4.46,,,102.51,106.975,106.975,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,104.49,105.34,102.24,105.22,2096049.0,,,,,3.1,0.24,2.86,3.1,,,102.24,106.98,102.24,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,104.89,105.58,104.1075,105.58,767736.0,,,,,1.47,0.36,1.11,1.47,,,102.24,106.74,102.24,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,105.15,105.975,104.1706,105.73,879951.0,,,,,1.8,0.39,1.41,1.8,,,102.24,106.52,102.24,0.05,0,0.25,14.31,105.25,105.25,,,,,,,,,,,105.1,105.73
2024-12-27 05:00:00,104.62,105.71,104.03,104.72,954263.0,,,,,1.68,0.02,1.7,1.7,2.51,,102.24,106.31,102.24,0.05,0,-0.43,-23.27,105.77,105.77,,,,,,,,,,,104.72,105.73
2024-12-30 05:00:00,104.05,104.5,101.835,103.69,1920869.0,,,,,2.67,0.22,2.89,2.89,2.19,,102.24,106.11,101.84,0.1,0,-1.02,-45.57,105.73,105.73,-0.39,-21.41,105.77,105.38,,,,,,,103.69,105.73
2024-12-31 05:00:00,104.2,105.19,103.38,105.11,1635608.0,,,,,1.81,1.5,0.31,1.81,1.93,,102.24,105.68,101.84,0.1,0,0.2,11.03,104.31,104.31,-0.3,-16.59,105.56,105.26,,,,,,,103.69,105.73
2025-01-02 05:00:00,105.27,105.9999,104.05,104.74,2496129.0,,,,,1.95,0.89,1.06,1.95,2.03,,101.84,106.0,106.0,0.05,1,0.52,27.7,103.99,103.99,-0.16,-9.03,105.12,104.96,,,,,,,103.69,105.11
2025-01-03 05:00:00,105.04,106.14,104.86,105.7,2295346.0,,,,,1.28,1.4,0.12,1.4,1.95,,102.05,106.0,106.14,0.1,1,0.3,16.44,104.89,104.89,0.3,16.75,104.19,104.49,,,,104.91,,,103.69,105.7
2025-01-06 05:00:00,105.35,105.98,103.115,103.43,1901794.0,,,,,2.87,0.28,2.59,2.87,2.18,,102.46,106.0,106.14,0.1,1,-0.65,-33.22,105.28,105.28,0.01,0.4,104.52,104.53,,,,104.27,,,103.43,105.7
2025-01-07 05:00:00,103.87,104.3899,99.58,100.69,2586200.0,,,,,4.81,0.96,3.85,4.81,2.57,,99.58,106.14,99.58,0.05,0,-2.51,-68.24,105.78,105.78,-1.02,-45.43,105.96,104.95,,,,102.72,,,100.69,105.7
2025-01-08 05:00:00,101.0,103.03,99.89,102.85,1938879.0,,,,,3.14,2.34,0.8,3.14,2.83,,99.58,105.81,99.58,0.05,0,-0.29,-16.17,102.61,102.61,-0.88,-41.32,105.24,104.36,,,,102.53,,,100.69,105.7
2025-01-10 05:00:00,100.43,101.97,99.52,101.16,1718036.0,,,,,2.45,0.88,3.33,3.33,3.11,,99.58,105.5,99.52,0.1,0,0.24,13.22,101.33,101.33,-0.97,-44.01,104.7,103.73,,,,101.61,,,100.69,103.43
2025-01-13 05:00:00,100.38,102.3,99.6,102.24,1921601.0,,,,,2.7,1.14,1.56,2.7,3.37,,99.58,104.9,99.52,0.1,0,-0.3,-16.96,102.39,102.39,-0.19,-10.81,102.46,102.26,,,,101.19,,,100.69,102.85
2025-01-14 05:00:00,102.54,104.48,102.29,104.04,1371717.0,,,,,2.19,2.24,0.05,2.24,3.24,,99.52,104.48,104.48,0.05,1,1.44,55.22,101.04,101.04,0.61,31.34,100.98,101.59,,,,101.99,,,101.16,104.04
2025-01-15 05:00:00,107.34,107.8,105.0656,106.18,1641182.0,,,,,2.73,3.76,1.03,3.76,3.03,,99.77,104.48,107.8,0.1,1,1.97,63.09,102.18,102.18,0.95,43.65,101.39,102.34,,,,103.68,,,101.16,106.18
2025-01-16 05:00:00,106.35,110.44,105.79,110.25,1832371.0,,,,,4.65,4.26,0.39,4.65,3.34,2.64,100.57,104.48,110.44,0.15,1,3.1,72.15,103.72,103.72,2.21,65.67,100.35,102.56,,,,107.18,,,102.24,110.25
2025-01-17 05:00:00,110.77,110.94,109.05,109.22,2077937.0,,,,,1.89,0.69,1.2,1.89,3.05,2.68,102.05,104.48,110.94,0.2,1,1.52,56.66,107.03,107.03,2.02,63.63,102.35,104.37,,,,109.31,,,104.04,110.25
2025-01-21 05:00:00,109.46,110.98,109.32,110.91,1558210.0,,,,,1.66,1.76,0.1,1.76,2.86,2.73,103.83,104.48,110.98,0.21,1,0.33,18.26,109.8,109.8,1.68,59.21,104.76,106.44,,,,110.98,,,106.18,110.91
2025-01-22 05:00:00,111.14,111.14,109.67,109.98,1131724.0,,,,,1.47,0.23,1.24,1.47,2.71,2.79,105.33,104.48,111.14,0.21,1,0.38,20.81,109.66,109.66,0.83,39.56,107.66,108.48,,,,111.94,,,109.22,110.91
2025-01-23 05:00:00,110.59,111.35,109.16,111.31,947503.0,,,,,2.19,1.37,0.82,2.19,2.39,2.82,106.55,104.48,111.35,0.21,1,0.2,11.31,110.53,110.53,0.29,16.07,109.76,110.05,,,,112.45,,,109.22,111.31
2025-01-24 05:00:00,111.31,112.18,110.67,111.05,1095617.0,,,,,1.51,0.87,0.64,1.51,1.76,2.8,107.56,104.48,112.18,0.21,1,0.53,28.15,110.25,110.25,0.41,22.1,109.68,110.09,,,,112.27,,,109.98,111.31
2025-01-27 05:00:00,107.83,108.075,100.73,103.99,3390393.0,,,,,7.34,2.97,10.32,10.32,3.45,2.9,100.73,112.18,100.73,0.05,0,-3.66,-74.72,112.44,112.44,-1.28,-51.94,112.0,110.72,,,,108.86,,,103.99,111.31
2025-01-28 05:00:00,104.0,104.0,97.19,98.78,4196376.0,,,,,6.81,0.01,6.8,6.81,4.46,3.05,100.73,111.61,97.19,0.1,0,-6.13,-80.74,110.74,110.74,-2.97,-71.4,112.97,109.99,,,,103.82,,,98.78,111.31
2025-01-29 05:00:00,99.15,101.22,99.01,100.61,2325343.0,105.29,3.49,112.27,98.31,2.21,2.44,0.23,2.44,4.65,3.19,100.73,110.17,97.19,0.1,0,-1.69,-59.39,102.82,102.82,-3.37,-73.46,111.88,108.51,,,,101.18,,,98.78,111.05
2025-01-30 05:00:00,102.63,103.42,100.99,102.0,1506655.0,105.17,3.55,112.27,98.07,2.43,2.81,0.38,2.81,4.78,3.31,100.73,108.87,97.19,0.1,0,1.61,58.15,98.85,98.85,-2.15,-65.04,107.58,105.43,,,,99.67,,,98.78,103.99
2025-01-31 05:00:00,101.86,103.36,100.95,101.57,1345543.0,105.02,3.62,112.26,97.78,2.41,1.36,1.05,2.41,4.96,3.44,100.73,107.7,97.19,0.1,0,0.48,25.64,100.91,100.91,-0.16,-9.2,101.71,101.55,,,,99.0,,,98.78,102.0
2025-02-03 05:00:00,99.57,101.22,96.08,100.64,1665859.0,104.82,3.72,112.26,97.38,5.14,0.35,5.49,5.49,3.99,3.49,100.73,106.65,96.08,0.15,0,-0.68,-34.22,102.08,102.08,0.47,25.08,99.78,100.25,,,,98.48,,,100.61,102.0
2025-02-04 05:00:00,100.12,101.64,99.41,101.27,1428558.0,104.65,3.78,112.21,97.09,2.23,1.0,1.23,2.23,3.08,3.5,100.73,105.06,96.08,0.15,0,-0.15,-8.53,101.31,101.31,-0.0,-0.23,101.23,101.22,,,,99.34,,,100.64,102.0
2025-02-05 05:00:00,102.7,104.7016,102.0,103.91,1061161.0,104.61,3.79,112.19,97.03,2.7,3.43,0.73,3.43,3.27,3.49,96.08,104.7,104.7,0.05,1,1.63,58.55,100.3,100.3,0.35,19.39,101.17,101.53,,,,102.08,,,100.64,103.91
2025-02-06 05:00:00,105.18,106.235,104.41,106.2,1868533.0,104.71,3.8,112.31,97.11,1.83,2.33,0.5,2.33,3.18,3.5,96.51,104.7,106.24,0.1,1,2.47,67.92,101.33,101.33,1.25,51.41,100.21,101.47,,,,104.59,,,100.64,106.2
2025-02-07 05:00:00,106.55,107.01,105.1,106.06,1518134.0,104.75,3.8,112.35,97.15,1.91,0.81,1.1,1.91,3.08,3.52,97.48,104.7,107.01,0.15,1,1.08,47.07,104.31,104.31,1.58,57.62,100.46,102.04,,,,105.57,,,101.27,106.2
2025-02-10 05:00:00,106.14,106.3,104.45,106.22,885326.0,104.81,3.82,112.45,97.17,1.85,0.24,1.61,1.85,2.35,3.49,98.91,104.7,107.01,0.15,1,0.01,0.57,106.15,106.15,1.2,50.31,102.32,103.53,,,,106.46,,,103.91,106.22
2025-02-11 05:00:00,105.54,106.27,104.47,106.21,1027981.0,104.83,3.82,112.47,97.19,1.8,0.05,1.75,1.8,2.26,3.48,100.12,104.7,107.01,0.15,1,0.07,4.29,106.09,106.09,0.46,24.8,104.8,105.26,,,,107.22,,,106.06,106.22
2025-02-12 05:00:00,102.19,103.6,97.502,102.73,2955689.0,104.8,3.83,112.46,97.14,6.1,2.61,8.71,8.71,3.32,3.6,97.5,107.01,97.5,0.05,0,-1.75,-60.18,106.8,106.8,-0.68,-34.18,106.84,106.16,0.65,,,106.08,,,102.73,106.22
2025-02-13 05:00:00,101.69,102.85,94.442,95.25,4183759.0,104.59,4.21,113.01,96.17,8.41,0.12,8.29,8.41,4.54,3.69,97.5,106.53,94.44,0.1,0,-5.48,-79.66,106.88,106.88,-2.51,-68.29,108.32,105.8,-1.26,,,101.49,,,95.25,106.22
2025-02-14 05:00:00,95.0,96.96,93.95,95.41,2521377.0,104.29,4.59,113.47,95.11,3.01,1.71,1.3,3.01,4.76,3.71,97.5,105.32,93.95,0.15,0,-3.66,-74.72,101.46,101.46,-3.26,-72.94,107.68,104.42,-3.11,,,97.57,,,95.25,106.21
2025-02-18 05:00:00,95.79,96.59,92.9801,94.21,2588908.0,104.01,4.98,113.97,94.05,3.61,1.18,2.43,3.61,5.11,3.74,97.5,103.61,92.98,0.2,0,-0.52,-27.47,95.48,95.48,-3.13,-72.29,105.03,101.89,-5.18,-5.83,,94.3,,,94.21,102.73
2025-02-19 05:00:00,93.63,93.84,91.4603,92.87,4868100.0,103.63,5.45,114.53,92.73,2.38,0.37,2.75,2.75,5.3,3.78,97.5,101.48,91.46,0.21,0,-1.27,-51.78,95.43,95.43,-2.08,-64.28,100.25,98.17,-7.48,-6.22,,91.86,,,92.87,95.41
2025-02-20 05:00:00,92.115,94.39,91.32,93.5,4132164.0,103.21,5.81,114.83,91.59,3.07,1.52,1.55,3.07,4.17,3.72,97.5,99.38,91.32,0.21,0,-0.36,-19.54,93.88,93.88,-0.6,-31.13,95.46,94.85,-9.01,-5.9,,90.75,,,92.87,95.41
2025-02-21 05:00:00,93.53,94.1425,91.41,91.78,2392541.0,102.64,6.21,115.06,90.22,2.73,0.64,2.09,2.73,3.03,3.65,97.5,97.69,91.32,0.21,0,-0.54,-28.59,93.26,93.26,-0.8,-38.55,95.15,94.35,-9.36,-4.18,,90.02,,,91.78,94.21
2025-02-24 05:00:00,91.64,91.94,89.31,91.46,2320247.0,101.89,6.38,114.65,89.13,2.63,0.16,2.47,2.63,2.96,3.64,97.5,96.35,89.31,0.21,0,-1.02,-45.57,93.27,93.27,-0.66,-33.38,94.08,93.42,-9.76,-2.28,,90.35,,,91.46,93.5
2025-02-25 05:00:00,91.5,93.0,90.45,92.4,2449577.0,101.21,6.46,114.13,88.29,2.55,1.54,1.01,2.55,2.75,3.6,97.5,94.87,89.31,0.21,0,0.31,17.22,91.57,91.57,-0.3,-16.59,93.0,92.7,-9.77,-0.76,,91.43,,,91.46,93.5
2025-02-26 05:00:00,93.0,94.77,92.59,93.08,1687123.0,100.5,6.33,113.16,87.84,2.18,2.37,0.19,2.37,2.67,3.56,89.31,94.77,94.77,0.05,1,0.81,39.01,91.5,91.5,-0.02,-1.26,92.49,92.47,-9.37,-0.01,,91.78,,,91.46,93.08
2025-02-27 05:00:00,93.35,94.11,91.46,91.72,1515389.0,99.77,6.24,112.25,87.29,2.65,1.03,1.62,2.65,2.59,3.52,89.58,94.77,94.77,0.05,1,-0.34,-18.78,92.74,92.74,0.15,8.53,91.79,91.94,-9.39,0.37,,91.79,,,91.46,93.08
2025-02-28 05:00:00,92.22,93.76,92.025,93.17,3084394.0,99.04,5.89,110.82,87.26,1.73,2.04,0.31,2.04,2.45,3.53,89.84,94.77,94.77,0.05,1,0.04,2.58,92.61,92.61,0.27,15.32,91.82,92.09,-8.9,0.87,1.7,92.42,,,91.72,93.17
2025-03-03 05:00:00,92.84,93.16,90.0,90.21,2130229.0,98.21,5.59,109.39,87.03,3.16,0.01,3.17,3.17,2.56,3.55,90.0,94.77,90.0,0.05,0,-0.76,-37.05,92.46,92.46,-0.43,-23.22,92.97,92.54,-8.79,0.58,1.89,91.56,,,90.21,93.17
2025-03-04 05:00:00,89.73,90.41,87.76,88.24,2666753.0,97.58,5.79,109.16,86.0,2.65,0.2,2.45,2.65,2.58,3.5,90.0,94.53,87.76,0.1,0,-2.46,-67.92,93.0,93.0,-1.12,-48.21,93.52,92.4,-9.25,0.14,1.42,90.25,,,88.24,93.17
2025-03-05 05:00:00,87.66,89.5,87.21,88.31,2360989.0,97.16,6.07,109.3,85.02,2.29,1.26,1.03,2.29,2.56,3.35,90.0,93.85,87.21,0.15,0,-0.95,-43.53,89.87,89.87,-1.18,-49.6,92.68,91.5,-9.81,-0.91,0.43,88.99,1.98,,88.24,93.17
2025-03-06 05:00:00,86.5,86.76,82.615,82.79,3712422.0,96.45,6.67,109.79,83.11,4.15,1.55,5.7,5.7,3.17,3.22,90.0,92.85,82.62,0.2,0,-2.72,-69.85,89.17,89.17,-2.27,-66.19,93.08,90.81,-10.98,-2.19,-0.88,85.63,1.47,,82.79,90.21
2025-03-07 05:00:00,83.2,84.83,81.5,84.38,3869045.0,95.74,6.98,109.7,81.78,3.33,2.04,1.29,3.33,3.43,3.09,90.0,90.8,81.5,0.21,0,-1.97,-63.03,87.12,87.12,-1.71,-59.7,90.21,88.5,-12.12,-2.87,-2.11,83.9,0.42,1.18,82.79,88.31
2025-03-10 04:00:00,83.65,85.17,81.7101,83.4,3424880.0,95.02,7.29,109.6,80.44,3.46,0.79,2.67,3.46,3.49,2.95,90.0,88.85,81.5,0.21,0,0.31,16.96,83.22,83.22,-1.36,-53.69,88.15,86.78,-12.71,-2.9,-2.99,82.59,-0.94,0.31,82.79,88.31
2025-03-11 04:00:00,83.36,85.14,82.67,84.51,2586112.0,94.37,7.48,109.33,79.41,2.47,1.74,0.73,2.47,3.45,2.9,90.0,87.31,81.5,0.21,0,0.07,3.72,84.03,84.03,-0.7,-34.95,86.08,85.38,-12.75,-1.77,-3.06,82.22,-2.24,-0.81,82.79,84.51
2025-03-12 04:00:00,86.17,87.02,84.37,86.45,2269941.0,93.78,7.5,108.78,78.78,2.65,2.51,0.14,2.65,3.52,2.94,81.5,87.02,87.02,0.05,1,1.52,56.75,83.26,83.26,0.74,36.69,82.82,83.56,-12.43,-0.31,-2.21,83.62,-3.14,-1.89,83.4,86.45
2025-03-13 04:00:00,86.14,87.05,84.94,85.1,2195613.0,93.03,7.38,107.79,78.27,2.11,0.6,1.51,2.11,2.8,2.92,81.78,87.02,87.05,0.1,1,0.29,16.44,85.06,85.06,0.45,24.18,83.87,84.32,-11.25,1.46,-0.61,84.27,-3.18,-2.57,83.4,86.45
2025-03-14 04:00:00,86.0,87.0599,85.445,86.62,1765164.0,92.24,6.95,106.14,78.34,1.61,1.96,0.34,1.96,2.53,2.91,82.31,87.02,87.06,0.15,1,0.08,4.86,85.97,85.97,0.7,35.11,83.81,84.51,-10.1,2.65,1.31,85.49,-2.26,-2.62,84.51,86.62
2025-03-17 04:00:00,85.85,89.5,85.675,89.15,2581084.0,91.57,6.35,104.27,78.87,3.83,2.88,0.95,3.83,2.6,2.9,83.02,87.02,89.5,0.2,1,2.03,63.72,84.93,84.93,0.94,43.38,84.48,85.42,-8.33,4.1,3.36,87.91,-0.63,-1.88,85.1,89.15
2025-03-18 04:00:00,88.69,89.65,87.4,87.62,1787770.0,90.82,5.61,102.04,79.6,2.25,0.5,1.75,2.25,2.56,2.9,84.32,87.02,89.65,0.21,1,0.5,26.57,87.3,87.3,0.64,32.58,85.71,86.35,-7.24,4.01,4.64,88.25,1.44,-0.47,85.1,89.15
2025-03-19 04:00:00,87.52,89.52,86.67,88.61,1449570.0,90.12,4.61,99.34,80.9,2.85,1.9,0.95,2.85,2.6,2.91,85.44,87.02,89.65,0.21,1,-0.27,-15.11,88.73,88.73,0.8,38.73,85.82,86.62,-6.51,3.59,5.05,89.0,3.5,1.29,86.62,89.15
2025-03-20 04:00:00,88.59,89.37,87.67,88.43,1608291.0,89.55,3.79,97.13,81.97,1.7,0.76,0.94,1.7,2.52,2.91,86.32,87.02,89.65,0.21,1,0.4,22.05,87.81,87.81,0.31,17.12,87.47,87.78,-5.5,2.83,4.6,89.07,4.78,2.96,87.62,89.15
2025-03-21 04:00:00,87.98,88.146,86.54,87.54,3119318.0,89.24,3.62,96.48,82.0,1.61,0.28,1.89,1.89,2.5,2.9,86.54,89.65,86.54,0.05,0,-0.53,-28.15,88.73,88.73,-0.24,-13.55,88.75,88.51,-4.9,2.34,3.76,88.64,5.11,4.21,87.54,88.61
2025-03-24 04:00:00,88.33,90.4,88.276,90.09,1037546.0,89.03,3.39,95.81,82.25,2.12,2.86,0.74,2.86,2.31,2.88,86.54,90.4,90.4,0.05,1,0.83,39.69,87.86,87.86,0.39,21.16,87.68,88.07,-4.39,2.12,2.84,89.49,4.61,4.67,87.54,90.09
2025-03-25 04:00:00,90.11,90.26,86.99,87.87,1685029.0,88.77,3.22,95.21,82.33,3.27,0.17,3.1,3.27,2.51,2.83,86.73,90.4,90.4,0.05,1,0.16,9.37,88.34,88.34,0.02,1.03,88.47,88.49,-3.97,1.53,1.92,88.78,3.76,4.44,87.54,90.09
2025-03-26 04:00:00,87.85,88.6,86.28,87.03,1226291.0,88.54,3.12,94.78,82.3,2.32,0.73,1.59,2.32,2.41,2.75,86.28,90.4,86.28,0.05,0,-1.53,-56.83,89.86,89.86,-0.25,-13.87,88.69,88.44,-3.88,1.02,1.07,87.87,2.83,3.73,87.03,90.09
2025-03-27 04:00:00,87.02,87.2145,85.32,85.51,1485161.0,88.22,3.0,94.22,82.22,1.89,0.18,1.71,1.89,2.45,2.67,86.28,90.19,85.32,0.1,0,-1.18,-49.72,87.98,87.98,-0.71,-35.45,89.03,88.32,-3.94,0.45,0.49,86.93,1.87,2.85,85.51,90.09
2025-03-28 04:00:00,86.04,86.66,84.6,85.1,1293287.0,87.95,2.97,93.89,82.01,2.06,1.15,0.91,2.06,2.48,2.6,86.28,89.7,84.6,0.15,0,-0.97,-43.98,86.85,86.85,-1.23,-50.98,89.59,88.35,-3.82,0.15,0.06,85.73,1.04,1.97,85.1,87.87
2025-03-31 04:00:00,84.78,86.92,84.16,86.04,2368448.0,87.73,2.9,93.53,81.93,2.76,1.82,0.94,2.76,2.46,2.52,86.28,88.94,84.16,0.2,0,0.26,14.84,85.28,85.28,-0.56,-29.21,87.43,86.87,-4.06,-0.18,-0.28,85.39,0.47,1.19,85.1,87.03
2025-04-01 04:00:00,88.3,88.3,84.17,86.89,2172416.0,87.51,2.73,92.97,82.05,4.13,2.26,1.87,4.13,2.63,2.5,84.16,88.3,88.3,0.05,1,0.9,41.83,85.11,85.11,0.02,1.43,86.06,86.09,-3.71,0.23,-0.33,85.57,0.01,0.56,85.1,86.89
2025-04-02 04:00:00,86.05,88.45,85.53,88.1,1310301.0,87.32,2.48,92.28,82.36,2.92,1.56,1.36,2.92,2.75,2.52,84.17,88.3,88.45,0.1,1,1.03,45.85,85.98,85.98,0.7,34.88,84.93,85.63,-2.97,0.85,-0.03,86.15,-0.34,0.12,85.1,88.1
2025-04-03 04:00:00,84.66,85.6421,82.5677,83.1,1967713.0,86.97,2.44,91.85,82.09,3.07,2.46,5.53,5.53,3.48,2.59,82.57,88.45,82.57,0.05,0,-1.9,-62.18,87.92,87.92,-0.19,-10.98,86.23,86.04,-2.9,1.16,0.47,85.25,-0.36,-0.13,83.1,88.1
