Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,476.97,491.36,474.87,491.25,1385359.0,,,,,16.49,,,16.49,,,474.87,491.36,491.36,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,488.89,489.27,480.5,487.22,411044.0,,,,,8.77,1.98,10.75,10.75,,,475.69,491.36,491.36,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,488.21,492.99,485.93,489.96,152296.0,,,,,7.06,5.77,1.29,7.06,,,476.47,491.36,492.99,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,488.29,491.27,486.42,489.22,194463.0,,,,,4.85,1.31,3.54,4.85,,,478.12,491.36,492.99,0.1,1,1.0,45.0,487.8,487.8,,,,,,,,,,,487.22,491.25
2024-12-27 05:00:00,487.84,489.689,483.57,486.96,230968.0,,,,,6.12,0.47,5.65,6.12,9.05,,479.61,491.36,492.99,0.1,1,-1.5,-56.31,490.21,490.21,,,,,,,,,,,486.96,489.96
2024-12-30 05:00:00,481.33,487.49,478.15,485.45,317144.0,,,,,9.34,0.53,8.81,9.34,7.62,,478.15,492.99,478.15,0.05,0,-1.89,-62.05,489.1,489.1,-0.65,-33.18,489.07,488.42,,,,,,,485.45,489.96
2024-12-31 05:00:00,486.8,487.22,482.31,484.47,239714.0,,,,,4.91,1.77,3.14,4.91,6.46,,478.15,492.25,478.15,0.05,0,-1.25,-51.23,486.87,486.87,-1.48,-55.86,490.16,488.69,,,,,,,484.47,489.22
2025-01-02 05:00:00,487.19,489.91,480.2,483.3,384625.0,,,,,9.71,5.44,4.27,9.71,6.99,,478.15,491.54,478.15,0.05,0,-1.08,-47.07,485.48,485.48,-1.43,-55.09,488.75,487.31,,,,,,,483.3,486.96
2025-01-03 05:00:00,486.0,487.005,481.38,485.97,300898.0,,,,,5.62,3.7,1.92,5.62,7.14,,478.15,490.87,478.15,0.05,0,0.75,36.87,483.83,483.83,-0.41,-22.44,486.06,485.64,,,,484.16,,,483.3,485.97
2025-01-06 05:00:00,487.11,491.8803,486.17,491.72,468164.0,,,,,5.71,5.91,0.2,5.91,7.1,,478.15,491.88,491.88,0.05,1,4.21,76.64,482.79,482.79,1.4,54.54,483.37,484.78,,,,486.47,,,483.3,491.72
2025-01-07 05:00:00,493.33,493.61,486.9125,491.48,460315.0,,,,,6.7,1.89,4.81,6.7,6.57,,478.84,491.88,493.61,0.1,1,2.76,70.05,486.97,486.97,2.24,65.98,482.9,485.14,,,,488.99,,,483.3,491.72
2025-01-08 05:00:00,493.53,495.56,488.4,495.44,413229.0,,,,,7.16,4.08,3.08,7.16,7.02,,480.32,491.88,495.56,0.15,1,1.86,61.74,491.02,491.02,2.98,71.44,483.62,486.6,,,,492.85,,,485.97,495.44
2025-01-10 05:00:00,492.69,494.39,483.53,489.0,478495.0,,,,,10.86,1.05,11.91,11.91,7.46,,482.61,491.88,495.56,0.15,1,-1.24,-51.12,493.21,493.21,0.98,44.36,488.77,489.74,,,,492.94,,,489.0,495.44
2025-01-13 05:00:00,485.05,493.68,483.715,493.13,393883.0,,,,,9.97,4.68,5.29,9.97,8.33,,483.53,491.88,495.56,0.15,1,-1.15,-49.11,493.68,493.68,0.03,1.95,492.09,492.12,,,,494.2,,,489.0,495.44
2025-01-14 05:00:00,495.42,500.62,494.73,499.8,416643.0,,,,,5.89,7.49,1.6,7.49,8.65,,483.72,491.88,500.62,0.2,1,5.4,79.51,488.58,488.58,1.43,55.09,490.9,492.34,,,,497.36,,,489.0,499.8
2025-01-15 05:00:00,507.23,511.8629,505.74,509.28,501254.0,,,,,6.12,12.06,5.94,12.06,9.72,,487.1,491.88,511.86,0.21,1,8.08,82.94,492.66,492.66,3.85,75.43,489.63,493.48,,,,502.9,,,489.0,509.28
