Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,257.71,262.345,257.26,258.82,2692558.0,,,,,5.09,,,5.09,,,257.26,262.345,262.345,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,257.92,259.1899,256.21,257.64,684565.0,,,,,2.98,0.37,2.61,2.98,,,256.21,262.35,256.21,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,257.79,259.17,256.4753,259.17,356881.0,,,,,2.69,1.53,1.16,2.69,,,256.21,262.04,256.21,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,258.13,259.33,257.4,258.77,423169.0,,,,,1.93,0.16,1.77,1.93,,,256.21,261.75,256.21,0.05,0,0.57,29.47,257.96,257.96,,,,,,,,,,,257.64,259.17
2024-12-27 05:00:00,256.92,259.2497,255.29,256.55,489045.0,,,,,3.96,0.48,3.48,3.96,3.33,,256.21,261.47,255.29,0.1,0,-1.31,-52.64,259.47,259.47,,,,,,,,,,,256.55,259.17
2024-12-30 05:00:00,255.15,255.71,252.41,254.83,1292038.0,,,,,3.3,0.84,4.14,4.14,3.14,,256.21,260.85,252.41,0.15,0,-1.97,-63.09,258.69,258.69,-0.82,-39.49,259.04,258.22,,,,,,,254.83,259.17
2024-12-31 05:00:00,253.79,255.14,252.72,253.56,694622.0,,,,,2.42,0.31,2.11,2.42,3.03,,256.21,259.58,252.41,0.15,0,-1.5,-56.22,256.48,256.48,-1.52,-56.59,259.61,258.09,,,,,,,253.56,258.77
2025-01-02 05:00:00,254.82,255.9498,249.89,250.03,748061.0,,,,,6.06,2.39,3.67,6.06,3.7,,256.21,258.5,249.89,0.2,0,-2.4,-67.38,255.21,255.21,-2.05,-63.96,258.84,256.8,,,,,,,250.03,256.55
2025-01-03 05:00:00,250.38,253.025,248.62,252.29,866805.0,,,,,4.41,3.0,1.41,4.41,4.2,,256.21,256.78,248.62,0.21,0,-0.64,-32.42,252.6,252.6,-1.33,-53.1,256.12,254.78,,,,251.17,,,250.03,254.83
2025-01-06 05:00:00,252.32,254.58,249.78,250.36,790910.0,,,,,4.8,2.29,2.51,4.8,4.37,,256.21,255.07,248.62,0.21,0,0.17,9.37,250.73,250.73,-1.02,-45.6,254.26,253.23,,,,249.66,,,250.03,253.56
2025-01-07 05:00:00,250.5,252.45,247.96,248.59,685393.0,,,,,4.49,2.09,2.4,4.49,4.44,,256.21,254.58,247.96,0.21,0,-1.85,-61.61,252.26,252.26,-0.96,-43.86,252.89,251.93,,,,248.4,,,248.59,252.29
2025-01-08 05:00:00,247.26,248.6,246.66,247.61,1081928.0,,,,,1.94,0.01,1.93,1.94,4.34,,256.21,253.19,246.66,0.21,0,-1.37,-53.97,250.23,250.23,-0.85,-40.5,251.48,250.63,,,,247.51,,,247.61,252.29
2025-01-10 05:00:00,245.11,247.46,242.6855,244.9,1152622.0,,,,,4.77,0.15,4.92,4.92,4.11,,256.21,251.82,242.69,0.21,0,-1.85,-61.54,248.88,248.88,-1.75,-60.3,252.26,250.5,,,,245.87,,,244.9,250.36
2025-01-13 05:00:00,243.98,249.84,243.725,249.7,1182640.0,,,,,6.12,4.94,1.18,6.12,4.45,,256.21,249.9,242.69,0.21,0,1.04,46.26,246.36,246.36,-0.5,-26.61,249.23,248.73,,,,246.78,,,244.9,249.7
2025-01-14 05:00:00,250.42,253.34,250.42,252.97,792320.0,,,,,2.92,3.64,0.72,3.64,4.22,,242.69,253.34,253.34,0.05,1,4.03,76.08,245.16,245.16,1.08,47.33,246.58,247.67,,,,249.15,,,244.9,252.97
2025-01-15 05:00:00,256.38,256.67,253.73,253.8,712557.0,,,,,2.94,3.7,0.76,3.7,4.06,,243.22,253.34,256.67,0.1,1,2.05,64.0,250.11,250.11,2.04,63.94,245.71,247.75,,,,251.04,,,244.9,253.8
2025-01-16 05:00:00,253.92,256.35,253.06,255.93,876665.0,,,,,3.29,2.55,0.74,3.29,4.33,3.98,244.56,253.34,256.67,0.1,1,1.48,55.95,252.75,252.75,2.62,69.08,246.23,248.84,,,,254.06,,,249.7,255.93
2025-01-17 05:00:00,257.5,258.0,256.18,256.38,844760.0,,,,,1.82,2.07,0.25,2.07,3.76,4.01,245.77,253.34,258.0,0.15,1,1.29,52.22,254.08,254.08,1.63,58.5,250.49,252.12,,,,256.49,,,252.97,256.38
2025-01-21 05:00:00,258.42,262.372,258.42,261.39,718374.0,,,,,3.95,5.99,2.04,5.99,3.74,4.06,247.6,253.34,262.37,0.2,1,2.73,69.88,255.17,255.17,1.94,62.75,252.21,254.15,,,,260.06,,,253.8,261.39
2025-01-22 05:00:00,260.6,261.185,258.375,259.14,899514.0,,,,,2.81,0.2,3.01,3.01,3.61,4.1,250.55,253.34,262.37,0.2,1,1.38,54.07,257.59,257.59,1.61,58.22,254.1,255.71,,,,261.38,,,255.93,261.39
2025-01-23 05:00:00,259.67,260.1514,257.98,259.9,610772.0,,,,,2.17,1.01,1.16,2.17,3.31,4.07,252.91,253.34,262.37,0.2,1,-0.74,-36.69,260.89,260.89,1.07,46.94,256.41,257.48,,,,261.38,,,256.38,261.39
2025-01-24 05:00:00,259.52,260.49,258.5,259.9,828417.0,,,,,1.99,0.59,1.4,1.99,3.05,3.98,254.8,253.34,262.37,0.2,1,0.38,20.81,259.27,259.27,0.55,29.03,258.23,258.79,,,,261.33,,,259.14,261.39
2025-01-27 05:00:00,260.23,265.115,260.23,264.42,1011426.0,,,,,4.88,5.22,0.33,5.22,3.68,3.93,256.31,253.34,265.12,0.21,1,2.26,66.13,259.15,259.15,0.68,34.29,259.59,260.27,,,,263.13,,,259.14,264.42
