Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,17.29,17.55,17.29,17.5,3897454.0,,,,,0.26,,,0.26,,,17.29,17.55,17.55,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,17.37,17.515,17.16,17.42,3318148.0,,,,,0.36,0.02,0.34,0.36,,,17.16,17.55,17.16,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,17.36,17.635,17.35,17.58,2884875.0,,,,,0.29,0.21,0.07,0.29,,,17.16,17.64,17.64,0.05,1,,,,,,,,,,,,,,,,,
2025-01-24,17.5,17.87,17.5,17.63,3103339.0,,,,,0.37,0.29,0.08,0.37,,,17.18,17.64,17.87,0.1,1,0.1,5.99,17.44,17.44,,,,,,,,,,,17.42,17.63,
2025-01-27,17.49,17.79,17.25,17.75,6909676.0,,,,,0.54,0.16,0.38,0.54,0.36,,17.25,17.64,17.87,0.1,1,0.08,4.86,17.57,17.57,,,,,,,,,,,17.42,17.75,
2025-01-28,18.75,19.485,18.46,19.34,12800318.0,,,,,1.02,1.73,0.71,1.73,0.66,,17.25,17.64,19.48,0.15,1,0.86,40.53,17.38,17.38,0.4,21.85,17.14,17.54,,,,,,,17.58,19.34,
2025-01-29,19.34,19.37,18.86,19.0,7343685.0,,,,,0.51,0.03,0.48,0.51,0.69,,17.58,17.64,19.48,0.15,1,0.62,32.01,18.07,18.07,0.45,24.47,17.35,17.8,,,,,,,17.63,19.34,
2025-01-30,19.26,19.55,19.08,19.22,7075761.0,,,,,0.47,0.55,0.08,0.55,0.74,,17.86,17.64,19.55,0.2,1,-0.06,-3.43,19.25,19.25,0.44,23.89,17.7,18.14,,,,,,,17.75,19.34,
2025-01-31,19.31,19.51,19.08,19.23,5778886.0,,,,,0.43,0.29,0.14,0.43,0.75,,18.2,17.64,19.55,0.2,1,0.12,6.56,19.03,19.03,0.28,15.85,18.34,18.62,,,,19.5,,,19.0,19.34,
2025-02-03,18.74,18.74,18.275,18.34,5547043.0,,,,,0.46,0.49,0.96,0.96,0.84,,18.27,19.55,18.27,0.05,0,-0.44,-23.75,19.37,19.37,-0.18,-10.04,19.38,19.2,,,,19.24,,,18.34,19.23,
2025-02-04,18.3,18.54,18.26,18.39,4525281.0,,,,,0.28,0.2,0.08,0.28,0.55,,18.27,19.49,18.26,0.1,0,-0.42,-22.78,19.07,19.07,-0.21,-11.86,19.26,19.05,,,,18.95,,,18.34,19.23,
2025-02-05,18.49,18.79,18.35,18.73,3057095.0,,,,,0.44,0.4,0.04,0.44,0.53,,18.27,19.37,18.26,0.1,0,0.19,11.03,18.29,18.29,-0.18,-10.31,19.15,18.96,,,,18.76,,,18.34,19.23,
2025-02-06,18.87,19.32,18.87,19.17,4695277.0,,,,,0.45,0.59,0.14,0.59,0.54,,18.26,19.32,19.32,0.05,1,0.39,21.31,18.37,18.37,0.03,1.55,18.72,18.74,,,,18.68,,,18.34,19.17,
2025-02-07,19.27,19.27,18.81,18.91,3547198.0,,,,,0.46,0.1,0.36,0.46,0.55,,18.31,19.32,19.32,0.05,1,0.09,5.14,18.85,18.85,0.19,10.87,18.32,18.52,,,,18.78,,,18.39,19.17,
2025-02-10,19.0,19.1,18.59,18.71,3917635.0,,,,,0.51,0.19,0.32,0.51,0.46,,18.36,19.32,19.32,0.05,1,-0.23,-12.95,19.16,19.16,0.08,4.69,18.62,18.7,,,,18.74,,,18.71,19.17,
2025-02-11,18.58,18.76,18.405,18.74,3098054.0,,,,,0.36,0.05,0.3,0.36,0.47,,18.4,19.32,18.4,0.05,0,-0.09,-4.86,18.87,18.87,-0.04,-2.52,18.94,18.9,,,,18.79,,,18.71,19.17,
