Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,132.93,136.03,132.92,135.75,1685383.0,,,,,3.11,,,3.11,,,132.92,136.03,136.03,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,135.31,136.11,133.95,135.28,682941.0,,,,,2.16,0.36,1.8,2.16,,,133.08,136.03,136.11,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,135.01,136.13,134.67,136.0,305304.0,,,,,1.46,0.85,0.61,1.46,,,133.38,136.03,136.13,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,135.88,136.385,135.3,136.24,617784.0,,,,,1.08,0.38,0.7,1.08,,,133.79,136.03,136.38,0.2,1,0.48,25.64,135.36,135.36,,,,,,,,,,,135.28,136.24
2024-12-27 05:00:00,135.06,136.5308,133.87,135.07,417513.0,,,,,2.66,0.29,2.37,2.66,2.09,,133.87,136.38,133.87,0.05,0,-0.46,-24.94,136.23,136.23,,,,,,,,,,,135.07,136.24
2024-12-30 05:00:00,133.8,134.1099,132.46,133.5,507577.0,,,,,1.65,0.96,2.61,2.61,1.99,,133.87,136.53,132.46,0.1,0,-1.37,-53.87,136.31,136.31,-0.45,-24.18,136.12,135.67,,,,,,,133.5,136.24
2024-12-31 05:00:00,134.04,134.37,132.87,133.62,519424.0,,,,,1.5,0.87,0.63,1.5,1.86,,133.87,136.12,132.46,0.1,0,-0.72,-35.94,134.79,134.79,-0.75,-36.87,136.39,135.64,,,,,,,133.5,136.24
2025-01-02 05:00:00,134.85,135.57,132.52,132.96,379930.0,,,,,3.05,1.95,1.1,3.05,2.18,,133.87,135.75,132.46,0.1,0,-0.27,-15.11,133.63,133.63,-0.8,-38.69,135.88,135.08,,,,,,,132.96,135.07
2025-01-03 05:00:00,132.67,134.11,132.61,133.8,813895.0,,,,,1.5,1.15,0.35,1.5,2.26,,133.87,135.57,132.46,0.1,0,0.09,5.14,133.37,133.37,-0.31,-17.12,134.41,134.1,,,,133.1,,,132.96,133.8
2025-01-06 05:00:00,133.47,134.365,132.5,132.87,696184.0,,,,,1.87,0.56,1.3,1.87,2.11,,133.87,135.26,132.46,0.1,0,-0.05,-2.58,133.26,133.26,-0.11,-6.16,133.57,133.46,,,,132.58,,,132.87,133.8
2025-01-07 05:00:00,132.73,133.27,131.05,131.85,644080.0,,,,,2.22,0.4,1.82,2.22,2.03,,133.87,134.98,131.05,0.15,0,-0.98,-44.27,133.82,133.82,-0.36,-19.95,133.75,133.38,,,,132.01,,,131.85,133.8
2025-01-08 05:00:00,131.33,133.525,130.76,133.1,526908.0,,,,,2.77,1.68,1.09,2.77,2.28,,133.87,134.39,130.76,0.2,0,0.11,6.56,132.49,132.49,-0.17,-9.48,133.25,133.08,,,,132.37,,,131.85,133.8
2025-01-10 05:00:00,131.91,132.94,131.04,132.35,713097.0,,,,,1.9,0.16,2.06,2.06,2.08,,133.87,133.66,130.76,0.2,0,0.25,14.04,132.18,132.18,-0.27,-14.95,133.33,133.06,,,,132.38,,,131.85,133.1
2025-01-13 05:00:00,132.19,134.46,131.72,134.28,506894.0,,,,,2.74,2.11,0.63,2.74,2.33,,130.76,134.46,134.46,0.05,1,0.59,30.54,132.65,132.65,0.33,18.37,132.23,132.56,,,,133.04,,,131.85,134.28
2025-01-14 05:00:00,134.56,135.865,133.88,135.15,550241.0,,,,,1.99,1.59,0.4,1.99,2.36,,130.94,134.46,135.86,0.1,1,1.4,54.46,132.53,132.53,0.78,37.88,131.79,132.57,,,,134.02,,,132.35,135.15
2025-01-15 05:00:00,136.86,137.08,135.54,136.22,527404.0,,,,,1.54,1.93,0.39,1.93,2.3,,131.43,134.46,137.08,0.15,1,0.97,44.13,134.25,134.25,0.9,42.11,132.41,133.32,,,,135.16,,,132.35,136.22
2025-01-16 05:00:00,136.27,138.63,135.83,138.33,551710.0,,,,,2.8,2.41,0.39,2.8,2.3,2.17,132.28,134.46,138.63,0.2,1,1.59,57.83,134.98,134.98,1.39,54.27,132.49,133.88,,,,137.11,,,134.28,138.33
2025-01-17 05:00:00,139.11,140.1,138.1172,139.26,658561.0,,,,,1.98,1.77,0.21,1.98,2.29,2.18,133.55,134.46,140.1,0.21,1,1.52,56.66,136.42,136.42,1.31,52.73,134.02,135.33,,,,138.84,,,135.15,139.26
2025-01-21 05:00:00,140.0,142.225,139.45,141.23,891683.0,,,,,2.78,2.97,0.19,2.97,2.33,2.21,134.93,134.46,142.22,0.21,1,1.45,55.41,138.16,138.16,1.52,56.66,135.0,136.52,,,,140.6,,,136.22,141.23
2025-01-22 05:00:00,141.3,142.06,140.1734,141.64,632952.0,,,,,1.89,0.83,1.06,1.89,2.31,2.24,136.46,134.46,142.22,0.21,1,1.19,49.96,139.52,139.52,1.37,53.95,136.59,137.96,,,,142.07,,,138.33,141.64
2025-01-23 05:00:00,141.52,142.1,139.52,141.58,570017.0,,,,,2.58,0.46,2.12,2.58,2.44,2.26,137.67,134.46,142.22,0.21,1,0.18,9.93,141.31,141.31,0.89,41.61,138.63,139.52,,,,142.61,,,139.26,141.64
2025-01-24 05:00:00,141.48,141.57,140.4216,141.02,546478.0,,,,,1.15,0.01,1.16,1.16,2.12,2.25,138.63,134.46,142.22,0.21,1,-0.31,-17.22,141.72,141.72,0.39,21.16,140.17,140.56,,,,142.63,,,141.02,141.64
2025-01-27 05:00:00,140.67,141.29,136.91,137.47,1072407.0,,,,,4.38,0.27,4.11,4.38,2.6,2.29,136.91,142.22,136.91,0.05,0,-2.06,-64.05,142.08,142.08,-0.81,-39.15,142.22,141.4,,,,140.83,,,137.47,141.64
2025-01-28 05:00:00,138.02,139.9099,137.37,137.39,631637.0,,,,,2.54,2.44,0.1,2.54,2.51,2.33,136.91,141.95,136.91,0.05,0,-1.82,-61.15,140.44,140.44,-1.26,-51.58,142.34,141.08,,,,139.06,,,137.39,141.58
2025-01-29 05:00:00,137.62,139.02,137.085,137.26,459004.0,136.13,3.01,142.15,130.11,1.94,1.63,0.3,1.94,2.52,2.35,136.91,141.7,136.91,0.05,0,-0.11,-5.99,137.48,137.48,-1.23,-50.82,141.4,140.17,,,,137.68,,,137.26,141.02
2025-01-30 05:00:00,137.7,140.31,137.4,139.82,870749.0,136.29,3.09,142.47,130.11,2.91,3.05,0.14,3.05,2.61,2.39,136.91,141.46,136.91,0.05,0,1.21,50.54,136.94,136.94,-0.26,-14.63,139.11,138.85,,,,137.68,,,137.26,139.82
2025-01-31 05:00:00,140.04,140.5377,137.92,140.13,936521.0,136.49,3.18,142.85,130.13,2.62,0.72,1.9,2.62,2.91,2.43,136.91,141.23,136.91,0.05,0,1.43,55.13,137.64,137.64,0.77,37.78,136.86,137.64,,,,138.26,,,137.26,140.13
2025-02-03 05:00:00,137.93,140.44,137.18,138.78,978478.0,136.6,3.21,143.02,130.18,3.26,0.31,2.95,3.26,2.68,2.46,136.91,141.01,136.91,0.05,0,-0.52,-27.47,140.1,140.1,0.56,29.47,137.55,138.11,,,,138.47,,,137.26,140.13
2025-02-04 05:00:00,140.46,144.97,133.41,133.99,2096580.0,136.51,3.25,143.01,130.01,11.56,6.19,5.37,11.56,4.49,2.62,136.91,144.97,144.97,0.05,1,-3.07,-71.96,140.7,140.7,-0.76,-37.16,139.51,138.75,,,,136.9,,,133.99,140.13
2025-02-05 05:00:00,135.23,135.2471,130.0,132.27,1506951.0,136.39,3.35,143.09,129.69,5.25,1.26,3.99,5.25,5.15,2.84,130.0,144.97,130.0,0.05,0,-3.25,-72.92,138.27,138.27,-2.12,-64.79,141.25,139.12,,,,135.12,,,132.27,140.13
2025-02-06 05:00:00,132.56,134.96,131.66,133.48,1011778.0,136.39,3.35,143.09,129.69,3.3,2.69,0.61,3.3,5.2,3.07,130.0,144.22,130.0,0.05,0,-0.26,-14.31,133.5,133.5,-1.98,-63.22,139.69,137.71,,,,133.67,,,132.27,138.78
2025-02-07 05:00:00,134.1,135.35,133.0,133.93,767522.0,136.41,3.34,143.09,129.73,2.35,1.87,0.48,2.35,5.14,3.28,130.0,143.51,130.0,0.05,0,0.83,39.69,132.4,132.4,-1.02,-45.6,136.53,135.51,,,,132.73,,,132.27,133.99
2025-02-10 05:00:00,134.5,135.67,133.72,134.39,670196.0,136.46,3.29,143.04,129.88,1.95,1.74,0.21,1.95,4.88,3.48,130.0,142.83,130.0,0.05,0,0.45,24.47,133.48,133.48,0.25,13.82,133.12,133.37,,,,132.24,,,132.27,134.39
2025-02-11 05:00:00,133.96,134.1252,131.51,133.22,582936.0,136.44,3.31,143.06,129.82,2.62,0.26,2.88,2.88,3.15,3.54,130.0,142.19,130.0,0.05,0,-0.36,-19.54,134.2,134.2,0.28,15.7,132.9,133.18,,,,132.14,,,133.22,134.39
2025-02-12 05:00:00,131.76,132.81,130.1,130.34,622891.0,136.34,3.46,143.26,129.42,2.71,0.41,3.12,3.12,2.72,3.58,130.0,141.58,130.0,0.05,0,-2.03,-63.72,134.68,134.68,-0.7,-34.95,134.47,133.77,-2.74,,,131.46,,,130.34,134.39
2025-02-13 05:00:00,130.82,131.43,129.54,130.35,779957.0,136.28,3.55,143.38,129.18,1.89,1.09,0.8,1.89,2.44,3.57,130.0,141.0,129.54,0.1,0,-1.44,-55.13,132.74,132.74,-1.12,-48.27,134.69,133.57,-3.22,,,131.27,,,130.34,134.39
2025-02-14 05:00:00,130.77,130.78,128.38,128.88,830762.0,136.11,3.8,143.71,128.51,2.4,0.43,1.97,2.4,2.45,3.56,130.0,139.85,128.38,0.15,0,-0.73,-36.13,130.59,130.59,-1.39,-54.25,134.21,132.83,-4.04,,,129.97,,,128.88,133.22
