Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,173.21,175.6171,173.21,174.75,384022.0,,,,,2.41,,,2.41,,,173.21,175.6171,175.6171,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,174.55,174.775,172.27,173.54,535180.0,,,,,2.5,0.03,2.48,2.5,,,172.27,175.62,172.27,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,173.26,174.19,172.115,174.12,491907.0,,,,,2.07,0.65,1.42,2.07,,,172.27,175.45,172.12,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,173.48,174.74,173.32,173.88,429253.0,,,,,1.42,0.62,0.8,1.42,,,172.27,175.12,172.12,0.1,0,0.17,9.65,173.68,173.68,,,,,,,,,,,173.54,174.75,
2025-01-27,174.59,178.42,173.695,177.6,526719.0,,,,,4.72,4.54,0.19,4.72,2.62,,172.12,178.42,178.42,0.05,1,1.74,60.11,173.46,173.46,,,,,,,,,,,173.54,177.6,
2025-01-28,176.76,177.38,175.08,175.15,470224.0,,,,,2.3,0.22,2.52,2.52,2.65,,172.44,178.42,178.42,0.05,1,0.63,32.42,174.91,174.91,0.67,33.82,173.52,174.19,,,,,,,173.88,177.6,
2025-01-29,174.53,175.89,172.56,172.91,418032.0,,,,,3.33,0.74,2.59,3.33,2.81,,172.56,178.42,172.56,0.05,0,-2.35,-66.9,177.57,177.57,-0.12,-6.56,174.96,174.85,,,,,,,172.91,177.6,
2025-01-30,173.3,175.6399,173.1975,174.34,424685.0,,,,,2.44,2.73,0.29,2.73,2.94,,172.56,178.13,172.56,0.05,0,-0.41,-22.05,174.54,174.54,-0.38,-20.66,175.53,175.15,,,,,,,172.91,177.6,
2025-01-31,173.37,175.04,173.07,174.09,753129.0,,,,,1.97,0.7,1.27,1.97,3.05,,172.56,177.85,172.56,0.05,0,0.59,30.54,173.19,173.19,-0.78,-38.06,176.38,175.6,,,,174.44,,,172.91,175.15,
2025-02-03,173.59,175.47,171.995,174.78,655520.0,,,,,3.47,1.38,2.09,3.47,2.8,,172.56,177.59,172.0,0.1,0,0.22,12.41,174.18,174.18,0.04,2.52,174.17,174.21,,,,174.34,,,172.91,174.78,
2025-02-04,174.14,175.24,172.48,174.08,1014031.0,,,,,2.76,0.46,2.3,2.76,2.85,,172.56,177.03,172.0,0.1,0,-0.01,-0.29,174.32,174.32,0.28,15.54,173.48,173.76,,,,174.0,,,174.08,174.78,
2025-02-05,174.17,179.54,172.06,172.78,1385384.0,,,,,7.48,5.46,2.02,7.48,3.68,,172.0,179.54,179.54,0.05,1,-1.0,-45.0,174.88,174.88,-0.31,-17.38,174.64,174.33,,,,173.06,,,172.78,174.78,
2025-02-06,173.57,174.57,170.61,173.87,772231.0,,,,,3.96,1.79,2.17,3.96,3.93,,170.61,179.54,170.61,0.05,0,-0.1,-5.99,173.68,173.68,-0.24,-13.71,174.41,174.16,,,,173.6,,,172.78,174.78,
2025-02-07,174.61,174.98,171.67,173.81,464808.0,,,,,3.31,1.11,2.2,3.31,4.2,,170.61,179.09,170.61,0.05,0,0.51,27.25,172.97,172.97,-0.21,-12.13,174.29,174.08,,,,173.8,,,172.78,174.08,
2025-02-10,174.0,174.75,173.08,173.66,454923.0,,,,,1.67,0.94,0.73,1.67,3.84,,170.61,178.67,170.61,0.05,0,-0.11,-5.99,173.88,173.88,0.02,1.09,173.6,173.62,,,,173.5,,,172.78,173.87,
2025-02-11,173.86,173.935,169.06,170.97,532879.0,,,,,4.88,0.28,4.6,4.88,4.26,,170.61,178.27,169.06,0.1,0,-1.42,-54.85,174.23,174.23,-0.38,-20.96,173.78,173.4,,,,172.37,,,170.97,173.87,
2025-02-12,170.26,170.605,169.09,170.19,378343.0,,,,,1.51,0.37,1.88,1.88,3.14,3.29,170.61,177.35,169.06,0.1,0,-1.74,-60.04,173.34,173.34,-1.02,-45.57,174.54,173.52,,,,171.14,,,170.19,173.81,
2025-02-13,170.53,171.71,170.11,170.47,508553.0,,,,,1.6,1.52,0.08,1.6,2.67,3.29,170.61,176.52,169.06,0.1,0,-0.25,-14.04,170.79,170.79,-1.02,-45.43,173.85,172.84,,,,170.52,,,170.19,173.66,
2025-02-14,170.17,171.25,166.25,166.47,615071.0,,,,,5.0,0.78,4.22,5.0,3.01,3.32,170.61,175.77,166.25,0.15,0,-1.86,-61.74,170.9,170.9,-1.49,-56.1,173.33,171.84,,,,168.41,,,166.47,170.97,
2025-02-18,166.23,168.7,165.47,167.8,883716.0,,,,,3.23,2.23,1.0,3.23,3.32,3.36,170.61,174.34,165.47,0.2,0,-1.34,-53.16,169.58,169.58,-1.01,-45.17,171.19,170.19,,,,167.17,,,166.47,170.47,
2025-02-19,167.68,167.92,164.205,167.36,495885.0,,,,,3.71,0.12,3.59,3.71,3.08,3.37,170.61,172.57,164.2,0.21,0,0.44,23.99,166.76,166.76,-0.83,-39.79,170.12,169.29,,,,166.44,,,166.47,170.47,
2025-02-20,166.81,168.8899,166.265,168.7,369953.0,,,,,2.62,1.53,1.1,2.62,3.23,3.39,170.61,170.81,164.2,0.21,0,0.45,24.23,167.5,167.5,-0.27,-14.84,168.69,168.42,,,,166.79,,,166.47,168.7,
2025-02-21,168.75,171.99,168.5,171.13,709347.0,,,,,3.49,3.29,0.2,3.49,3.61,3.45,164.2,171.99,171.99,0.05,1,1.88,62.05,167.18,167.18,1.02,45.62,166.25,167.27,,,,168.54,,,167.36,171.13,
2025-02-24,171.32,174.99,170.28,172.61,722256.0,,,,,4.71,3.86,0.85,4.71,3.55,3.5,164.59,171.99,174.99,0.1,1,1.96,62.91,168.86,168.86,1.34,53.25,166.84,168.18,,,,170.44,,,167.36,172.61,
