Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,143.05,145.47,142.75,144.47,17702755.0,,,,,2.72,,,2.72,,,142.75,145.47,145.47,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,144.63,145.33,143.45,145.27,8720824.0,,,,,1.88,0.86,1.02,1.88,,,142.89,145.47,145.47,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,145.0,145.85,144.3325,145.85,3164071.0,,,,,1.52,0.58,0.94,1.52,,,143.02,145.47,145.85,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,145.51,146.37,145.09,145.58,4656981.0,,,,,1.28,0.52,0.76,1.28,,,143.3,145.47,146.37,0.15,1,0.15,8.81,145.41,145.41,,,,,,,,,,,144.47,145.85
2024-12-27 05:00:00,144.87,146.6,144.68,145.05,5588306.0,,,,,1.92,1.02,0.9,1.92,1.86,,143.76,145.47,146.6,0.2,1,-0.4,-21.8,145.89,145.89,,,,,,,,,,,145.05,145.85
2024-12-30 05:00:00,144.84,144.88,142.95,143.34,5917292.0,,,,,1.93,0.17,2.1,2.1,1.74,,142.95,146.6,142.95,0.05,0,-1.12,-48.24,145.78,145.78,-0.47,-24.99,145.95,145.48,,,,,,,143.34,145.85
2024-12-31 05:00:00,143.76,144.67,143.3098,144.62,5811401.0,,,,,1.36,1.33,0.03,1.36,1.64,,142.95,146.42,142.95,0.05,0,-0.22,-12.13,144.55,144.55,-0.47,-25.17,145.83,145.36,,,,,,,143.34,145.58
2025-01-02 05:00:00,145.23,145.77,143.78,144.02,6051330.0,,,,,1.99,1.15,0.84,1.99,1.73,,142.95,146.25,142.95,0.05,0,0.34,18.78,143.65,143.65,-0.36,-19.54,145.23,144.88,,,,,,,143.34,145.05
2025-01-03 05:00:00,144.07,144.575,143.62,144.19,5879816.0,,,,,0.95,0.55,0.4,0.95,1.66,,142.95,146.08,142.95,0.05,0,-0.21,-12.13,144.49,144.49,-0.1,-5.94,144.45,144.35,,,,143.85,,,143.34,144.62
2025-01-06 05:00:00,143.51,144.815,142.93,143.66,7910493.0,,,,,1.88,0.62,1.26,1.88,1.66,,142.95,145.92,142.93,0.1,0,-0.18,-10.2,144.14,144.14,0.02,1.2,143.92,143.94,,,,143.53,,,143.66,144.62
2025-01-07 05:00:00,143.755,147.18,143.59,146.23,8422010.0,,,,,3.59,3.52,0.07,3.59,1.95,,142.93,147.18,147.18,0.05,1,1.02,45.57,143.67,143.67,0.29,15.96,143.97,144.26,,,,144.57,,,143.66,146.23
2025-01-08 05:00:00,145.49,145.59,141.44,142.27,11175552.0,,,,,4.15,0.64,4.79,4.79,2.64,,141.44,147.18,141.44,0.05,0,-0.69,-34.8,144.75,144.75,-0.15,-8.31,144.37,144.22,,,,143.85,,,142.27,146.23
2025-01-10 05:00:00,141.0,143.67,140.68,142.06,8821541.0,,,,,2.99,1.4,1.59,2.99,2.84,,141.44,146.89,140.68,0.1,0,-2.09,-64.38,145.6,145.6,-0.57,-29.47,144.81,144.25,,,,143.19,,,142.06,146.23
2025-01-13 05:00:00,142.98,145.07,142.31,144.47,10376377.0,,,,,2.76,3.01,0.25,3.01,3.25,,141.44,146.27,140.68,0.1,0,1.1,47.73,141.83,141.83,-0.26,-14.31,144.25,143.99,,,,143.35,,,142.06,146.23
2025-01-14 05:00:00,144.5,144.81,142.86,144.75,8681741.0,,,,,1.95,0.34,1.61,1.95,3.27,,141.44,145.71,140.68,0.1,0,1.35,53.37,142.42,142.42,-0.08,-4.35,144.11,144.03,,,,143.86,,,142.06,144.75
2025-01-15 05:00:00,145.31,146.05,144.26,144.97,7434562.0,,,,,1.79,1.3,0.49,1.79,2.91,,140.68,146.05,146.05,0.05,1,0.25,14.04,144.48,144.48,0.81,38.97,142.09,142.9,,,,144.3,,,142.06,144.97
2025-01-16 05:00:00,144.32,148.07,144.06,147.77,8964016.0,,,,,4.01,3.1,0.91,4.01,2.75,2.3,140.95,146.05,148.07,0.1,1,1.51,56.49,144.32,144.32,1.19,50.01,142.42,143.61,,,,145.87,,,144.47,147.77
2025-01-17 05:00:00,147.44,148.38,146.61,147.03,10773054.0,,,,,1.77,0.61,1.16,1.77,2.51,2.35,141.66,146.05,148.38,0.15,1,1.03,45.85,145.56,145.56,0.81,39.15,144.17,144.98,,,,146.7,,,144.75,147.77
2025-01-21 05:00:00,147.56,148.86,147.05,148.15,11111747.0,,,,,1.81,1.83,0.02,1.83,2.27,2.39,142.67,146.05,148.86,0.2,1,0.19,10.76,147.46,147.46,0.89,41.54,144.76,145.65,,,,148.36,,,144.97,148.15
2025-01-22 05:00:00,144.0,145.47,142.11,145.27,16834747.0,,,,,3.36,2.68,6.04,6.04,3.09,2.5,142.11,148.86,142.11,0.05,0,-0.88,-41.35,147.7,147.7,0.1,5.6,146.44,146.54,,,,147.66,,,145.27,148.15
2025-01-23 05:00:00,145.44,147.91,144.8144,146.64,10506361.0,,,,,3.1,2.64,0.46,3.1,3.35,2.63,142.11,148.52,142.11,0.05,0,-0.76,-37.05,147.44,147.44,-0.4,-21.9,147.78,147.37,,,,147.24,,,145.27,148.15
2025-01-24 05:00:00,146.805,147.631,146.383,146.82,9887682.0,,,,,1.25,0.99,0.26,1.25,2.8,2.71,142.11,148.2,142.11,0.05,0,0.77,37.78,145.47,145.47,-0.19,-10.92,147.17,146.98,,,,147.11,,,145.27,148.15
2025-01-27 05:00:00,148.45,153.45,148.0,152.89,15152314.0,,,,,5.45,6.63,1.18,6.63,3.77,2.88,142.11,153.45,153.45,0.05,1,3.13,72.26,145.66,145.66,1.1,47.8,145.75,146.85,,,,149.39,,,145.27,152.89
2025-01-28 05:00:00,152.66,152.97,150.3,150.38,10320613.0,,,,,2.67,0.08,2.59,2.67,3.94,3.03,142.68,153.45,153.45,0.05,1,1.78,60.67,148.25,148.25,1.65,58.74,145.11,146.75,,,,149.99,,,146.64,152.89
2025-01-29 05:00:00,150.5,151.88,150.0,151.15,7156421.0,145.88,2.61,151.1,140.66,1.88,1.5,0.38,1.88,3.11,3.07,143.22,153.45,153.45,0.05,1,-0.87,-41.02,152.34,152.34,1.26,51.52,147.06,148.32,,,,151.17,,,146.82,152.89
2025-01-30 05:00:00,151.91,154.14,151.36,152.87,8910983.0,146.21,2.94,152.09,140.33,2.78,2.99,0.21,2.99,3.08,3.08,143.73,153.45,154.14,0.1,1,1.25,51.23,150.22,150.22,1.04,46.01,148.75,149.79,,,,152.59,,,150.38,152.89
2025-01-31 05:00:00,152.62,153.18,152.055,152.15,8458715.0,146.49,3.16,152.81,140.17,1.12,0.31,0.81,1.12,3.06,3.07,144.77,153.45,154.14,0.1,1,0.5,26.57,151.56,151.56,0.1,5.77,151.69,151.79,,,,153.51,,,150.38,152.87
2025-02-03 05:00:00,152.0,152.465,150.78,151.87,6687487.0,146.73,3.34,153.41,140.05,1.69,0.31,1.37,1.69,2.07,2.98,145.71,153.45,154.14,0.1,1,-0.5,-26.57,152.8,152.8,0.4,21.7,150.89,151.29,,,,153.26,,,151.15,152.87
2025-02-04 05:00:00,151.36,154.18,150.945,153.49,9645289.0,147.04,3.59,154.22,139.86,3.24,2.31,0.93,3.24,2.18,2.92,146.55,153.45,154.18,0.15,1,0.67,33.82,151.83,151.83,0.37,20.2,151.57,151.94,,,,153.48,,,151.87,153.49
2025-02-05 05:00:00,153.82,154.73,153.31,154.69,8946957.0,147.43,3.87,155.17,139.69,1.42,1.24,0.18,1.42,2.09,2.87,147.69,153.45,154.73,0.2,1,1.41,54.65,151.94,151.94,0.5,26.47,152.02,152.52,,,,153.67,,,151.87,154.69
