Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,231.92,239.21,231.5877,237.6,32348414.0,,,,,7.62,,,7.62,,,231.5877,239.21,239.21,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,236.07,238.62,234.88,238.39,8611528.0,,,,,3.74,1.02,2.72,3.74,,,231.97,239.21,239.21,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,239.43,242.4922,239.07,242.31,3729092.0,,,,,3.42,4.1,0.68,4.1,,,232.33,239.21,242.49,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,241.43,243.26,240.79,243.14,4452168.0,,,,,2.47,0.95,1.52,2.47,,,233.35,239.21,243.26,0.15,1,2.38,67.17,238.9,238.9,,,,,,,,,,,237.6,243.14
2024-12-27 05:00:00,242.72,243.39,240.04,241.17,5724807.0,,,,,3.35,0.25,3.1,3.35,4.26,,234.84,239.21,243.39,0.2,1,-0.57,-29.68,242.78,242.78,,,,,,,,,,,238.39,243.14
2024-12-30 05:00:00,238.77,240.84,237.11,239.32,5723765.0,,,,,3.73,0.33,4.06,4.06,3.54,,236.55,239.21,243.39,0.2,1,-1.91,-62.37,243.12,243.12,0.07,4.12,240.72,240.79,,,,,,,239.32,243.14
2024-12-31 05:00:00,240.05,241.4393,239.03,239.71,4870971.0,,,,,2.41,2.12,0.29,2.41,3.28,,237.11,239.21,243.39,0.2,1,-0.73,-36.13,240.8,240.8,-0.9,-42.05,242.93,242.03,,,,,,,239.32,243.14
2025-01-02 05:00:00,240.92,243.276,239.45,240.0,9220914.0,,,,,3.83,3.57,0.26,3.83,3.22,,238.37,239.21,243.39,0.2,1,0.34,18.78,239.34,239.34,-0.77,-37.74,242.22,241.44,,,,,,,239.32,241.17
2025-01-03 05:00:00,243.89,244.88,240.26,243.28,9481053.0,,,,,4.62,4.88,0.26,4.88,3.71,,239.37,239.21,244.88,0.21,1,1.78,60.74,239.21,239.21,0.49,26.1,239.72,240.21,,,,241.35,,,239.32,243.28
2025-01-06 05:00:00,243.695,245.69,240.58,240.85,9917836.0,,,,,5.11,2.41,2.7,5.11,4.06,,240.26,239.21,245.69,0.21,1,0.42,23.03,240.95,240.95,0.66,33.54,239.31,239.97,,,,240.7,,,239.71,243.28
2025-01-07 05:00:00,242.14,245.26,240.9,243.17,8753357.0,,,,,4.36,4.41,0.05,4.41,4.13,,240.58,239.21,245.69,0.21,1,-0.06,-3.15,242.49,242.49,0.78,37.85,239.85,240.62,,,,241.78,,,240.0,243.28
2025-01-08 05:00:00,242.75,244.25,240.5,243.13,8648684.0,,,,,3.75,1.08,2.67,3.75,4.4,,240.5,245.69,240.5,0.05,0,1.14,48.74,241.24,241.24,0.61,31.59,240.86,241.47,,,,242.98,,,240.85,243.28
