Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,81.79,81.82,81.59,81.69,3778015.0,,,,,0.23,,,0.23,,,81.82,81.59,81.59,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,81.6,81.725,81.51,81.64,1417288.0,,,,,0.21,0.03,0.18,0.21,,,81.59,81.72,81.72,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,81.7,81.8,81.63,81.77,868468.0,,,,,0.17,0.16,0.01,0.17,,,81.51,81.72,81.8,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,81.66,81.905,81.64,81.87,1579688.0,,,,,0.27,0.14,0.13,0.27,,,81.54,81.72,81.9,0.15,1,0.12,6.56,81.64,81.64,,,,,,,,,,,81.64,81.87,
2025-01-27,82.0,82.06,81.65,81.96,2773410.0,,,,,0.41,0.19,0.22,0.41,0.26,,81.59,81.72,82.06,0.2,1,0.09,5.43,81.77,81.77,,,,,,,,,,,81.64,81.96,
2025-01-28,82.0,82.01,81.72,81.8,1697026.0,,,,,0.29,0.05,0.24,0.29,0.27,,81.65,81.72,82.06,0.2,1,-0.04,-2.0,81.91,81.91,0.05,2.92,81.71,81.76,,,,,,,81.77,81.96,
2025-01-29,81.9,82.045,81.7475,81.77,1155128.0,,,,,0.3,0.25,0.05,0.3,0.29,,81.72,81.72,82.06,0.2,1,-0.1,-5.43,81.94,81.94,-0.01,-0.4,81.85,81.84,,,,,,,81.77,81.96,
2025-01-30,81.94,81.95,81.75,81.94,1582146.0,,,,,0.2,0.18,0.02,0.2,0.29,,81.75,81.72,82.06,0.2,1,0.07,4.0,81.77,81.77,-0.01,-0.29,81.88,81.87,,,,,,,81.77,81.96,
2025-01-31,81.95,81.95,81.66,81.73,8377054.0,,,,,0.29,0.01,0.28,0.29,0.3,,81.66,82.06,81.66,0.05,0,-0.02,-1.15,81.83,81.83,-0.03,-1.83,81.9,81.87,,,,81.85,,,81.73,81.94,
2025-02-03,81.7,81.855,81.65,81.76,1953572.0,,,,,0.2,0.12,0.08,0.2,0.26,,81.66,82.04,81.65,0.1,0,-0.09,-5.14,81.9,81.9,-0.01,-0.69,81.82,81.81,,,,81.79,,,81.73,81.94,
2025-02-04,81.85,81.85,81.67,81.75,1442647.0,,,,,0.18,0.09,0.09,0.18,0.23,,81.66,82.0,81.65,0.1,0,0.01,0.57,81.74,81.74,-0.02,-1.26,81.83,81.81,,,,81.74,,,81.73,81.94,
2025-02-05,81.8,81.91,81.665,81.86,2006006.0,,,,,0.24,0.16,0.08,0.24,0.22,,81.66,81.96,81.65,0.1,0,0.05,2.86,81.74,81.74,-0.01,-0.8,81.84,81.82,,,,81.77,,,81.73,81.86,
2025-02-06,81.93,82.16,81.83,82.13,2404110.0,,,,,0.33,0.3,0.03,0.33,0.25,,81.65,82.16,82.16,0.05,1,0.19,10.76,81.72,81.72,0.09,5.14,81.67,81.76,,,,81.93,,,81.75,82.13,
2025-02-07,82.1,82.31,82.02,82.3,1383545.0,,,,,0.29,0.18,0.11,0.29,0.25,,81.68,82.16,82.31,0.1,1,0.22,12.41,81.88,81.88,0.15,8.31,81.67,81.81,,,,82.11,,,81.75,82.3,
2025-02-10,82.25,82.29,82.11,82.28,2675960.0,,,,,0.18,0.01,0.19,0.19,0.25,,81.74,82.16,82.31,0.1,1,0.08,4.29,82.16,82.16,0.15,8.53,81.76,81.91,,,,82.24,,,81.86,82.3,
2025-02-11,82.25,82.25,82.15,82.2,1439983.0,,,,,0.1,0.03,0.13,0.13,0.24,,81.8,82.16,82.31,0.1,1,-0.05,-2.86,82.31,82.31,0.08,4.74,81.99,82.07,,,,82.33,,,82.13,82.3,
2025-02-12,82.2,82.34,82.15,82.18,3070567.0,,,,,0.19,0.14,0.05,0.19,0.23,0.26,81.85,82.16,82.34,0.15,1,-0.05,-2.86,82.27,82.27,0.0,0.0,82.22,82.22,,,,82.33,,,82.18,82.3,
2025-02-13,82.28,82.3,82.17,82.21,4126790.0,,,,,0.13,0.12,0.01,0.13,0.19,0.25,81.92,82.16,82.34,0.15,1,0.0,0.29,82.19,82.19,-0.03,-1.6,82.29,82.26,,,,82.32,,,82.18,82.28,
2025-02-14,82.23,82.41,82.18,82.26,2982343.0,,,,,0.23,0.2,0.03,0.23,0.17,0.24,81.98,82.16,82.41,0.2,1,0.04,2.29,82.18,82.18,-0.0,-0.17,82.23,82.23,,,,82.29,,,82.18,82.26,
2025-02-18,82.11,82.355,82.1,82.32,2693996.0,,,,,0.26,0.09,0.16,0.26,0.19,0.24,82.07,82.16,82.41,0.2,1,0.05,3.15,82.21,82.21,0.03,1.83,82.17,82.2,,,,82.27,,,82.18,82.32,
2025-02-19,82.29,82.49,82.29,82.41,2495448.0,,,,,0.2,0.17,0.03,0.2,0.2,0.23,82.1,82.16,82.49,0.21,1,0.07,4.29,82.25,82.25,0.06,3.26,82.16,82.22,,,,82.32,,,82.21,82.41,
2025-02-20,82.35,82.47,82.31,82.45,1615414.0,,,,,0.16,0.06,0.1,0.16,0.2,0.22,82.18,82.16,82.49,0.21,1,0.06,3.72,82.33,82.33,0.06,3.6,82.2,82.27,,,,82.4,,,82.26,82.45,
2025-02-21,82.4,82.72,82.355,82.66,2684176.0,,,,,0.36,0.27,0.09,0.36,0.24,0.22,82.25,82.16,82.72,0.21,1,0.12,7.13,82.38,82.38,0.09,5.31,82.23,82.33,,,,82.55,,,82.32,82.66,
2025-02-24,82.6,82.75,82.53,82.72,2494589.0,,,,,0.22,0.09,0.13,0.22,0.24,0.22,82.35,82.16,82.75,0.21,1,0.13,7.69,82.47,82.47,0.11,5.99,82.3,82.41,,,,82.68,,,82.41,82.72,
2025-02-25,82.75,82.85,82.68,82.69,2437734.0,82.09,0.33,82.75,81.43,0.17,0.13,0.04,0.17,0.22,0.22,82.43,82.16,82.85,0.21,1,0.01,0.86,82.67,82.67,0.08,4.74,82.42,82.5,,,,82.74,,,82.45,82.72,
2025-02-26,82.63,82.73,82.59,82.62,1894016.0,82.13,0.34,82.81,81.45,0.14,0.04,0.1,0.14,0.21,0.22,82.52,82.16,82.85,0.21,1,-0.05,-2.86,82.73,82.73,0.04,2.12,82.55,82.59,,,,82.75,,,82.62,82.72,
2025-02-27,82.62,82.76,82.46,82.5,2364692.0,82.17,0.33,82.83,81.51,0.3,0.14,0.16,0.3,0.24,0.22,82.46,82.85,82.46,0.05,0,-0.09,-5.43,82.7,82.7,-0.04,-2.41,82.72,82.68,,,,82.67,,,82.5,82.72,
