Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,32.25,32.66,31.93,32.37,25034957.0,,,,,0.73,,,0.73,,,31.93,32.66,32.66,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,32.32,32.496,31.87,32.25,6608763.0,,,,,0.63,0.13,0.5,0.63,,,31.87,32.66,31.87,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,32.18,32.495,32.045,32.45,2249000.0,,,,,0.45,0.24,0.2,0.45,,,31.87,32.62,31.87,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,32.37,32.485,32.275,32.31,4190248.0,,,,,0.21,0.03,0.18,0.21,,,31.87,32.58,31.87,0.05,0,0.03,1.72,32.31,32.31,,,,,,,,,,,32.25,32.45
2024-12-27 05:00:00,32.02,32.46,32.02,32.27,6018392.0,,,,,0.44,0.15,0.29,0.44,0.49,,31.87,32.54,31.87,0.05,0,-0.09,-5.14,32.43,32.43,,,,,,,,,,,32.25,32.45
2024-12-30 05:00:00,32.27,32.29,31.71,31.96,9324773.0,,,,,0.58,0.02,0.56,0.58,0.46,,31.87,32.51,31.71,0.1,0,-0.17,-9.93,32.35,32.35,-0.08,-4.35,32.4,32.32,,,,,,,31.96,32.45
2024-12-31 05:00:00,32.04,32.19,31.85,32.12,5259321.0,,,,,0.34,0.23,0.11,0.34,0.4,,31.87,32.43,31.71,0.1,0,-0.08,-4.29,32.19,32.19,-0.1,-5.77,32.42,32.32,,,,,,,31.96,32.31
2025-01-02 05:00:00,32.32,32.44,31.73,31.76,5071609.0,,,,,0.71,0.32,0.39,0.71,0.46,,31.71,32.44,32.44,0.05,1,-0.1,-5.71,32.05,32.05,-0.13,-7.13,32.33,32.21,,,,,,,31.76,32.27
2025-01-03 05:00:00,31.69,31.7199,31.29,31.54,5071106.0,,,,,0.43,0.04,0.47,0.47,0.51,,31.29,32.44,31.29,0.05,0,-0.29,-16.17,32.1,32.1,-0.17,-9.43,32.26,32.1,,,,31.69,,,31.54,32.12
2025-01-06 05:00:00,31.48,31.73,31.04,31.08,7561234.0,,,,,0.69,0.19,0.5,0.69,0.56,,31.29,32.38,31.04,0.1,0,-0.34,-18.78,31.8,31.8,-0.23,-13.17,32.16,31.93,,,,31.32,,,31.08,32.12
2025-01-07 05:00:00,31.0,31.24,30.57,30.68,8271694.0,,,,,0.67,0.16,0.51,0.67,0.58,,31.29,32.25,30.57,0.15,0,-0.43,-23.27,31.53,31.53,-0.36,-19.6,32.15,31.79,,,,30.92,,,30.68,31.76
2025-01-08 05:00:00,30.72,31.17,30.375,31.12,8401519.0,,,,,0.8,0.49,0.3,0.8,0.67,,31.29,32.0,30.38,0.2,0,0.02,1.15,30.94,30.94,-0.21,-12.08,31.66,31.45,,,,30.82,,,30.68,31.54
