Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,22.3,22.55,22.23,22.5,6525160.0,,,,,0.32,,,0.32,,,22.23,22.55,22.55,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,22.34,22.44,22.05,22.22,3532001.0,,,,,0.39,0.06,0.45,0.45,,,22.05,22.55,22.05,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,22.26,22.725,22.095,22.69,4714643.0,,,,,0.63,0.51,0.12,0.63,,,22.05,22.72,22.72,0.05,1,,,,,,,,,,,,,,,,,
2025-01-24,22.6,22.98,22.59,22.92,3790678.0,,,,,0.39,0.29,0.1,0.39,,,22.08,22.72,22.98,0.1,1,0.35,19.29,22.26,22.26,,,,,,,,,,,22.22,22.92,
2025-01-27,23.08,23.5,22.98,23.43,3820064.0,,,,,0.52,0.58,0.06,0.58,0.47,,22.17,22.72,23.5,0.15,1,0.37,20.3,22.64,22.64,,,,,,,,,,,22.22,23.43,
2025-01-28,23.32,23.65,22.905,22.93,3536031.0,,,,,0.74,0.22,0.52,0.74,0.56,,22.37,22.72,23.65,0.2,1,0.0,0.29,23.09,23.09,0.22,12.19,22.41,22.62,,,,,,,22.69,23.43,
2025-01-29,22.98,23.03,22.37,22.42,3261333.0,,,,,0.66,0.1,0.56,0.66,0.6,,22.37,23.65,22.37,0.05,0,-0.5,-26.79,23.43,23.43,-0.05,-3.03,22.98,22.93,,,,,,,22.42,23.43,
2025-01-30,22.69,22.89,22.465,22.68,3545987.0,,,,,0.43,0.47,0.04,0.47,0.57,,22.37,23.59,22.37,0.05,0,-0.12,-7.13,22.8,22.8,-0.15,-8.47,23.17,23.02,,,,,,,22.42,23.43,
2025-01-31,22.58,22.75,22.25,22.45,11743127.0,,,,,0.5,0.07,0.43,0.5,0.59,,22.37,23.53,22.25,0.1,0,0.01,0.86,22.5,22.5,-0.22,-12.46,23.22,23.0,,,,22.7,,,22.42,22.93,
2025-02-03,22.16,22.375,21.83,22.22,3495209.0,,,,,0.55,0.07,0.62,0.62,0.6,,22.37,23.4,21.83,0.15,0,-0.23,-12.95,22.68,22.68,-0.14,-7.91,22.82,22.68,,,,22.37,,,22.22,22.68,
