Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,616.43,641.055,613.4,629.37,2652165.0,,,,,27.65,,,27.65,,,613.4,641.055,641.055,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,631.58,649.51,631.58,647.99,886486.0,,,,,17.93,20.14,2.21,20.14,,,614.78,641.055,649.51,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,645.05,652.0,641.26,650.53,349506.0,,,,,10.74,4.01,6.73,10.74,,,618.25,641.055,652.0,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,644.22,653.89,642.05,648.55,454072.0,,,,,11.84,3.36,8.48,11.84,,,623.31,641.055,653.89,0.2,1,0.28,15.64,648.74,648.74,,,,,,,,,,,629.37,650.53
2024-12-27 05:00:00,647.17,647.72,638.01,644.81,729677.0,,,,,9.71,0.83,10.54,10.54,16.18,,629.43,641.055,653.89,0.2,1,-2.86,-70.73,650.82,650.82,,,,,,,,,,,644.81,650.53
2024-12-30 05:00:00,633.81,637.24,626.6,633.64,688097.0,,,,,10.64,7.57,18.21,18.21,14.29,,626.6,653.89,626.6,0.05,0,-7.46,-82.36,649.79,649.79,-3.44,-73.8,651.99,648.55,,,,,,,633.64,650.53
2024-12-31 05:00:00,633.5,638.0,627.1725,630.12,646215.0,,,,,10.83,4.36,6.47,10.83,12.43,,626.6,652.53,626.6,0.05,0,-7.35,-82.25,643.53,643.53,-5.57,-79.83,652.68,647.1,,,,,,,630.12,648.55
2025-01-02 05:00:00,634.69,649.43,631.89,636.62,892356.0,,,,,17.54,19.31,1.77,19.31,14.15,,626.6,651.23,626.6,0.05,0,1.49,56.13,631.97,631.97,-3.86,-75.46,646.46,642.6,,,,,,,630.12,644.81
2025-01-03 05:00:00,643.9,658.71,640.315,657.01,865223.0,,,,,18.39,22.09,3.7,22.09,16.2,,626.6,658.71,658.71,0.05,1,13.45,85.75,627.8,627.8,2.74,69.94,634.96,637.7,,,,640.62,,,630.12,657.01
2025-01-06 05:00:00,673.6,696.87,673.51,690.3,1676619.0,,,,,23.36,39.86,16.5,39.86,22.06,,628.21,658.71,696.87,0.1,1,26.84,87.87,634.47,634.47,14.02,85.92,621.5,635.52,,,,661.14,,,630.12,690.3
2025-01-07 05:00:00,694.78,705.87,683.26,689.3,1283675.0,,,,,22.61,15.57,7.04,22.61,22.94,,635.08,658.71,705.87,0.15,1,16.14,86.46,662.72,662.72,17.2,86.67,626.26,643.47,,,,678.35,,,636.62,690.3
2025-01-08 05:00:00,690.0,692.0,678.965,686.2,1093358.0,,,,,13.03,2.7,10.33,13.03,23.38,,645.7,658.71,705.87,0.15,1,-2.05,-64.0,690.65,690.65,13.14,85.65,645.6,658.74,,,,690.54,,,657.01,690.3
2025-01-10 05:00:00,683.9,694.57,671.645,683.06,1254470.0,,,,,22.93,8.37,14.56,22.93,24.1,,654.73,658.71,705.87,0.15,1,-3.12,-72.23,689.31,689.31,4.8,78.23,671.57,676.37,,,,697.35,,,683.06,690.3
2025-01-13 05:00:00,674.19,691.97,665.49,690.99,1319005.0,,,,,26.48,8.91,17.57,26.48,24.98,,662.4,658.71,705.87,0.15,1,2.39,67.34,684.36,684.36,-0.49,-25.92,688.94,688.46,,,,701.49,,,683.06,690.99
2025-01-14 05:00:00,692.99,701.39,686.56,701.26,1039076.0,,,,,14.83,10.4,4.43,14.83,19.98,,665.49,658.71,705.87,0.15,1,9.1,83.73,682.67,682.67,2.87,70.8,684.42,687.29,,,,704.24,,,683.06,701.26
2025-01-15 05:00:00,715.0,727.3699,713.54,716.25,1368320.0,,,,,13.83,26.11,12.28,26.11,20.68,,671.55,658.71,727.37,0.2,1,12.63,85.47,690.2,690.2,7.83,82.72,679.89,687.72,,,,708.94,,,683.06,716.25
2025-01-16 05:00:00,735.0,779.07,733.58,747.26,2019567.0,,,,,45.49,62.82,17.33,62.82,30.63,20.15,682.71,658.71,779.07,0.21,1,23.0,87.51,698.59,698.59,15.37,86.28,677.03,692.4,,,,725.02,,,690.99,747.26
2025-01-17 05:00:00,762.95,763.3,747.61,757.47,1402625.0,,,,,15.69,16.04,0.35,16.04,29.26,21.16,702.95,658.71,779.07,0.21,1,20.61,87.22,719.72,719.72,17.9,86.8,686.85,704.75,,,,746.15,,,701.26,757.47
2025-01-21 05:00:00,762.3,778.43,751.225,767.24,1369986.0,,,,,27.2,20.96,6.25,27.2,29.4,22.32,718.94,658.71,779.07,0.21,1,9.99,84.28,747.33,747.33,17.32,86.7,703.26,720.58,,,,765.51,,,716.25,767.24
2025-01-22 05:00:00,773.36,787.13,771.58,771.91,1200497.0,,,,,15.55,19.89,4.34,19.89,30.41,23.71,731.57,658.71,787.13,0.21,1,7.22,82.11,758.32,758.32,13.13,85.64,725.77,738.9,,,,779.55,,,747.26,771.91
2025-01-23 05:00:00,753.27,761.87,741.29,760.95,822209.0,,,,,20.58,10.04,30.62,30.62,31.31,25.03,741.29,787.13,741.29,0.05,0,-3.15,-72.36,769.84,769.84,4.18,76.55,752.6,756.78,,,,781.09,,,757.47,771.91
2025-01-24 05:00:00,765.05,765.79,743.15,749.82,745393.0,,,,,22.64,4.84,17.8,22.64,23.28,25.57,741.29,784.84,741.29,0.05,0,-11.04,-84.83,771.94,771.94,-2.16,-65.15,765.8,763.64,,,,773.48,,,749.82,771.91
2025-01-27 05:00:00,716.6,724.95,685.195,702.71,2357838.0,,,,,39.75,24.87,64.62,64.62,32.99,26.41,741.29,782.66,685.2,0.1,0,-29.12,-88.03,766.95,766.95,-15.12,-86.21,780.76,765.64,,,,743.91,,,702.71,771.91
2025-01-28 05:00:00,697.33,708.89,689.22,702.92,1387277.0,,,,,19.67,6.18,13.49,19.67,31.49,27.07,741.29,772.91,685.2,0.1,0,-23.45,-87.56,741.93,741.93,-19.62,-87.08,776.91,757.28,,,,718.06,,,702.71,760.95
2025-01-29 05:00:00,721.08,721.88,707.78,712.97,729192.0,692.37,46.62,785.61,599.13,14.1,18.96,4.86,18.96,31.3,27.68,741.29,764.14,685.2,0.1,0,5.13,78.97,701.07,701.07,-14.29,-86.0,754.45,740.16,,,,705.26,,,702.71,749.82
2025-01-30 05:00:00,731.28,746.11,722.0,742.43,1711041.0,696.89,45.73,788.35,605.43,24.11,33.14,9.03,33.14,31.81,28.27,741.29,756.25,685.2,0.1,0,19.75,87.1,699.68,699.68,-0.45,-24.32,723.07,722.62,,,,710.14,,,702.71,742.43
2025-01-31 05:00:00,758.93,770.245,735.0,738.24,1632293.0,700.5,45.27,791.04,609.96,35.25,27.82,7.43,35.25,34.33,28.99,685.2,770.24,770.24,0.05,1,12.63,85.47,718.58,718.58,11.06,84.83,697.74,708.8,,,,716.97,,,702.92,742.43
2025-02-03 05:00:00,727.39,753.0,726.37,740.21,1216805.0,704.09,44.7,793.49,614.69,26.63,14.76,11.87,26.63,26.73,29.51,689.45,770.24,770.24,0.05,1,-1.11,-47.98,741.4,741.4,9.98,84.28,707.38,717.37,,,,728.2,,,712.97,742.43
2025-02-04 05:00:00,732.83,756.0,732.83,749.32,999914.0,708.12,44.02,796.16,620.08,23.17,15.79,7.38,23.17,27.43,30.03,693.49,770.24,770.24,0.05,1,5.54,79.77,737.05,737.05,7.05,81.92,722.54,729.59,,,,743.14,,,738.24,749.32
