Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,85.4,85.4,82.12,84.27,4192689.0,,,,,3.28,,,3.28,,,85.4,82.12,82.12,0.05,0,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,84.11,84.1954,82.53,83.7,1864066.0,,,,,1.67,0.07,1.74,1.74,,,82.12,84.2,84.2,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,84.0,85.2,83.6278,84.91,901644.0,,,,,1.57,1.5,0.07,1.57,,,82.22,84.2,85.2,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,84.23,85.54,83.79,85.17,1160343.0,,,,,1.75,0.63,1.12,1.75,,,82.52,84.2,85.54,0.15,1,0.73,36.32,83.86,83.86,,,,,,,,,,,83.7,85.17
2024-12-27 05:00:00,84.1,85.31,83.27,83.77,1319866.0,,,,,2.04,0.14,1.9,2.04,2.08,,82.97,84.2,85.54,0.15,1,-0.57,-29.68,85.19,85.19,,,,,,,,,,,83.7,85.17
2024-12-30 05:00:00,83.33,83.35,82.04,82.06,1149007.0,,,,,1.31,0.42,1.73,1.73,1.77,,82.04,85.54,82.04,0.05,0,-1.56,-57.26,85.22,85.22,-0.44,-23.85,84.81,84.36,,,,,,,82.06,85.17
2024-12-31 05:00:00,82.27,82.385,81.44,81.76,1280318.0,,,,,0.95,0.33,0.62,0.95,1.61,,82.04,85.36,81.44,0.1,0,-1.0,-45.14,83.53,83.53,-0.94,-43.26,85.42,84.48,,,,,,,81.76,85.17
2025-01-02 05:00:00,82.14,82.87,81.135,81.22,1714612.0,,,,,1.73,1.11,0.62,1.73,1.64,,82.04,84.97,81.14,0.15,0,-0.42,-22.78,82.1,82.1,-0.99,-44.74,84.78,83.79,,,,,,,81.22,83.77
2025-01-03 05:00:00,80.75,81.325,79.5,80.07,1963259.0,,,,,1.83,0.11,1.72,1.83,1.66,,82.04,84.4,79.5,0.2,0,-0.85,-40.2,81.86,81.86,-0.82,-39.49,83.42,82.6,,,,80.51,,,80.07,82.06
2025-01-06 05:00:00,80.845,81.28,79.61,79.75,1901858.0,,,,,1.67,1.21,0.46,1.67,1.58,,82.04,83.42,79.5,0.2,0,-0.74,-36.32,81.08,81.08,-0.63,-32.25,82.23,81.6,,,,79.44,,,79.75,81.76
2025-01-07 05:00:00,79.76,80.29,78.53,79.12,1661041.0,,,,,1.76,0.54,1.22,1.76,1.59,,82.04,82.64,78.53,0.21,0,-0.47,-25.41,80.12,80.12,-0.68,-34.02,81.73,81.06,,,,78.74,,,79.12,81.22
2025-01-08 05:00:00,79.11,82.12,78.75,81.93,2336335.0,,,,,3.37,3.0,0.37,3.37,2.07,,78.53,82.12,82.12,0.05,1,1.09,47.47,79.18,79.18,0.05,2.69,80.32,80.37,,,,79.76,,,79.12,81.93
2025-01-10 05:00:00,80.54,80.54,78.32,78.34,1793605.0,,,,,2.22,1.39,3.61,3.61,2.45,,78.32,82.12,78.32,0.05,0,-0.39,-21.31,80.19,80.19,-0.13,-7.29,80.1,79.97,,,,79.21,,,78.34,81.93
2025-01-13 05:00:00,77.64,78.57,77.0,78.5,1705740.0,,,,,1.57,0.23,1.34,1.57,2.4,,78.32,81.93,77.0,0.1,0,-1.72,-59.75,81.31,81.31,-0.33,-18.16,80.18,79.86,,,,78.74,,,78.34,81.93
2025-01-14 05:00:00,79.13,79.78,78.61,79.57,1320868.0,,,,,1.17,1.28,0.11,1.28,2.32,,78.32,81.44,77.0,0.1,0,0.62,31.59,78.19,78.19,-0.25,-14.2,80.0,79.74,,,,78.94,,,78.34,81.93
2025-01-15 05:00:00,82.04,82.08,80.04,80.28,1549051.0,,,,,2.04,2.51,0.47,2.51,2.47,,77.0,82.08,82.08,0.05,1,0.89,41.67,78.56,78.56,-0.21,-11.7,80.14,79.93,,,,79.49,,,78.34,80.28
2025-01-16 05:00:00,79.9,80.29,79.06,79.65,1466172.0,,,,,1.23,0.01,1.22,1.23,2.04,1.98,77.25,82.08,82.08,0.05,1,0.04,2.29,79.79,79.79,0.44,23.75,78.39,78.83,,,,79.57,,,78.5,80.28
2025-01-17 05:00:00,80.29,80.29,78.68,78.94,1482994.0,,,,,1.61,0.64,0.97,1.61,1.64,1.94,77.49,82.08,82.08,0.05,1,-0.67,-33.82,80.29,80.29,0.1,5.48,79.2,79.29,,,,79.3,,,78.94,80.28
2025-01-21 05:00:00,79.45,80.26,78.45,79.5,1604250.0,,,,,1.81,1.32,0.49,1.81,1.69,1.94,77.72,82.08,82.08,0.05,1,-0.08,-4.29,79.44,79.44,-0.15,-8.42,79.88,79.74,,,,79.18,,,78.94,80.28
2025-01-22 05:00:00,79.23,79.57,78.06,78.27,1747416.0,,,,,1.51,0.07,1.44,1.51,1.73,1.94,77.94,82.08,82.08,0.05,1,-0.33,-18.52,79.24,79.24,-0.42,-22.64,80.16,79.74,,,,79.21,,,78.27,79.65
2025-01-23 05:00:00,78.42,82.03,78.42,81.99,2270780.0,,,,,3.61,3.76,0.15,3.76,1.98,1.97,78.06,82.08,82.08,0.05,1,1.24,51.23,78.67,78.67,0.4,21.85,78.87,79.27,,,,80.21,,,78.27,81.99
