Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,62.9,63.23,62.3,62.42,19817068.0,,,,,0.93,,,0.93,,,63.23,62.3,62.3,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,62.12,62.285,61.66,61.78,18191886.0,,,,,0.62,0.14,0.76,0.76,,,63.23,62.3,61.66,0.1,0,,,,,,,,,,,,,,,,,
2025-01-23,61.8,61.98,61.37,61.53,16528423.0,,,,,0.61,0.2,0.41,0.61,,,63.23,62.28,61.37,0.15,0,,,,,,,,,,,,,,,,,
2025-01-24,61.72,62.01,61.435,61.92,19244604.0,,,,,0.57,0.48,0.09,0.57,,,63.23,62.14,61.37,0.15,0,0.07,4.0,61.67,61.67,,,,,,,,,,,61.53,62.42,
2025-01-27,62.87,64.18,62.473,63.87,20742915.0,,,,,1.71,2.26,0.55,2.26,1.03,,61.37,64.18,64.18,0.05,1,1.17,49.48,61.27,61.27,,,,,,,,,,,61.53,63.87,
2025-01-28,63.51,64.04,62.28,62.36,14956031.0,,,,,1.76,0.17,1.59,1.76,1.19,,61.51,64.18,64.18,0.05,1,0.22,12.41,62.5,62.5,0.35,19.29,61.59,61.94,,,,,,,61.53,63.87,
2025-01-29,62.56,63.36,62.55,62.83,11325635.0,,,,,0.81,1.0,0.19,1.0,1.24,,61.64,64.18,64.18,0.05,1,-0.52,-27.47,63.54,63.54,0.3,16.91,61.89,62.2,,,,,,,61.92,63.87,
2025-01-30,63.85,64.285,63.23,64.05,13200977.0,,,,,1.05,1.45,0.4,1.45,1.41,,61.77,64.18,64.28,0.1,1,0.85,40.2,62.24,62.24,0.32,17.85,62.36,62.68,,,,,,,62.36,64.05,
2025-01-31,63.7,63.93,63.39,63.48,12102060.0,,,,,0.54,0.12,0.66,0.66,1.43,,62.02,64.18,64.28,0.1,1,0.32,18.0,63.13,63.13,0.09,5.2,63.14,63.23,,,,63.8,,,62.36,64.05,
2025-02-03,63.18,63.6299,62.43,63.35,12067883.0,,,,,1.2,0.15,1.05,1.2,1.21,,62.25,64.18,64.28,0.1,1,-0.35,-19.29,63.98,63.98,0.26,14.74,62.69,62.95,,,,63.82,,,62.83,64.05,
