Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,439.67,444.07,439.435,442.46,2281956.0,,,,,4.63,,,4.63,,,439.435,444.07,444.07,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,445.67,448.69,442.47,442.6,2644136.0,,,,,6.22,6.23,0.01,6.23,,,439.67,444.07,448.69,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,442.72,443.14,440.425,440.83,1811291.0,,,,,2.71,0.54,2.18,2.71,,,440.42,448.69,440.42,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,442.87,443.3675,439.04,439.25,1547782.0,,,,,4.33,2.54,1.79,4.33,,,440.42,448.28,439.04,0.1,0,-1.68,-59.16,442.57,442.57,,,,,,,,,,,439.25,442.6,
2025-01-27,438.34,441.4,434.99,439.49,2833438.0,,,,,6.41,2.15,4.26,6.41,4.86,,440.42,447.36,434.99,0.15,0,-0.67,-33.82,440.53,440.53,,,,,,,,,,,439.25,442.6,
2025-01-28,440.0,440.41,435.24,435.51,2158432.0,,,,,5.17,0.92,4.25,5.17,4.97,,440.42,445.5,434.99,0.15,0,-1.87,-61.86,439.95,439.95,-1.55,-57.21,442.64,441.09,,,,,,,435.51,440.83,
2025-01-29,435.22,439.017,434.49,438.32,2631137.0,,,,,4.53,3.51,1.02,4.53,4.63,,440.42,443.92,434.49,0.2,0,-0.59,-30.33,438.36,438.36,-0.88,-41.22,440.43,439.56,,,,,,,435.51,439.49,
2025-01-30,439.0,449.6699,439.0,446.38,2545904.0,,,,,10.67,11.35,0.68,11.35,6.36,,434.49,449.67,449.67,0.05,1,5.44,79.57,434.63,434.63,1.31,52.62,437.17,438.48,,,,,,,435.51,446.38,
2025-01-31,444.42,448.17,438.64,446.12,2820686.0,,,,,9.53,1.79,7.74,9.53,7.4,,435.25,449.67,449.67,0.05,1,3.9,75.62,439.71,439.71,2.41,67.49,436.34,438.75,,,,442.96,,,435.51,446.38,
2025-02-03,445.03,454.81,440.46,454.21,2701167.0,,,,,14.35,8.69,5.66,14.35,8.99,,435.97,449.67,454.81,0.1,1,3.91,75.67,444.99,444.99,4.52,77.52,435.07,439.59,,,,448.83,,,438.32,454.21,
