Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,36.2,37.31,35.905,36.88,6251346.0,,,,,1.41,,,1.41,,,35.905,37.31,37.31,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,36.78,37.07,36.3,36.87,1566463.0,,,,,0.77,0.19,0.58,0.77,,,35.98,37.31,37.31,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,36.93,36.93,36.65,36.7,1320305.0,,,,,0.28,0.06,0.22,0.28,,,36.05,37.31,37.31,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,36.74,37.07,36.5,37.0,1294505.0,,,,,0.57,0.37,0.2,0.57,,,36.11,37.31,37.31,0.05,1,0.07,3.72,36.79,36.79,,,,,,,,,,,36.7,37.0
2024-12-27 05:00:00,36.71,37.17,36.64,36.89,1193783.0,,,,,0.53,0.17,0.36,0.53,0.71,,36.17,37.31,37.31,0.05,1,0.09,5.43,36.77,36.77,,,,,,,,,,,36.7,37.0
2024-12-30 05:00:00,36.74,36.74,35.89,36.22,2012794.0,,,,,0.85,0.15,1.0,1.0,0.63,,35.89,37.31,35.89,0.05,0,-0.39,-21.31,37.09,37.09,-0.11,-6.33,36.96,36.85,,,,,,,36.22,37.0
2024-12-31 05:00:00,36.43,36.92,36.345,36.75,1829360.0,,,,,0.58,0.7,0.12,0.7,0.62,,35.89,37.24,35.89,0.05,0,-0.07,-4.0,36.69,36.69,-0.07,-3.89,36.85,36.78,,,,,,,36.22,37.0
2025-01-02 05:00:00,36.81,37.12,36.02,36.24,1705318.0,,,,,1.1,0.37,0.73,1.1,0.78,,35.89,37.17,35.89,0.05,0,0.01,0.57,36.39,36.39,-0.17,-9.43,36.95,36.79,,,,,,,36.22,36.89
2025-01-03 05:00:00,36.23,36.68,35.56,36.59,2261982.0,,,,,1.12,0.44,0.68,1.12,0.89,,35.89,37.12,35.56,0.1,0,-0.08,-4.57,36.61,36.61,-0.06,-3.32,36.65,36.6,,,,36.42,,,36.22,36.75
2025-01-06 05:00:00,36.59,37.41,36.55,36.76,1859326.0,,,,,0.86,0.82,0.04,0.86,0.96,,35.56,37.41,37.41,0.05,1,0.26,14.57,36.27,36.27,0.09,5.26,36.33,36.42,,,,36.52,,,36.24,36.76
2025-01-07 05:00:00,36.9,37.325,36.4003,36.49,1520567.0,,,,,0.92,0.57,0.36,0.92,0.94,,35.65,37.41,37.41,0.05,1,-0.05,-2.86,36.66,36.66,-0.0,-0.0,36.57,36.57,,,,36.47,,,36.24,36.76
2025-01-08 05:00:00,36.38,36.4899,35.5931,36.34,1457837.0,,,,,0.9,0.0,0.9,0.9,0.98,,35.59,37.41,35.59,0.05,0,-0.21,-11.86,36.74,36.74,0.01,0.57,36.46,36.47,,,,36.45,,,36.34,36.76
2025-01-10 05:00:00,36.01,36.4,35.9,36.27,3043852.0,,,,,0.5,0.06,0.44,0.5,0.86,,35.59,37.32,35.59,0.05,0,-0.11,-6.28,36.48,36.48,-0.11,-6.05,36.7,36.6,,,,36.43,,,36.27,36.76
2025-01-13 05:00:00,36.34,36.655,36.1,36.49,2238186.0,,,,,0.55,0.38,0.17,0.55,0.75,,35.59,37.23,35.59,0.05,0,0.07,4.29,36.29,36.29,-0.08,-4.35,36.62,36.55,,,,36.38,,,36.27,36.49
2025-01-14 05:00:00,36.68,37.35,36.595,37.29,2162180.0,,,,,0.76,0.86,0.1,0.86,0.75,,35.59,37.35,37.35,0.05,1,0.51,27.02,36.17,36.17,0.17,9.93,36.23,36.4,,,,36.78,,,36.27,37.29
2025-01-15 05:00:00,37.9,38.0,37.53,37.82,1830843.0,,,,,0.47,0.71,0.24,0.71,0.7,,35.68,37.35,38.0,0.1,1,0.66,33.62,36.53,36.53,0.4,21.7,36.05,36.44,,,,37.22,,,36.27,37.82
2025-01-16 05:00:00,37.9,38.64,37.535,38.39,3267807.0,,,,,1.11,0.82,0.29,1.11,0.75,0.79,35.91,37.35,38.64,0.15,1,0.55,28.81,37.28,37.28,0.56,29.12,36.14,36.7,,,,37.86,,,36.49,38.39
2025-01-17 05:00:00,38.62,38.71,37.75,38.46,1801627.0,,,,,0.96,0.32,0.64,0.96,0.84,0.8,36.32,37.35,38.71,0.2,1,0.32,17.74,37.9,37.9,0.5,26.75,36.68,37.19,,,,38.42,,,37.29,38.46
2025-01-21 05:00:00,38.71,39.38,38.63,39.21,2242983.0,,,,,0.75,0.92,0.17,0.92,0.91,0.83,36.8,37.35,39.38,0.21,1,0.41,22.29,38.28,38.28,0.45,24.13,37.34,37.79,,,,39.09,,,37.82,39.21
2025-01-22 05:00:00,39.06,39.22,38.42,39.02,1600286.0,,,,,0.8,0.01,0.79,0.8,0.9,0.85,37.34,37.35,39.38,0.21,1,0.28,15.64,38.62,38.62,0.32,17.85,37.94,38.26,,,,39.41,,,38.39,39.21
