Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,58.48,59.1,58.37,58.95,2617740.0
2024-12-23 05:00:00,58.73,59.325,58.33,59.26,1239225.0
2024-12-24 05:00:00,59.22,59.63,59.005,59.62,397346.0
2024-12-26 05:00:00,59.38,59.83,59.3,59.65,844458.0
2024-12-27 05:00:00,59.28,60.085,58.64,59.54,728937.0
2024-12-30 05:00:00,59.53,59.53,58.84,59.33,1267256.0
2024-12-31 05:00:00,59.53,59.7,58.83,59.14,864721.0
2025-01-02 05:00:00,59.31,59.73,58.45,58.51,1008998.0
2025-01-03 05:00:00,58.71,58.72,58.23,58.34,1440685.0
2025-01-06 05:00:00,58.02,58.23,57.13,57.31,2018676.0
2025-01-07 05:00:00,57.18,57.935,57.06,57.36,1260768.0
2025-01-08 05:00:00,57.28,58.25,56.87,58.2,1174109.0
2025-01-10 05:00:00,57.83,57.93,56.64,56.66,1381048.0
2025-01-13 05:00:00,56.78,57.17,56.3,56.98,1388156.0
2025-01-14 05:00:00,56.83,57.86,56.81,57.79,1565066.0
2025-01-15 05:00:00,58.3,58.87,58.14,58.47,1419013.0
2025-01-16 05:00:00,58.61,60.11,58.3,60.07,1233843.0
2025-01-17 05:00:00,60.22,60.73,59.955,60.55,1697669.0
2025-01-21 05:00:00,61.24,61.93,60.77,61.0,1552572.0
2025-01-22 05:00:00,60.66,60.835,59.045,59.09,1293655.0
2025-01-23 05:00:00,59.02,59.21,58.55,58.69,1429737.0
2025-01-24 05:00:00,58.63,59.08,58.45,58.77,1345335.0
2025-01-27 05:00:00,59.38,60.03,58.31,60.0,2493780.0
2025-01-28 05:00:00,59.86,59.92,58.62,58.87,1277730.0
2025-01-29 05:00:00,58.81,59.36,58.56,58.59,971127.0
2025-01-30 05:00:00,59.12,59.5999,58.84,59.34,1047290.0
2025-01-31 05:00:00,58.91,59.25,58.64,58.88,1741961.0
2025-02-03 05:00:00,58.53,59.375,58.095,59.27,1862666.0
2025-02-04 05:00:00,58.83,59.52,58.355,59.24,1073724.0
2025-02-05 05:00:00,59.68,60.11,59.37,59.73,1359627.0
2025-02-06 05:00:00,59.91,60.0299,59.22,59.54,1115101.0
2025-02-07 05:00:00,59.5,59.68,59.115,59.47,1107633.0
2025-02-10 05:00:00,59.63,59.98,59.07,59.87,1098786.0
2025-02-11 05:00:00,59.72,60.355,59.21,60.31,1523712.0
2025-02-12 05:00:00,59.61,60.725,59.44,60.63,1733830.0
2025-02-13 05:00:00,60.59,61.45,60.5,61.1,2070905.0
2025-02-14 05:00:00,61.31,62.08,61.12,61.33,2146363.0
