Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,70.54,73.475,70.3,71.79,29404476.0
2024-12-23 05:00:00,72.35,73.99,72.0,73.8,10406721.0
2024-12-24 05:00:00,74.065,74.17,73.23,73.83,5611688.0
2024-12-26 05:00:00,73.25,74.56,73.0,73.99,6298458.0
2024-12-27 05:00:00,73.3,73.76,72.64,73.4,5444088.0
2024-12-30 05:00:00,72.0,72.59,71.27,72.15,10381689.0
2024-12-31 05:00:00,72.4,72.8,71.54,72.23,7121643.0
2025-01-02 05:00:00,72.71,73.918,71.74,72.44,8075062.0
2025-01-03 05:00:00,73.18,75.275,72.97,75.11,8983435.0
2025-01-06 05:00:00,77.18,80.15,77.0,77.98,15164600.0
2025-01-07 05:00:00,78.86,80.14,76.89,77.52,10896611.0
2025-01-08 05:00:00,77.42,77.75,76.24,77.04,8690771.0
2025-01-10 05:00:00,76.02,76.23,74.32,74.65,11957584.0
2025-01-13 05:00:00,73.17,74.58,72.56,74.45,8321802.0
2025-01-14 05:00:00,75.04,75.13,73.59,75.06,9033070.0
2025-01-15 05:00:00,75.86,77.27,75.45,76.15,11085772.0
2025-01-16 05:00:00,78.89,82.83,78.31,79.22,19156574.0
2025-01-17 05:00:00,81.41,81.81,79.6,80.3,10350975.0
2025-01-21 05:00:00,80.82,82.43,79.915,81.5,10978304.0
2025-01-22 05:00:00,82.43,85.19,82.42,83.25,14716613.0
2025-01-23 05:00:00,80.75,81.39,79.45,81.23,11383314.0
2025-01-24 05:00:00,81.7,81.7,78.98,79.68,9091926.0
2025-01-27 05:00:00,76.79,76.83,73.41,75.63,19881317.0
2025-01-28 05:00:00,75.11,75.67,73.6,74.51,13597666.0
2025-01-29 05:00:00,77.45,77.49,74.47,75.15,14558898.0
2025-01-30 05:00:00,79.75,82.09,77.59,80.73,24878513.0
2025-01-31 05:00:00,81.09,84.215,80.845,81.05,18840940.0
2025-02-03 05:00:00,78.975,81.56,78.5,80.19,14537703.0
2025-02-04 05:00:00,79.0,80.585,78.972,79.91,9538804.0
2025-02-05 05:00:00,79.1,82.105,78.62,81.94,10740981.0
2025-02-06 05:00:00,81.15,83.055,80.93,82.83,9903213.0
2025-02-07 05:00:00,83.19,83.51,81.79,82.33,9833594.0
2025-02-10 05:00:00,83.55,84.67,82.56,83.73,13613089.0
2025-02-11 05:00:00,83.06,84.5,82.98,83.26,8903373.0
2025-02-12 05:00:00,81.28,82.14,80.49,81.57,7973042.0
2025-02-13 05:00:00,81.575,83.66,81.45,83.3,7845934.0
2025-02-14 05:00:00,82.65,83.61,81.72,82.75,9149516.0
2025-02-18 05:00:00,84.91,86.81,83.37,86.58,16205484.0
2025-02-19 05:00:00,86.3,89.8,85.75,87.66,15588030.0
2025-02-20 05:00:00,89.98,91.72,88.56,89.02,16888441.0
2025-02-21 05:00:00,89.64,90.22,85.72,86.02,12860943.0
2025-02-24 05:00:00,86.45,86.71,83.22,83.34,11728673.0
2025-02-25 05:00:00,83.06,83.6999,79.925,80.29,19088089.0
2025-02-26 05:00:00,81.69,82.93,80.65,81.3,12427523.0
2025-02-27 05:00:00,81.65,82.165,76.04,76.17,14830208.0
