Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,51.29,52.37,51.035,52.25,8899708.0,,,,,1.34,,,1.34,,,51.035,52.37,52.37,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,52.1,52.265,51.2798,51.66,2302951.0,,,,,0.99,0.02,0.97,0.99,,,51.1,52.37,52.37,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,51.64,52.09,51.39,51.89,966898.0,,,,,0.7,0.43,0.27,0.7,,,51.16,52.37,52.37,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,51.72,52.3,51.61,51.97,1660599.0,,,,,0.69,0.41,0.28,0.69,,,51.22,52.37,52.37,0.05,1,0.15,8.81,51.68,51.68,,,,,,,,,,,51.66,52.25
2024-12-27 05:00:00,51.62,51.89,51.33,51.86,1747760.0,,,,,0.56,0.08,0.64,0.64,0.87,,51.28,52.37,52.37,0.05,1,-0.02,-0.86,51.92,51.92,,,,,,,,,,,51.66,51.97
2024-12-30 05:00:00,51.03,51.08,50.492,50.7,2426895.0,,,,,0.59,0.78,1.37,1.37,0.88,,50.49,52.37,50.49,0.05,0,-0.64,-32.42,52.14,52.14,-0.2,-11.03,52.01,51.81,,,,,,,50.7,51.97
2024-12-31 05:00:00,50.91,51.52,50.85,51.36,1917065.0,,,,,0.67,0.82,0.15,0.82,0.84,,50.49,52.28,50.49,0.05,0,-0.25,-14.04,51.56,51.56,-0.23,-13.12,52.02,51.79,,,,,,,50.7,51.97
2025-01-02 05:00:00,51.24,51.75,49.68,49.9,3161212.0,,,,,2.07,0.39,1.68,2.07,1.12,,50.49,52.19,49.68,0.1,0,-0.4,-21.8,51.05,51.05,-0.46,-24.89,52.09,51.62,,,,,,,49.9,51.86
2025-01-03 05:00:00,51.46,51.51,49.55,50.42,3051710.0,,,,,1.96,1.61,0.35,1.96,1.37,,50.49,51.94,49.55,0.15,0,-0.47,-25.17,51.03,51.03,-0.37,-20.2,51.58,51.22,,,,50.32,,,49.9,51.36
2025-01-06 05:00:00,51.08,51.98,50.68,50.93,3511217.0,,,,,1.3,1.56,0.26,1.56,1.56,,49.55,51.98,51.98,0.05,1,0.51,27.25,49.9,49.9,-0.05,-2.75,50.76,50.71,,,,50.31,,,49.9,51.36
2025-01-07 05:00:00,50.9,51.43,49.2,49.5,4652207.0,,,,,2.23,0.5,1.73,2.23,1.73,,49.2,51.98,49.2,0.05,0,-0.46,-24.7,50.74,50.74,-0.27,-15.06,50.96,50.69,,,,49.82,,,49.5,50.93
2025-01-08 05:00:00,49.06,49.42,48.78,49.15,2584463.0,,,,,0.64,0.08,0.72,0.72,1.71,,49.2,51.84,48.78,0.1,0,-0.89,-41.67,50.75,50.75,-0.24,-13.6,50.46,50.22,,,,49.4,,,49.15,50.93
2025-01-10 05:00:00,48.67,48.82,47.02,47.21,4817628.0,,,,,1.8,0.33,2.13,2.13,1.72,,49.2,51.53,47.02,0.15,0,-1.14,-48.87,49.76,49.76,-0.82,-39.35,51.08,50.26,,,,48.39,,,47.21,50.93
2025-01-13 05:00:00,47.18,47.275,46.5,46.87,4953421.0,,,,,0.77,0.06,0.71,0.77,1.48,,49.2,50.85,46.5,0.2,0,-1.14,-48.74,48.88,48.88,-1.04,-46.15,50.81,49.77,,,,47.33,,,46.87,49.5
2025-01-14 05:00:00,45.94,46.365,44.33,45.0,6820722.0,,,,,2.04,0.5,2.54,2.54,1.68,,49.2,49.98,44.33,0.21,0,-1.11,-47.86,47.46,47.46,-1.13,-48.44,49.8,48.67,,,,45.97,,,45.0,49.15
2025-01-15 05:00:00,45.38,46.05,44.02,44.2,5657320.0,,,,,2.03,1.05,0.98,2.03,1.64,,49.2,48.79,44.02,0.21,0,-1.33,-53.16,46.69,46.69,-1.21,-50.45,48.91,47.7,,,,44.45,,,44.2,47.21
2025-01-16 05:00:00,44.29,44.68,43.78,43.98,4028214.0,,,,,0.9,0.48,0.42,0.9,1.67,1.41,49.2,47.79,43.78,0.21,0,-0.51,-27.02,44.9,44.9,-0.91,-42.4,47.28,46.36,,,,43.44,,,43.98,46.87
2025-01-17 05:00:00,44.2,44.86,44.17,44.4,4403551.0,,,,,0.69,0.88,0.19,0.88,1.42,1.45,49.2,46.95,43.78,0.21,0,0.1,5.71,44.09,44.09,-0.6,-30.79,46.08,45.49,,,,43.27,,,43.98,45.0
2025-01-21 05:00:00,44.83,45.74,44.83,45.36,6228435.0,,,,,0.91,1.34,0.43,1.34,1.54,1.5,49.2,46.28,43.78,0.21,0,0.69,34.61,43.89,43.89,0.09,5.26,44.4,44.5,,,,43.69,,,43.98,45.36
2025-01-22 05:00:00,45.0,45.18,43.87,44.0,5364102.0,,,,,1.31,0.18,1.49,1.49,1.33,1.54,49.2,45.76,43.78,0.21,0,-0.2,-11.31,44.79,44.79,0.1,5.6,44.19,44.29,,,,43.79,,,43.98,45.36
2025-01-23 05:00:00,44.03,44.08,43.215,43.45,5766288.0,,,,,0.86,0.08,0.78,0.86,1.09,1.53,49.2,45.34,43.22,0.21,0,-0.96,-43.68,45.22,45.22,-0.15,-8.31,44.53,44.38,,,,43.61,,,43.45,45.36
2025-01-24 05:00:00,43.61,43.85,43.18,43.5,4824547.0,,,,,0.67,0.4,0.27,0.67,1.05,1.51,49.2,44.89,43.18,0.21,0,-0.25,-14.04,43.9,43.9,-0.37,-20.35,44.88,44.51,,,,43.68,,,43.45,45.36
2025-01-27 05:00:00,43.09,44.1,43.09,43.45,4793158.0,,,,,1.01,0.6,0.41,1.01,1.07,1.47,49.2,44.53,43.09,0.21,0,0.0,0.0,43.47,43.47,-0.43,-23.36,44.82,44.38,,,,43.55,,,43.45,44.0
2025-01-28 05:00:00,43.48,43.71,43.01,43.23,4279737.0,,,,,0.7,0.26,0.44,0.7,0.95,1.41,49.2,44.23,43.01,0.21,0,-0.14,-7.69,43.53,43.53,-0.15,-8.75,43.83,43.68,,,,43.25,,,43.23,43.5
2025-01-29 05:00:00,43.31,44.15,43.26,43.43,9646681.0,47.59,3.51,54.61,40.57,0.89,0.92,0.03,0.92,0.83,1.34,43.01,44.15,44.15,0.05,1,-0.01,-0.57,43.38,43.38,-0.03,-1.78,43.47,43.44,,,,43.06,,,43.23,43.5
2025-01-30 05:00:00,47.5,48.73,46.53,48.24,13509223.0,47.43,3.38,54.19,40.67,2.2,5.3,3.1,5.3,1.72,1.34,43.07,44.15,48.73,0.1,1,2.51,68.24,42.46,42.46,0.95,43.41,42.48,43.42,,,,45.02,,,43.23,48.24
2025-01-31 05:00:00,47.84,47.9,45.29,45.83,9319152.0,47.19,3.27,53.73,40.65,2.61,0.34,2.95,2.95,2.18,1.4,43.64,44.15,48.73,0.1,1,1.2,50.19,44.63,44.63,0.98,44.33,42.88,43.86,,,,45.9,,,43.23,48.24
2025-02-03 05:00:00,44.48,45.37,44.21,44.93,6387917.0,46.91,3.15,53.21,40.61,1.16,0.46,1.62,1.62,2.3,1.45,44.15,44.15,48.73,0.1,1,-1.66,-58.86,47.99,47.99,0.58,30.11,43.97,44.55,,,,46.03,,,43.43,48.24
2025-02-04 05:00:00,45.18,45.73,44.5,44.53,6377011.0,46.62,3.0,52.62,40.62,1.23,0.8,0.43,1.23,2.4,1.5,44.21,44.15,48.73,0.1,1,-0.65,-33.02,45.75,45.75,-0.11,-6.33,45.61,45.5,,,,45.78,,,44.53,48.24
2025-02-05 05:00:00,44.0,44.17,43.02,43.53,8821359.0,46.28,2.85,51.98,40.58,1.15,0.36,1.51,1.51,2.52,1.57,43.02,48.73,43.02,0.05,0,-0.7,-34.99,45.03,45.03,-1.07,-46.99,47.56,46.48,,,,45.03,,,43.53,45.83
2025-02-06 05:00:00,43.68,43.8,42.05,42.32,12314903.0,45.95,2.81,51.57,40.33,1.75,0.27,1.48,1.75,1.81,1.6,43.02,48.44,42.05,0.1,0,-1.1,-47.86,44.56,44.56,-0.84,-40.1,45.91,45.07,,,,43.76,,,42.32,44.93
2025-02-07 05:00:00,43.0,44.1,42.77,42.98,9401954.0,45.61,2.63,50.87,40.35,1.33,1.78,0.45,1.78,1.58,1.6,43.02,47.8,42.05,0.1,0,-0.28,-15.38,43.22,43.22,-0.61,-31.42,44.88,44.27,,,,42.8,,,42.32,44.53
2025-02-10 05:00:00,42.89,43.1,41.57,41.67,6426095.0,45.28,2.58,50.44,40.12,1.53,0.12,1.41,1.53,1.56,1.62,43.02,47.22,41.57,0.15,0,-0.33,-18.0,42.65,42.65,-0.63,-32.09,44.26,43.63,,,,41.38,,,41.67,43.53
2025-02-11 05:00:00,41.38,41.87,41.15,41.25,5281150.0,44.92,2.47,49.86,39.98,0.72,0.2,0.52,0.72,1.46,1.65,43.02,46.37,41.15,0.2,0,-0.87,-40.86,42.83,42.83,-0.52,-27.52,43.39,42.87,,,,41.12,,,41.25,42.98
2025-02-12 05:00:00,41.43,42.42,41.32,41.89,5984057.0,44.56,2.2,48.96,40.16,1.1,1.17,0.07,1.17,1.39,1.67,43.02,45.33,41.15,0.2,0,0.11,6.28,41.49,41.49,-0.26,-14.52,42.54,42.28,-4.46,,,41.11,,,41.25,42.98
2025-02-13 05:00:00,43.0,43.05,41.94,42.21,5781097.0,44.26,1.99,48.24,40.28,1.11,1.16,0.05,1.16,1.27,1.69,43.02,44.49,41.15,0.2,0,0.48,25.64,41.3,41.3,-0.13,-7.52,42.26,42.13,-4.19,,,41.34,,,41.25,42.21
2025-02-14 05:00:00,42.75,43.55,42.52,43.37,5918062.0,44.03,1.72,47.47,40.59,1.03,1.34,0.31,1.34,1.18,1.71,43.02,43.82,41.15,0.2,0,0.74,36.5,41.75,41.75,0.44,23.56,41.21,41.64,-3.88,,,42.18,,,41.25,43.37
2025-02-18 05:00:00,43.69,44.36,43.36,43.82,5453859.0,43.9,1.59,47.08,40.72,1.0,0.99,0.01,1.0,1.08,1.73,41.15,44.36,44.36,0.05,1,0.8,38.83,42.33,42.33,0.66,33.5,41.18,41.85,-3.22,1.24,,43.05,,,41.89,43.82
2025-02-19 05:00:00,43.56,44.18,43.37,44.04,3973782.0,43.78,1.46,46.7,40.86,0.81,0.36,0.45,0.81,1.1,1.68,41.31,44.36,44.36,0.05,1,0.34,18.52,43.41,43.41,0.59,30.58,41.88,42.48,-2.43,1.76,,43.69,,,42.21,44.04
