Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,79.86,82.32,79.48,81.36,8296509.0
2024-12-23 05:00:00,81.21,81.795,80.86,81.71,2276931.0
2024-12-24 05:00:00,81.71,82.435,81.45,82.25,1075896.0
2024-12-26 05:00:00,81.65,82.86,81.51,82.75,1503485.0
2024-12-27 05:00:00,81.97,83.1319,81.97,82.25,1618007.0
2024-12-30 05:00:00,81.27,82.1,80.86,81.51,1884260.0
2024-12-31 05:00:00,81.76,82.26,81.61,81.88,1795199.0
2025-01-02 05:00:00,82.25,82.82,81.4,81.78,2129593.0
2025-01-03 05:00:00,82.17,82.68,81.46,82.21,2513244.0
2025-01-06 05:00:00,82.57,84.01,81.88,81.99,3323648.0
2025-01-07 05:00:00,82.5,83.19,81.73,82.14,2744996.0
2025-01-08 05:00:00,81.97,83.01,80.855,82.82,4071255.0
2025-01-10 05:00:00,82.28,82.38,80.06,80.25,3814672.0
2025-01-13 05:00:00,80.04,82.05,79.74,81.91,3616488.0
2025-01-14 05:00:00,82.0,83.93,81.89,83.83,3971875.0
2025-01-15 05:00:00,85.14,85.67,84.82,84.93,4415657.0
2025-01-16 05:00:00,84.83,85.97,84.502,85.89,3680478.0
2025-01-17 05:00:00,86.28,87.39,85.87,86.78,5173308.0
2025-01-21 05:00:00,87.07,88.09,86.77,86.88,3107849.0
2025-01-22 05:00:00,86.79,86.79,85.62,85.76,3624912.0
2025-01-23 05:00:00,85.63,87.2043,85.57,86.76,3399773.0
2025-01-24 05:00:00,86.91,87.64,85.86,86.03,3620893.0
2025-01-27 05:00:00,86.24,87.03,85.87,86.96,4121247.0
2025-01-28 05:00:00,86.95,87.935,85.64,85.68,3587901.0
2025-01-29 05:00:00,85.69,87.635,85.4262,86.64,3980053.0
2025-01-30 05:00:00,87.23,87.56,86.575,87.0,2224003.0
2025-01-31 05:00:00,86.6,87.505,86.23,86.51,2992770.0
2025-02-03 05:00:00,84.7,85.76,83.45,85.49,3240691.0
2025-02-04 05:00:00,84.85,85.93,84.58,84.63,3079951.0
2025-02-05 05:00:00,84.65,85.02,83.8,85.0,5320145.0
2025-02-06 05:00:00,83.26,84.46,81.195,83.67,8419170.0
2025-02-07 05:00:00,83.84,84.71,82.895,83.92,4184881.0
2025-02-10 05:00:00,83.76,84.15,82.4,83.08,3656805.0
2025-02-11 05:00:00,82.77,83.595,82.46,83.17,2206847.0
2025-02-12 05:00:00,82.6,83.1,81.75,82.73,2590362.0
2025-02-13 05:00:00,82.82,83.03,81.39,82.34,2884552.0
2025-02-14 05:00:00,82.55,83.52,81.6,81.7,4290185.0
2025-02-18 05:00:00,82.08,82.44,81.28,82.43,4089887.0
2025-02-19 05:00:00,82.03,83.325,82.0,83.07,2818613.0
2025-02-20 05:00:00,82.85,83.0675,81.82,82.74,2774577.0
2025-02-21 05:00:00,82.76,83.05,80.64,81.01,3282809.0
2025-02-24 05:00:00,81.63,82.35,81.15,81.21,3079309.0
2025-02-25 05:00:00,81.79,82.58,81.29,82.2,3255732.0
2025-02-26 05:00:00,82.52,83.48,82.27,82.54,2405095.0
2025-02-27 05:00:00,83.0,85.02,83.0,84.05,3057878.0
2025-02-28 05:00:00,84.79,86.21,84.33,86.18,4839002.0
2025-03-03 05:00:00,86.74,87.39,84.875,85.7,3117141.0
2025-03-04 05:00:00,84.48,84.6916,81.15,81.56,4372638.0
2025-03-05 05:00:00,81.48,83.48,81.415,83.06,3144998.0
2025-03-06 05:00:00,82.03,83.04,81.13,82.22,3043246.0
2025-03-07 05:00:00,81.79,82.63,80.72,82.25,3131939.0
2025-03-10 04:00:00,79.755,80.49,78.12,79.18,4364870.0
2025-03-11 04:00:00,78.68,79.55,77.995,78.45,3802927.0
2025-03-12 04:00:00,79.12,79.8,78.2,79.18,3223718.0
2025-03-13 04:00:00,79.44,79.91,77.645,77.7,4207609.0
2025-03-14 04:00:00,78.42,80.63,77.8601,80.41,2818643.0
2025-03-17 04:00:00,80.15,82.56,79.94,82.16,2744752.0
2025-03-18 04:00:00,82.31,82.94,81.52,81.64,2963461.0
2025-03-19 04:00:00,81.92,83.5,81.5745,83.02,2677569.0
