Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,590.58,603.11,580.0,585.25,48989390.0,,,,,23.11,,,23.11,,,603.11,580.0,580.0,0.05,0,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,589.6,601.09,586.25,599.85,9980750.0,,,,,14.84,15.84,1.0,15.84,,,580.0,601.09,601.09,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,602.715,607.99,599.2849,607.75,4726056.0,,,,,8.71,8.14,0.57,8.71,,,581.05,601.09,607.99,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,605.48,606.3,598.94,603.35,6091239.0,,,,,7.36,1.45,8.81,8.81,,,583.74,601.09,607.99,0.1,1,1.75,60.26,601.9,601.9,,,,,,,,,,,585.25,607.75
2024-12-27 05:00:00,599.41,601.85,589.8,599.81,8082429.0,,,,,12.05,1.5,13.55,13.55,14.0,,586.16,601.09,607.99,0.1,1,-3.97,-75.86,607.61,607.61,,,,,,,,,,,599.81,607.75
2024-12-30 05:00:00,588.75,596.9399,585.58,591.24,7025864.0,,,,,11.36,2.87,14.23,14.23,12.23,,585.58,607.99,585.58,0.05,0,-6.06,-80.62,604.19,604.19,-2.52,-68.32,605.43,602.92,,,,,,,591.24,607.75
2024-12-31 05:00:00,592.265,593.97,583.85,585.51,6019520.0,,,,,10.12,2.73,7.39,10.12,11.08,,585.58,606.87,583.85,0.1,0,-7.15,-82.04,599.34,599.34,-5.66,-79.98,608.85,603.19,,,,,,,585.51,603.35
2025-01-02 05:00:00,589.72,604.91,587.82,599.24,12682269.0,,,,,17.09,19.4,2.31,19.4,13.22,,583.85,604.91,604.91,0.05,1,4.0,75.96,588.0,588.0,-2.25,-66.06,600.33,598.08,,,,,,,585.51,599.81
2025-01-03 05:00:00,604.76,609.5,596.4136,604.63,11436784.0,,,,,13.09,10.26,2.83,13.09,14.08,,584.9,604.91,609.5,0.1,1,9.56,84.03,586.9,586.9,1.76,60.45,592.56,594.32,,,,595.96,,,585.51,604.63
2025-01-06 05:00:00,611.825,630.99,605.62,630.2,14560754.0,,,,,25.37,26.36,0.99,26.36,16.64,,587.36,604.91,630.99,0.15,1,15.48,86.3,595.88,595.88,9.7,84.12,582.76,592.46,,,,609.22,,,585.51,630.2
2025-01-07 05:00:00,631.7,632.1011,608.23,617.89,12071479.0,,,,,23.87,1.9,21.97,23.87,18.57,,593.9,604.91,632.1,0.2,1,6.63,81.42,610.94,610.94,9.57,84.04,588.35,597.92,,,,616.8,,,599.24,630.2
2025-01-08 05:00:00,613.395,616.4397,602.79,610.72,10085846.0,,,,,13.65,1.45,15.1,15.1,19.56,,601.54,604.91,632.1,0.2,1,-9.74,-84.14,629.34,629.34,3.62,74.57,605.29,608.91,,,,619.45,,,604.63,630.2
2025-01-10 05:00:00,610.03,629.91,597.34,615.86,19256564.0,,,,,32.57,19.19,13.38,32.57,22.2,,597.34,632.1,597.34,0.05,0,-1.02,-45.43,615.84,615.84,0.3,16.59,615.26,615.56,,,,622.74,,,610.72,630.2
2025-01-13 05:00:00,607.1,608.97,598.445,608.33,10785031.0,,,,,10.52,6.89,17.41,17.41,23.06,,597.34,630.36,597.34,0.05,0,-1.2,-50.08,612.83,612.83,-4.58,-77.68,625.75,621.18,,,,619.41,,,608.33,617.89
2025-01-14 05:00:00,605.065,605.49,588.55,594.25,13587342.0,,,,,16.94,2.84,19.78,19.78,21.75,,597.34,628.71,588.55,0.1,0,-10.81,-84.71,616.95,616.95,-4.97,-78.62,619.34,614.38,,,,607.36,,,594.25,615.86
2025-01-15 05:00:00,610.21,622.46,606.5,617.12,15515302.0,,,,,15.96,28.21,12.25,28.21,22.61,,597.34,624.69,588.55,0.1,0,4.39,77.18,602.17,602.17,-0.88,-41.38,611.02,610.14,,,,607.55,,,594.25,617.12
