Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,130.78,131.655,129.36,130.66,600995.0,,,,,2.29,,,2.29,,,131.655,129.36,129.36,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,129.89,130.77,128.97,130.62,522861.0,,,,,1.8,0.11,1.69,1.8,,,129.36,130.77,130.77,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,130.87,132.15,128.68,130.83,658432.0,,,,,3.47,1.53,1.94,3.47,,,128.68,130.77,128.68,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,127.01,127.72,122.13,125.3,1777452.0,,,,,5.59,3.11,8.7,8.7,,,128.68,132.15,122.13,0.1,0,-2.66,-69.4,131.58,131.58,,,,,,,,,,,125.3,130.83,
2025-01-27,126.46,129.93,125.58,127.97,895761.0,,,,,4.35,4.63,0.28,4.63,4.18,,128.68,131.15,122.13,0.1,0,-1.43,-55.03,129.46,129.46,,,,,,,,,,,125.3,130.83,
2025-01-28,127.67,127.67,123.845,124.39,851513.0,,,,,3.83,0.3,4.12,4.12,4.54,,128.68,130.25,122.13,0.1,0,-0.45,-24.47,126.34,126.34,-1.53,-56.87,130.89,129.35,,,,,,,124.39,130.83,
2025-01-29,124.92,127.32,124.75,125.94,923810.0,,,,,2.57,2.93,0.36,2.93,4.77,,128.68,129.44,122.13,0.1,0,-1.01,-45.43,127.12,127.12,-1.07,-46.91,129.02,127.96,,,,,,,124.39,127.97,
2025-01-30,127.07,128.055,124.805,126.49,496976.0,,,,,3.25,2.12,1.13,3.25,4.73,,128.68,128.71,122.13,0.1,0,1.05,46.4,124.56,124.56,0.03,2.0,125.95,125.98,,,,,,,124.39,127.97,
2025-01-31,125.26,126.38,119.15,122.3,918433.0,,,,,7.23,0.11,7.34,7.34,4.45,,128.68,128.06,119.15,0.15,0,-1.82,-61.21,126.73,126.73,-0.92,-42.74,127.27,126.34,,,,123.33,,,122.3,126.49,
2025-02-03,119.64,121.44,117.2,119.04,1074333.0,,,,,4.24,0.86,5.1,5.1,4.55,,128.68,126.72,117.2,0.2,0,-3.73,-74.97,126.33,126.33,-1.43,-55.11,126.5,125.07,,,,121.1,,,119.04,126.49,
2025-02-04,118.61,120.44,117.9825,120.12,767332.0,,,,,2.46,1.4,1.06,2.46,4.22,,128.68,124.82,117.2,0.2,0,-1.09,-47.47,121.58,121.58,-1.91,-62.35,126.6,124.69,,,,120.33,,,119.04,126.49,
2025-02-05,121.37,121.37,119.415,120.84,697951.0,,,,,1.95,1.25,0.7,1.95,4.02,,128.68,123.3,117.2,0.2,0,0.9,41.99,119.1,119.1,-1.35,-53.43,124.45,123.11,,,,119.38,,,119.04,122.3,
2025-02-06,121.06,122.13,119.9,121.97,1128039.0,,,,,2.23,1.29,0.94,2.23,3.82,,117.2,122.13,122.13,0.05,1,0.93,42.77,120.05,120.05,0.11,6.5,120.63,120.74,,,,119.94,,,119.04,121.97,
2025-02-07,125.0,128.68,118.95,120.33,1736716.0,,,,,9.73,6.71,3.02,9.73,4.29,,117.45,122.13,128.68,0.1,1,-0.25,-14.31,121.3,121.3,0.44,23.89,119.57,120.02,,,,119.41,,,120.12,121.97,
2025-02-10,120.33,121.02,117.255,117.47,1353838.0,,,,,3.77,0.69,3.08,3.77,4.03,,117.26,128.68,117.26,0.05,0,-2.25,-66.04,122.17,122.17,-0.58,-30.16,121.31,120.73,,,,118.42,,,117.47,121.97,
2025-02-11,116.95,119.683,116.61,119.3,872220.0,,,,,3.07,2.21,0.86,3.07,4.15,,117.26,128.11,116.61,0.1,0,-0.52,-27.25,119.55,119.55,-0.76,-37.16,121.5,120.74,,,,119.04,,,117.47,121.97,
2025-02-12,116.54,117.54,114.85,116.75,863738.0,,,,,2.69,1.76,4.45,4.45,4.65,4.34,117.26,126.96,114.85,0.15,0,-0.36,-19.8,118.2,118.2,-1.15,-48.92,121.46,120.31,,,,118.15,,,116.75,120.33,
