Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,52.02,52.18,51.14,51.47,8195412.0,,,,,1.04,,,1.04,,,52.18,51.14,51.14,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,51.33,51.54,50.61,50.81,7840265.0,,,,,0.93,0.07,0.86,0.93,,,51.14,51.54,51.54,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,50.81,51.39,50.77,51.21,6539822.0,,,,,0.62,0.58,0.04,0.62,,,50.61,51.54,51.54,0.05,1,,,,,,,,,,,,,,,,,
2025-01-24,51.25,52.17,51.2,52.05,8030424.0,,,,,0.97,0.96,0.01,0.97,,,50.66,51.54,52.17,0.1,1,0.62,31.8,50.74,50.74,,,,,,,,,,,50.81,52.05,
2025-01-27,52.42,53.8097,52.42,53.45,9771163.0,,,,,1.39,1.76,0.37,1.76,1.06,,50.81,51.54,53.81,0.15,1,1.12,48.24,51.12,51.12,,,,,,,,,,,50.81,53.45,
2025-01-28,53.39,53.57,52.165,52.6,10642010.0,,,,,1.41,0.12,1.29,1.41,1.14,,51.26,51.54,53.81,0.15,1,0.27,15.38,52.42,52.42,0.58,30.2,50.86,51.44,,,,,,,51.21,53.45,
2025-01-29,52.8,53.11,52.54,52.66,8537628.0,,,,,0.57,0.51,0.06,0.57,1.07,,51.64,51.54,53.81,0.15,1,-0.4,-21.55,53.3,53.3,0.34,19.03,51.7,52.05,,,,,,,52.05,53.45,
2025-01-30,51.02,51.65,50.08,51.54,16528181.0,,,,,1.57,1.01,2.58,2.58,1.46,,50.08,53.81,50.08,0.05,0,-0.53,-27.92,52.8,52.8,-0.18,-10.26,52.82,52.64,,,,,,,51.54,53.45,
2025-01-31,51.3,52.46,51.3,52.23,9555360.0,,,,,1.16,0.92,0.24,1.16,1.5,,50.08,53.62,50.08,0.05,0,-0.21,-12.13,52.36,52.36,-0.35,-19.29,53.2,52.85,,,,52.59,,,51.54,52.66,
2025-02-03,52.0,52.94,51.85,52.85,8428458.0,,,,,1.09,0.71,0.38,1.09,1.36,,50.08,53.44,50.08,0.05,0,0.66,33.22,51.55,51.55,0.01,0.4,52.36,52.37,,,,52.6,,,51.54,52.85,
2025-02-04,52.91,53.0,52.01,52.62,6868333.0,,,,,0.99,0.15,0.84,0.99,1.28,,50.08,53.27,50.08,0.05,0,0.19,11.03,52.37,52.37,0.12,7.01,52.13,52.26,,,,52.45,,,51.54,52.85,
2025-02-05,52.91,52.92,52.41,52.58,5166509.0,,,,,0.51,0.3,0.21,0.51,1.27,,50.08,53.11,50.08,0.05,0,-0.14,-7.69,52.82,52.82,0.25,13.87,51.87,52.12,,,,52.37,,,52.23,52.85,
2025-02-06,53.38,53.5,52.37,52.64,6968107.0,,,,,1.13,0.92,0.21,1.13,0.98,,50.08,53.5,53.5,0.05,1,0.01,0.57,52.6,52.6,0.05,3.15,52.47,52.53,,,,52.62,,,52.58,52.85,
