Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,39.2,40.83,39.1201,39.39,35482939.0,,,,,1.71,,,1.71,,,39.1201,40.83,40.83,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,39.19,40.3399,38.52,39.59,5112315.0,,,,,1.82,0.95,0.87,1.82,,,38.52,40.83,38.52,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,39.59,40.355,38.75,40.27,2521898.0,,,,,1.6,0.76,0.84,1.6,,,38.52,40.71,38.52,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,39.56,40.55,39.24,40.43,4235706.0,,,,,1.31,0.28,1.03,1.31,,,38.52,40.6,38.52,0.05,0,0.42,22.78,39.68,39.68,,,,,,,,,,,39.39,40.43
2024-12-27 05:00:00,40.355,41.49,39.7944,40.13,4825093.0,,,,,1.7,1.06,0.64,1.7,1.63,,38.52,41.49,41.49,0.05,1,-0.07,-4.0,40.35,40.35,,,,,,,,,,,39.59,40.43
2024-12-30 05:00:00,39.735,40.5,38.88,39.38,5514995.0,,,,,1.62,0.37,1.25,1.62,1.61,,38.67,41.49,41.49,0.05,1,-0.52,-27.7,40.5,40.5,-0.06,-3.21,40.07,40.02,,,,,,,39.38,40.43
2024-12-31 05:00:00,39.71,41.79,39.39,41.58,7573726.0,,,,,2.4,2.41,0.01,2.41,1.73,,38.81,41.49,41.79,0.1,1,0.72,35.94,39.64,39.64,0.16,8.92,40.04,40.2,,,,,,,39.38,41.58
2025-01-02 05:00:00,42.2,43.3,41.41,42.0,5313474.0,,,,,1.89,1.72,0.17,1.89,1.79,,39.11,41.49,43.3,0.15,1,1.31,52.64,39.68,39.68,0.46,24.66,39.79,40.25,,,,,,,39.38,42.0
2025-01-03 05:00:00,42.25,42.62,41.08,42.18,5555554.0,,,,,1.54,0.62,0.92,1.54,1.83,,39.74,41.49,43.3,0.15,1,0.3,16.7,41.62,41.62,0.67,33.9,39.71,40.38,,,,41.92,,,39.38,42.18
2025-01-06 05:00:00,44.0,44.52,41.63,42.57,8577629.0,,,,,2.89,2.34,0.55,2.89,2.07,,40.27,41.49,44.52,0.2,1,0.29,15.91,41.96,41.96,0.7,34.92,40.15,40.84,,,,42.43,,,41.58,42.57
2025-01-07 05:00:00,43.9,48.92,42.86,47.53,22592323.0,,,,,6.06,6.35,0.29,6.35,3.02,,41.12,41.49,48.92,0.21,1,2.67,69.5,41.42,41.42,1.25,51.27,40.68,41.92,,,,44.92,,,42.0,47.53
2025-01-08 05:00:00,47.6,47.7,43.01,43.17,13347550.0,,,,,4.69,0.17,4.52,4.69,3.47,,42.76,41.49,48.92,0.21,1,0.3,16.7,44.12,44.12,0.77,37.56,41.95,42.72,,,,45.03,,,42.18,47.53
2025-01-10 05:00:00,42.765,43.6999,41.785,42.25,6411851.0,,,,,1.91,0.53,1.39,1.91,3.48,,41.78,48.92,41.78,0.05,0,-2.64,-69.25,46.96,46.96,0.07,4.23,43.39,43.47,,,,44.46,,,42.25,47.53
2025-01-13 05:00:00,33.3,35.38,31.94,35.15,33487974.0,,,,,3.44,6.87,10.31,10.31,5.23,,41.78,48.56,31.94,0.1,0,-4.01,-76.0,44.2,44.2,-2.01,-63.57,46.16,44.15,,,,40.56,,,35.15,47.53
2025-01-14 05:00:00,35.15,35.68,33.1801,34.46,14407897.0,,,,,2.5,0.53,1.97,2.5,5.15,,41.78,46.9,31.94,0.1,0,-3.89,-75.6,41.18,41.18,-3.42,-73.68,47.34,43.93,,,,37.28,,,34.46,43.17
2025-01-15 05:00:00,35.18,35.54,34.46,34.77,7459657.0,,,,,1.08,1.08,0.0,1.08,4.1,,41.78,45.4,31.94,0.1,0,-0.19,-10.76,34.98,34.98,-2.46,-67.87,42.88,40.42,,,,34.82,,,34.46,42.25
2025-01-16 05:00:00,34.75,34.95,33.34,33.76,7340888.0,,,,,1.61,0.18,1.43,1.61,3.48,2.97,41.78,44.05,31.94,0.1,0,-0.35,-19.29,34.68,34.68,-1.74,-60.06,39.55,37.81,,,,32.6,,,33.76,35.15
2025-01-17 05:00:00,33.84,34.79,33.6,34.06,8130483.0,,,,,1.19,1.03,0.16,1.19,3.34,3.1,41.78,42.84,31.94,0.1,0,-0.36,-19.54,34.55,34.55,-0.29,-16.07,35.02,34.73,,,,31.29,,,33.76,34.77
2025-01-21 05:00:00,35.76,37.9,35.3,35.89,12834893.0,,,,,2.6,3.84,1.24,3.84,2.04,3.13,41.78,41.75,31.94,0.1,0,1.06,46.8,33.5,33.5,0.21,12.13,34.16,34.37,,,,32.7,,,33.76,35.89
2025-01-22 05:00:00,36.35,41.09,36.0,38.5,16694546.0,,,,,5.09,5.2,0.11,5.2,2.58,3.2,31.94,41.09,41.09,0.05,1,2.22,65.75,33.93,33.93,0.96,43.8,33.48,34.44,,,,35.07,,,33.76,38.5
2025-01-23 05:00:00,38.4,42.54,36.99,42.39,13684242.0,,,,,5.55,4.04,1.51,5.55,3.48,3.33,32.4,41.09,42.54,0.1,1,3.25,72.9,35.68,35.68,2.17,65.26,32.58,34.75,,,,39.23,,,34.06,42.39
2025-01-24 05:00:00,43.18,45.4,40.785,41.41,17245601.0,,,,,4.62,3.01,1.61,4.62,4.08,3.5,33.41,41.09,45.4,0.15,1,1.45,55.5,39.31,39.31,2.12,64.75,34.21,36.33,,,,41.19,,,35.89,42.39
2025-01-27 05:00:00,40.87,44.08,40.71,41.65,12162856.0,,,,,3.37,2.67,0.7,3.37,4.52,3.69,35.21,41.09,45.4,0.15,1,-0.37,-20.3,42.19,42.19,1.44,55.28,37.08,38.53,,,,42.55,,,38.5,42.39
2025-01-28 05:00:00,41.99,45.15,40.75,44.94,13285793.0,,,,,4.4,3.5,0.9,4.4,4.63,3.81,36.74,41.09,45.4,0.15,1,1.76,60.47,40.9,40.9,1.21,50.52,39.35,40.56,,,,44.77,,,41.41,44.94
2025-01-29 05:00:00,43.28,44.74,40.675,40.72,14598077.0,39.93,3.54,47.01,32.85,4.07,0.2,4.27,4.27,4.44,3.89,38.04,41.09,45.4,0.15,1,-0.47,-24.94,42.9,42.9,0.02,1.09,42.18,42.2,,,,44.13,,,40.72,44.94
2025-01-30 05:00:00,41.4,42.54,39.88,41.04,12259591.0,39.99,3.55,47.09,32.89,2.66,1.82,0.84,2.66,3.86,3.92,39.14,41.09,45.4,0.15,1,-1.95,-62.85,44.18,44.18,-0.17,-9.48,42.29,42.12,,,,43.11,,,40.72,44.94
2025-01-31 05:00:00,41.185,41.46,39.31,39.42,6538798.0,39.99,3.55,47.09,32.89,2.15,0.42,1.73,2.15,3.37,3.77,39.31,45.4,39.31,0.05,0,-0.65,-33.02,41.04,41.04,-0.84,-39.9,43.23,42.39,,,,41.3,,,39.42,44.94
2025-02-03 05:00:00,38.21,38.65,35.93,36.55,13511794.0,39.84,3.61,47.06,32.62,2.72,0.77,3.49,3.49,3.39,3.64,39.31,45.1,35.93,0.1,0,-2.24,-65.99,41.25,41.25,-1.81,-61.05,44.15,42.34,,,,38.64,,,36.55,41.04
2025-02-04 05:00:00,36.65,37.92,33.84,34.17,22904917.0,39.59,3.78,47.15,32.03,4.08,1.37,2.71,4.08,3.33,3.58,39.31,44.18,33.84,0.15,0,-2.62,-69.15,39.34,39.34,-1.76,-60.38,41.9,40.14,,,,36.14,,,34.17,41.04
2025-02-05 05:00:00,34.32,35.57,33.9036,34.98,9386550.0,39.38,3.89,47.16,31.6,1.67,1.4,0.27,1.67,2.81,3.53,39.31,42.63,33.84,0.15,0,-0.78,-38.13,36.02,36.02,-1.74,-60.07,40.71,38.97,,,,34.41,,,34.17,39.42
2025-02-06 05:00:00,35.2,35.24,33.61,33.61,8978842.0,39.15,4.06,47.27,31.03,1.63,0.26,1.37,1.63,2.6,3.47,39.31,41.31,33.61,0.2,0,-0.28,-15.64,34.53,34.53,-1.32,-52.83,38.38,37.06,,,,32.7,,,33.61,36.55
2025-02-07 05:00:00,33.51,33.77,32.46,32.6,9646794.0,38.79,4.23,47.25,30.33,1.31,0.16,1.15,1.31,2.44,3.5,39.31,39.77,32.46,0.21,0,-1.19,-49.96,34.92,34.92,-0.85,-40.23,36.07,35.23,,,,32.07,,,32.6,34.98
2025-02-10 05:00:00,33.0,33.3937,31.66,31.87,10918267.0,38.39,4.39,47.17,29.61,1.73,0.79,0.94,1.73,2.08,3.46,39.31,38.23,31.66,0.21,0,-0.87,-41.02,33.56,33.56,-0.7,-34.92,34.84,34.14,,,,31.1,,,31.87,34.98
2025-02-11 05:00:00,31.52,32.42,30.7,30.93,10088645.0,37.94,4.56,47.06,28.82,1.72,0.55,1.17,1.72,1.61,3.32,39.31,36.85,30.7,0.21,0,-0.84,-39.86,32.63,32.63,-0.98,-44.54,34.77,33.78,,,,30.56,,,30.93,33.61
2025-02-12 05:00:00,30.97,31.08,30.24,30.535,8356581.0,37.45,4.68,46.81,28.09,0.84,0.15,0.69,0.84,1.45,3.12,39.31,35.56,30.24,0.21,0,-0.67,-33.72,31.78,31.78,-0.78,-38.03,33.47,32.69,-6.49,,,30.3,,,30.54,32.6
2025-02-13 05:00:00,31.0,31.96,30.27,31.92,14719624.0,36.83,4.31,45.45,28.21,1.69,1.43,0.27,1.69,1.46,2.88,39.31,34.44,30.24,0.21,0,0.49,26.34,30.63,30.63,-0.27,-15.08,32.11,31.84,-6.61,,,30.63,,,30.54,31.92
2025-02-14 05:00:00,30.53,33.91,29.25,32.99,25327284.0,36.42,4.16,44.74,28.1,4.66,1.99,2.67,4.66,2.13,2.69,30.24,33.91,33.91,0.05,1,1.23,50.83,30.59,30.59,0.32,17.9,31.0,31.33,-6.35,,,31.2,,,30.54,32.99
2025-02-18 05:00:00,33.05,36.98,32.0423,35.75,18965147.0,36.16,3.98,44.12,28.2,4.94,3.99,0.95,4.94,2.77,2.56,29.25,33.91,36.98,0.1,1,1.91,62.43,31.64,31.64,1.21,50.42,30.01,31.22,-5.44,1.05,,33.22,,,30.54,35.75
2025-02-19 05:00:00,35.11,36.75,35.05,35.9,10040833.0,36.19,3.98,44.15,28.23,1.7,1.0,0.7,1.7,2.77,2.48,30.02,33.91,36.98,0.1,1,1.45,55.5,33.43,33.43,1.46,55.52,30.51,31.96,-4.32,2.29,,34.9,,,31.92,35.9
2025-02-20 05:00:00,36.23,36.3,32.78,33.73,11421577.0,36.16,3.99,44.14,28.18,3.52,0.4,3.12,3.52,3.3,2.47,30.72,33.91,36.98,0.1,1,-1.01,-45.29,36.14,36.14,0.65,33.14,32.75,33.4,-3.49,2.86,,35.23,,,32.99,35.9
2025-02-21 05:00:00,33.89,35.97,33.18,35.53,21448983.0,36.19,3.99,44.17,28.21,2.79,2.24,0.55,2.79,3.52,2.48,31.35,33.91,36.98,0.1,1,-0.18,-10.48,35.24,35.24,0.31,17.01,34.17,34.47,-2.66,2.78,,36.03,,,33.73,35.9
2025-02-24 05:00:00,33.88,34.56,33.28,33.9,8887471.0,36.2,3.98,44.16,28.24,1.28,0.97,2.25,2.25,3.04,2.46,31.91,33.91,36.98,0.1,1,0.08,4.86,34.3,34.3,-0.41,-22.15,35.78,35.37,-2.26,2.06,,35.61,,,33.73,35.9
2025-02-25 05:00:00,33.98,35.48,32.9326,33.28,11400200.0,36.17,4.0,44.17,28.17,2.55,1.58,0.97,2.55,2.56,2.44,32.42,33.91,36.98,0.1,1,-1.13,-48.37,35.36,35.36,-0.51,-26.89,35.48,34.97,-2.51,0.98,,34.59,,,33.28,35.53
2025-02-26 05:00:00,33.26,34.17,32.71,33.58,6699564.0,36.08,4.04,44.16,28.0,1.46,0.89,0.57,1.46,2.51,2.43,32.71,36.98,32.71,0.05,0,-0.16,-9.09,33.75,33.75,-0.26,-14.31,34.51,34.26,-2.72,-0.06,,33.82,,,33.28,35.53
