Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,105.425,110.24,105.23,109.38,23513649.0,,,,,5.01,,,5.01,,,105.23,110.24,110.24,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,109.165,110.67,107.76,109.23,20004316.0,,,,,2.91,1.29,1.62,2.91,,,105.48,110.24,110.67,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,104.79,106.18,103.3501,104.84,22677612.0,,,,,2.83,3.05,5.88,5.88,,,103.35,110.67,103.35,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,105.5,105.72,102.72,103.19,19735041.0,,,,,3.0,0.88,2.12,3.0,,,103.35,110.3,102.72,0.1,0,-3.02,-71.68,108.77,108.77,,,,,,,,,,,103.19,109.38,
2025-01-27,94.86,96.1,88.36,91.11,50696163.0,,,,,7.74,7.09,14.83,14.83,6.33,,103.35,109.54,88.36,0.15,0,-6.87,-81.71,106.58,106.58,,,,,,,,,,,91.11,109.23,
2025-01-28,92.605,93.45,88.04,88.25,34793604.0,,,,,5.41,2.34,3.07,5.41,6.41,,103.35,106.36,88.04,0.2,0,-7.47,-82.38,101.65,101.65,-5.57,-79.82,110.46,104.89,,,,,,,88.25,104.84,
2025-01-29,89.88,90.45,87.76,89.01,25342802.0,,,,,2.69,2.2,0.49,2.69,6.36,,103.35,102.7,87.76,0.21,0,-1.05,-46.4,90.51,90.51,-4.66,-77.89,104.6,99.94,,,,,,,88.25,103.19,
2025-01-30,90.66,93.16,90.3,92.5,22497086.0,,,,,2.86,4.15,1.29,4.15,6.02,,103.35,99.56,87.76,0.21,0,2.13,64.8,87.79,87.79,-2.35,-66.93,97.51,95.16,,,,,,,88.25,92.5,
2025-01-31,91.65,94.27,91.14,91.24,20540227.0,,,,,3.13,1.77,1.36,3.13,6.04,,103.35,97.08,87.76,0.21,0,1.11,48.11,89.8,89.8,0.45,24.28,89.52,89.97,,,,86.46,,,88.25,92.5,
2025-02-03,88.65,91.4,88.0193,89.92,18607873.0,,,,,3.38,0.16,3.22,3.38,3.75,,103.35,95.12,87.76,0.21,0,-1.29,-52.22,92.51,92.51,0.56,29.12,89.07,89.63,,,,87.12,,,89.01,92.5,
2025-02-04,89.05,91.45,88.8001,90.66,12827497.0,,,,,2.65,1.53,1.12,2.65,3.2,,103.35,93.57,87.76,0.21,0,-0.29,-16.17,90.9,90.9,0.07,4.12,90.52,90.59,,,,88.6,,,89.92,92.5,
2025-02-05,90.385,93.65,90.22,93.6,15684526.0,,,,,3.43,2.99,0.44,3.43,3.35,,87.76,93.65,93.65,0.05,1,1.84,61.48,89.55,89.55,0.16,9.2,91.26,91.42,,,,92.08,,,89.92,93.6,
2025-02-06,94.88,96.6088,93.58,94.54,16141135.0,,,,,3.03,3.01,0.02,3.03,3.12,,88.05,93.65,96.61,0.1,1,1.94,62.73,90.99,90.99,1.03,45.79,89.94,90.96,,,,93.72,,,89.92,94.54,
2025-02-07,95.59,95.93,91.59,92.3,15602828.0,,,,,4.34,1.39,2.95,4.34,3.37,,88.91,93.65,96.61,0.1,1,-0.65,-33.02,94.13,94.13,0.86,40.83,90.48,91.34,,,,93.43,,,90.66,94.54,
2025-02-10,93.185,96.26,93.17,95.93,16217948.0,,,,,3.09,3.96,0.87,3.96,3.48,,89.68,93.65,96.61,0.1,1,0.69,34.8,93.56,93.56,0.92,42.74,91.56,92.48,,,,94.51,,,92.3,95.93,
2025-02-11,94.245,95.84,93.56,94.08,12124047.0,,,,,2.28,0.09,2.37,2.37,3.43,,90.37,93.65,96.61,0.1,1,0.89,41.67,93.21,93.21,0.23,13.22,93.62,93.86,,,,95.11,,,92.3,95.93,
2025-02-12,89.6,92.64,87.35,91.68,22874727.0,,,,,5.29,1.44,6.73,6.73,4.09,4.53,87.35,96.61,87.35,0.05,0,-2.13,-64.8,96.02,96.02,-0.39,-21.5,94.49,94.1,,,,94.26,,,91.68,95.93,
2025-02-13,92.06,96.065,92.02,95.66,16579876.0,,,,,4.05,4.38,0.34,4.38,4.36,4.38,87.35,96.15,87.35,0.05,0,0.79,38.31,93.02,93.02,0.25,13.87,93.44,93.68,,,,94.71,,,91.68,95.93,
2025-02-14,98.41,100.6983,98.0,99.52,21284541.0,,,,,2.7,5.04,2.34,5.04,4.5,4.24,87.35,100.7,100.7,0.05,1,3.92,75.69,91.7,91.7,0.88,41.22,93.62,94.5,,,,96.47,,,91.68,99.52,
2025-02-18,102.635,107.88,102.045,106.79,29641935.0,,,,,5.83,8.36,2.53,8.36,5.38,4.16,88.02,100.7,107.88,0.1,1,5.57,79.81,95.09,95.09,3.33,73.27,90.89,94.22,,,,101.26,,,91.68,106.79,
2025-02-19,105.755,107.19,103.62,104.36,17875863.0,,,,,3.57,0.4,3.17,3.57,5.62,4.13,90.01,100.7,107.88,0.1,1,2.42,67.55,101.14,101.14,3.65,74.67,92.3,95.95,,,,104.17,,,95.66,106.79,
2025-02-20,103.98,104.85,102.34,103.18,14487950.0,,,,,2.51,0.49,2.02,2.51,4.77,4.03,91.8,100.7,107.88,0.1,1,-1.81,-61.01,106.58,106.58,1.99,63.3,97.93,99.91,,,,105.21,,,99.52,106.79,
2025-02-21,103.64,103.66,97.75,98.84,18650786.0,,,,,5.91,0.48,5.43,5.91,5.08,4.13,93.41,100.7,107.88,0.1,1,-2.76,-70.08,104.89,104.89,-0.5,-26.43,103.53,103.04,,,,104.44,,,98.84,106.79,
2025-02-24,100.215,100.7,95.28,95.41,14883722.0,,,,,5.42,1.86,3.56,5.42,5.15,4.28,94.86,100.7,107.88,0.1,1,-3.89,-75.57,103.03,103.03,-2.83,-70.53,107.37,104.54,,,,101.54,,,95.41,104.36,
2025-02-25,95.5,95.93,92.755,93.22,18608206.0,96.74,6.5,109.74,83.74,3.18,0.52,2.66,3.18,4.12,4.34,92.76,107.88,92.76,0.05,0,-2.81,-70.41,98.63,98.63,-3.01,-71.59,105.01,102.01,,,,97.01,,,93.22,103.18,
2025-02-26,96.0,99.72,95.5,97.71,21335231.0,96.27,5.95,108.17,84.37,4.22,6.5,2.28,6.5,4.7,4.47,92.76,107.12,92.76,0.05,0,1.15,48.99,94.3,94.3,-1.66,-58.87,100.98,99.33,,,,95.22,,,93.22,98.84,
2025-02-27,97.84,99.885,91.49,91.82,22386276.0,95.57,5.36,106.29,84.85,8.4,2.18,6.22,8.4,5.88,4.66,92.76,106.4,91.49,0.1,0,-0.7,-34.99,94.95,94.95,-1.17,-49.58,97.75,96.57,,,,91.78,,,91.82,97.71,
2025-02-28,91.0,94.46,89.87,93.63,23359055.0,95.13,5.01,105.15,85.11,4.59,2.64,1.95,4.59,5.62,4.82,92.76,104.91,89.87,0.15,0,-2.04,-63.89,96.43,96.43,-0.5,-26.38,95.35,94.85,,,,91.54,,,91.82,97.71,
2025-03-03,95.805,96.2,89.39,90.54,20281784.0,94.62,4.8,104.22,85.02,6.81,2.57,4.24,6.81,5.9,5.01,92.76,102.65,89.39,0.2,0,-0.64,-32.62,92.64,92.64,-0.94,-43.35,95.27,94.33,,,,90.51,,,90.54,97.71,
2025-03-04,90.2,93.59,86.8,91.2,23611503.0,94.62,4.79,104.2,85.04,6.79,3.05,3.74,6.79,6.62,5.21,92.76,100.0,86.8,0.21,0,-1.21,-50.54,93.0,93.0,-1.43,-55.03,95.84,94.41,,,,90.61,,,90.54,93.63,
2025-03-05,92.15,95.05,90.4301,94.34,14010312.0,94.87,4.61,104.09,85.65,4.62,3.85,0.77,4.62,6.24,5.35,92.76,97.23,86.8,0.21,0,1.9,62.24,90.13,90.13,0.26,14.63,91.78,92.04,,,,91.93,,,90.54,94.34,
2025-03-06,90.926,93.2896,89.0301,89.27,18708085.0,94.88,4.59,104.06,85.7,4.26,1.05,5.31,5.31,5.62,5.44,92.76,95.05,86.8,0.21,0,-0.97,-43.98,92.57,92.57,-0.49,-26.2,92.78,92.29,,,,90.66,,,89.27,94.34,
2025-03-07,90.29,93.34,89.49,92.96,19133938.0,94.9,4.58,104.06,85.74,3.85,4.07,0.22,4.07,5.52,5.45,86.8,93.34,93.34,0.05,1,-0.69,-34.61,92.88,92.88,0.29,16.22,91.08,91.37,,,,90.88,,,89.27,94.34,
2025-03-10,89.59,91.37,85.76,87.08,21897870.0,94.73,4.79,104.31,85.15,5.61,1.59,7.2,7.2,5.6,5.45,85.76,93.34,85.76,0.05,0,-1.09,-47.6,90.86,90.86,-0.96,-43.89,92.89,91.93,,,,89.8,,,87.08,94.34,
2025-03-11,87.9,91.1,86.0703,89.05,21962141.0,94.69,4.83,104.35,85.03,5.03,4.02,1.01,5.03,5.25,5.48,85.76,92.96,85.76,0.05,0,-1.95,-62.91,91.65,91.65,-1.28,-51.94,93.09,91.82,-4.78,,,88.96,,,87.08,92.96,
2025-03-12,92.47,96.99,92.24,95.64,23584745.0,94.89,4.76,104.41,85.37,4.75,7.94,3.19,7.94,5.91,5.55,85.76,96.99,96.99,0.05,1,4.28,76.85,86.31,86.31,0.88,41.44,89.03,89.92,-4.12,,,91.55,,,87.08,95.64,
2025-03-13,94.25,98.12,94.0,94.88,18824701.0,94.95,4.75,104.45,85.45,4.12,2.48,1.64,4.12,5.67,5.59,86.32,96.99,98.12,0.1,1,2.91,71.07,90.28,90.28,1.24,51.12,89.44,90.68,-2.59,,,92.87,,,87.08,95.64,
2025-03-14,98.75,102.78,98.75,100.79,24623572.0,95.2,4.89,104.98,85.42,4.03,7.9,3.87,7.9,6.44,5.77,87.5,96.99,102.78,0.15,1,2.57,68.78,94.53,94.53,3.32,73.26,86.84,90.16,-0.91,3.87,,96.47,,,89.05,100.79,
2025-03-17,101.06,104.45,100.96,103.11,17095050.0,95.63,5.1,105.83,85.43,3.49,3.66,0.17,3.66,5.73,5.85,89.79,96.99,104.45,0.2,1,4.12,76.34,95.48,95.48,3.33,73.27,90.04,93.37,2.3,6.42,,101.01,,,94.88,103.11,
2025-03-18,101.9,103.31,100.29,101.72,18434126.0,95.86,5.24,106.34,85.38,3.02,0.2,2.82,3.02,5.33,5.8,92.72,96.99,104.45,0.2,1,0.46,24.94,101.41,101.41,2.04,63.87,95.15,97.19,4.53,7.12,,102.98,,,94.88,103.11,
2025-03-19,100.82,103.6,100.49,102.06,16625517.0,96.18,5.37,106.92,85.44,3.11,1.88,1.23,3.11,4.36,5.71,95.07,96.99,104.45,0.2,1,-0.52,-27.7,102.82,102.82,1.53,56.81,97.45,98.98,5.42,6.33,,104.98,,,100.79,103.11,
2025-03-20,101.58,104.69,101.35,103.0,29204411.0,96.63,5.45,107.53,85.73,3.34,2.63,0.71,3.34,4.21,5.58,96.95,96.99,104.69,0.21,1,0.64,32.62,101.62,101.62,0.34,18.62,101.46,101.8,6.64,4.34,,105.14,,,101.72,103.11,
2025-03-21,98.2,98.5,93.7,94.72,63239562.0,96.59,5.46,107.51,85.67,4.8,4.5,9.3,9.3,4.49,5.41,93.7,104.69,93.7,0.05,0,-3.67,-74.76,103.6,103.6,-1.55,-57.17,104.02,102.47,5.37,0.84,,101.01,,,94.72,103.0,
2025-03-24,96.1,98.4188,95.33,96.94,35375147.0,96.49,5.43,107.35,85.63,3.09,3.7,0.61,3.7,4.49,5.28,93.7,104.14,93.7,0.05,0,-3.03,-71.74,101.25,101.25,-1.69,-59.39,103.07,101.38,3.97,-1.45,,98.99,,,94.72,103.0,
2025-03-25,96.18,96.38,93.25,94.18,22168110.0,95.99,5.0,105.99,85.99,3.13,0.56,3.69,3.69,4.63,5.2,93.7,103.62,93.25,0.1,0,-0.27,-15.11,95.55,95.55,-2.18,-65.38,102.54,100.36,2.34,-4.3,,95.52,,,94.18,103.0,
2025-03-26,96.0,96.64,90.97,92.13,27214220.0,95.5,4.74,104.98,86.02,5.67,2.46,3.21,5.67,5.14,5.17,93.7,102.58,90.97,0.15,0,-2.4,-67.42,96.82,96.82,-2.23,-65.83,100.65,98.42,0.31,-5.06,-5.07,92.72,,,92.13,96.94,
