Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,107.13,112.785,107.13,111.55,5339601.0,,,,,5.66,,,5.66,,,107.13,112.785,112.785,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,115.01,115.38,109.5301,110.35,3596953.0,,,,,5.85,3.83,2.02,5.85,,,107.41,112.785,115.38,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,110.63,113.17,109.56,110.54,3558964.0,,,,,3.61,2.82,0.79,3.61,,,108.21,112.785,115.38,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,111.26,112.696,110.34,112.37,4289997.0,,,,,2.36,2.16,0.2,2.36,,,108.93,112.785,115.38,0.1,1,1.01,45.29,110.08,110.08,,,,,,,,,,,110.35,112.37,
2025-01-27,105.08,106.0,94.81,97.49,5899314.0,,,,,11.19,6.37,17.56,17.56,7.01,,94.81,115.38,94.81,0.05,0,-6.53,-81.29,113.33,113.33,,,,,,,,,,,97.49,112.37,
2025-01-28,98.91,101.7,95.55,100.87,4713418.0,,,,,6.15,4.21,1.94,6.15,7.11,,94.81,114.35,94.81,0.05,0,-5.75,-80.13,109.33,109.33,-3.2,-72.65,112.73,109.52,,,,,,,97.49,112.37,
2025-01-29,100.84,102.85,99.28,100.57,2965841.0,,,,,3.57,1.98,1.59,3.57,6.65,,94.81,113.37,94.81,0.05,0,1.54,57.0,98.1,98.1,-3.14,-72.36,110.66,107.51,,,,,,,97.49,112.37,
2025-01-30,102.8,106.02,102.24,105.0,3363115.0,,,,,3.78,5.45,1.67,5.45,7.02,,94.81,112.44,94.81,0.05,0,2.07,64.16,100.08,100.08,-1.17,-49.38,105.59,104.43,,,,,,,97.49,105.0,
2025-01-31,104.91,105.15,102.42,102.44,2898159.0,,,,,2.73,0.15,2.58,2.73,7.09,,94.81,111.56,94.81,0.05,0,0.93,43.08,101.74,101.74,1.4,54.52,98.47,99.87,,,,100.16,,,100.57,105.0,
2025-02-03,99.0,104.0,99.0,102.68,2325595.0,,,,,5.0,1.56,3.44,5.0,4.58,,94.81,110.72,94.81,0.05,0,-1.16,-49.24,104.53,104.53,0.55,28.77,101.21,101.76,,,,100.56,,,100.57,105.0,
2025-02-04,101.96,102.885,100.25,101.66,1752845.0,,,,,2.64,0.2,2.43,2.64,3.88,,94.81,109.92,94.81,0.05,0,-0.39,-21.31,102.65,102.65,-0.01,-0.8,102.5,102.48,,,,101.22,,,101.66,105.0,
2025-02-05,103.25,104.205,101.07,102.88,1926536.0,,,,,3.14,2.55,0.59,3.14,3.79,,94.81,109.16,94.81,0.05,0,0.1,5.71,102.31,102.31,-0.5,-26.66,103.94,103.43,,,,103.59,,,101.66,102.88,
2025-02-06,103.2,103.95,102.05,103.31,1430792.0,,,,,1.9,1.07,0.83,1.9,3.08,,94.81,108.44,94.81,0.05,0,0.82,39.52,101.79,101.79,0.19,10.98,102.21,102.4,,,,103.21,,,101.66,103.31,
2025-02-07,104.42,105.765,102.67,103.01,1230530.0,,,,,3.09,2.45,0.64,3.09,3.15,,94.81,107.76,94.81,0.05,0,0.06,3.72,103.0,103.0,0.23,13.01,102.25,102.48,,,,103.07,,,101.66,103.31,
2025-02-10,103.55,105.26,102.755,105.18,1710876.0,,,,,2.51,2.25,0.26,2.51,2.66,,94.81,107.11,94.81,0.05,0,0.94,43.08,102.9,102.9,0.72,35.64,101.77,102.49,,,,103.57,,,102.88,105.18,
2025-02-11,104.48,104.87,102.78,104.66,2597544.0,,,,,2.09,0.31,2.4,2.4,2.61,,94.81,106.5,94.81,0.05,0,0.82,39.52,103.46,103.46,0.54,28.5,102.72,103.27,,,,104.58,,,103.01,105.18,
2025-02-12,102.2,104.31,101.3533,102.66,2216602.0,,,,,2.96,0.35,3.31,3.31,2.64,4.71,94.81,105.92,94.81,0.05,0,-1.26,-51.56,105.43,105.43,0.03,2.0,103.69,103.73,,,,104.15,,,102.66,105.18,
2025-02-13,102.96,106.4847,102.84,106.25,3200114.0,,,,,3.64,3.82,0.18,3.82,3.03,4.41,94.81,106.48,106.48,0.05,1,0.79,38.48,103.73,103.73,0.4,21.6,103.56,103.96,,,,105.25,,,102.66,106.25,
2025-02-14,106.24,108.77,104.11,107.6,1661848.0,,,,,4.66,2.52,2.14,4.66,3.34,4.12,95.39,106.48,108.77,0.1,1,2.47,67.96,103.03,103.03,0.64,32.74,103.98,104.63,,,,106.37,,,102.66,107.6,
2025-02-18,108.84,112.71,108.32,111.91,3661652.0,,,,,4.39,5.11,0.72,5.11,3.86,3.9,96.73,106.48,112.71,0.15,1,2.83,70.54,105.76,105.76,1.94,62.78,102.73,104.67,,,,109.09,,,102.66,111.91,
2025-02-19,111.71,112.645,110.36,112.41,2173712.0,,,,,2.28,0.73,1.55,2.28,3.84,3.66,99.13,106.48,112.71,0.15,1,2.41,67.42,108.23,108.23,2.52,68.32,103.13,105.65,,,,111.37,,,106.25,112.41,
2025-02-20,111.85,111.85,107.36,111.07,2020809.0,,,,,4.49,0.56,5.05,5.05,4.18,3.43,101.17,106.48,112.71,0.15,1,-0.42,-22.78,112.22,112.22,1.44,55.32,106.96,108.4,,,,112.26,,,107.6,112.41,
