Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,231.39,236.75,230.0,234.15,2698926.0,,,,,6.75,,,6.75,,,230.0,236.75,236.75,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,233.96,236.535,232.675,235.77,1409217.0,,,,,3.86,2.38,1.47,3.86,,,230.34,236.75,236.75,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,236.02,237.92,234.1,237.92,518693.0,,,,,3.82,2.15,1.67,3.82,,,230.66,236.75,237.92,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,236.64,238.03,236.38,237.18,605656.0,,,,,1.65,0.11,1.54,1.65,,,231.39,236.75,238.03,0.15,1,0.71,35.18,236.25,236.25,,,,,,,,,,,234.15,237.92
2024-12-27 05:00:00,235.07,238.3188,233.73,235.25,526204.0,,,,,4.59,1.14,3.45,4.59,4.13,,232.39,236.75,238.32,0.2,1,-1.33,-53.16,238.12,238.12,,,,,,,,,,,235.25,237.92
2024-12-30 05:00:00,233.57,234.365,231.19,233.49,643198.0,,,,,3.18,0.88,4.06,4.06,3.6,,231.19,238.32,231.19,0.05,0,-1.85,-61.54,237.15,237.15,-0.72,-35.87,237.37,236.64,,,,,,,233.49,237.92
2024-12-31 05:00:00,234.17,236.44,233.8001,234.7,942476.0,,,,,2.64,2.95,0.31,2.95,3.41,,231.19,237.96,231.19,0.05,0,-0.28,-15.38,234.75,234.75,-1.01,-45.37,237.73,236.72,,,,,,,233.49,237.18
2025-01-02 05:00:00,237.5,237.5,232.87,234.6,1049131.0,,,,,4.63,2.8,1.83,4.63,3.58,,231.19,237.62,231.19,0.05,0,0.55,29.03,233.71,233.71,-0.57,-29.73,236.19,235.62,,,,,,,233.49,235.25
2025-01-03 05:00:00,235.07,236.99,233.57,235.88,1001255.0,,,,,3.42,2.39,1.03,3.42,3.93,,231.19,237.5,231.19,0.05,0,0.59,30.54,234.47,234.47,0.24,13.33,234.31,234.55,,,,234.56,,,233.49,235.88
2025-01-06 05:00:00,237.5,240.4,236.08,236.96,1112341.0,,,,,4.32,4.52,0.2,4.52,3.92,,231.19,240.4,240.4,0.05,1,1.18,49.72,234.63,234.63,0.81,39.08,233.5,234.31,,,,235.17,,,234.6,236.96
2025-01-07 05:00:00,238.0,239.345,235.98,237.76,760790.0,,,,,3.37,2.38,0.98,3.37,3.78,,231.65,240.4,240.4,0.05,1,0.94,43.23,235.93,235.93,0.85,40.3,234.28,235.13,,,,236.55,,,234.6,237.76
