Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,107.43,108.0,106.91,107.75,998897.0,,,,,1.09,,,1.09,,,106.91,108.0,108.0,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,107.27,107.75,106.48,107.39,1765426.0,,,,,1.27,0.0,1.27,1.27,,,106.48,108.0,106.48,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,106.39,111.3,106.02,109.54,2482073.0,,,,,5.28,3.91,1.37,5.28,,,106.48,111.3,111.3,0.05,1,,,,,,,,,,,,,,,,,
2025-01-24,109.19,111.69,108.04,110.92,1437823.0,,,,,3.65,2.15,1.5,3.65,,,106.02,111.3,111.69,0.1,1,1.76,60.47,107.52,107.52,,,,,,,,,,,107.39,110.92,
2025-01-27,111.2,111.53,110.13,111.48,1135676.0,,,,,1.4,0.61,0.79,1.4,2.54,,106.59,111.3,111.69,0.1,1,0.97,44.13,109.68,109.68,,,,,,,,,,,107.39,111.48,
2025-01-28,111.18,113.1199,111.03,112.41,1241557.0,,,,,2.09,1.64,0.45,2.09,2.74,,107.1,111.3,113.12,0.15,1,0.74,36.69,110.86,110.86,1.2,50.15,107.95,109.15,,,,,,,109.54,112.41,
2025-01-29,112.26,113.91,112.09,112.6,1211568.0,,,,,1.82,1.5,0.32,1.82,2.85,,108.0,111.3,113.91,0.2,1,0.56,29.25,111.6,111.6,0.76,37.27,109.87,110.63,,,,,,,110.92,112.6,
2025-01-30,113.45,114.21,112.2,112.74,957121.0,,,,,2.01,1.61,0.4,2.01,2.19,,109.18,111.3,114.21,0.21,1,0.17,9.37,112.42,112.42,0.48,25.45,111.08,111.55,,,,,,,111.48,112.74,
2025-01-31,112.74,113.295,112.12,112.29,1057367.0,,,,,1.17,0.56,0.62,1.17,1.7,,110.24,111.3,114.21,0.21,1,-0.15,-8.81,112.7,112.7,0.19,11.03,111.91,112.11,,,,113.52,,,112.29,112.74,
2025-02-03,109.98,111.75,108.89,110.82,1213690.0,,,,,2.86,0.54,3.4,3.4,2.1,,108.89,114.21,108.89,0.05,0,-0.96,-43.83,112.91,112.91,-0.35,-19.24,112.87,112.52,,,,112.42,,,110.82,112.74,
2025-02-04,110.69,111.9,110.69,111.38,979714.0,,,,,1.21,1.08,0.13,1.21,1.92,,108.89,113.94,108.89,0.05,0,-0.45,-24.47,111.95,111.95,-0.44,-23.56,112.84,112.4,,,,111.82,,,110.82,112.74,
2025-02-05,111.9,113.58,111.2,113.22,1202825.0,,,,,2.38,2.2,0.18,2.38,2.03,,108.89,113.69,108.89,0.05,0,1.2,50.19,110.61,110.61,0.0,0.29,112.08,112.09,,,,112.17,,,110.82,113.22,
2025-02-06,114.0,114.035,112.71,113.8,842243.0,,,,,1.33,0.81,0.51,1.33,1.9,,108.89,114.04,114.04,0.05,1,1.21,50.43,111.59,111.59,0.54,28.46,111.22,111.76,,,,112.71,,,110.82,113.8,
2025-02-07,113.83,114.67,113.3,113.51,823234.0,,,,,1.37,0.87,0.5,1.37,1.94,,109.15,114.04,114.67,0.1,1,0.15,8.25,113.36,113.36,0.78,37.95,110.99,111.77,,,,113.17,,,111.38,113.8,
2025-02-10,113.52,113.57,110.87,111.0,947399.0,,,,,2.7,0.06,2.64,2.7,1.8,,109.7,114.04,114.67,0.1,1,-1.4,-54.46,114.17,114.17,-0.05,-2.69,112.68,112.63,,,,112.54,,,111.0,113.8,
2025-02-11,110.9,111.12,109.54,110.42,1809180.0,,,,,1.58,0.12,1.46,1.58,1.87,,109.54,114.67,109.54,0.05,0,-1.55,-57.09,113.19,113.19,-0.84,-40.03,114.07,113.23,,,,111.84,,,110.42,113.8,
2025-02-12,109.42,110.18,108.6,110.1,1211526.0,,,,,1.58,0.24,1.82,1.82,1.76,2.1,109.54,114.41,108.6,0.1,0,-0.45,-24.23,110.96,110.96,-1.05,-46.37,113.86,112.82,,,,111.08,,,110.1,113.51,
2025-02-13,110.19,111.55,110.1,111.5,702289.0,,,,,1.45,1.45,0.0,1.45,1.78,2.04,109.54,113.83,108.6,0.1,0,0.54,28.37,110.13,110.13,-0.49,-26.2,112.29,111.8,,,,110.72,,,110.1,111.5,
2025-02-14,111.67,112.61,110.43,110.77,1440589.0,,,,,2.18,1.11,1.07,2.18,1.95,1.98,109.54,113.31,108.6,0.1,0,0.33,18.52,110.45,110.45,0.06,3.55,110.63,110.7,,,,110.15,,,110.1,111.5,
