Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,8121.58,8323.245,8105.0,8276.78,60867,,,,,218.25,,,218.25,,,8105.0,8323.245,8323.245,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,8249.99,8267.93,8141.18,8222.52,18813,,,,,126.75,8.85,135.6,135.6,,,8115.91,8323.245,8323.245,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,8211.76,8277.55,8175.01,8259.37,8834,,,,,102.54,55.03,47.51,102.54,,,8126.28,8323.245,8323.245,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,8188.97,8299.25,8130.5,8243.99,14943,,,,,168.75,39.88,128.87,168.75,,,8130.5,8323.25,8130.5,0.05,0,10.73,84.68,8231.22,8231.22,,,,,,,,,,,8222.52,8276.78
2024-12-27 05:00:00,8217.38,8338.7999,8147.32,8208.39,14570,,,,,191.48,94.81,96.67,191.48,163.32,,8130.5,8338.8,8338.8,0.05,1,-25.49,-87.75,8262.74,8262.74,,,,,,,,,,,8208.39,8259.37
2024-12-30 05:00:00,8178.0,8207.5,8086.58,8176.46,22329,,,,,120.92,0.89,121.81,121.81,144.04,,8086.58,8338.8,8086.58,0.05,0,-33.77,-88.3,8243.38,8243.38,-14.31,-86.0,8250.77,8236.46,,,,,,,8176.46,8259.37
2024-12-31 05:00:00,8218.82,8245.55,8160.0,8178.9,18135,,,,,85.55,69.09,16.46,85.55,134.03,,8086.58,8326.19,8086.58,0.05,0,-14.74,-86.12,8202.66,8202.66,-22.85,-87.49,8259.12,8236.27,,,,,,,8176.46,8243.99
2025-01-02 05:00:00,8222.2,8255.5,7920.245,7989.89,27571,,,,,335.26,76.6,258.65,335.26,180.57,,8086.58,8314.21,7920.24,0.1,0,-93.29,-89.39,8208.37,8208.37,-53.77,-88.93,8267.06,8213.3,,,,,,,7989.89,8208.39
2025-01-03 05:00:00,8000.0,8164.9,8000.0,8070.6,18044,,,,,164.9,175.01,10.11,175.01,181.82,,8086.58,8274.81,7920.24,0.1,0,-54.15,-88.94,8133.95,8133.95,-46.22,-88.76,8217.28,8171.06,,,,8058.85,,,7989.89,8178.9
2025-01-06 05:00:00,8119.54,8226.05,7907.49,7988.67,47144,,,,,318.56,155.45,163.11,318.56,207.24,,8086.58,8239.35,7907.49,0.15,0,-0.61,-31.38,8017.0,8017.0,-48.39,-88.82,8177.68,8129.29,,,,7997.25,,,7988.67,8178.9
2025-01-07 05:00:00,8010.6,8059.95,7866.87,7897.0,27226,,,,,193.08,71.28,121.8,193.08,221.49,,8086.58,8226.05,7866.87,0.2,0,-86.8,-89.34,8072.22,8072.22,-56.5,-88.99,8138.02,8081.51,,,,7926.15,,,7897.0,8070.6
2025-01-08 05:00:00,7902.0,8060.4999,7833.0,8005.95,29320,,,,,227.5,163.5,64.0,227.5,249.88,,8086.58,8154.21,7833.0,0.21,0,8.64,83.4,7955.23,7955.23,-14.15,-85.96,8018.72,8004.57,,,,7926.8,,,7897.0,8070.6
2025-01-10 05:00:00,7918.69,7918.69,7802.43,7845.22,25827,,,,,116.26,87.26,203.52,203.52,223.53,,8086.58,8086.76,7802.43,0.21,0,-25.89,-87.79,7941.95,7941.95,-43.35,-88.68,8048.18,8004.84,,,,7871.42,,,7845.22,8005.95
2025-01-13 05:00:00,7814.0,7992.97,7814.0,7962.0,27212,,,,,178.97,147.75,31.22,178.97,224.33,,8086.58,8027.05,7802.43,0.21,0,-21.98,-87.39,7959.7,7959.7,-10.51,-84.57,7960.79,7950.28,,,,7886.98,,,7845.22,8005.95
2025-01-14 05:00:00,8083.6,8174.11,8063.5,8143.64,23919,,,,,110.61,212.11,101.5,212.11,203.04,,7802.43,8174.11,8174.11,0.05,1,149.21,89.62,7834.41,7834.41,44.93,88.73,7880.9,7925.83,,,,7996.7,,,7845.22,8143.64
2025-01-15 05:00:00,8341.15,8387.9999,8225.0,8259.08,21978,,,,,163.0,244.36,81.36,244.36,213.29,,7821.01,8174.11,8388.0,0.1,1,148.54,89.61,7973.03,7973.03,80.47,89.29,7882.24,7962.71,,,,8110.21,,,7845.22,8259.08
2025-01-16 05:00:00,8226.46,8372.635,8164.63,8355.81,31693,,,,,208.01,113.56,94.45,208.01,209.39,196.61,7877.71,8174.11,8388.0,0.1,1,106.08,89.46,8146.76,8146.76,131.83,89.57,7849.5,7981.32,,,,8261.76,,,7962.0,8355.81
2025-01-17 05:00:00,8500.0,8500.05,8340.8,8362.86,56741,,,,,159.25,144.24,15.01,159.25,200.54,199.48,7928.74,8174.11,8500.05,0.15,1,51.89,88.9,8274.03,8274.03,101.39,89.43,8013.9,8115.29,,,,8372.01,,,8143.64,8362.86
2025-01-21 05:00:00,8459.48,8602.13,8304.7701,8347.05,28429,,,,,297.36,239.27,58.09,297.36,224.22,205.64,8014.44,8174.11,8602.13,0.2,1,-4.38,-77.14,8359.62,8359.62,51.06,88.88,8191.57,8242.63,,,,8421.57,,,8259.08,8362.86
2025-01-22 05:00:00,8296.6,8392.645,8286.0,8381.5,21869,,,,,106.65,45.6,61.05,106.65,203.13,210.96,8131.98,8174.11,8602.13,0.2,1,9.32,83.88,8354.48,8354.48,23.61,87.57,8294.04,8317.65,,,,8475.21,,,8347.05,8381.5
2025-01-23 05:00:00,8334.17,8411.61,8276.9,8345.35,16141,,,,,134.71,30.11,104.6,134.71,181.2,211.01,8226.01,8174.11,8602.13,0.2,1,-0.85,-40.36,8358.82,8358.82,-0.23,-12.84,8358.97,8358.74,,,,8442.32,,,8345.35,8381.5
2025-01-24 05:00:00,8350.0,8400.0,8200.56,8200.56,25284,,,,,199.44,54.65,144.79,199.44,179.48,210.83,8200.56,8602.13,8200.56,0.05,0,-90.47,-89.37,8399.61,8399.61,-32.63,-88.24,8392.72,8360.09,,,,8336.61,,,8200.56,8381.5
2025-01-27 05:00:00,8265.0,8480.36,8265.0,8382.63,37694,,,,,215.36,279.8,64.44,279.8,203.59,210.55,8200.56,8582.05,8200.56,0.05,0,18.64,86.93,8290.87,8290.87,-10.98,-84.8,8353.37,8342.4,,,,8332.29,,,8200.56,8382.63
2025-01-28 05:00:00,8474.24,8474.24,8030.31,8064.09,30007,,,,,443.93,91.61,352.32,443.93,232.91,211.43,8200.56,8562.98,8030.31,0.1,0,-68.23,-89.16,8283.99,8283.99,-59.75,-89.04,8394.33,8334.58,,,,8204.2,,,8064.09,8382.63
