Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,27.49,27.97,27.46,27.86,5791419.0,,,,,0.51,,,0.51,,,27.46,27.97,27.97,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,27.97,28.27,27.89,28.05,2025842.0,,,,,0.38,0.41,0.03,0.41,,,27.49,27.97,28.27,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,28.14,28.26,27.95,28.25,877558.0,,,,,0.31,0.21,0.1,0.31,,,27.57,27.97,28.27,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,28.08,28.16,27.955,28.15,1351984.0,,,,,0.21,0.09,0.3,0.3,,,27.64,27.97,28.27,0.1,1,0.05,2.86,28.1,28.1,,,,,,,,,,,27.86,28.25
2024-12-27 05:00:00,27.99,28.11,27.69,27.79,1570293.0,,,,,0.42,0.04,0.46,0.46,0.4,,27.69,28.27,27.69,0.05,0,-0.23,-12.95,28.29,28.29,,,,,,,,,,,27.79,28.25
2024-12-30 05:00:00,27.58,27.61,27.12,27.48,1821547.0,,,,,0.49,0.18,0.67,0.67,0.43,,27.69,28.24,27.12,0.1,0,-0.33,-18.52,28.14,28.14,-0.16,-9.09,28.26,28.1,,,,,,,27.48,28.25
2024-12-31 05:00:00,27.63,27.78,27.48,27.54,1622984.0,,,,,0.3,0.3,0.0,0.3,0.41,,27.69,28.13,27.12,0.1,0,-0.13,-7.13,27.73,27.73,-0.21,-11.8,28.26,28.05,,,,,,,27.48,28.15
2025-01-02 05:00:00,27.6,27.8,27.41,27.46,2101760.0,,,,,0.39,0.26,0.13,0.39,0.42,,27.69,28.03,27.12,0.1,0,-0.01,-0.57,27.5,27.5,-0.16,-9.26,28.01,27.85,,,,,,,27.46,27.79
2025-01-03 05:00:00,27.61,27.61,27.132,27.55,1683703.0,,,,,0.48,0.15,0.33,0.48,0.46,,27.69,27.94,27.12,0.1,0,0.01,0.29,27.51,27.51,-0.05,-2.86,27.66,27.61,,,,27.38,,,27.46,27.55
2025-01-06 05:00:00,27.54,27.89,27.34,27.44,2189498.0,,,,,0.55,0.34,0.21,0.55,0.48,,27.12,27.89,27.89,0.05,1,-0.01,-0.57,27.49,27.49,-0.01,-0.4,27.51,27.5,,,,27.31,,,27.44,27.55
2025-01-07 05:00:00,27.6,27.825,27.44,27.6,2369911.0,,,,,0.38,0.38,0.0,0.38,0.42,,27.16,27.89,27.89,0.05,1,0.03,1.43,27.5,27.5,0.01,0.57,27.5,27.51,,,,27.4,,,27.44,27.6
2025-01-08 05:00:00,27.6,28.05,27.17,27.47,2669133.0,,,,,0.88,0.45,0.43,0.88,0.54,,27.17,27.89,27.17,0.05,0,0.01,0.86,27.49,27.49,0.01,0.4,27.49,27.5,,,,27.46,,,27.44,27.6
2025-01-10 05:00:00,27.36,27.555,26.97,26.98,2397011.0,,,,,0.59,0.09,0.5,0.59,0.58,,27.17,28.05,26.97,0.1,0,-0.31,-17.22,27.66,27.66,-0.11,-6.33,27.63,27.52,,,,27.29,,,26.98,27.6
2025-01-13 05:00:00,26.95,27.46,26.78,27.44,2910819.0,,,,,0.68,0.48,0.2,0.68,0.62,,27.17,27.94,26.78,0.15,0,-0.02,-0.86,27.31,27.31,-0.06,-3.55,27.51,27.45,,,,27.3,,,26.98,27.6
2025-01-14 05:00:00,27.59,27.745,27.38,27.55,2381403.0,,,,,0.37,0.3,0.06,0.37,0.58,,27.17,27.77,26.78,0.15,0,0.28,15.91,27.04,27.04,-0.01,-0.74,27.43,27.42,,,,27.38,,,26.98,27.55
2025-01-15 05:00:00,27.92,28.01,27.5,27.56,3935176.0,,,,,0.51,0.46,0.05,0.51,0.61,,26.78,28.01,28.01,0.05,1,0.06,3.43,27.46,27.46,0.07,4.29,27.25,27.32,,,,27.43,,,26.98,27.56
2025-01-16 05:00:00,27.515,27.8,27.455,27.5,1595017.0,,,,,0.35,0.24,0.11,0.35,0.5,0.5,26.84,28.01,28.01,0.05,1,-0.03,-1.43,27.56,27.56,0.12,6.62,27.17,27.29,,,,27.48,,,27.44,27.56
2025-01-17 05:00:00,27.77,27.81,27.405,27.43,2505964.0,,,,,0.4,0.31,0.09,0.4,0.46,0.5,26.9,28.01,28.01,0.05,1,-0.07,-3.72,27.56,27.56,-0.01,-0.4,27.51,27.5,,,,27.47,,,27.43,27.56
2025-01-21 05:00:00,27.51,27.975,27.425,27.86,2166141.0,,,,,0.55,0.55,0.0,0.55,0.44,0.5,26.96,28.01,28.01,0.05,1,0.18,10.2,27.42,27.42,0.05,2.81,27.48,27.53,,,,27.69,,,27.43,27.86
2025-01-22 05:00:00,27.85,28.09,27.73,27.82,2209287.0,,,,,0.36,0.23,0.13,0.36,0.43,0.5,27.01,28.01,28.09,0.1,1,0.19,11.03,27.51,27.51,0.09,5.03,27.46,27.55,,,,27.83,,,27.43,27.86
2025-01-23 05:00:00,27.86,27.91,27.68,27.87,2167641.0,,,,,0.23,0.09,0.14,0.23,0.38,0.5,27.12,28.01,28.09,0.1,1,0.01,0.29,27.84,27.84,0.11,6.45,27.47,27.58,,,,27.84,,,27.43,27.87
2025-01-24 05:00:00,27.87,28.29,27.835,28.08,1678751.0,,,,,0.45,0.42,0.04,0.45,0.4,0.5,27.22,28.01,28.29,0.15,1,0.13,7.41,27.79,27.79,0.13,7.46,27.55,27.68,,,,27.99,,,27.82,28.08
2025-01-27 05:00:00,28.03,28.46,27.81,28.44,2675045.0,,,,,0.65,0.38,0.27,0.65,0.45,0.49,27.38,28.01,28.46,0.2,1,0.28,15.91,27.84,27.84,0.14,8.08,27.73,27.87,,,,28.25,,,27.82,28.44
