Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,52.0,53.56,52.0,52.79,14467152.0,,,,,1.56,,,1.56,,,52.0,53.56,53.56,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,52.7,53.07,52.44,53.0,5474870.0,,,,,0.63,0.28,0.35,0.63,,,52.08,53.56,53.56,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,52.88,53.24,52.67,53.24,2585016.0,,,,,0.57,0.24,0.33,0.57,,,52.15,53.56,53.56,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,53.11,53.39,52.8855,53.07,7391190.0,,,,,0.5,0.15,0.35,0.5,,,52.22,53.56,53.56,0.05,1,0.04,2.0,53.07,53.07,,,,,,,,,,,52.79,53.24
2024-12-27 05:00:00,52.93,53.48,52.47,52.66,5373852.0,,,,,1.01,0.41,0.6,1.01,0.85,,52.29,53.56,53.56,0.05,1,-0.29,-16.17,53.28,53.28,,,,,,,,,,,52.66,53.24
2024-12-30 05:00:00,52.56,52.86,52.2,52.73,5695297.0,,,,,0.66,0.2,0.46,0.66,0.67,,52.2,53.56,52.2,0.05,0,-0.17,-9.65,52.99,52.99,-0.11,-6.39,53.16,53.05,,,,,,,52.66,53.24
2024-12-31 05:00:00,52.96,53.48,52.87,53.41,5643315.0,,,,,0.61,0.75,0.14,0.75,0.7,,52.2,53.49,52.2,0.05,0,0.37,20.56,52.56,52.56,-0.0,-0.0,53.02,53.02,,,,,,,52.66,53.41
2025-01-02 05:00:00,53.26,53.345,52.4,52.6,4991084.0,,,,,0.95,0.06,1.01,1.01,0.79,,52.2,53.48,52.2,0.05,0,-0.06,-3.72,52.98,52.98,-0.02,-1.09,52.93,52.91,,,,,,,52.6,53.41
2025-01-03 05:00:00,52.64,53.3083,52.54,53.28,4076272.0,,,,,0.77,0.71,0.06,0.77,0.84,,52.2,53.42,52.2,0.05,0,-0.07,-3.72,53.16,53.16,0.11,6.33,52.71,52.82,,,,52.99,,,52.6,53.41
2025-01-06 05:00:00,53.21,53.28,52.47,52.73,6850034.0,,,,,0.81,0.0,0.81,0.81,0.8,,52.2,53.36,52.2,0.05,0,0.06,3.72,52.8,52.8,-0.01,-0.74,52.98,52.96,,,,52.88,,,52.6,53.41
2025-01-07 05:00:00,52.85,53.58,52.405,52.51,4908545.0,,,,,1.17,0.85,0.32,1.17,0.9,,52.2,53.58,53.58,0.05,1,-0.39,-21.06,53.22,53.22,-0.17,-9.48,53.24,53.07,,,,52.76,,,52.51,53.28
2025-01-08 05:00:00,52.54,52.54,51.95,52.51,4727817.0,,,,,0.59,0.03,0.56,0.59,0.87,,51.95,53.58,51.95,0.05,0,-0.11,-6.28,52.69,52.69,-0.1,-5.43,52.92,52.82,,,,52.66,,,52.51,53.28
2025-01-10 05:00:00,52.01,52.24,51.64,51.67,5852120.0,,,,,0.6,0.27,0.87,0.87,0.84,,51.95,53.5,51.64,0.1,0,-0.42,-22.78,52.65,52.65,-0.34,-18.98,53.23,52.88,,,,52.15,,,51.67,52.73
2025-01-13 05:00:00,51.75,52.53,51.6,52.47,5172748.0,,,,,0.93,0.86,0.07,0.93,0.87,,51.95,53.31,51.6,0.15,0,-0.02,-1.15,52.24,52.24,-0.14,-7.74,52.65,52.51,,,,52.07,,,51.67,52.51
