Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,87.63,89.81,86.9191,88.86,6003352.0
2024-12-23 05:00:00,88.44,88.6,86.555,86.7,1809241.0
2024-12-24 05:00:00,86.77,86.77,85.97,86.39,823470.0
2024-12-26 05:00:00,85.88,87.64,85.695,87.43,1218348.0
2024-12-27 05:00:00,86.71,87.55,86.22,86.49,1164192.0
2024-12-30 05:00:00,85.79,86.05,84.56,85.82,1468478.0
2024-12-31 05:00:00,86.09,86.75,85.69,86.04,1098030.0
2025-01-02 05:00:00,86.68,86.93,85.74,86.44,1614936.0
2025-01-03 05:00:00,86.92,86.995,85.29,85.89,1492359.0
2025-01-06 05:00:00,85.74,86.545,84.91,85.1,2429496.0
2025-01-07 05:00:00,85.32,86.1,84.04,84.63,2379952.0
2025-01-08 05:00:00,83.97,84.24,83.18,84.14,2038610.0
2025-01-10 05:00:00,83.13,83.64,81.6639,82.07,3532358.0
2025-01-13 05:00:00,81.85,83.34,81.42,83.16,2604146.0
2025-01-14 05:00:00,83.73,85.29,83.46,84.76,3707829.0
2025-01-15 05:00:00,86.03,86.33,84.45,85.5,2136382.0
2025-01-16 05:00:00,85.72,86.34,85.25,85.84,1880795.0
2025-01-17 05:00:00,85.96,86.43,85.11,85.38,2642246.0
2025-01-21 05:00:00,86.18,86.745,85.53,86.59,2086628.0
2025-01-22 05:00:00,86.49,86.49,85.395,86.13,1971755.0
2025-01-23 05:00:00,85.81,86.515,85.61,86.15,1468843.0
2025-01-24 05:00:00,86.42,87.21,86.0,86.56,2110163.0
2025-01-27 05:00:00,86.43,89.35,86.43,88.34,1764192.0
2025-01-28 05:00:00,88.27,88.625,87.08,87.21,1633153.0
2025-01-29 05:00:00,86.81,87.925,86.535,86.81,1759849.0
2025-01-30 05:00:00,87.21,87.3,86.01,86.52,1608896.0
2025-01-31 05:00:00,86.21,87.66,86.21,86.79,4052260.0
2025-02-03 05:00:00,85.91,88.43,85.56,87.76,2937423.0
2025-02-04 05:00:00,87.55,88.52,86.81,86.9,2675592.0
2025-02-05 05:00:00,87.13,88.17,82.85,84.93,6505682.0
2025-02-06 05:00:00,85.5,85.98,83.51,84.23,3158875.0
2025-02-07 05:00:00,84.44,84.83,83.63,83.8,1542471.0
2025-02-10 05:00:00,84.17,84.17,82.03,82.58,2406915.0
2025-02-11 05:00:00,82.1,82.56,81.51,82.41,1963228.0
2025-02-12 05:00:00,81.59,82.09,80.31,81.23,2826979.0
2025-02-13 05:00:00,81.35,81.98,80.46,81.94,3358189.0
2025-02-14 05:00:00,81.79,82.725,81.615,82.17,3063982.0
