Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,167.73,171.26,165.63,169.66,13810525.0,,,,,5.63,,,5.63,,,165.63,171.26,171.26,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,169.59,169.62,167.1683,169.14,6518229.0,,,,,2.45,0.04,2.49,2.49,,,165.91,171.26,171.26,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,169.7,171.77,169.03,171.41,2451547.0,,,,,2.74,2.63,0.11,2.74,,,166.18,171.26,171.77,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,170.5,172.55,170.5,171.68,4103882.0,,,,,2.05,1.14,0.91,2.05,,,166.74,171.26,172.55,0.15,1,1.27,51.78,169.47,169.47,,,,,,,,,,,169.14,171.68
2024-12-27 05:00:00,170.38,171.15,167.2,168.96,4344287.0,,,,,3.95,0.53,4.48,4.48,3.48,,167.2,172.55,167.2,0.05,0,-1.22,-50.77,171.91,171.91,,,,,,,,,,,168.96,171.68
2024-12-30 05:00:00,166.51,167.91,164.55,166.91,5254833.0,,,,,3.36,1.05,4.41,4.41,3.23,,167.2,172.28,164.55,0.1,0,-2.39,-67.25,171.57,171.57,-0.69,-34.64,171.0,170.31,,,,,,,166.91,171.68
2024-12-31 05:00:00,167.2,167.3,165.84,166.64,4307524.0,,,,,1.46,0.39,1.07,1.46,3.03,,167.2,171.51,164.55,0.1,0,-1.16,-49.24,168.66,168.66,-1.43,-55.05,171.98,170.55,,,,,,,166.64,171.68
2025-01-02 05:00:00,168.52,168.69,164.9,166.03,5365667.0,,,,,3.79,2.05,1.74,3.79,3.24,,167.2,170.81,164.55,0.1,0,-0.44,-23.75,166.97,166.97,-1.36,-53.71,170.77,169.41,,,,,,,166.03,168.96
2025-01-03 05:00:00,166.7,167.2,165.27,166.32,5878052.0,,,,,1.93,1.17,0.76,1.93,3.21,,167.2,170.18,164.55,0.1,0,-0.16,-9.09,166.49,166.49,-0.62,-31.63,168.2,167.59,,,,165.73,,,166.03,166.91
2025-01-06 05:00:00,167.31,168.05,165.19,165.69,6845373.0,,,,,2.86,1.73,1.13,2.86,2.89,,167.2,169.62,164.55,0.1,0,-0.17,-9.65,166.18,166.18,-0.28,-15.43,166.87,166.59,,,,164.79,,,165.69,166.64
2025-01-07 05:00:00,165.58,166.16,161.32,162.03,7712222.0,,,,,4.84,0.47,4.37,4.84,2.98,,167.2,169.11,161.32,0.15,0,-2.15,-65.01,166.82,166.82,-0.96,-43.71,167.25,166.3,,,,163.19,,,162.03,166.32
2025-01-08 05:00:00,162.18,163.98,161.43,163.14,7596214.0,,,,,2.55,1.95,0.6,2.55,3.19,,167.2,167.94,161.32,0.15,0,-1.28,-51.89,164.89,164.89,-1.01,-45.2,166.66,165.65,,,,162.89,,,162.03,166.32
2025-01-10 05:00:00,159.2,159.2,153.92,154.5,13505882.0,,,,,5.28,3.94,9.22,9.22,4.28,,167.2,166.95,153.92,0.2,0,-3.77,-75.13,163.65,163.65,-2.62,-69.1,167.57,164.96,,,,159.03,,,154.5,165.69
2025-01-13 05:00:00,153.74,154.15,152.42,153.92,8828492.0,,,,,1.73,0.35,2.08,2.08,4.31,,167.2,164.34,152.42,0.21,0,-4.61,-77.76,161.8,161.8,-3.11,-72.16,166.07,162.96,,,,155.62,,,153.92,163.14
2025-01-14 05:00:00,156.42,157.25,154.35,156.31,7410242.0,,,,,2.9,3.33,0.43,3.33,4.4,,167.2,161.84,152.42,0.21,0,0.91,42.15,154.0,154.0,-2.07,-64.17,162.11,160.05,,,,154.22,,,153.92,163.14
2025-01-15 05:00:00,158.665,159.1495,157.26,158.31,10701234.0,,,,,1.89,2.84,0.95,2.84,4.0,,167.2,159.86,152.42,0.21,0,2.2,65.51,153.98,153.98,-0.79,-38.13,158.81,158.02,,,,154.36,,,153.92,158.31
2025-01-16 05:00:00,160.15,161.5,158.41,159.54,9210555.0,,,,,3.09,3.19,0.1,3.19,4.13,3.57,152.42,161.5,161.5,0.05,1,1.61,58.23,156.44,156.44,1.45,55.35,153.62,155.07,,,,155.73,,,153.92,159.54
2025-01-17 05:00:00,161.77,163.16,160.54,161.03,11618283.0,,,,,2.62,3.62,1.0,3.62,3.01,3.53,152.87,161.5,163.16,0.1,1,1.36,53.67,158.27,158.27,1.74,60.18,154.33,156.08,,,,158.13,,,156.31,161.03
2025-01-21 05:00:00,163.87,173.37,162.75,172.57,30232048.0,,,,,10.62,12.34,1.72,12.34,5.06,3.67,153.9,161.5,173.37,0.15,1,6.52,81.27,157.86,157.86,3.52,74.16,154.5,158.03,,,,164.81,,,158.31,172.57
2025-01-22 05:00:00,191.51,191.99,180.57,184.22,48028518.0,,,,,11.42,19.42,8.0,19.42,8.28,4.08,156.82,161.5,191.99,0.2,1,11.59,85.07,161.01,161.01,6.48,81.23,154.16,160.65,,,,175.74,,,159.54,184.22
2025-01-23 05:00:00,181.64,186.57,181.5,186.47,17314645.0,,,,,5.07,2.35,2.72,5.07,8.73,4.5,163.85,161.5,191.99,0.2,1,6.95,81.81,174.14,174.14,7.7,82.61,157.36,165.06,,,,183.7,,,161.03,186.47
2025-01-24 05:00:00,188.64,189.1,181.87,183.6,12147180.0,,,,,7.23,2.63,4.6,7.23,9.54,4.98,169.48,161.5,191.99,0.2,1,-0.31,-17.22,185.07,185.07,5.9,80.39,165.77,171.67,,,,187.65,,,172.57,186.47
2025-01-27 05:00:00,168.9,172.52,152.66,158.28,42201592.0,,,,,19.86,11.08,30.94,30.94,15.0,5.92,152.66,191.99,152.66,0.05,0,-14.1,-85.94,190.21,190.21,-2.92,-71.1,182.87,179.95,,,,179.17,,,158.28,186.47
