Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,80.2693,81.9757,80.1827,81.274,12918795.0,,,,,1.79,,,1.79,,,80.1827,81.9757,81.9757,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,80.682,80.6897,79.7033,80.484,4639455.0,,,,,0.99,0.58,1.57,1.57,,,79.7,81.98,79.7,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,80.4353,82.1198,80.4353,81.4433,2206755.0,,,,,1.68,1.64,0.05,1.68,,,79.7,82.12,82.12,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,80.7987,81.6103,80.414,80.452,3998865.0,,,,,1.2,0.17,1.03,1.2,,,79.82,82.12,82.12,0.05,1,-0.02,-0.92,80.81,80.81,,,,,,,,,,,80.45,81.44
2024-12-27 05:00:00,79.7313,80.6873,79.4873,79.8233,3256860.0,,,,,1.2,0.24,0.96,1.2,1.49,,79.49,82.12,79.49,0.05,0,-0.81,-39.01,81.38,81.38,,,,,,,,,,,79.82,81.44
2024-12-30 05:00:00,79.6853,79.6853,78.3,78.6613,5573685.0,,,,,1.39,0.14,1.52,1.52,1.43,,79.49,81.99,78.3,0.1,0,-0.9,-41.84,80.54,80.54,-0.53,-27.77,81.23,80.7,,,,,,,78.66,81.44
2024-12-31 05:00:00,79.048,79.4313,78.708,79.0533,4365330.0,,,,,0.72,0.77,0.05,0.77,1.27,,79.49,81.62,78.3,0.1,0,-0.39,-21.06,79.56,79.56,-0.66,-33.31,81.2,80.54,,,,,,,78.66,80.45
2025-01-02 05:00:00,78.9433,79.663,78.8253,79.1807,4223025.0,,,,,0.84,0.61,0.23,0.84,1.11,,79.49,81.29,78.3,0.1,0,0.26,14.56,78.71,78.71,-0.33,-18.33,80.1,79.77,,,,,,,78.66,79.82
2025-01-03 05:00:00,79.082,80.6727,78.8893,80.2813,4730280.0,,,,,1.78,1.49,0.29,1.78,1.22,,79.49,80.99,78.3,0.1,0,0.61,31.55,78.89,78.89,0.14,8.17,79.11,79.26,,,,79.17,,,78.66,80.28
2025-01-06 05:00:00,79.8427,81.5373,79.7547,80.698,4517040.0,,,,,1.78,1.26,0.53,1.78,1.34,,78.3,81.54,81.54,0.05,1,0.76,37.19,79.29,79.29,0.53,27.93,78.51,79.04,,,,79.63,,,79.05,80.7
2025-01-07 05:00:00,81.0887,81.1317,79.6947,79.9813,7594500.0,,,,,1.44,0.43,1.0,1.44,1.32,,78.46,81.54,81.54,0.05,1,-0.15,-8.53,80.47,80.47,0.34,18.64,79.16,79.5,,,,80.02,,,79.18,80.7
2025-01-08 05:00:00,79.9927,80.6107,79.7433,80.3827,3831600.0,,,,,0.87,0.63,0.24,0.87,1.34,,78.61,81.54,81.54,0.05,1,-0.16,-8.96,80.51,80.51,0.21,11.88,79.68,79.89,,,,80.45,,,79.98,80.7
2025-01-10 05:00:00,79.736,80.53,79.6907,79.84,4623960.0,,,,,0.84,0.15,0.69,0.84,1.34,,78.76,81.54,81.54,0.05,1,-0.07,-4.04,80.14,80.14,-0.12,-6.83,80.48,80.36,,,,80.5,,,79.84,80.7
2025-01-13 05:00:00,79.6693,81.0017,79.5847,80.676,5306820.0,,,,,1.42,1.16,0.26,1.42,1.27,,78.9,81.54,81.54,0.05,1,0.15,8.34,80.15,80.15,-0.02,-1.06,80.35,80.33,,,,80.61,,,79.84,80.68
2025-01-14 05:00:00,80.676,81.3653,79.9133,80.2887,3672210.0,,,,,1.45,0.69,0.76,1.45,1.2,,79.03,81.54,81.54,0.05,1,0.22,12.64,80.04,80.04,0.09,5.19,80.05,80.14,,,,80.48,,,79.84,80.68
2025-01-15 05:00:00,80.5313,81.136,80.199,80.2693,4237140.0,,,,,0.94,0.85,0.09,0.94,1.1,,79.16,81.54,81.54,0.05,1,-0.2,-11.49,80.61,80.61,0.02,1.27,80.25,80.27,,,,80.28,,,79.84,80.68
