Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,10.29,10.51,10.245,10.48,7972400.0,,,,,0.27,,,0.27,,,10.245,10.51,10.51,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,10.5,10.585,10.395,10.51,10115060.0,,,,,0.19,0.11,0.09,0.19,,,10.26,10.51,10.58,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,10.56,10.88,10.5,10.87,8743447.0,,,,,0.38,0.37,0.01,0.38,,,10.29,10.51,10.88,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,10.87,11.27,10.76,11.07,22305835.0,,,,,0.51,0.4,0.11,0.51,,,10.38,10.51,11.27,0.2,1,0.28,15.64,10.54,10.54,,,,,,,,,,,10.48,11.07,
2025-01-27,11.05,11.19,10.9,11.16,7963951.0,,,,,0.29,0.12,0.17,0.29,0.33,,10.56,10.51,11.27,0.2,1,0.15,8.25,10.89,10.89,,,,,,,,,,,10.51,11.16,
2025-01-28,11.14,11.15,10.955,11.06,7049391.0,,,,,0.2,0.01,0.21,0.21,0.32,,10.7,10.51,11.27,0.2,1,-0.01,-0.29,11.1,11.1,0.14,7.91,10.66,10.8,,,,,,,10.87,11.16,
2025-01-29,11.04,11.18,11.0,11.09,12097454.0,,,,,0.18,0.12,0.06,0.18,0.31,,10.81,10.51,11.27,0.2,1,-0.04,-2.0,11.14,11.14,0.04,2.46,10.96,11.01,,,,,,,11.06,11.16,
2025-01-30,11.15,11.175,10.83,10.98,6086757.0,,,,,0.35,0.09,0.26,0.35,0.31,,10.83,11.27,10.83,0.05,0,-0.04,-2.29,11.08,11.08,-0.03,-1.43,11.12,11.1,,,,,,,10.98,11.16,
2025-01-31,10.94,11.02,10.815,10.88,6733717.0,,,,,0.21,0.04,0.17,0.21,0.25,,10.83,11.25,10.82,0.1,0,-0.1,-5.99,11.09,11.09,-0.06,-3.66,11.16,11.1,,,,11.08,,,10.88,11.09,
2025-02-03,10.68,10.835,10.66,10.73,7748243.0,,,,,0.18,0.04,0.22,0.22,0.23,,10.83,11.21,10.66,0.15,0,-0.13,-7.13,10.99,10.99,-0.09,-4.97,11.12,11.03,,,,10.88,,,10.73,11.09,
