Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,205.52,210.8,204.24,207.23,1603871.0
2024-12-23 05:00:00,206.15,208.26,203.9,206.91,389761.0
2024-12-24 05:00:00,206.6,209.99,205.81,209.75,147458.0
2024-12-26 05:00:00,208.62,209.995,207.37,209.1,436893.0
2024-12-27 05:00:00,207.59,209.74,204.8458,206.72,351181.0
2024-12-30 05:00:00,204.7,205.88,201.1,204.44,289664.0
2024-12-31 05:00:00,205.13,206.23,203.55,204.97,313644.0
2025-01-02 05:00:00,207.0,207.1,199.81,201.4,530595.0
2025-01-03 05:00:00,203.08,203.92,200.74,203.86,410707.0
2025-01-06 05:00:00,205.06,215.25,204.1641,207.03,573448.0
2025-01-07 05:00:00,207.7,208.1071,201.6695,202.1,421523.0
2025-01-08 05:00:00,200.46,201.39,197.12,199.42,449175.0
2025-01-10 05:00:00,197.39,203.79,197.39,202.0,553991.0
2025-01-13 05:00:00,200.61,201.8,198.57,200.78,350826.0
2025-01-14 05:00:00,201.11,203.35,199.45,203.26,290562.0
2025-01-15 05:00:00,205.62,207.9399,204.17,205.35,576472.0
2025-01-16 05:00:00,205.4,208.19,203.48,207.96,396479.0
2025-01-17 05:00:00,210.44,210.44,206.04,209.18,544323.0
2025-01-21 05:00:00,210.47,211.6945,207.52,209.26,424391.0
2025-01-22 05:00:00,208.16,209.19,205.625,207.57,319519.0
2025-01-23 05:00:00,206.78,206.78,203.83,205.25,708407.0
2025-01-24 05:00:00,207.35,210.4314,206.33,207.5,305285.0
2025-01-27 05:00:00,206.93,214.165,206.93,212.92,715067.0
2025-01-28 05:00:00,213.88,217.93,210.685,213.75,420796.0
2025-01-29 05:00:00,213.03,213.03,206.11,206.47,482630.0
2025-01-30 05:00:00,206.77,209.27,203.9,205.26,323753.0
2025-01-31 05:00:00,207.59,211.71,205.26,207.56,531682.0
2025-02-03 05:00:00,204.95,206.6,200.625,205.24,652539.0
2025-02-04 05:00:00,205.69,206.01,202.865,205.25,472811.0
2025-02-05 05:00:00,203.89,206.24,199.475,206.14,587495.0
2025-02-06 05:00:00,207.54,207.75,203.82,205.0,438553.0
2025-02-07 05:00:00,207.5,208.015,199.105,199.78,372458.0
2025-02-10 05:00:00,202.62,205.045,200.4,204.76,528045.0
2025-02-11 05:00:00,202.88,207.5675,202.17,203.37,752529.0
2025-02-12 05:00:00,200.52,207.82,199.16,207.05,1240030.0
2025-02-13 05:00:00,215.79,217.49,200.0,211.98,1259291.0
2025-02-14 05:00:00,213.27,213.27,207.53,209.22,900288.0
2025-02-18 05:00:00,210.57,214.38,209.41,213.57,667026.0
2025-02-19 05:00:00,212.5,216.22,209.03,216.17,469883.0
2025-02-20 05:00:00,215.05,215.485,210.2,214.4,324377.0
2025-02-21 05:00:00,215.0,215.0,209.48,213.06,597496.0
2025-02-24 05:00:00,214.36,220.6,211.1,219.19,813600.0
