Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,146.36,147.2204,145.06,145.66,1483786.0,,,,,2.16,,,2.16,,,147.2204,145.06,145.06,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,145.62,146.43,144.665,144.775,1654163.0,,,,,1.77,0.77,1.0,1.77,,,145.06,146.43,146.43,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,144.52,145.37,144.09,144.75,1331311.0,,,,,1.28,0.59,0.69,1.28,,,144.09,146.43,144.09,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,144.16,146.35,144.16,146.11,1425365.0,,,,,2.19,1.6,0.59,2.19,,,144.09,146.35,146.35,0.05,1,0.67,33.72,144.54,144.54,,,,,,,,,,,144.75,146.11,
2025-01-27,145.46,148.58,144.975,148.04,2446414.0,,,,,3.61,2.47,1.14,3.61,2.2,,144.16,146.35,148.58,0.1,1,1.65,58.7,144.65,144.65,,,,,,,,,,,144.75,148.04,
2025-01-28,148.17,150.405,147.38,147.48,1580342.0,,,,,3.03,2.37,0.66,3.03,2.38,,144.6,146.35,150.4,0.15,1,0.68,34.41,146.53,146.53,0.87,41.02,144.49,145.36,,,,,,,144.75,148.04,
2025-01-29,148.0,148.55,146.3,146.89,1801872.0,,,,,2.25,1.07,1.18,2.25,2.47,,145.47,146.35,150.4,0.15,1,-0.58,-29.9,148.04,148.04,0.56,29.47,145.52,146.09,,,,,,,146.11,148.04,
2025-01-30,147.21,149.87,147.21,148.05,1472896.0,,,,,2.66,2.98,0.32,2.98,2.81,,146.21,146.35,150.4,0.15,1,0.28,15.91,147.19,147.19,0.27,15.27,146.77,147.04,,,,,,,146.89,148.05,
2025-01-31,147.62,148.97,147.17,147.67,1766442.0,,,,,1.8,0.92,0.88,1.8,2.73,,146.84,146.35,150.4,0.15,1,0.39,21.31,147.15,147.15,-0.02,-0.97,147.66,147.64,,,,148.33,,,146.89,148.05,
2025-02-03,147.27,149.21,146.29,148.62,1589553.0,,,,,2.92,1.54,1.38,2.92,2.6,,146.29,150.4,146.29,0.05,0,0.29,15.91,147.83,147.83,0.31,17.01,147.13,147.44,,,,148.63,,,146.89,148.62,
2025-02-04,148.14,149.9,147.445,149.51,1664362.0,,,,,2.46,1.28,1.18,2.46,2.48,,146.29,150.19,146.29,0.05,0,0.92,42.61,147.68,147.68,0.58,30.16,146.99,147.57,,,,148.98,,,147.67,149.51,
2025-02-05,149.96,151.01,148.66,150.87,1538377.0,,,,,2.35,1.5,0.85,2.35,2.5,,146.29,151.01,151.01,0.05,1,1.12,48.37,148.54,148.54,0.75,36.8,147.45,148.2,,,,149.84,,,147.67,150.87,
2025-02-06,151.38,151.72,149.86,150.01,1536714.0,,,,,1.86,0.85,1.01,1.86,2.28,,146.53,151.01,151.72,0.1,1,0.25,14.04,149.88,149.88,0.69,34.72,147.95,148.64,,,,150.43,,,148.62,150.87,
2025-02-07,149.16,149.93,146.55,146.74,1803425.0,,,,,3.38,0.08,3.46,3.46,2.61,,146.55,151.72,146.55,0.05,0,-2.06,-64.16,151.27,151.27,-0.33,-18.06,149.8,149.48,,,,149.35,,,146.74,150.87,
2025-02-10,147.98,147.98,146.54,147.01,1331794.0,,,,,1.44,1.24,0.2,1.44,2.31,,146.55,151.46,146.54,0.1,0,-1.5,-56.31,149.42,149.42,-0.91,-42.4,150.65,149.74,,,,148.29,,,146.74,150.87,
2025-02-11,146.31,146.685,145.46,146.1,1404155.0,,,,,1.22,0.32,1.55,1.55,2.13,,146.55,150.97,145.46,0.15,0,-0.32,-17.74,146.94,146.94,-1.25,-51.43,150.65,149.4,,,,147.14,,,146.1,150.01,
2025-02-12,144.13,147.33,144.07,146.95,1377683.0,,,,,3.26,1.23,2.03,3.26,2.31,2.45,146.55,150.14,144.07,0.2,0,-0.03,-1.72,146.72,146.72,-0.68,-34.06,148.71,148.04,,,,146.41,,,146.1,147.01,
2025-02-13,146.94,148.78,146.4901,148.63,1252228.0,,,,,2.29,1.83,0.46,2.29,2.4,2.46,146.55,148.93,144.07,0.2,0,1.26,51.67,145.96,145.96,0.37,20.41,146.34,146.71,,,,146.68,,,146.1,148.63,
2025-02-14,148.96,149.28,147.09,147.25,1052397.0,,,,,2.19,0.65,1.54,2.19,2.15,2.44,144.07,149.28,149.28,0.05,1,0.15,8.53,147.46,147.46,0.3,16.75,146.59,146.89,,,,146.59,,,146.1,148.63,
2025-02-18,147.655,149.24,147.2,148.4,1931009.0,,,,,2.04,1.99,0.05,2.04,2.27,2.43,144.33,149.28,149.28,0.05,1,-0.11,-6.56,148.21,148.21,0.49,26.1,146.49,146.98,,,,147.51,,,146.95,148.63,
2025-02-19,148.65,150.17,147.78,150.04,1094556.0,,,,,2.39,1.77,0.62,2.39,2.43,2.4,144.58,149.28,150.17,0.1,1,1.39,54.37,147.17,147.17,0.59,30.75,147.06,147.66,,,,149.11,,,147.25,150.04,
2025-02-20,149.65,150.655,149.35,150.26,1356163.0,,,,,1.31,0.62,0.69,1.31,2.04,2.35,145.14,149.28,150.66,0.15,1,0.93,42.92,148.64,148.64,0.6,31.17,147.71,148.31,,,,149.97,,,147.25,150.26,
