Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,19.41,19.9,19.36,19.82,33683608.0
2024-12-23 05:00:00,19.78,20.005,19.59,19.99,14179221.0
2024-12-24 05:00:00,19.93,20.22,19.89,20.22,4614466.0
2024-12-26 05:00:00,20.17,20.22,20.045,20.21,4470070.0
2024-12-27 05:00:00,20.1,20.27,20.01,20.14,10354222.0
2024-12-30 05:00:00,20.07,20.165,19.95,20.13,9078270.0
2024-12-31 05:00:00,20.14,20.2799,20.02,20.18,15957921.0
2025-01-02 05:00:00,20.27,20.34,19.874,20.01,11063253.0
2025-01-03 05:00:00,20.1,20.41,20.015,20.4,12578107.0
2025-01-06 05:00:00,20.4,20.435,19.78,19.86,18233186.0
2025-01-07 05:00:00,19.9,20.04,19.87,19.98,14732900.0
2025-01-08 05:00:00,19.83,19.86,18.765,19.25,34090538.0
2025-01-10 05:00:00,17.97,18.18,16.9,17.17,74312610.0
2025-01-13 05:00:00,17.36,17.45,16.18,16.22,69621110.0
2025-01-14 05:00:00,16.285,16.49,15.94,16.22,47829830.0
2025-01-15 05:00:00,16.55,17.48,16.53,16.87,46400542.0
2025-01-16 05:00:00,17.02,17.35,16.86,16.95,29891464.0
2025-01-17 05:00:00,16.99,17.27,16.88,17.01,25732340.0
2025-01-21 05:00:00,17.14,17.43,17.0,17.3,24923023.0
2025-01-22 05:00:00,17.2,17.34,16.37,16.44,29791136.0
2025-01-23 05:00:00,16.54,16.6778,16.22,16.24,18673818.0
2025-01-24 05:00:00,16.19,16.6,16.17,16.54,21090631.0
2025-01-27 05:00:00,16.45,16.64,15.96,16.29,32341569.0
2025-01-28 05:00:00,16.35,16.3696,15.78,15.96,26358047.0
2025-01-29 05:00:00,15.94,16.0,15.74,15.79,26935647.0
2025-01-30 05:00:00,16.0,16.04,15.52,15.69,22218459.0
2025-01-31 05:00:00,15.74,15.74,15.32,15.65,31605688.0
2025-02-03 05:00:00,15.44,15.51,15.12,15.16,39323751.0
2025-02-04 05:00:00,15.09,15.355,14.99,15.18,23657810.0
2025-02-05 05:00:00,15.33,15.8,15.19,15.74,27048964.0
