Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,82.37,85.175,82.125,85.06,5833110.0,,,,,3.05,,,3.05,,,82.125,85.175,85.175,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,85.05,85.27,83.8,85.23,1953626.0,,,,,1.47,0.21,1.26,1.47,,,82.28,85.175,85.27,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,85.09,85.84,84.94,85.79,600841.0,,,,,0.9,0.61,0.29,0.9,,,82.58,85.175,85.84,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,85.49,85.73,84.8,85.4,943282.0,,,,,0.93,0.06,0.99,0.99,,,83.07,85.175,85.84,0.15,1,0.09,4.86,85.39,85.39,,,,,,,,,,,85.06,85.79
2024-12-27 05:00:00,84.72,85.14,84.21,84.93,1356050.0,,,,,0.93,0.26,1.19,1.19,1.52,,83.49,85.175,85.84,0.15,1,-0.43,-23.27,85.8,85.8,,,,,,,,,,,84.93,85.79
2024-12-30 05:00:00,84.27,84.74,83.6,84.47,1246975.0,,,,,1.14,0.19,1.33,1.33,1.18,,83.6,85.84,83.6,0.05,0,-0.47,-24.94,85.4,85.4,-0.24,-13.39,85.64,85.4,,,,,,,84.47,85.79
2024-12-31 05:00:00,84.54,84.95,84.0,84.49,1784643.0,,,,,0.95,0.48,0.47,0.95,1.07,,83.6,85.73,83.6,0.05,0,-0.22,-12.41,84.85,84.85,-0.35,-19.44,85.72,85.37,,,,,,,84.47,85.4
2025-01-02 05:00:00,85.15,85.34,84.4,85.1,1860937.0,,,,,0.94,0.85,0.09,0.94,1.08,,83.6,85.62,83.6,0.05,0,0.31,17.48,84.37,84.37,-0.1,-5.94,85.09,84.98,,,,,,,84.47,85.1
2025-01-03 05:00:00,85.37,86.76,84.82,86.25,1685126.0,,,,,1.94,1.66,0.28,1.94,1.27,,83.6,86.76,86.76,0.05,1,0.88,41.35,84.4,84.4,0.33,18.11,84.39,84.72,,,,85.23,,,84.47,86.25
2025-01-06 05:00:00,85.56,85.96,84.38,85.7,2532952.0,,,,,1.58,0.29,1.87,1.87,1.41,,83.76,86.76,86.76,0.05,1,0.3,16.7,85.38,85.38,0.42,22.88,84.36,84.78,,,,85.44,,,84.49,86.25
2025-01-07 05:00:00,86.33,86.55,85.095,85.41,1439845.0,,,,,1.45,0.85,0.61,1.45,1.43,,83.91,86.76,86.76,0.05,1,-0.42,-22.78,86.21,86.21,0.24,13.71,84.9,85.15,,,,85.63,,,85.1,86.25
2025-01-08 05:00:00,85.3,85.725,84.08,85.28,2174610.0,,,,,1.64,0.31,1.33,1.64,1.57,,84.05,86.76,86.76,0.05,1,-0.21,-11.86,85.67,85.67,-0.05,-2.75,85.64,85.6,,,,85.7,,,85.28,86.25
2025-01-10 05:00:00,84.92,85.565,84.05,84.23,2524879.0,,,,,1.52,0.28,1.23,1.52,1.68,,84.05,86.76,84.05,0.05,0,-0.59,-30.54,85.56,85.56,-0.45,-24.04,86.27,85.82,,,,85.23,,,84.23,85.7
2025-01-13 05:00:00,84.14,84.495,83.25,84.11,1984520.0,,,,,1.25,0.27,0.98,1.25,1.55,,84.05,86.62,83.25,0.1,0,-0.59,-30.33,85.12,85.12,-0.44,-23.56,85.82,85.38,,,,84.65,,,84.11,85.41
2025-01-14 05:00:00,84.42,85.63,84.24,85.06,1497230.0,,,,,1.39,1.52,0.13,1.52,1.48,,84.05,86.28,83.25,0.1,0,0.41,22.54,84.05,84.05,-0.19,-10.59,85.19,85.01,,,,84.5,,,84.11,85.28
2025-01-15 05:00:00,86.53,87.19,86.01,86.27,1834849.0,,,,,1.18,2.13,0.95,2.13,1.61,,83.25,87.19,87.19,0.05,1,1.08,47.2,84.07,84.07,0.28,15.7,84.43,84.71,,,,84.95,,,84.11,86.27
2025-01-16 05:00:00,86.21,88.49,86.035,88.48,1820843.0,,,,,2.45,2.22,0.23,2.45,1.77,1.43,83.45,87.19,88.49,0.1,1,1.71,59.68,84.89,84.89,1.07,46.83,83.5,84.56,,,,86.52,,,84.11,88.48
2025-01-17 05:00:00,88.3,88.79,87.48,88.14,2714179.0,,,,,1.31,0.31,1.0,1.31,1.73,1.45,83.95,87.19,88.79,0.15,1,0.93,43.08,86.7,86.7,1.15,48.94,84.12,85.26,,,,87.63,,,85.06,88.48
2025-01-21 05:00:00,88.9,90.627,88.7,90.39,2396121.0,,,,,1.93,2.49,0.56,2.49,1.98,1.51,84.68,87.19,90.63,0.2,1,0.95,43.68,88.05,88.05,1.25,51.41,85.16,86.42,,,,89.4,,,86.27,90.39
2025-01-22 05:00:00,90.59,90.98,88.07,88.21,2388664.0,,,,,2.91,0.59,2.32,2.91,2.26,1.6,85.87,87.19,90.98,0.21,1,0.03,2.0,88.88,88.88,0.58,30.07,87.14,87.72,,,,89.81,,,88.14,90.39
2025-01-23 05:00:00,88.58,88.95,87.68,88.17,1593231.0,,,,,1.27,0.74,0.53,1.27,2.09,1.68,86.94,87.19,90.98,0.21,1,-1.11,-47.98,90.03,90.03,-0.06,-3.15,88.79,88.73,,,,89.69,,,88.14,90.39
2025-01-24 05:00:00,87.67,88.34,87.135,88.05,2211353.0,,,,,1.2,0.17,1.03,1.2,1.84,1.72,87.14,90.98,87.14,0.05,0,-0.08,-4.57,88.22,88.22,-0.24,-13.5,89.07,88.83,,,,89.17,,,88.05,90.39
2025-01-27 05:00:00,85.25,85.59,80.2,82.09,5554915.0,,,,,5.39,2.46,7.85,7.85,3.14,1.86,87.14,90.79,80.2,0.1,0,-3.04,-71.79,89.14,89.14,-1.68,-59.18,90.73,89.06,,,,86.08,,,82.09,88.21
2025-01-28 05:00:00,82.78,83.189,80.66,81.74,3509483.0,,,,,2.53,1.1,1.43,2.53,3.15,1.99,87.14,89.73,80.2,0.1,0,-3.16,-72.41,87.11,87.11,-1.9,-62.27,89.46,87.55,,,,83.39,,,81.74,88.17
2025-01-29 05:00:00,81.44,82.76,81.155,81.7,2915589.0,85.59,2.13,89.85,81.33,1.61,1.02,0.58,1.61,2.89,2.09,87.14,88.78,80.2,0.1,0,-0.2,-11.03,82.04,82.04,-1.93,-62.55,88.2,86.28,,,,81.61,,,81.7,88.05
2025-01-30 05:00:00,82.7,84.38,81.82,83.83,2923564.0,85.54,2.15,89.84,81.24,2.56,2.68,0.12,2.68,3.17,2.2,87.14,87.92,80.2,0.1,0,1.04,46.26,81.38,81.38,-0.88,-41.44,85.25,84.36,,,,81.2,,,81.7,83.83
2025-01-31 05:00:00,83.96,84.62,83.14,83.54,1854559.0,85.47,2.19,89.85,81.09,1.48,0.79,0.69,1.48,3.23,2.33,87.14,87.15,80.2,0.1,0,0.92,42.61,82.1,82.1,0.5,26.52,81.58,82.08,,,,81.59,,,81.7,83.83
2025-02-03 05:00:00,82.51,83.76,81.99,83.47,2065514.0,85.38,2.23,89.84,80.92,1.77,0.22,1.55,1.77,2.01,2.37,87.14,86.46,80.2,0.1,0,-0.18,-10.2,83.79,83.79,0.53,27.92,81.8,82.33,,,,81.98,,,81.7,83.83
2025-02-04 05:00:00,83.0,83.99,82.38,83.4,1574260.0,85.3,2.26,89.82,80.78,1.61,0.52,1.09,1.61,1.83,2.39,87.14,85.83,80.2,0.1,0,-0.07,-4.0,83.54,83.54,0.3,16.91,82.58,82.88,,,,82.72,,,83.4,83.83
