Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,109.17,111.18,108.57,110.52,4865656.0,,,,,2.61,,,2.61,,,108.57,111.18,111.18,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,109.95,110.58,109.0,110.13,1477551.0,,,,,1.58,0.06,1.52,1.58,,,108.7,111.18,111.18,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,109.86,110.83,109.61,110.75,700926.0,,,,,1.22,0.7,0.52,1.22,,,108.82,111.18,111.18,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,109.82,111.11,109.375,110.65,1259028.0,,,,,1.73,0.36,1.38,1.73,,,108.94,111.18,111.18,0.05,1,0.26,14.57,110.25,110.25,,,,,,,,,,,110.13,110.75
2024-12-27 05:00:00,109.73,111.11,108.93,109.52,990579.0,,,,,2.18,0.46,1.72,2.18,1.86,,108.93,111.18,108.93,0.05,0,-0.62,-31.59,110.92,110.92,,,,,,,,,,,109.52,110.75
2024-12-30 05:00:00,109.25,109.41,107.7,108.86,1148255.0,,,,,1.71,0.11,1.82,1.82,1.71,,108.93,111.11,107.7,0.1,0,-0.9,-41.83,110.57,110.57,-0.38,-20.66,110.74,110.36,,,,,,,108.86,110.75
2024-12-31 05:00:00,109.6,109.99,108.56,108.9,1217579.0,,,,,1.43,1.13,0.3,1.43,1.68,,108.93,110.77,107.7,0.1,0,-0.31,-17.22,109.4,109.4,-0.55,-28.77,110.83,110.29,,,,,,,108.86,110.65
2025-01-02 05:00:00,110.18,110.49,107.18,107.64,1384814.0,,,,,3.31,1.59,1.72,3.31,2.09,,107.7,110.49,110.49,0.05,1,-0.61,-31.38,109.08,109.08,-0.66,-33.58,110.44,109.78,,,,,,,107.64,109.52
2025-01-03 05:00:00,110.49,111.0,108.765,110.05,1934527.0,,,,,2.23,3.36,1.12,3.36,2.42,,107.18,110.49,111.0,0.1,1,0.57,29.9,108.29,108.29,-0.02,-0.92,109.03,109.01,,,,108.64,,,107.64,110.05
2025-01-06 05:00:00,110.71,111.6397,108.605,108.93,1540035.0,,,,,3.03,1.59,1.44,3.03,2.59,,107.56,110.49,111.64,0.15,1,0.65,32.82,108.23,108.23,0.13,7.35,108.62,108.75,,,,108.52,,,107.64,110.05
2025-01-07 05:00:00,108.52,109.7,107.55,107.83,1682776.0,,,,,2.15,0.77,1.38,2.15,2.66,,107.55,111.64,107.55,0.05,0,-1.11,-47.98,110.05,110.05,-0.09,-4.86,108.84,108.76,,,,108.2,,,107.64,110.05
2025-01-08 05:00:00,108.0,110.68,106.8135,110.46,2626697.0,,,,,3.87,2.85,1.02,3.87,3.14,,107.55,111.44,106.81,0.1,0,0.77,37.42,108.31,108.31,0.34,18.88,108.3,108.64,,,,109.19,,,107.83,110.46
2025-01-10 05:00:00,109.65,110.09,107.42,107.61,2041376.0,,,,,2.67,0.37,3.04,3.04,3.09,,107.55,110.98,106.81,0.1,0,-0.11,-6.28,108.74,108.74,-0.34,-18.52,109.65,109.31,,,,108.72,,,107.61,110.46
2025-01-13 05:00:00,107.32,109.08,107.05,108.99,1570488.0,,,,,2.03,1.47,0.56,2.03,2.82,,107.55,110.56,106.81,0.1,0,-0.73,-36.32,109.75,109.75,-0.01,-0.57,108.78,108.77,,,,108.83,,,107.61,110.46
2025-01-14 05:00:00,111.9,112.913,110.2,112.5,1765932.0,,,,,2.71,3.92,1.21,3.92,3.0,,106.81,112.91,112.91,0.05,1,2.44,67.76,107.25,107.25,0.79,38.2,107.9,108.69,,,,110.39,,,107.61,112.5
2025-01-15 05:00:00,117.46,117.49,114.49,115.97,2414430.0,,,,,3.0,4.99,1.99,4.99,3.57,,107.12,112.91,117.49,0.1,1,3.49,74.01,109.0,109.0,1.59,57.85,107.92,109.51,,,,112.79,,,107.61,115.97
2025-01-16 05:00:00,114.52,117.04,114.1201,116.93,2252706.0,,,,,2.92,1.07,1.85,2.92,3.38,2.62,108.16,112.91,117.49,0.1,1,2.21,65.7,112.92,112.92,2.56,68.68,107.28,109.84,,,,115.49,,,108.99,116.93
2025-01-17 05:00:00,118.58,119.0058,116.41,117.03,2448248.0,,,,,2.6,2.08,0.52,2.6,3.29,2.73,109.09,112.91,119.01,0.15,1,0.53,27.92,116.11,116.11,2.05,64.01,110.18,112.23,,,,117.39,,,112.5,117.03
2025-01-21 05:00:00,119.3,120.32,115.32,115.81,2693637.0,,,,,5.0,3.29,1.71,5.0,3.89,2.89,110.58,112.91,120.32,0.2,1,-0.56,-29.25,117.15,117.15,0.77,37.52,114.11,114.88,,,,117.82,,,115.81,117.03
2025-01-22 05:00:00,115.25,117.12,114.79,116.89,1771516.0,,,,,2.33,1.31,1.02,2.33,3.57,3.04,112.53,112.91,120.32,0.2,1,-0.07,-4.0,116.65,116.65,0.07,4.12,116.38,116.45,,,,118.7,,,115.81,117.03
2025-01-23 05:00:00,116.27,117.98,115.89,116.52,2159231.0,,,,,2.09,1.09,1.0,2.09,2.99,3.11,114.09,112.91,120.32,0.2,1,0.35,19.54,116.05,116.05,-0.1,-5.48,116.83,116.73,,,,118.17,,,115.81,117.03
2025-01-24 05:00:00,116.36,116.56,115.11,115.69,1510540.0,,,,,1.45,0.04,1.41,1.45,2.69,3.13,115.11,120.32,115.11,0.05,0,-0.6,-30.96,116.97,116.97,-0.2,-11.14,116.78,116.58,,,,116.91,,,115.69,116.89
2025-01-27 05:00:00,115.0,118.75,114.91,118.05,3131488.0,,,,,3.84,3.06,0.78,3.84,2.94,3.16,115.11,120.06,114.91,0.1,0,0.77,37.42,115.99,115.99,0.33,18.16,115.94,116.26,,,,116.94,,,115.69,118.05
2025-01-28 05:00:00,117.84,117.995,114.91,115.05,2130334.0,,,,,3.09,0.05,3.14,3.14,2.57,3.15,115.11,119.54,114.91,0.1,0,-0.32,-17.74,116.58,116.58,-0.21,-12.13,116.87,116.66,,,,116.13,,,115.05,118.05
2025-01-29 05:00:00,115.08,115.87,112.09,112.99,2966224.0,112.17,3.53,119.23,105.11,3.78,0.82,2.96,3.78,2.86,3.13,115.11,119.08,112.09,0.15,0,-2.53,-68.43,117.89,117.89,-0.77,-37.6,117.2,116.43,,,,114.78,,,112.99,118.05
2025-01-30 05:00:00,116.38,121.31,113.395,118.51,3758848.0,112.49,3.73,119.95,105.03,7.92,8.32,0.41,8.32,4.11,3.21,112.09,121.31,121.31,0.05,1,1.73,59.97,113.79,113.79,0.06,3.32,115.94,116.0,,,,116.08,,,112.99,118.51
2025-01-31 05:00:00,116.91,117.91,113.63,113.78,3252434.0,112.64,3.71,120.06,105.22,4.28,0.6,4.88,4.88,4.79,3.36,112.55,121.31,121.31,0.05,1,0.4,21.55,114.7,114.7,-0.51,-26.93,116.69,116.18,,,,114.98,,,112.99,118.51
2025-02-03 05:00:00,111.51,111.52,108.4,109.15,3191313.0,112.57,3.75,120.07,105.07,3.12,2.26,5.38,5.38,5.1,3.52,108.4,121.31,108.4,0.05,0,-4.68,-77.94,118.49,118.49,-1.1,-47.75,116.1,115.0,,,,112.39,,,109.15,118.51
2025-02-04 05:00:00,108.74,110.92,107.694,110.38,2560035.0,112.56,3.76,120.08,105.04,3.23,1.77,1.46,3.23,5.12,3.64,108.4,120.66,107.69,0.1,0,-1.7,-59.53,112.8,112.8,-1.46,-55.55,115.88,114.42,,,,110.87,,,109.15,118.51
2025-02-05 05:00:00,112.45,112.635,110.44,111.33,2403132.0,112.63,3.72,120.07,105.19,2.2,2.26,0.06,2.26,4.81,3.75,108.4,119.36,107.69,0.1,0,1.09,47.47,109.2,109.2,-1.78,-60.62,116.18,114.41,,,,110.04,,,109.15,113.78
2025-02-06 05:00:00,111.33,111.89,109.11,110.01,2563651.0,112.68,3.67,120.02,105.34,2.78,0.56,2.22,2.78,3.71,3.78,108.4,118.19,107.69,0.1,0,-0.18,-10.48,110.76,110.76,-0.54,-28.19,112.0,111.47,,,,109.62,,,109.15,111.33
2025-02-07 05:00:00,109.25,109.37,105.3952,105.87,2662534.0,112.56,3.85,120.26,104.86,3.97,0.64,4.61,4.61,3.65,3.76,108.4,117.14,105.4,0.15,0,-2.73,-69.88,111.8,111.8,-0.69,-34.72,110.73,110.04,,,,107.4,,,105.87,111.33
2025-02-10 05:00:00,106.8,107.13,106.15,106.57,1963544.0,112.52,3.91,120.34,104.7,0.98,1.26,0.28,1.26,2.83,3.71,108.4,115.38,105.4,0.15,0,-1.72,-59.83,109.2,109.2,-1.31,-52.6,111.45,110.14,,,,105.72,,,105.87,111.33
2025-02-11 05:00:00,106.07,108.5,105.3516,107.33,2326887.0,112.41,4.02,120.45,104.37,3.15,1.93,1.22,3.15,2.81,3.69,108.4,113.88,105.35,0.2,0,0.73,36.13,105.86,105.86,-1.14,-48.84,110.51,109.37,,,,106.26,,,105.87,110.01
2025-02-12 05:00:00,104.32,106.06,103.7,106.0,2274753.0,112.29,4.17,120.63,103.95,2.36,1.27,3.63,3.63,3.09,3.72,108.4,112.17,103.7,0.21,0,-0.28,-15.91,106.92,106.92,-0.66,-33.26,108.47,107.81,-4.36,,,106.01,,,105.87,107.33
2025-02-13 05:00:00,106.5,107.2,105.455,106.7,1594677.0,112.24,4.22,120.68,103.8,1.75,1.2,0.55,1.75,2.88,3.72,108.4,110.39,103.7,0.21,0,-0.32,-17.48,106.99,106.99,0.11,6.22,106.28,106.38,-4.92,,,105.53,,,106.0,107.33
2025-02-14 05:00:00,107.4,109.355,106.8,107.43,1519276.0,112.12,4.32,120.76,103.48,2.56,2.66,0.1,2.66,2.49,3.71,103.7,109.36,109.36,0.05,1,0.71,35.56,105.99,105.99,0.11,6.22,106.59,106.7,-4.53,,,105.88,,,106.0,107.43
2025-02-18 05:00:00,106.95,107.48,104.52,105.6,1642487.0,112.04,4.42,120.88,103.2,2.96,0.05,2.91,2.96,2.83,3.71,103.98,109.36,109.36,0.05,1,-0.55,-28.81,107.13,107.13,-0.2,-11.48,107.02,106.82,-4.57,-0.21,,105.94,,,105.6,107.43
2025-02-19 05:00:00,102.52,105.025,101.1275,104.86,2294614.0,111.88,4.61,121.1,102.66,3.9,0.57,4.47,4.47,3.09,3.63,101.13,109.36,101.13,0.05,0,-1.29,-52.11,107.25,107.25,-0.34,-18.68,106.79,106.46,-4.9,0.02,,105.84,,,104.86,107.43
2025-02-20 05:00:00,104.4,106.07,103.965,105.84,1694444.0,111.61,4.77,121.15,102.07,2.1,1.21,0.89,2.1,2.79,3.48,101.13,108.95,101.13,0.05,0,0.12,6.84,105.31,105.31,-0.43,-23.22,106.94,106.51,-4.83,-0.3,,105.54,,,104.86,107.43
2025-02-21 05:00:00,106.39,106.5,102.2,103.11,1818938.0,111.1,4.97,121.04,101.16,4.3,0.66,3.64,4.3,3.3,3.34,101.13,108.56,101.13,0.05,0,-0.88,-41.19,105.48,105.48,-0.84,-40.03,107.05,106.21,-5.38,-0.81,,104.29,,,103.11,105.84
