Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,110.255,117.89,110.17,117.27,8040357.0,,,,,7.72,,,7.72,,,110.17,117.89,117.89,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,116.26,117.475,114.52,115.13,5429457.0,,,,,2.95,0.2,2.75,2.95,,,110.56,117.89,117.89,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,115.29,118.58,114.5,118.54,4788661.0,,,,,4.08,3.45,0.63,4.08,,,110.93,117.89,118.58,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,118.53,120.07,117.21,118.93,4166063.0,,,,,2.86,1.53,1.33,2.86,,,111.7,117.89,120.07,0.15,1,1.9,62.24,115.63,115.63,,,,,,,,,,,115.13,118.93,
2025-01-27,117.99,122.09,117.99,121.25,5253579.0,,,,,4.1,3.16,0.94,4.1,4.34,,112.96,117.89,122.09,0.2,1,1.35,53.57,118.22,118.22,,,,,,,,,,,115.13,121.25,
2025-01-28,121.1,121.56,119.81,120.21,3494633.0,,,,,1.75,0.31,1.44,1.75,3.15,,114.79,117.89,122.09,0.2,1,0.64,32.62,119.49,119.49,1.29,52.15,116.24,117.52,,,,,,,118.54,121.25,
2025-01-29,120.5,121.01,118.46,119.17,2758344.0,,,,,2.55,0.8,1.75,2.55,3.07,,116.25,117.89,122.09,0.2,1,-1.04,-46.12,121.25,121.25,0.25,14.25,119.11,119.37,,,,,,,118.93,121.25,
2025-01-30,120.78,122.25,119.38,120.65,2844084.0,,,,,2.87,3.08,0.21,3.08,2.87,,117.42,117.89,122.25,0.21,1,0.22,12.41,119.79,119.79,0.14,7.74,119.77,119.91,,,,,,,119.17,121.25,
2025-01-31,119.77,120.685,118.45,119.25,3753760.0,,,,,2.23,0.03,2.2,2.23,2.74,,118.43,117.89,122.25,0.21,1,0.04,2.29,119.65,119.65,-0.36,-19.6,120.82,120.46,,,,120.77,,,119.17,120.65,
2025-02-03,116.025,118.51,114.46,117.84,3704128.0,,,,,4.05,0.74,4.79,4.79,2.88,,114.46,122.25,114.46,0.05,0,-1.41,-54.56,120.65,120.65,-0.47,-24.99,120.36,119.89,,,,119.22,,,117.84,120.65,
2025-02-04,116.26,118.8099,116.18,118.31,2273404.0,,,,,2.63,0.97,1.66,2.63,3.06,,114.46,121.86,114.46,0.05,0,-0.47,-25.17,118.94,118.94,-0.45,-24.37,119.95,119.5,,,,118.5,,,117.84,120.65,
2025-02-05,119.44,119.44,117.49,118.78,2798008.0,,,,,1.95,1.13,0.82,1.95,2.94,,114.46,121.49,114.46,0.05,0,0.47,25.17,117.84,117.84,-0.47,-25.08,119.9,119.43,,,,118.09,,,117.84,119.25,
2025-02-06,119.23,119.23,116.84,118.54,3476416.0,,,,,2.39,0.45,1.94,2.39,2.8,,114.46,121.14,114.46,0.05,0,0.11,6.56,118.43,118.43,-0.05,-2.75,118.64,118.59,,,,118.17,,,117.84,118.78,
2025-02-07,118.78,119.23,117.0,117.35,2873210.0,,,,,2.23,0.69,1.54,2.23,2.8,,114.46,120.81,114.46,0.05,0,-0.71,-35.56,118.94,118.94,-0.08,-4.29,118.31,118.24,,,,117.73,,,117.35,118.78,
2025-02-10,118.05,119.59,117.63,119.47,2767073.0,,,,,1.96,2.24,0.28,2.24,2.29,,114.46,120.49,114.46,0.05,0,0.46,24.94,117.99,117.99,0.09,5.09,118.31,118.4,,,,118.14,,,117.35,119.47,
2025-02-11,119.0,122.17,119.0,121.77,3673616.0,,,,,3.17,2.7,0.47,3.17,2.4,,114.46,122.17,122.17,0.05,1,2.21,65.65,117.32,117.32,0.69,34.64,117.8,118.49,,,,119.86,,,117.35,121.77,
2025-02-12,118.62,120.65,118.62,119.77,3374728.0,,,,,2.03,1.12,3.15,3.15,2.64,2.92,114.85,122.17,122.17,0.05,1,0.15,8.53,120.19,120.19,0.69,34.53,118.0,118.69,,,,120.3,,,117.35,121.77,
2025-02-13,119.91,121.46,118.81,120.9,2443795.0,,,,,2.65,1.69,0.96,2.65,2.69,2.79,115.22,122.17,122.17,0.05,1,-0.43,-23.51,121.25,121.25,0.74,36.5,118.37,119.11,,,,120.81,,,119.47,121.77,
2025-02-14,121.7,122.61,120.65,120.85,2101458.0,,,,,1.96,1.71,0.25,1.96,2.63,2.75,115.57,122.17,122.61,0.1,1,0.54,28.37,119.97,119.97,0.19,10.7,120.17,120.36,,,,121.17,,,119.77,121.77,
2025-02-18,120.76,121.8246,120.25,121.31,2151230.0,,,,,1.57,0.97,0.6,1.57,2.5,2.71,116.27,122.17,122.61,0.1,1,0.2,11.59,120.82,120.82,0.02,0.92,120.89,120.9,,,,121.63,,,119.77,121.31,
2025-02-19,120.73,122.16,120.05,121.63,5276436.0,,,,,2.11,0.85,1.26,2.11,2.29,2.67,116.9,122.17,122.61,0.1,1,0.39,21.31,120.87,120.87,0.41,22.44,120.07,120.48,,,,121.94,,,120.85,121.63,
2025-02-20,121.63,121.63,120.18,120.9,2484743.0,,,,,1.45,0.0,1.45,1.45,1.95,2.61,117.47,122.17,122.61,0.1,1,-0.2,-11.59,121.48,121.48,0.08,4.46,120.96,121.04,,,,121.4,,,120.85,121.63,
2025-02-21,121.3,121.4506,119.63,120.97,3152031.0,,,,,1.82,0.55,1.27,1.82,1.78,2.52,117.98,122.17,122.61,0.1,1,-0.33,-18.26,121.5,121.5,-0.02,-0.97,121.17,121.15,,,,121.12,,,120.9,121.63,
2025-02-24,121.12,122.08,119.975,120.73,2708493.0,,,,,2.11,1.11,1.0,2.11,1.81,2.42,118.44,122.17,122.61,0.1,1,-0.08,-4.86,120.95,120.95,-0.18,-10.31,121.47,121.29,,,,121.2,,,120.73,121.63,
2025-02-25,121.29,123.07,120.95,122.61,3732747.0,119.69,1.73,123.15,116.23,2.12,2.34,0.22,2.34,1.97,2.35,118.86,122.17,123.07,0.15,1,0.82,39.35,120.62,120.62,0.18,10.15,121.01,121.19,,,,121.64,,,120.73,122.61,
2025-02-26,122.95,123.43,121.77,122.16,2324915.0,119.88,1.72,123.32,116.44,1.66,0.82,0.84,1.66,1.88,2.28,119.49,122.17,123.43,0.2,1,0.71,35.56,121.12,121.12,0.42,22.59,120.64,121.06,,,,121.94,,,120.73,122.61,
2025-02-27,122.25,124.0,121.5,122.77,2293358.0,120.19,1.51,123.21,117.17,2.5,1.84,0.66,2.5,2.09,2.22,120.28,122.17,124.0,0.21,1,0.08,4.57,122.43,122.43,0.5,26.7,120.84,121.34,,,,122.37,,,120.73,122.77,
2025-02-28,122.84,124.25,121.91,123.92,5562250.0,120.4,1.64,123.68,117.12,2.34,1.48,0.86,2.34,2.19,2.22,121.06,122.17,124.25,0.21,1,0.88,41.35,122.07,122.07,0.65,33.18,121.13,121.78,,,,123.25,,,122.16,123.92,
2025-03-03,124.16,124.99,122.74,123.54,3184096.0,120.59,1.73,124.05,117.13,2.25,1.07,1.18,2.25,2.22,2.2,121.73,122.17,124.99,0.21,1,0.39,21.06,123.02,123.02,0.36,19.9,122.28,122.64,,,,123.82,,,122.16,123.92,
2025-03-04,123.09,124.135,121.58,121.78,3242369.0,120.61,1.74,124.09,117.13,2.56,0.59,1.96,2.56,2.26,2.17,121.58,124.99,121.58,0.05,0,-1.07,-46.94,124.15,124.15,0.0,0.06,122.83,122.83,,,,123.32,,,121.78,123.92,
2025-03-05,120.86,124.67,120.52,124.04,4300737.0,120.76,1.87,124.5,117.02,4.15,2.89,1.26,4.15,2.76,2.18,121.58,124.82,120.52,0.1,0,0.25,14.04,122.87,122.87,0.04,2.29,123.13,123.17,,,,123.71,,,121.78,124.04,
2025-03-06,122.85,123.48,119.7253,120.3,4080290.0,120.81,1.84,124.49,117.13,3.75,0.56,4.31,4.31,3.12,2.22,121.58,124.67,119.73,0.15,0,-0.74,-36.5,122.78,122.78,-0.67,-33.98,124.06,123.39,,,,122.22,,,120.3,124.04,
2025-03-07,120.75,121.44,118.045,119.91,4004284.0,120.78,1.85,124.48,117.08,3.39,1.14,2.25,3.39,3.33,2.28,121.58,123.93,118.04,0.2,0,-2.07,-64.16,123.48,123.48,-0.87,-41.15,123.66,122.79,,,,121.07,,,119.91,124.04,
2025-03-10,119.45,120.14,117.275,117.87,4238557.0,120.72,1.91,124.54,116.9,2.86,0.23,2.63,2.86,3.45,2.37,121.58,122.75,117.28,0.21,0,-1.21,-50.54,120.57,120.57,-1.2,-50.08,123.17,121.98,,,,119.19,,,117.87,124.04,
2025-03-11,118.83,119.1,115.53,117.18,5521753.0,120.69,1.96,124.61,116.77,3.57,1.23,2.34,3.57,3.66,2.5,121.58,121.6,115.53,0.21,0,-1.37,-53.77,119.69,119.69,-1.62,-58.23,123.09,121.48,-0.3,,,117.53,,,117.18,120.3,
2025-03-12,117.64,118.01,115.66,115.73,3608420.0,120.59,2.15,124.89,116.29,2.35,0.83,1.52,2.35,3.3,2.62,121.58,120.33,115.53,0.21,0,-1.07,-46.94,118.0,118.0,-1.19,-49.89,120.57,119.39,-1.92,,,116.02,,,115.73,119.91,
2025-03-13,115.72,116.44,110.12,110.36,4802940.0,120.25,2.95,126.15,114.35,6.32,0.71,5.61,6.32,3.7,2.76,121.58,119.32,110.12,0.21,0,-3.41,-73.66,117.83,117.83,-2.12,-64.79,120.46,118.33,-3.77,,,112.86,,,110.36,117.87,
2025-03-14,111.76,112.2899,110.5,111.89,4732695.0,119.99,3.38,126.75,113.23,1.79,1.93,0.14,1.93,3.41,2.87,121.58,117.39,110.12,0.21,0,-1.92,-62.49,114.58,114.58,-1.88,-61.97,118.36,116.48,-5.18,-4.88,,110.99,,,110.36,117.18,
2025-03-17,111.5,114.99,111.49,114.44,3436135.0,119.87,3.53,126.93,112.81,3.5,3.1,0.4,3.5,3.53,3.0,121.58,115.86,110.12,0.21,0,2.04,63.89,110.19,110.19,-0.93,-42.98,115.78,114.85,-5.74,-3.82,,111.58,,,110.36,115.73,
2025-03-18,113.86,114.0,111.64,112.38,3464205.0,119.59,3.83,127.25,111.93,2.36,0.44,2.8,2.8,3.38,3.1,121.58,114.99,110.12,0.21,0,0.24,13.77,112.66,112.66,-0.26,-14.68,113.48,113.22,-6.45,-2.68,,111.17,,,110.36,114.44,
2025-03-19,112.26,113.74,111.7,112.97,4121140.0,119.24,4.02,127.28,111.2,2.04,1.36,0.68,2.04,3.32,3.19,121.58,114.0,110.12,0.21,0,-0.74,-36.32,114.0,114.0,0.57,29.73,111.27,111.84,-6.79,-1.61,,111.58,,,111.89,114.44,
2025-03-20,112.62,113.92,111.7,112.07,3344177.0,118.93,4.27,127.47,110.39,2.22,0.95,1.27,2.22,2.5,3.21,110.12,113.92,113.92,0.05,1,-0.15,-8.81,112.63,112.63,-0.11,-6.33,112.97,112.86,-6.25,-0.51,,111.67,,,112.07,114.44,
2025-03-21,111.27,111.66,107.93,108.42,7526647.0,118.43,4.73,127.89,108.97,3.73,0.41,4.14,4.14,2.94,3.26,107.93,113.92,107.93,0.05,0,-2.27,-66.27,113.43,113.43,-1.24,-51.0,114.53,113.29,-6.59,-0.14,,110.56,,,108.42,112.97,
2025-03-24,109.28,110.425,108.12,110.26,5379811.0,118.01,4.97,127.95,108.07,2.3,2.0,0.3,2.3,2.7,3.26,107.93,113.62,107.93,0.05,0,-0.91,-42.15,111.16,111.16,-0.88,-41.32,112.98,112.1,-7.17,-0.38,,110.57,,,108.42,112.97,
2025-03-25,110.07,110.44,108.42,109.23,3467164.0,117.52,5.22,127.96,107.08,2.02,0.18,1.84,2.02,2.54,3.21,107.93,113.34,107.93,0.05,0,0.41,22.05,108.9,108.9,-0.93,-42.89,112.45,111.52,-7.56,-1.31,,109.28,,,108.42,112.07,
2025-03-26,109.6,111.58,109.48,111.13,3246114.0,117.1,5.3,127.7,106.5,2.1,2.35,0.25,2.35,2.61,3.16,107.93,113.07,107.93,0.05,0,0.44,23.51,109.77,109.77,-0.11,-6.11,110.44,110.33,-7.72,-1.13,-0.21,109.25,,,108.42,111.13,
2025-03-27,111.23,112.3299,110.59,110.75,2825157.0,116.7,5.38,127.46,105.94,1.74,1.2,0.54,1.74,2.51,3.08,107.93,112.81,107.93,0.05,0,0.76,37.23,109.61,109.61,0.55,28.94,108.85,109.4,-7.75,-0.58,-0.44,109.76,,,109.23,111.13,
