Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,199.38,200.63,197.2,198.56,3111215.0,,,,,3.43,,,3.43,,,200.63,197.2,197.2,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,197.47,197.785,195.37,196.3,2879941.0,,,,,2.41,0.78,3.19,3.19,,,197.2,197.78,197.78,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,195.71,198.68,194.07,197.65,2716372.0,,,,,4.61,2.38,2.23,4.61,,,194.07,197.78,194.07,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,196.17,201.39,196.17,199.53,2083088.0,,,,,5.22,3.74,1.48,5.22,,,194.07,201.39,201.39,0.05,1,1.61,58.23,196.21,196.21,,,,,,,,,,,196.3,199.53,
2025-01-27,200.22,202.93,199.93,202.89,1842006.0,,,,,3.0,3.4,0.4,3.4,3.97,,194.44,201.39,202.93,0.1,1,2.62,69.11,197.4,197.4,,,,,,,,,,,196.3,202.89,
2025-01-28,202.65,203.5799,199.2563,201.72,1922384.0,,,,,4.32,0.69,3.63,4.32,4.15,,195.29,201.39,203.58,0.15,1,1.1,47.6,200.28,200.28,1.61,58.12,196.4,198.01,,,,,,,197.65,202.89,
2025-01-29,201.72,205.46,201.63,202.18,2096673.0,,,,,3.83,3.74,0.09,3.83,4.28,,196.53,201.39,205.46,0.2,1,-0.35,-19.54,202.62,202.62,1.12,48.37,198.54,199.67,,,,,,,199.53,202.89,
2025-01-30,204.22,204.74,200.38,202.07,1705356.0,,,,,4.36,2.56,1.8,4.36,4.23,,198.32,201.39,205.46,0.2,1,0.18,9.93,201.81,201.81,0.44,23.61,200.8,201.24,,,,,,,201.72,202.89,
2025-01-31,202.11,203.06,199.41,200.95,2739780.0,,,,,3.65,0.99,2.66,3.65,3.91,,199.41,205.46,199.41,0.05,0,-0.62,-31.59,202.35,202.35,-0.35,-19.44,202.67,202.32,,,,202.97,,,200.95,202.18,
2025-02-03,197.19,198.76,194.3,197.64,1474583.0,,,,,4.46,2.19,6.65,6.65,4.56,,199.41,205.16,194.3,0.1,0,-2.22,-65.7,202.44,202.44,-0.94,-43.2,202.79,201.85,,,,200.79,,,197.64,202.18,
2025-02-04,198.06,200.2788,197.797,198.98,1536321.0,,,,,2.48,2.64,0.16,2.64,4.23,,199.41,204.07,194.3,0.1,0,-0.99,-44.57,200.17,200.17,-1.08,-47.28,202.53,201.45,,,,199.39,,,197.64,202.07,
2025-02-05,200.18,200.57,197.485,198.89,2057758.0,,,,,3.08,1.59,1.49,3.08,4.08,,199.41,203.09,194.3,0.1,0,0.62,32.01,197.88,197.88,-0.83,-39.79,201.37,200.54,,,,198.31,,,197.64,200.95,
2025-02-06,201.4,202.51,199.11,202.43,1593745.0,,,,,3.4,3.62,0.22,3.62,3.93,,194.3,202.51,202.51,0.05,1,1.73,59.9,198.37,198.37,0.42,22.83,198.94,199.36,,,,199.6,,,197.64,202.43,
2025-02-07,202.61,202.75,199.94,200.72,1270968.0,,,,,2.81,0.32,2.49,2.81,3.76,,194.71,202.51,202.75,0.1,1,0.91,42.46,199.76,199.76,0.96,43.86,197.81,198.77,,,,199.93,,,198.89,202.43,
2025-02-10,200.72,200.95,196.56,197.28,1453240.0,,,,,4.39,0.23,4.16,4.39,3.31,,195.51,202.51,202.75,0.1,1,-2.58,-68.78,202.72,202.72,-0.16,-8.92,199.97,199.82,,,,199.02,,,197.28,202.43,
2025-02-11,196.91,199.51,195.82,199.22,1422253.0,,,,,3.69,2.23,1.46,3.69,3.52,,195.82,202.75,195.82,0.05,0,-0.75,-36.87,199.82,199.82,-0.45,-24.18,200.61,200.16,,,,199.3,,,197.28,202.43,
2025-02-12,197.29,197.64,194.51,195.59,1774516.0,,,,,3.13,1.58,4.71,4.71,3.84,3.98,195.82,202.4,194.51,0.1,0,-0.84,-40.2,198.21,198.21,-1.52,-56.62,202.08,200.57,,,,198.02,,,195.59,200.72,
2025-02-13,195.72,196.4287,194.12,195.43,1883567.0,,,,,2.31,0.84,1.47,2.31,3.58,3.95,195.82,201.61,194.12,0.15,0,-1.9,-62.18,198.64,198.64,-1.23,-50.82,200.1,198.88,,,,196.3,,,195.43,199.22,
2025-02-14,196.14,198.09,193.5,193.91,2362069.0,,,,,4.59,2.66,1.93,4.59,3.94,3.94,195.82,200.49,193.5,0.2,0,-0.84,-40.03,195.82,195.82,-1.05,-46.48,198.39,197.34,,,,194.46,,,193.91,199.22,
2025-02-18,194.0,196.86,193.1404,196.52,2261702.0,,,,,3.72,2.95,0.77,3.72,3.8,3.9,195.82,199.09,193.14,0.21,0,0.54,28.59,194.74,194.74,-0.71,-35.3,197.55,196.84,,,,194.11,,,193.91,196.52,
2025-02-19,194.4,195.37,192.66,194.21,1615626.0,,,,,2.71,1.15,3.86,3.86,3.84,3.87,195.82,197.84,192.66,0.21,0,0.15,8.53,194.73,194.73,-0.17,-9.48,195.47,195.3,,,,193.88,,,193.91,196.52,
