Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,256.56,270.7,256.56,266.57,1466069.0,,,,,14.14,,,14.14,,,256.56,270.7,270.7,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,264.82,266.44,258.97,263.33,493759.0,,,,,7.47,0.13,7.6,7.6,,,257.27,270.7,270.7,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,263.91,264.165,261.54,263.23,140073.0,,,,,2.62,0.84,1.79,2.62,,,257.94,270.7,270.7,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,261.26,266.42,261.26,265.68,244040.0,,,,,5.16,3.19,1.97,5.16,,,258.58,270.7,270.7,0.05,1,1.18,49.6,262.9,262.9,,,,,,,,,,,263.23,266.57
2024-12-27 05:00:00,262.61,266.59,262.27,265.12,312876.0,,,,,4.32,0.91,3.41,4.32,6.77,,259.19,270.7,270.7,0.05,1,0.94,43.38,263.73,263.73,,,,,,,,,,,263.23,265.68
2024-12-30 05:00:00,262.56,264.235,259.3101,263.36,338890.0,,,,,4.92,0.88,5.81,5.81,5.1,,259.31,270.7,259.31,0.05,0,-1.16,-49.24,265.88,265.88,0.19,11.03,263.75,263.95,,,,,,,263.23,265.68
2024-12-31 05:00:00,264.75,265.465,259.405,261.07,327345.0,,,,,6.06,2.1,3.96,6.06,4.79,,259.31,270.13,259.31,0.05,0,-2.03,-63.72,265.21,265.21,-0.66,-33.58,265.02,264.36,,,,,,,261.07,265.68
2025-01-02 05:00:00,259.84,263.8299,255.2,256.85,520912.0,,,,,8.63,2.76,5.87,8.63,6.0,,259.31,269.59,255.2,0.1,0,-3.25,-72.92,263.68,263.68,-2.17,-65.27,266.76,264.59,,,,,,,256.85,265.12
2025-01-03 05:00:00,258.0,267.67,257.89,266.3,465453.0,,,,,9.78,10.82,1.04,10.82,7.13,,259.31,268.15,255.2,0.1,0,2.62,69.07,258.79,258.79,-0.42,-22.54,263.37,262.96,,,,262.0,,,256.85,266.3
2025-01-06 05:00:00,267.65,269.94,265.49,268.41,538688.0,,,,,4.45,3.64,0.81,4.45,7.15,,255.2,269.94,269.94,0.05,1,5.78,80.18,258.07,258.07,1.53,56.88,260.13,261.66,,,,264.26,,,256.85,268.41
2025-01-07 05:00:00,267.84,269.63,263.94,265.65,510998.0,,,,,5.69,1.22,4.47,5.69,7.13,,255.94,269.94,269.94,0.05,1,-0.33,-18.0,267.11,267.11,2.07,64.24,259.51,261.58,,,,264.92,,,256.85,268.41
2025-01-08 05:00:00,264.17,271.352,263.0,270.36,363198.0,,,,,8.35,5.7,2.65,8.35,7.59,,256.64,269.94,271.35,0.1,1,0.97,44.27,267.17,267.17,2.64,69.23,260.24,262.88,,,,267.96,,,265.65,270.36
2025-01-10 05:00:00,268.18,274.45,266.89,271.83,557632.0,,,,,7.56,4.09,3.47,7.56,7.37,,258.11,269.94,274.45,0.15,1,3.09,72.07,266.19,266.19,1.3,52.45,265.91,267.21,,,,271.07,,,265.65,271.83
2025-01-13 05:00:00,271.32,271.32,260.84,267.99,453436.0,,,,,10.48,0.51,10.99,10.99,7.41,,260.56,269.94,274.45,0.15,1,-1.18,-49.84,271.24,271.24,0.53,28.1,267.78,268.31,,,,271.59,,,265.65,271.83
2025-01-14 05:00:00,268.9,271.13,262.49,267.04,472937.0,,,,,8.64,3.14,5.5,8.64,8.25,,260.84,269.94,274.45,0.15,1,-2.39,-67.34,271.35,271.35,0.04,2.35,268.49,268.53,,,,270.75,,,267.04,271.83
2025-01-15 05:00:00,270.11,270.775,263.13,264.38,654078.0,,,,,7.64,3.73,3.91,7.64,8.64,,262.49,269.94,274.45,0.15,1,-1.81,-61.01,268.28,268.28,-1.68,-59.16,271.67,269.99,,,,267.25,,,264.38,271.83
2025-01-16 05:00:00,264.22,275.33,263.284,272.86,694323.0,,,,,12.05,10.95,1.1,12.05,9.38,7.13,263.13,269.94,275.33,0.2,1,2.91,71.04,265.18,265.18,-0.16,-8.81,269.13,268.98,,,,269.02,,,264.38,272.86
2025-01-17 05:00:00,275.68,278.53,273.0,275.81,554112.0,,,,,5.53,5.67,0.14,5.67,9.0,7.3,263.28,269.94,278.53,0.21,1,5.71,80.07,265.3,265.3,2.15,65.02,265.32,267.47,,,,272.0,,,264.38,275.81
2025-01-21 05:00:00,279.02,282.86,275.87,276.08,633828.0,,,,,6.99,7.05,0.06,7.05,8.21,7.54,266.48,269.94,282.86,0.21,1,1.61,58.15,273.31,273.31,2.95,71.28,265.33,268.28,,,,273.79,,,264.38,276.08
2025-01-22 05:00:00,275.12,279.676,274.36,278.89,562204.0,,,,,5.32,3.6,1.72,5.32,7.55,7.75,269.92,269.94,282.86,0.21,1,1.54,57.0,275.39,275.39,3.22,72.77,267.16,270.38,,,,277.05,,,272.86,278.89
2025-01-23 05:00:00,279.23,279.97,272.0,277.2,576132.0,,,,,7.97,1.08,6.89,7.97,7.61,7.88,272.0,282.86,272.0,0.05,0,0.56,29.25,276.83,276.83,1.18,49.62,273.82,274.99,,,,279.27,,,275.81,278.89
2025-01-24 05:00:00,275.28,280.73,275.165,280.35,561665.0,,,,,5.56,3.53,2.03,5.56,6.31,7.82,272.0,282.32,272.0,0.05,0,0.73,36.13,278.08,278.08,1.02,45.57,275.63,276.65,,,,281.39,,,276.08,280.35
2025-01-27 05:00:00,280.41,282.87,273.835,275.895,489390.0,,,,,9.04,2.52,6.52,9.04,6.99,7.8,272.0,282.87,282.87,0.05,1,-0.65,-33.12,278.47,278.47,0.11,6.22,277.46,277.57,,,,280.39,,,275.9,280.35
2025-01-28 05:00:00,275.85,282.87,273.67,275.97,764093.0,,,,,9.2,6.98,2.22,9.2,7.42,7.83,272.54,282.87,282.87,0.05,1,-2.19,-65.46,279.59,279.59,-0.71,-35.55,279.09,278.38,,,,278.02,,,275.9,280.35
2025-01-29 05:00:00,276.88,277.92,273.82,277.11,778437.0,269.49,6.31,282.11,256.87,4.1,1.95,2.15,4.1,7.17,7.79,273.06,282.87,282.87,0.05,1,0.61,31.28,275.72,275.72,-0.46,-24.51,278.22,277.76,,,,277.28,,,275.9,280.35
2025-01-30 05:00:00,278.14,286.39,277.37,280.03,434829.0,270.03,6.62,283.27,256.79,9.02,9.28,0.26,9.28,7.44,7.8,273.55,282.87,286.39,0.1,1,2.03,63.77,275.67,275.67,0.06,3.29,277.76,277.81,,,,278.13,,,275.9,280.03
2025-01-31 05:00:00,277.4,284.62,277.4,278.38,514530.0,270.63,6.67,283.97,257.29,7.22,4.59,2.63,7.22,7.77,7.83,274.83,282.87,286.39,0.1,1,0.63,32.42,277.87,277.87,0.9,42.08,275.67,276.57,,,,278.02,,,275.97,280.03
2025-02-03 05:00:00,276.17,281.35,274.18,278.9,389561.0,271.26,6.68,284.62,257.9,7.17,2.97,4.2,7.17,7.39,7.76,274.18,286.39,274.18,0.05,0,-0.57,-29.47,279.67,279.67,0.71,35.49,276.65,277.37,,,,278.63,,,277.11,280.03
2025-02-04 05:00:00,279.27,280.405,277.56,278.48,344550.0,271.77,6.72,285.21,258.33,2.84,1.5,1.34,2.84,6.12,7.57,274.18,285.78,274.18,0.05,0,0.05,2.86,278.54,278.54,0.16,9.15,278.26,278.42,,,,278.64,,,278.38,280.03
2025-02-05 05:00:00,279.67,287.0,279.575,284.7,509904.0,272.56,7.05,286.66,258.46,7.43,8.52,1.09,8.52,7.01,7.38,274.18,287.0,287.0,0.05,1,2.9,70.97,277.79,277.79,0.94,43.35,278.21,279.15,,,,281.93,,,278.38,284.7
2025-02-06 05:00:00,284.78,288.05,282.23,287.67,501114.0,273.53,7.4,288.33,258.73,5.82,3.35,2.47,5.82,6.31,7.18,274.82,287.0,288.05,0.1,1,4.59,77.72,279.02,279.02,2.44,67.7,276.75,279.19,,,,284.98,,,278.48,287.67
2025-02-07 05:00:00,287.67,289.46,282.81,283.08,399701.0,274.41,7.16,288.73,260.09,6.65,1.79,4.86,6.65,6.2,7.02,276.14,287.0,289.46,0.15,1,-0.81,-39.01,285.96,285.96,1.75,60.33,279.06,280.81,,,,285.15,,,278.48,287.67
2025-02-10 05:00:00,284.36,286.59,280.6,285.34,411668.0,275.55,6.48,288.51,262.59,5.99,3.51,2.48,5.99,5.96,6.9,278.14,287.0,289.46,0.15,1,-1.17,-49.36,286.53,286.53,1.21,50.43,281.43,282.64,,,,285.96,,,283.08,287.67
2025-02-11 05:00:00,284.16,286.9999,283.11,284.26,417011.0,276.27,6.41,289.09,263.45,3.89,1.66,2.23,3.89,6.17,6.79,279.84,287.0,289.46,0.15,1,0.59,30.54,283.64,283.64,-0.32,-17.8,285.65,285.33,,,,286.36,,,283.08,287.67
2025-02-12 05:00:00,280.22,282.9231,278.94,279.55,671204.0,276.71,6.22,289.15,264.27,3.98,1.34,5.32,5.32,5.53,6.73,278.94,289.46,278.94,0.05,0,-2.9,-70.94,285.95,285.95,-1.51,-56.42,286.99,285.49,10.9,,,284.03,,,279.55,285.34
2025-02-13 05:00:00,281.32,282.98,278.3,282.12,635914.0,277.37,5.86,289.09,265.65,4.68,3.43,1.25,4.68,5.31,6.6,278.94,288.93,278.3,0.1,0,-1.07,-46.94,283.05,283.05,-0.77,-37.63,284.41,283.64,9.35,,,282.81,,,279.55,285.34
