Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,121.3,123.66,121.06,123.37,2267919.0,,,,,2.6,,,2.6,,,121.06,123.66,123.66,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,123.09,123.88,122.49,122.87,2028706.0,,,,,1.39,0.51,0.88,1.39,,,121.19,123.66,123.88,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,122.84,124.07,122.755,123.48,1433960.0,,,,,1.31,1.2,0.12,1.31,,,121.46,123.66,124.07,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,124.12,124.74,122.54,122.78,1731363.0,,,,,2.2,1.26,0.94,2.2,,,121.85,123.66,124.74,0.2,1,-0.05,-2.58,123.09,123.09,,,,,,,,,,,122.78,123.48,
2025-01-27,123.39,124.66,122.66,124.29,3090911.0,,,,,2.0,1.88,0.12,2.0,1.9,,122.43,123.66,124.74,0.2,1,0.4,22.05,123.11,123.11,,,,,,,,,,,122.78,124.29,
2025-01-28,124.08,124.54,122.92,123.01,1497920.0,,,,,1.62,0.25,1.37,1.62,1.7,,122.66,123.66,124.74,0.2,1,0.11,6.56,123.25,123.25,0.11,6.22,123.07,123.18,,,,,,,122.78,124.29,
2025-01-29,122.0,123.52,121.97,122.38,1969893.0,,,,,1.55,0.51,1.04,1.55,1.74,,121.97,124.74,121.97,0.05,0,-0.96,-43.68,124.18,124.18,-0.2,-11.14,123.58,123.39,,,,,,,122.38,124.29,
2025-01-30,122.17,123.3,121.51,122.75,2774455.0,,,,,1.79,0.92,0.87,1.79,1.83,,121.97,124.6,121.51,0.1,0,-0.13,-7.41,122.84,122.84,-0.2,-11.14,123.44,123.24,,,,,,,122.38,124.29,
2025-01-31,115.0,117.58,114.79,115.38,4237895.0,,,,,2.79,5.17,7.96,7.96,2.98,,121.97,124.29,114.79,0.15,0,-3.5,-74.05,123.67,123.67,-1.81,-61.05,125.18,123.37,,,,119.68,,,115.38,123.01,
2025-02-03,113.85,114.0,110.2,111.99,3221189.0,,,,,3.8,1.38,5.18,5.18,3.62,,121.97,122.86,110.2,0.2,0,-5.38,-79.47,122.09,122.09,-2.9,-71.0,124.91,122.01,,,,115.65,,,111.99,122.75,
2025-02-04,113.35,113.67,111.06,111.27,2401839.0,,,,,2.61,1.68,0.93,2.61,3.82,,121.97,120.33,110.2,0.2,0,-2.05,-64.05,114.93,114.93,-3.3,-73.13,123.35,120.05,,,,112.37,,,111.27,122.75,
2025-02-05,111.73,112.8,111.0,112.57,2154246.0,,,,,1.8,1.53,0.27,1.8,3.87,,121.97,118.3,110.2,0.2,0,0.29,16.17,111.65,111.65,-2.45,-67.77,119.69,117.24,,,,110.48,,,111.27,115.38,
2025-02-06,113.29,116.38,112.03,115.9,3241205.0,,,,,4.35,3.81,0.54,4.35,4.38,,121.97,116.68,110.2,0.2,0,2.32,66.64,110.93,110.93,0.16,9.2,113.1,113.26,,,,111.21,,,111.27,115.9,
2025-02-07,116.15,116.15,114.33,114.84,1533552.0,,,,,1.82,0.25,1.57,1.82,3.15,,121.97,116.38,110.2,0.2,0,1.14,48.62,113.3,113.3,1.03,45.93,111.25,112.28,,,,111.88,,,111.27,115.9,
2025-02-10,115.4,115.57,114.07,114.12,1571507.0,,,,,1.5,0.73,0.77,1.5,2.42,,121.97,116.15,110.2,0.2,0,-0.89,-41.67,115.84,115.84,0.8,38.55,112.15,112.94,,,,112.77,,,112.57,115.9,
2025-02-11,114.28,115.23,113.7762,114.91,1059140.0,,,,,1.45,1.11,0.34,1.45,2.18,,121.97,115.57,110.2,0.2,0,0.03,2.0,114.59,114.59,0.29,16.17,113.89,114.18,,,,114.76,,,114.12,115.9,
2025-02-12,113.185,115.5,112.75,114.8,1629626.0,,,,,2.75,0.59,2.16,2.75,2.37,2.77,110.2,115.5,115.5,0.05,1,0.34,18.78,114.27,114.27,-0.21,-12.02,115.34,115.13,,,,115.53,,,114.12,114.91,
2025-02-13,115.56,118.105,115.213,117.92,1935072.0,,,,,2.89,3.31,0.41,3.31,2.17,2.79,110.46,115.5,118.1,0.1,1,1.51,56.4,114.37,114.37,0.68,34.37,113.95,114.63,,,,116.79,,,114.12,117.92,
2025-02-14,118.35,119.12,117.68,117.75,1677204.0,,,,,1.44,1.2,0.24,1.44,2.09,2.82,111.22,115.5,119.12,0.15,1,1.47,55.86,115.35,115.35,1.03,45.76,113.85,114.87,,,,117.31,,,114.8,117.92,
2025-02-18,117.71,119.29,117.295,119.26,1550166.0,,,,,2.0,1.54,0.45,2.0,2.19,2.85,112.4,115.5,119.29,0.2,1,0.67,33.82,117.64,117.64,1.16,49.36,114.6,115.76,,,,118.24,,,114.8,119.26,
2025-02-19,116.5,118.0,115.45,116.79,1681055.0,,,,,2.55,1.26,3.81,3.81,2.66,2.92,113.78,115.5,119.29,0.2,1,-0.48,-25.64,118.41,118.41,0.53,28.01,116.24,116.77,,,,118.42,,,116.79,119.26,
2025-02-20,116.66,118.11,116.06,117.89,1627140.0,,,,,2.05,1.32,0.73,2.05,2.52,2.88,114.88,115.5,119.29,0.2,1,-0.69,-34.41,118.66,118.66,-0.1,-5.82,118.13,118.02,,,,118.72,,,116.79,119.26,
2025-02-21,117.55,117.8283,114.29,114.8,2447796.0,,,,,3.54,0.06,3.6,3.6,2.58,2.8,114.29,119.29,114.29,0.05,0,-1.0,-44.86,117.49,117.49,-0.73,-36.02,118.75,118.03,,,,117.3,,,114.8,119.26,
2025-02-24,115.04,115.195,113.46,113.53,1393687.0,,,,,1.73,0.39,1.34,1.73,2.64,2.71,114.29,119.04,113.46,0.1,0,-2.18,-65.36,117.59,117.59,-1.34,-53.37,119.14,117.8,,,,115.49,,,113.53,117.89,
2025-02-25,114.32,115.39,113.5,114.39,2263934.0,117.72,4.2,126.12,109.32,1.89,1.86,0.03,1.89,2.62,2.61,114.29,118.48,113.46,0.1,0,-0.21,-11.59,114.44,114.44,-0.92,-42.49,117.31,116.4,,,,114.12,,,113.53,117.89,
2025-02-26,114.73,115.79,113.61,115.04,1450661.0,117.39,4.06,125.51,109.27,2.18,1.4,0.78,2.18,2.29,2.45,114.29,117.98,113.46,0.1,0,0.75,37.05,113.56,113.56,-0.61,-31.42,116.35,115.74,,,,113.84,,,113.53,115.04,
2025-02-27,114.7,115.63,113.58,113.68,1581030.0,117.02,3.96,124.94,109.1,2.05,0.59,1.46,2.05,2.29,2.39,114.29,117.53,113.46,0.1,0,-0.35,-19.54,114.72,114.72,-0.07,-4.18,114.43,114.36,,,,113.19,,,113.53,115.04,
2025-02-28,114.11,115.8,112.12,113.22,3362241.0,116.61,3.79,124.19,109.03,3.68,2.12,1.56,3.68,2.31,2.38,114.29,117.12,112.12,0.15,0,-0.91,-42.3,114.89,114.89,-0.13,-7.58,114.24,114.11,,,,113.06,,,113.22,115.04,
2025-03-03,114.95,115.52,111.485,111.72,2401227.0,116.17,3.68,123.53,108.81,4.03,2.3,1.73,4.03,2.77,2.42,114.29,116.37,111.48,0.2,0,-0.98,-44.42,113.85,113.85,-0.72,-35.6,115.04,114.33,,,,112.2,,,111.72,115.04,
2025-03-04,111.5,111.75,109.15,109.29,2950740.0,115.57,3.52,122.61,108.53,2.6,0.03,2.57,2.6,2.91,2.46,114.29,115.52,109.15,0.21,0,-1.96,-63.03,113.37,113.37,-1.35,-53.39,115.28,113.94,,,,111.02,,,109.29,113.68,
2025-03-05,109.88,114.75,109.805,114.09,3159187.0,115.21,3.17,121.55,108.87,4.94,5.46,0.52,5.46,3.56,2.57,109.15,114.75,114.75,0.05,1,1.18,49.84,110.51,110.51,-0.31,-17.28,113.02,112.71,,,,111.79,,,109.29,114.09,
2025-03-06,114.12,116.455,113.32,115.37,2661291.0,114.93,2.8,120.53,109.33,3.14,2.36,0.77,3.14,3.78,2.7,109.43,114.75,116.46,0.1,1,3.04,71.79,109.88,109.88,0.67,33.7,111.4,112.07,,,,112.83,,,109.29,115.37,
2025-03-07,114.34,116.46,113.68,115.48,2170716.0,114.64,2.28,119.2,110.08,2.78,1.09,1.69,2.78,3.6,2.81,110.13,114.75,116.46,0.1,1,0.7,34.8,114.28,114.28,1.36,53.67,110.47,111.83,,,,113.97,,,109.29,115.48,
