Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,31.87,32.46,31.85,32.43,10037172.0,,,,,0.61,,,0.61,,,31.85,32.46,32.46,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,32.28,32.465,32.11,32.41,3014815.0,,,,,0.36,0.04,0.32,0.36,,,31.88,32.46,32.47,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,32.41,32.615,32.3249,32.6,964200.0,,,,,0.29,0.21,0.09,0.29,,,31.94,32.46,32.62,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,32.58,32.68,32.43,32.62,1636588.0,,,,,0.25,0.08,0.17,0.25,,,32.04,32.46,32.68,0.2,1,0.11,5.99,32.44,32.44,,,,,,,,,,,32.41,32.62
2024-12-27 05:00:00,32.4,32.75,32.33,32.52,2271258.0,,,,,0.42,0.13,0.29,0.42,0.39,,32.17,32.46,32.75,0.21,1,-0.04,-2.29,32.62,32.62,,,,,,,,,,,32.41,32.62
2024-12-30 05:00:00,32.41,32.455,32.065,32.39,2513861.0,,,,,0.39,0.07,0.46,0.46,0.36,,32.06,32.75,32.06,0.05,0,-0.12,-6.56,32.62,32.62,-0.01,-0.69,32.53,32.52,,,,,,,32.39,32.62
2024-12-31 05:00:00,32.45,32.59,32.19,32.46,3592616.0,,,,,0.4,0.2,0.2,0.4,0.36,,32.06,32.72,32.06,0.05,0,-0.03,-1.72,32.49,32.49,-0.05,-2.92,32.62,32.57,,,,,,,32.39,32.62
2025-01-02 05:00:00,32.58,32.68,32.08,32.18,2819986.0,,,,,0.6,0.22,0.38,0.6,0.43,,32.06,32.69,32.06,0.05,0,-0.1,-5.99,32.45,32.45,-0.09,-5.37,32.62,32.53,,,,,,,32.18,32.52
2025-01-03 05:00:00,32.26,32.5,32.15,32.27,3134742.0,,,,,0.35,0.32,0.03,0.35,0.45,,32.06,32.68,32.06,0.05,0,-0.1,-5.43,32.4,32.4,-0.07,-4.06,32.51,32.43,,,,32.28,,,32.18,32.46
2025-01-06 05:00:00,32.16,32.24,31.655,31.73,3867025.0,,,,,0.59,0.03,0.62,0.62,0.49,,32.06,32.65,31.66,0.1,0,-0.22,-12.68,32.28,32.28,-0.15,-8.59,32.51,32.36,,,,31.98,,,31.73,32.46
2025-01-07 05:00:00,31.88,32.14,31.82,32.0,3498172.0,,,,,0.32,0.41,0.09,0.41,0.48,,32.06,32.55,31.66,0.1,0,-0.14,-7.69,32.14,32.14,-0.14,-7.8,32.4,32.27,,,,31.9,,,31.73,32.27
2025-01-08 05:00:00,31.9,32.18,31.605,32.17,3624699.0,,,,,0.57,0.18,0.39,0.57,0.51,,32.06,32.46,31.6,0.15,0,0.22,12.41,31.75,31.75,-0.03,-1.66,32.13,32.1,,,,31.94,,,31.73,32.27
2025-01-10 05:00:00,31.94,32.24,31.69,31.73,3820171.0,,,,,0.55,0.07,0.48,0.55,0.5,,32.06,32.33,31.6,0.15,0,-0.13,-7.69,32.1,32.1,-0.06,-3.66,32.11,32.04,,,,31.82,,,31.73,32.17
2025-01-13 05:00:00,31.77,31.8,31.22,31.68,4824096.0,,,,,0.58,0.07,0.51,0.58,0.55,,32.06,32.24,31.22,0.2,0,-0.24,-13.77,32.1,32.1,-0.04,-2.12,31.94,31.9,,,,31.7,,,31.68,32.17
2025-01-14 05:00:00,31.69,32.1,31.6,31.98,4253978.0,,,,,0.5,0.42,0.08,0.5,0.52,,31.22,32.1,32.1,0.05,1,0.13,7.13,31.67,31.67,-0.05,-3.03,32.02,31.96,,,,31.79,,,31.68,32.17
2025-01-15 05:00:00,32.27,32.43,31.99,32.11,4313853.0,,,,,0.44,0.45,0.01,0.45,0.53,,31.26,32.1,32.43,0.1,1,0.21,12.13,31.71,31.71,0.01,0.74,31.91,31.92,,,,31.91,,,31.68,32.11
2025-01-16 05:00:00,32.1,33.195,32.03,33.17,6655081.0,,,,,1.16,1.09,0.08,1.16,0.65,0.48,31.38,32.1,33.2,0.15,1,0.59,30.75,31.82,31.82,0.33,18.31,31.47,31.8,,,,32.49,,,31.68,33.17
2025-01-17 05:00:00,33.14,33.365,33.01,33.25,4793263.0,,,,,0.36,0.2,0.16,0.36,0.61,0.5,31.65,32.1,33.36,0.2,1,0.57,29.68,32.27,32.27,0.43,23.41,31.57,32.0,,,,32.89,,,31.98,33.25
2025-01-21 05:00:00,33.45,33.79,33.38,33.57,4599449.0,,,,,0.41,0.54,0.13,0.54,0.6,0.51,31.99,32.1,33.79,0.21,1,0.2,11.31,33.13,33.13,0.43,23.36,31.95,32.38,,,,33.37,,,32.11,33.57
2025-01-22 05:00:00,33.56,33.57,32.63,32.66,6217600.0,,,,,0.94,0.0,0.94,0.94,0.69,0.54,32.37,32.1,33.79,0.21,1,-0.29,-16.44,33.46,33.46,0.15,8.53,32.65,32.8,,,,33.39,,,32.66,33.57
2025-01-23 05:00:00,32.73,33.035,32.605,32.74,2960531.0,,,,,0.43,0.38,0.05,0.43,0.69,0.56,32.6,33.79,32.6,0.05,0,-0.41,-22.54,33.4,33.4,-0.15,-8.25,33.37,33.22,,,,33.28,,,32.66,33.57
2025-01-24 05:00:00,32.64,32.95,32.64,32.88,2702841.0,,,,,0.31,0.21,0.1,0.31,0.52,0.56,32.6,33.73,32.6,0.05,0,0.11,6.28,32.65,32.65,-0.16,-8.92,33.33,33.18,,,,33.14,,,32.66,33.57
2025-01-27 05:00:00,33.12,33.53,32.24,33.51,5397499.0,,,,,1.29,0.65,0.64,1.29,0.7,0.58,32.6,33.67,32.24,0.1,0,0.38,21.06,32.66,32.66,0.01,0.57,33.05,33.06,,,,33.23,,,32.66,33.51
2025-01-28 05:00:00,33.48,33.55,32.66,32.84,4414878.0,,,,,0.89,0.04,0.85,0.89,0.77,0.6,32.24,33.55,33.55,0.05,1,-0.02,-1.15,33.1,33.1,0.11,6.45,32.7,32.81,,,,32.95,,,32.74,33.51
2025-01-29 05:00:00,32.84,33.12,32.66,32.73,3682250.0,32.51,0.52,33.55,31.47,0.46,0.28,0.18,0.46,0.68,0.62,32.31,33.55,33.55,0.05,1,-0.39,-21.31,33.42,33.42,-0.01,-0.34,32.95,32.95,,,,32.83,,,32.73,33.51
2025-01-30 05:00:00,33.16,33.5,33.025,33.47,4395930.0,32.55,0.55,33.65,31.45,0.48,0.77,0.3,0.77,0.74,0.63,32.37,33.55,33.55,0.05,1,0.31,17.48,32.7,32.7,0.04,2.29,33.01,33.05,,,,33.07,,,32.73,33.51
2025-01-31 05:00:00,33.54,33.62,33.35,33.6,4422935.0,32.59,0.59,33.77,31.41,0.27,0.15,0.12,0.27,0.74,0.65,32.43,33.55,33.62,0.1,1,0.44,23.51,32.83,32.83,0.08,4.63,33.07,33.15,,,,33.43,,,32.73,33.6
