Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,319.58,330.92,319.3206,328.41,2080988.0,,,,,11.6,,,11.6,,,319.3206,330.92,330.92,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,327.34,328.43,323.54,327.38,595667.0,,,,,4.89,0.02,4.87,4.89,,,319.9,330.92,330.92,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,329.81,330.81,327.2801,330.81,1196864.0,,,,,3.53,3.43,0.1,3.53,,,320.45,330.92,330.92,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,330.17,331.37,326.71,330.62,294700.0,,,,,4.66,0.56,4.1,4.66,,,320.97,330.92,331.37,0.1,1,1.62,58.31,327.98,327.98,,,,,,,,,,,327.38,330.81
2024-12-27 05:00:00,328.15,329.39,320.39,323.14,582030.0,,,,,9.0,1.23,10.23,10.23,6.98,,320.39,331.37,320.39,0.05,0,-3.84,-75.39,332.02,332.02,,,,,,,,,,,323.14,330.81
2024-12-30 05:00:00,319.12,322.4,313.82,318.98,1084694.0,,,,,8.58,0.74,9.32,9.32,6.53,,320.39,330.82,313.82,0.1,0,-5.82,-80.25,330.07,330.07,-2.45,-67.77,331.08,328.63,,,,,,,318.98,330.81
2024-12-31 05:00:00,318.92,320.05,315.7156,316.05,691872.0,,,,,4.33,1.07,3.26,4.33,6.41,,320.39,329.12,313.82,0.1,0,-3.55,-74.25,322.93,322.93,-4.12,-76.34,332.15,328.04,,,,,,,316.05,330.62
2025-01-02 05:00:00,318.54,320.56,312.07,315.5,1054486.0,,,,,8.49,4.51,3.98,8.49,7.41,,320.39,327.59,312.07,0.15,0,-1.74,-60.11,318.58,318.58,-3.73,-75.0,328.32,324.59,,,,,,,315.5,323.14
2025-01-03 05:00:00,318.2,327.21,317.1,326.52,693214.0,,,,,10.11,11.71,1.6,11.71,8.82,,312.07,327.21,327.21,0.05,1,5.23,79.19,314.12,314.12,0.33,18.16,319.38,319.71,,,,318.19,,,315.5,326.52
2025-01-06 05:00:00,330.62,332.825,327.78,328.06,863671.0,,,,,5.05,6.31,1.26,6.31,8.03,,312.83,327.21,332.82,0.1,1,6.28,80.95,317.08,317.08,2.86,70.75,315.3,318.16,,,,320.98,,,315.5,328.06
2025-01-07 05:00:00,328.57,331.2199,316.38,319.81,911962.0,,,,,14.84,3.16,11.68,14.84,9.14,,314.83,327.21,332.82,0.1,1,-3.36,-73.4,328.15,328.15,2.01,63.53,317.17,319.18,,,,321.13,,,315.5,328.06
2025-01-08 05:00:00,317.57,319.56,307.5647,312.2,1165811.0,,,,,12.0,0.25,12.25,12.25,10.72,,307.56,332.82,307.56,0.05,0,-7.93,-82.81,327.95,327.95,-1.33,-53.08,323.08,321.75,,,,318.97,,,312.2,328.06
2025-01-10 05:00:00,309.31,314.64,307.3975,313.48,825648.0,,,,,7.24,2.44,4.8,7.24,10.47,,307.56,331.56,307.4,0.1,0,-3.16,-72.47,318.33,318.33,-4.19,-76.59,328.4,324.21,,,,317.02,,,312.2,328.06
2025-01-13 05:00:00,308.7,315.46,307.3,314.23,798119.0,,,,,8.16,1.98,6.18,8.16,9.76,,307.56,329.14,307.3,0.15,0,1.01,45.43,312.29,312.29,-3.4,-73.61,324.35,320.95,,,,315.15,,,312.2,319.81
2025-01-14 05:00:00,318.13,323.961,315.93,319.89,1087948.0,,,,,8.03,9.73,1.7,9.73,10.44,,307.56,325.86,307.3,0.15,0,3.21,72.67,312.66,312.66,0.22,12.35,315.48,315.7,,,,315.29,,,312.2,319.89
2025-01-15 05:00:00,327.73,331.79,326.27,329.42,1438270.0,,,,,5.52,11.9,6.38,11.9,9.86,,307.3,331.79,331.79,0.05,1,7.6,82.5,313.58,313.58,4.08,76.24,309.67,313.76,,,,318.95,,,313.48,329.42
2025-01-16 05:00:00,331.74,337.88,329.55,336.19,1469693.0,,,,,8.33,8.46,0.13,8.46,9.1,8.74,308.52,331.79,337.88,0.1,1,8.15,83.0,320.35,320.35,6.06,80.63,310.52,316.58,,,,327.03,,,314.23,336.19
2025-01-17 05:00:00,339.83,342.67,336.53,337.46,1358040.0,,,,,6.14,6.48,0.34,6.48,8.95,8.9,311.46,331.79,342.67,0.15,1,4.02,76.03,330.34,330.34,6.28,80.95,314.89,321.16,,,,335.21,,,319.89,337.46
2025-01-21 05:00:00,345.0,358.72,342.15,358.0,1892541.0,,,,,16.57,21.26,4.69,21.26,11.57,9.28,316.14,331.79,358.72,0.2,1,10.9,84.76,332.98,332.98,8.43,83.23,319.34,327.77,,,,349.1,,,329.42,358.0
2025-01-22 05:00:00,363.1,365.88,355.2405,357.33,1417473.0,,,,,10.64,7.88,2.76,10.64,11.75,9.69,324.66,331.79,365.88,0.21,1,9.93,84.25,340.99,340.99,7.76,82.66,328.15,335.92,,,,357.64,,,336.19,358.0
2025-01-23 05:00:00,355.5,359.67,352.6301,354.75,1061845.0,,,,,7.04,2.34,4.7,7.04,10.78,9.95,333.32,331.79,365.88,0.21,1,-1.62,-58.39,358.32,358.32,5.7,80.05,337.35,343.05,,,,361.65,,,337.46,358.0
2025-01-24 05:00:00,358.07,362.0,352.69,358.03,1150161.0,,,,,9.31,7.25,2.06,9.31,10.95,10.12,340.16,331.79,365.88,0.21,1,0.35,19.29,356.35,356.35,3.79,75.22,345.54,349.33,,,,363.78,,,354.75,358.03
2025-01-27 05:00:00,314.94,325.0,291.91,292.43,4484036.0,,,,,33.09,33.03,66.12,66.12,22.87,11.26,291.91,365.88,291.91,0.05,0,-31.16,-88.16,366.23,366.23,-13.04,-85.62,370.2,357.15,,,,336.35,,,292.43,358.03
2025-01-28 05:00:00,311.42,311.42,290.43,293.98,3451276.0,,,,,20.99,18.99,2.0,20.99,22.82,12.31,291.91,362.18,290.43,0.1,0,-32.02,-88.21,346.84,346.84,-18.9,-86.97,369.11,350.21,,,,314.22,,,292.43,358.03
2025-01-29 05:00:00,295.0,305.3175,293.59,297.8,1944343.0,325.62,18.18,361.98,289.26,11.73,11.34,0.39,11.73,23.04,13.26,291.91,355.0,290.43,0.1,0,2.68,69.57,292.05,292.05,-17.8,-86.78,354.99,337.19,,,,298.34,,,292.43,358.03
2025-01-30 05:00:00,302.95,311.81,299.0,309.29,1482493.0,324.85,18.46,361.77,287.93,12.81,14.01,1.2,14.01,24.43,14.33,291.91,348.54,290.43,0.1,0,7.65,82.56,292.7,292.7,-9.21,-83.8,328.73,319.52,,,,290.76,,,292.43,309.29
2025-01-31 05:00:00,315.37,316.97,302.97,307.61,1162845.0,324.06,18.77,361.6,286.52,14.0,7.68,6.32,14.0,25.37,15.53,291.91,342.73,290.43,0.1,0,4.9,78.48,299.99,299.99,4.57,77.65,291.09,295.65,,,,289.97,,,293.98,309.29
2025-02-03 05:00:00,298.31,306.835,296.97,301.82,1082491.0,322.9,19.22,361.34,284.46,9.86,0.78,10.64,10.64,14.27,15.83,291.91,337.5,290.43,0.1,0,-3.74,-75.01,309.98,309.98,2.55,68.58,297.0,299.55,,,,290.79,,,297.8,309.29
2025-02-04 05:00:00,304.5,307.64,299.345,299.98,1096180.0,321.68,19.68,361.04,282.32,8.29,5.82,2.47,8.29,11.73,15.97,291.91,332.79,290.43,0.1,0,-3.82,-75.31,306.95,306.95,-0.31,-17.28,303.92,303.61,,,,294.82,,,299.98,309.29
2025-02-05 05:00:00,303.33,307.83,297.81,298.75,1583397.0,320.7,20.2,361.1,280.3,10.02,7.85,2.17,10.02,11.39,16.15,291.91,328.55,290.43,0.1,0,-1.53,-56.92,301.72,301.72,-2.87,-70.8,309.23,306.36,,,,303.73,,,298.75,307.61
2025-02-06 05:00:00,299.74,311.595,298.0,311.08,1490979.0,320.39,20.29,360.97,279.81,13.6,12.85,0.75,13.6,11.31,16.33,291.91,324.74,290.43,0.1,0,5.55,79.79,297.72,297.72,0.39,21.16,303.07,303.46,,,,306.32,,,298.75,311.08
2025-02-07 05:00:00,314.71,320.41,311.12,312.24,897074.0,320.23,20.34,360.91,279.55,9.29,9.33,0.04,9.33,10.38,16.24,291.91,321.31,290.43,0.1,0,6.74,81.57,300.61,300.61,3.19,72.62,298.39,301.58,,,,308.22,,,298.75,312.24
2025-02-10 05:00:00,313.82,314.68,309.24,310.67,661596.0,320.04,20.41,360.86,279.22,5.44,2.44,3.0,5.44,9.34,16.05,291.91,320.41,290.43,0.1,0,-0.2,-11.59,311.53,311.53,3.49,74.0,299.57,303.06,,,,308.9,,,298.75,312.24
2025-02-11 05:00:00,307.7,308.365,300.09,302.79,1060899.0,319.09,20.65,360.39,277.79,8.28,2.31,10.58,10.58,9.79,15.98,291.91,317.41,290.43,0.1,0,-4.73,-78.05,313.29,313.29,0.77,37.49,305.57,306.34,,,,308.1,,,302.79,312.24
2025-02-12 05:00:00,294.34,299.61,293.58,298.33,1305038.0,317.9,20.96,359.82,275.98,6.03,3.18,9.21,9.21,9.63,15.87,291.91,314.71,290.43,0.1,0,-6.17,-80.79,310.1,310.1,-3.5,-74.03,314.01,310.52,-12.78,,,305.56,,,298.33,312.24
2025-02-13 05:00:00,300.39,301.805,286.57,290.86,1873429.0,316.74,21.64,360.02,273.46,15.24,3.48,11.76,15.24,9.96,14.88,291.91,312.28,286.57,0.15,0,-5.96,-80.48,303.29,303.29,-5.51,-79.71,314.0,308.49,-15.75,,,299.24,,,290.86,310.67
2025-02-14 05:00:00,292.2,294.41,282.7201,285.45,2092000.0,315.67,22.52,360.71,270.63,11.69,3.55,8.14,11.69,10.43,13.93,291.91,308.42,282.72,0.2,0,-6.44,-81.17,297.99,297.99,-6.24,-80.89,310.09,303.86,-19.91,,,291.11,,,285.45,302.79
2025-02-18 05:00:00,285.81,287.96,281.54,287.59,2165154.0,314.64,23.21,361.06,268.22,6.42,2.51,3.91,6.42,10.63,12.97,291.91,303.28,281.54,0.21,0,-1.64,-58.55,289.6,289.6,-4.33,-76.99,301.66,297.33,-23.29,-10.51,,284.78,,,285.45,298.33
2025-02-19 05:00:00,286.21,293.75,285.11,292.07,1728791.0,313.75,23.65,361.05,266.45,8.64,6.16,2.48,8.64,10.24,11.88,291.91,298.71,281.54,0.21,0,3.31,73.19,285.06,285.06,-1.58,-57.65,294.02,292.44,-24.33,-8.58,,284.33,,,285.45,292.07
