Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,166.0,168.68,165.35,167.27,7380518.0,,,,,3.33,,,3.33,,,165.35,168.68,168.68,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,168.32,172.0899,168.19,170.24,7281689.0,,,,,3.9,4.82,0.92,4.82,,,165.52,168.68,172.09,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,170.38,174.38,169.38,174.36,7172321.0,,,,,5.0,4.14,0.86,5.0,,,166.18,168.68,174.38,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,175.1,175.2,171.9422,172.11,5825772.0,,,,,3.26,0.84,2.42,3.26,,,167.41,168.68,175.2,0.2,1,0.93,43.08,171.3,171.3,,,,,,,,,,,167.27,174.36,
2025-01-27,172.1,172.2,167.28,171.18,15632612.0,,,,,4.92,0.09,4.83,4.92,4.27,,167.28,175.2,167.28,0.05,0,-1.59,-57.83,174.14,174.14,,,,,,,,,,,170.24,174.36,
2025-01-28,170.22,173.49,169.81,171.55,8720168.0,,,,,3.68,2.31,1.37,3.68,4.34,,167.28,174.8,167.28,0.05,0,-0.28,-15.64,171.89,171.89,-0.06,-3.21,172.0,171.94,,,,,,,171.18,174.36,
2025-01-29,171.55,173.49,170.22,171.71,5118924.0,,,,,3.27,1.94,1.33,3.27,4.03,,167.28,174.42,167.28,0.05,0,0.27,14.84,171.21,171.21,-0.59,-30.37,173.35,172.77,,,,,,,171.18,172.11,
2025-01-30,172.34,173.54,170.97,171.93,6010556.0,,,,,2.57,1.83,0.74,2.57,3.54,,167.28,174.06,167.28,0.05,0,0.19,10.76,171.54,171.54,0.02,0.97,171.66,171.68,,,,,,,171.18,171.93,
2025-01-31,172.51,176.79,172.29,172.93,7808977.0,,,,,4.5,4.86,0.36,4.86,3.86,,167.28,176.79,176.79,0.05,1,0.61,31.38,171.58,171.58,0.39,21.21,171.08,171.47,,,,172.24,,,171.55,172.93,
2025-02-03,168.88,172.58,168.06,170.24,7447086.0,,,,,4.52,0.35,4.87,4.87,3.85,,167.76,176.79,176.79,0.05,1,-0.85,-40.2,172.54,172.54,-0.14,-7.97,171.95,171.81,,,,171.07,,,170.24,172.93,
2025-02-04,168.5,173.79,168.5,173.04,5457922.0,,,,,5.29,3.55,1.74,5.29,4.17,,168.06,176.79,176.79,0.05,1,0.05,3.15,172.01,172.01,0.1,5.54,171.78,171.87,,,,172.09,,,170.24,173.04,
2025-02-05,173.0,177.0,169.9027,175.86,15420587.0,,,,,7.1,3.96,3.14,7.1,4.94,,168.5,176.79,177.0,0.1,1,2.81,70.41,170.24,170.24,0.8,38.55,171.21,172.0,,,,173.84,,,170.24,175.86,
2025-02-06,167.84,169.49,165.4,169.32,16293503.0,,,,,4.09,6.37,10.46,10.46,6.52,,165.4,177.0,165.4,0.05,0,-1.86,-61.74,174.6,174.6,-0.16,-9.09,172.6,172.44,,,,172.31,,,169.32,175.86,
2025-02-07,169.83,171.3,166.06,167.96,7841658.0,,,,,5.24,1.98,3.26,5.24,6.59,,165.4,176.42,165.4,0.05,0,-3.95,-75.79,175.0,175.0,-0.83,-39.62,172.94,172.11,,,,170.47,,,167.96,175.86,
2025-02-10,169.73,171.8,169.0,171.36,6237693.0,,,,,2.8,3.84,1.04,3.84,6.39,,165.4,175.87,165.4,0.05,0,1.02,45.57,168.53,168.53,-1.13,-48.39,173.76,172.63,,,,170.38,,,167.96,175.86,
2025-02-11,169.65,172.7,169.11,171.99,6588067.0,,,,,3.59,1.34,2.25,3.59,6.05,,165.4,175.35,165.4,0.05,0,2.02,63.61,168.42,168.42,-0.57,-29.68,172.44,171.87,,,,170.64,,,167.96,171.99,
2025-02-12,169.55,170.93,168.24,170.29,5505696.0,,,,,2.69,1.06,3.75,3.75,5.38,4.92,165.4,174.85,165.4,0.05,0,-0.54,-28.15,171.75,171.75,0.6,30.84,168.99,169.59,,,,170.43,,,167.96,171.99,
2025-02-13,170.19,172.36,169.47,172.15,6362183.0,,,,,2.89,2.07,0.82,2.89,3.86,4.89,165.4,174.38,165.4,0.05,0,0.08,4.57,171.4,171.4,0.73,36.17,169.29,170.02,,,,170.55,,,170.29,172.15,
2025-02-14,172.6,172.82,171.04,172.23,4691344.0,,,,,1.78,0.67,1.11,1.78,3.17,4.8,165.4,173.93,165.4,0.05,0,0.97,44.13,170.59,170.59,0.19,10.76,171.22,171.41,,,,171.24,,,170.29,172.23,
