Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,72.77,74.5,72.25,73.8,3284033.0,,,,,2.25,,,2.25,,,72.25,74.5,74.5,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,73.52,73.89,73.03,73.75,1046195.0,,,,,0.86,0.09,0.77,0.86,,,72.36,74.5,74.5,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,73.26,74.55,73.26,74.5,345626.0,,,,,1.29,0.8,0.49,1.29,,,72.47,74.5,74.55,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,74.12,74.7306,73.895,74.61,459557.0,,,,,0.84,0.23,0.61,0.84,,,72.68,74.5,74.73,0.15,1,0.43,23.27,73.86,73.86,,,,,,,,,,,73.75,74.61
2024-12-27 05:00:00,74.36,74.88,73.77,73.95,808480.0,,,,,1.11,0.27,0.84,1.11,1.27,,72.99,74.5,74.88,0.2,1,-0.27,-15.38,74.63,74.63,,,,,,,,,,,73.75,74.61
2024-12-30 05:00:00,73.64,73.7,72.87,73.41,989734.0,,,,,0.83,0.25,1.08,1.08,1.04,,72.87,74.88,72.87,0.05,0,-0.6,-30.96,74.59,74.59,-0.12,-7.01,74.29,74.17,,,,,,,73.41,74.61
2024-12-31 05:00:00,74.11,74.2,73.11,73.93,1020330.0,,,,,1.09,0.79,0.3,1.09,1.08,,72.87,74.78,72.87,0.05,0,-0.01,-0.57,73.77,73.77,-0.23,-13.17,74.55,74.31,,,,,,,73.41,74.61
2025-01-02 05:00:00,73.59,74.67,71.96,72.21,960399.0,,,,,2.71,0.74,1.97,2.71,1.37,,72.87,74.68,71.96,0.1,0,-0.6,-30.96,73.78,73.78,-0.48,-25.73,74.59,74.1,,,,,,,72.21,73.95
2025-01-03 05:00:00,72.48,73.145,72.16,73.03,818612.0,,,,,0.98,0.94,0.05,0.98,1.39,,72.87,74.67,71.96,0.1,0,-0.45,-24.23,73.51,73.51,-0.3,-16.91,73.91,73.61,,,,72.88,,,72.21,73.93
2025-01-06 05:00:00,72.61,72.98,71.015,71.08,716020.0,,,,,1.97,0.05,2.02,2.02,1.58,,72.87,74.4,71.02,0.15,0,-0.57,-29.47,72.67,72.67,-0.56,-29.07,73.84,73.29,,,,71.82,,,71.08,73.93
2025-01-07 05:00:00,71.02,71.66,70.02,70.16,750617.0,,,,,1.64,0.58,1.06,1.64,1.69,,72.87,73.89,70.02,0.2,0,-1.43,-55.13,72.86,72.86,-0.87,-40.93,73.82,72.95,,,,70.78,,,70.16,73.03
2025-01-08 05:00:00,69.97,70.52,69.54,70.15,722271.0,,,,,0.98,0.36,0.62,0.98,1.67,,72.87,73.12,69.54,0.21,0,-0.46,-24.94,70.93,70.93,-0.7,-34.95,72.72,72.02,,,,70.13,,,70.15,73.03
2025-01-10 05:00:00,69.08,69.52,68.54,68.83,1132952.0,,,,,0.98,0.63,1.61,1.61,1.45,,72.87,72.37,68.54,0.21,0,-0.66,-33.62,70.38,70.38,-0.93,-43.01,72.52,71.58,,,,69.14,,,68.83,71.08
2025-01-13 05:00:00,68.87,70.92,68.445,70.76,1239316.0,,,,,2.48,2.09,0.39,2.48,1.75,,72.87,71.57,68.44,0.21,0,0.31,16.96,69.61,69.61,-0.2,-11.14,70.59,70.39,,,,69.24,,,68.83,70.76
2025-01-14 05:00:00,70.95,71.03,70.17,70.66,1151560.0,,,,,0.86,0.27,0.59,0.86,1.51,,68.44,71.03,71.03,0.05,1,0.91,42.46,69.17,69.17,0.16,9.15,69.79,69.95,,,,69.65,,,68.83,70.76
2025-01-15 05:00:00,72.09,72.24,70.6,71.17,863638.0,,,,,1.64,1.58,0.06,1.64,1.51,,68.57,71.03,72.24,0.1,1,0.21,11.59,70.66,70.66,0.39,21.16,69.54,69.93,,,,70.12,,,68.83,71.17
2025-01-16 05:00:00,71.29,72.065,71.28,71.66,580268.0,,,,,0.78,0.89,0.11,0.89,1.5,1.45,68.94,71.03,72.24,0.1,1,0.5,26.57,70.66,70.66,0.61,31.26,69.4,70.01,,,,71.08,,,70.66,71.66
