Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,710.2,717.6099,700.83,701.85,1889990.0
2024-12-23 05:00:00,708.38,718.19,706.16,715.13,866549.0
2024-12-24 05:00:00,712.3,720.0,706.15,714.47,382145.0
2024-12-26 05:00:00,709.08,718.4899,709.08,716.68,619266.0
2024-12-27 05:00:00,710.52,718.99,709.09,712.4,795575.0
2024-12-30 05:00:00,708.04,708.965,700.4155,702.59,537464.0
2024-12-31 05:00:00,703.9,713.0,703.3862,712.33,473568.0
2025-01-02 05:00:00,720.86,726.81,711.92,715.19,479136.0
2025-01-03 05:00:00,716.07,722.0,714.76,718.15,557961.0
2025-01-06 05:00:00,715.0,733.69,713.75,716.26,820344.0
2025-01-07 05:00:00,716.34,734.44,716.34,730.3,802573.0
2025-01-08 05:00:00,728.04,743.28,725.6,733.59,758834.0
2025-01-10 05:00:00,721.33,724.73,691.0,696.88,1117310.0
2025-01-13 05:00:00,669.24,717.37,666.2485,716.9,1406307.0
2025-01-14 05:00:00,714.01,715.98,686.0,690.87,791672.0
2025-01-15 05:00:00,700.61,712.6,698.2,703.43,880442.0
2025-01-16 05:00:00,701.04,706.54,691.33,693.23,854097.0
2025-01-17 05:00:00,705.34,707.48,680.89,681.58,1111946.0
2025-01-21 05:00:00,687.46,692.93,681.52,687.8,1145326.0
2025-01-22 05:00:00,689.77,699.88,677.68,680.03,945295.0
2025-01-23 05:00:00,680.54,696.19,678.28,694.64,1145204.0
2025-01-24 05:00:00,688.74,693.84,675.11,675.79,1021763.0
2025-01-27 05:00:00,676.73,698.45,676.73,684.71,1051614.0
2025-01-28 05:00:00,682.11,690.302,678.13,686.33,640390.0
2025-01-29 05:00:00,685.96,697.57,682.325,687.27,522835.0
2025-01-30 05:00:00,688.31,689.62,674.33,683.08,771780.0
2025-01-31 05:00:00,677.29,687.9999,671.96,672.98,943994.0
2025-02-03 05:00:00,668.8,673.65,663.4302,666.85,1009172.0
2025-02-04 05:00:00,650.0,709.98,642.0,697.05,1654901.0
2025-02-05 05:00:00,708.8,729.25,700.01,716.72,1436289.0
2025-02-06 05:00:00,713.42,734.265,713.42,722.07,1116850.0
2025-02-07 05:00:00,726.46,731.42,709.55,710.0,886055.0
2025-02-10 05:00:00,714.45,719.78,688.92,690.36,918752.0
2025-02-11 05:00:00,680.63,680.79,664.19,665.46,1270975.0
2025-02-12 05:00:00,659.96,670.98,655.85,663.86,1292245.0
2025-02-13 05:00:00,665.46,677.69,661.9381,674.27,604761.0
2025-02-14 05:00:00,678.2,684.0,671.55,673.6,623017.0
2025-02-18 05:00:00,679.64,689.95,674.88,680.0,826119.0
2025-02-19 05:00:00,675.29,688.67,675.29,685.66,638439.0
2025-02-20 05:00:00,688.05,703.1436,685.45,696.02,627592.0
2025-02-21 05:00:00,697.93,704.08,693.07,700.33,727437.0
2025-02-24 05:00:00,703.93,725.0,700.4301,713.25,896498.0
2025-02-25 05:00:00,720.0,739.0,715.5,723.47,1050130.0
2025-02-26 05:00:00,721.29,721.405,701.07,706.94,713047.0
2025-02-27 05:00:00,705.9,721.0,700.67,702.78,568541.0
2025-02-28 05:00:00,701.32,708.58,693.71,698.74,1028932.0
2025-03-03 05:00:00,701.91,704.6449,683.46,684.87,708660.0
2025-03-04 05:00:00,688.48,697.455,672.5,675.49,1197662.0
2025-03-05 05:00:00,673.98,692.79,673.15,687.15,828933.0
2025-03-06 05:00:00,683.1,701.0,682.255,698.44,865990.0
2025-03-07 05:00:00,698.63,729.7499,696.43,707.51,1083901.0
2025-03-10 04:00:00,710.01,748.29,709.38,744.83,1631748.0
2025-03-11 04:00:00,746.7,747.6987,712.39,718.16,1108133.0
2025-03-12 04:00:00,709.94,712.455,683.425,689.5,808455.0
2025-03-13 04:00:00,687.43,698.945,677.34,680.61,863964.0
2025-03-14 04:00:00,680.61,686.98,657.0,666.87,1306089.0
2025-03-17 04:00:00,668.26,679.83,664.675,678.42,942913.0
2025-03-18 04:00:00,678.0,678.27,664.3,664.96,608079.0
2025-03-19 04:00:00,663.67,674.57,659.03,672.36,675733.0
2025-03-20 04:00:00,670.0,674.83,662.33,662.62,662987.0
2025-03-21 04:00:00,658.0,661.0,651.06,658.48,1869340.0
2025-03-24 04:00:00,660.0,667.46,655.3,661.0,962374.0
2025-03-25 04:00:00,662.45,662.5699,633.1,634.14,852917.0
2025-03-26 04:00:00,634.14,644.0,629.02,640.14,1251942.0
2025-03-27 04:00:00,641.21,643.43,629.94,635.83,811470.0
2025-03-28 04:00:00,638.01,642.97,631.45,637.36,805944.0
2025-03-31 04:00:00,630.08,640.72,618.505,634.23,1066328.0
2025-04-01 04:00:00,630.51,641.24,615.0,617.0,1059787.0
2025-04-02 04:00:00,613.53,628.0,610.1001,625.6,902620.0
2025-04-03 04:00:00,626.25,628.0,607.88,610.64,1047713.0
2025-04-04 04:00:00,610.65,612.99,572.0,573.45,1547958.0
2025-04-07 04:00:00,569.2,591.545,557.8288,572.78,1687565.0
2025-04-08 04:00:00,579.46,586.03,546.36,556.81,1159740.0
2025-04-09 04:00:00,538.0,580.73,525.99,576.72,1871494.0
2025-04-10 04:00:00,568.93,571.99,529.725,546.39,1357841.0
2025-04-11 04:00:00,548.63,555.53,533.26,554.18,1171115.0
