Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,46.74,47.38,46.73,46.92,4863287.0,,,,,0.65,,,0.65,,,46.73,47.38,47.38,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,46.59,46.65,46.18,46.54,1766079.0,,,,,0.47,0.27,0.74,0.74,,,46.18,47.38,46.18,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,46.47,46.675,46.415,46.6,691240.0,,,,,0.26,0.13,0.12,0.26,,,46.18,47.32,46.18,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,46.24,46.9,46.14,46.85,981152.0,,,,,0.76,0.3,0.46,0.76,,,46.18,47.26,46.14,0.1,0,0.16,8.81,46.51,46.51,,,,,,,,,,,46.54,46.92
2024-12-27 05:00:00,46.57,46.9119,46.365,46.68,1355574.0,,,,,0.55,0.06,0.48,0.55,0.59,,46.18,47.15,46.14,0.1,0,0.04,2.29,46.67,46.67,,,,,,,,,,,46.54,46.85
2024-12-30 05:00:00,46.26,46.65,46.05,46.41,1169319.0,,,,,0.6,0.03,0.63,0.63,0.59,,46.18,47.05,46.05,0.15,0,-0.22,-12.41,46.87,46.87,-0.02,-1.03,46.65,46.63,,,,,,,46.41,46.85
2024-12-31 05:00:00,46.42,46.55,46.19,46.35,1264916.0,,,,,0.36,0.14,0.22,0.36,0.51,,46.18,46.9,46.05,0.15,0,-0.17,-9.37,46.64,46.64,-0.09,-5.37,46.77,46.67,,,,,,,46.35,46.85
2025-01-02 05:00:00,46.58,46.66,45.88,46.04,1053089.0,,,,,0.78,0.31,0.47,0.78,0.62,,46.18,46.77,45.88,0.2,0,-0.19,-10.48,46.45,46.45,-0.19,-11.03,46.86,46.66,,,,,,,46.04,46.68
2025-01-03 05:00:00,46.0,46.3542,45.95,46.17,1273996.0,,,,,0.4,0.31,0.09,0.4,0.54,,46.18,46.66,45.88,0.2,0,-0.09,-5.14,46.28,46.28,-0.14,-7.91,46.61,46.47,,,,46.16,,,46.04,46.41
2025-01-06 05:00:00,45.99,46.16,45.52,45.65,1021539.0,,,,,0.64,0.01,0.65,0.65,0.56,,46.18,46.5,45.52,0.21,0,-0.2,-11.03,46.15,46.15,-0.17,-9.65,46.46,46.29,,,,45.84,,,45.65,46.35
2025-01-07 05:00:00,45.77,46.13,45.34,45.75,2248679.0,,,,,0.79,0.48,0.31,0.79,0.6,,46.18,46.29,45.34,0.21,0,-0.21,-11.86,46.07,46.07,-0.16,-9.03,46.31,46.15,,,,45.66,,,45.65,46.17
2025-01-08 05:00:00,45.9,46.45,45.55,46.35,2701400.0,,,,,0.9,0.7,0.2,0.9,0.7,,45.34,46.45,46.45,0.05,1,0.35,19.29,45.57,45.57,0.02,1.15,45.95,45.97,,,,45.86,,,45.65,46.35
2025-01-10 05:00:00,46.0,46.51,46.0,46.09,1339430.0,,,,,0.51,0.16,0.35,0.51,0.65,,45.4,46.45,46.51,0.1,1,0.17,9.65,45.89,45.89,0.05,3.09,45.89,45.95,,,,45.95,,,45.65,46.35
2025-01-13 05:00:00,46.0,46.615,45.77,46.48,1251896.0,,,,,0.84,0.52,0.32,0.84,0.74,,45.51,46.45,46.62,0.15,1,0.06,3.72,46.24,46.24,0.2,11.31,45.66,45.86,,,,46.18,,,45.75,46.48
2025-01-14 05:00:00,46.37,46.98,46.235,46.85,1547460.0,,,,,0.74,0.5,0.24,0.74,0.76,,45.68,46.45,46.98,0.2,1,0.38,20.81,46.09,46.09,0.23,13.12,45.84,46.07,,,,46.55,,,46.09,46.85
2025-01-15 05:00:00,47.31,47.42,46.67,47.01,1725157.0,,,,,0.75,0.57,0.18,0.75,0.75,,45.94,46.45,47.42,0.21,1,0.27,14.84,46.51,46.51,0.21,11.75,46.14,46.35,,,,46.87,,,46.09,47.01
2025-01-16 05:00:00,47.0,48.335,46.96,48.3,2152360.0,,,,,1.38,1.33,0.05,1.38,0.84,0.65,46.25,46.45,48.34,0.21,1,0.72,35.94,46.66,46.66,0.49,26.34,45.96,46.45,,,,47.67,,,46.48,48.3
2025-01-17 05:00:00,48.69,48.97,48.2,48.43,1987102.0,,,,,0.77,0.67,0.1,0.77,0.9,0.67,46.69,46.45,48.97,0.21,1,0.71,35.37,47.2,47.2,0.53,28.15,46.34,46.88,,,,48.23,,,46.85,48.43
2025-01-21 05:00:00,48.56,49.07,48.48,48.64,1563798.0,,,,,0.59,0.64,0.05,0.64,0.86,0.69,47.17,46.45,49.07,0.21,1,0.17,9.65,48.29,48.29,0.5,26.57,46.85,47.35,,,,48.66,,,47.01,48.64
2025-01-22 05:00:00,48.6,48.79,48.3,48.46,1572113.0,,,,,0.49,0.15,0.34,0.49,0.81,0.72,47.57,46.45,49.07,0.21,1,0.01,0.86,48.49,48.49,0.32,17.95,47.52,47.84,,,,48.92,,,48.3,48.64
2025-01-23 05:00:00,48.52,48.64,48.22,48.62,1133153.0,,,,,0.42,0.18,0.24,0.42,0.74,0.73,47.88,46.45,49.07,0.21,1,-0.01,-0.57,48.58,48.58,0.07,3.83,48.36,48.42,,,,49.02,,,48.43,48.64
2025-01-24 05:00:00,48.61,48.75,48.17,48.37,1085919.0,,,,,0.58,0.13,0.45,0.58,0.58,0.73,48.13,46.45,49.07,0.21,1,-0.05,-2.58,48.53,48.53,-0.01,-0.8,48.53,48.52,,,,48.89,,,48.37,48.64
2025-01-27 05:00:00,48.38,49.72,48.38,49.5,1541136.0,,,,,1.34,1.35,0.01,1.35,0.7,0.74,48.17,46.45,49.72,0.21,1,0.44,23.75,48.39,48.39,0.16,9.26,48.39,48.56,,,,49.17,,,48.37,49.5
2025-01-28 05:00:00,49.28,50.145,49.245,49.32,2054594.0,,,,,0.9,0.65,0.26,0.9,0.75,0.75,48.38,46.45,50.14,0.21,1,0.48,25.41,48.59,48.59,0.26,14.57,48.33,48.59,,,,49.2,,,48.37,49.5
2025-01-29 05:00:00,49.19,49.9405,48.7,48.75,1481015.0,47.25,1.19,49.63,44.87,1.24,0.62,0.62,1.24,0.9,0.77,48.7,50.14,48.7,0.05,0,-0.37,-20.56,49.56,49.56,0.12,6.9,48.67,48.79,,,,49.12,,,48.37,49.5
2025-01-30 05:00:00,49.08,49.74,49.045,49.72,1170759.0,47.36,1.29,49.94,44.78,0.7,0.99,0.3,0.99,1.01,0.8,48.7,50.07,48.7,0.05,0,0.2,11.31,49.06,49.06,0.19,11.03,48.74,48.94,,,,49.43,,,48.75,49.72
2025-01-31 05:00:00,49.49,49.79,49.2,49.5,1771781.0,47.48,1.34,50.16,44.8,0.59,0.07,0.52,0.59,1.01,0.82,48.7,50.0,48.7,0.05,0,0.38,20.56,48.95,48.95,0.04,2.29,49.28,49.32,,,,49.6,,,48.75,49.72
2025-02-03 05:00:00,49.25,49.84,49.08,49.65,1777754.0,47.6,1.4,50.4,44.8,0.76,0.34,0.42,0.76,0.9,0.83,48.7,49.94,48.7,0.05,0,-0.04,-2.0,49.66,49.66,0.14,8.03,49.11,49.25,,,,49.72,,,48.75,49.72
2025-02-04 05:00:00,49.55,49.73,49.07,49.08,1159576.0,47.69,1.42,50.53,44.85,0.66,0.08,0.58,0.66,0.85,0.83,48.7,49.88,48.7,0.05,0,-0.21,-11.86,49.62,49.62,0.06,3.38,49.22,49.28,,,,49.54,,,49.08,49.72
2025-02-05 05:00:00,49.5,49.969,49.435,49.62,1400329.0,47.8,1.45,50.7,44.9,0.53,0.89,0.36,0.89,0.78,0.83,48.7,49.97,49.97,0.05,1,-0.01,-0.86,49.46,49.46,-0.06,-3.55,49.64,49.58,,,,49.48,,,49.08,49.65
2025-02-06 05:00:00,49.51,50.26,49.465,50.26,1387207.0,47.96,1.5,50.96,44.96,0.79,0.64,0.15,0.79,0.74,0.82,48.76,49.97,50.26,0.1,1,0.59,30.54,49.06,49.06,0.15,8.47,49.32,49.47,,,,49.87,,,49.08,50.26
