Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,122.73,125.805,122.5,125.75,6071066.0,,,,,3.31,,,3.31,,,122.5,125.805,125.805,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,125.68,125.88,123.645,124.38,5083999.0,,,,,2.23,0.13,2.11,2.23,,,122.67,125.805,125.88,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,125.76,127.0,124.7,126.29,5501596.0,,,,,2.3,2.62,0.32,2.62,,,122.99,125.805,127.0,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,125.52,126.28,125.08,125.31,3483366.0,,,,,1.2,0.01,1.21,1.21,,,123.59,125.805,127.0,0.15,1,0.47,24.94,124.86,124.86,,,,,,,,,,,124.38,126.29,
2025-01-27,126.62,127.99,124.38,125.05,6207816.0,,,,,3.61,2.68,0.93,3.61,2.6,,124.1,125.805,127.99,0.2,1,-0.62,-31.8,126.17,126.17,,,,,,,,,,,124.38,126.29,
2025-01-28,131.175,132.43,126.13,128.35,8451630.0,,,,,6.3,7.38,1.08,7.38,3.41,,124.38,125.805,132.43,0.21,1,1.52,56.66,124.72,124.72,0.67,33.82,124.54,125.21,,,,,,,125.05,128.35,
2025-01-29,127.4,129.76,125.01,125.13,5179013.0,,,,,4.75,1.41,3.34,4.75,3.91,,125.01,132.43,125.01,0.05,0,0.04,2.29,126.14,126.14,0.07,4.12,125.88,125.95,,,,,,,125.05,128.35,
2025-01-30,125.66,129.22,125.55,128.98,4343560.0,,,,,3.67,4.09,0.42,4.09,4.21,,125.01,132.06,125.01,0.05,0,0.31,17.48,127.17,127.17,0.74,36.58,125.08,125.82,,,,,,,125.05,128.98,
2025-01-31,129.14,129.93,127.51,128.95,5570633.0,,,,,2.42,0.95,1.47,2.42,4.45,,125.01,131.71,125.01,0.05,0,1.91,62.37,125.78,125.78,0.84,40.13,125.61,126.45,,,,128.56,,,125.13,128.98,
2025-02-03,128.5,130.545,127.55,129.92,6067319.0,,,,,2.99,1.59,1.4,2.99,4.33,,125.01,131.38,125.01,0.05,0,0.47,25.17,128.81,128.81,0.7,34.84,126.87,127.57,,,,129.42,,,125.13,129.92,
2025-02-04,129.54,130.46,128.02,128.37,4036842.0,,,,,2.44,0.54,1.9,2.44,3.34,,125.01,131.06,125.01,0.05,0,-0.29,-16.17,129.37,129.37,0.74,36.58,126.79,127.53,,,,129.65,,,128.37,129.92,
2025-02-05,129.66,129.89,128.285,129.16,4881490.0,,,,,1.6,1.52,0.09,1.6,2.71,,125.01,130.76,125.01,0.05,0,-0.38,-20.81,129.53,129.53,-0.02,-1.26,129.12,129.1,,,,129.79,,,128.37,129.92,
2025-02-06,129.06,129.745,127.53,128.78,3363639.0,,,,,2.22,0.59,1.63,2.22,2.33,,125.01,130.47,125.01,0.05,0,0.2,11.59,128.57,128.57,-0.11,-6.28,129.26,129.15,,,,129.38,,,128.37,129.92,
2025-02-07,128.8,129.0,127.33,127.95,3827457.0,,,,,1.67,0.22,1.45,1.67,2.18,,125.01,130.2,125.01,0.05,0,-0.61,-31.17,129.23,129.23,-0.35,-19.44,129.54,129.19,,,,129.15,,,127.95,129.16,
2025-02-10,128.07,128.5,126.9,128.25,5345158.0,,,,,1.6,0.55,1.05,1.6,1.91,,125.01,129.94,125.01,0.05,0,-0.27,-14.84,128.59,128.59,-0.15,-8.25,128.79,128.65,,,,128.26,,,127.95,129.16,
2025-02-11,129.1,129.42,127.8,129.11,3320669.0,,,,,1.62,1.17,0.45,1.62,1.74,,125.01,129.69,125.01,0.05,0,0.58,30.11,127.86,127.86,-0.06,-3.6,128.78,128.71,,,,128.44,,,127.95,129.11,
2025-02-12,127.81,128.605,126.44,126.78,5155318.0,,,,,2.16,0.51,2.67,2.67,1.96,3.01,125.01,129.46,125.01,0.05,0,-0.74,-36.32,128.78,128.78,-0.28,-15.85,128.74,128.46,,,,127.63,,,126.78,129.11,
2025-02-13,127.54,127.64,125.265,125.84,6580412.0,,,,,2.38,0.86,1.52,2.38,1.99,2.96,125.01,129.24,125.01,0.05,0,-1.63,-58.55,128.88,128.88,-0.57,-29.64,128.72,128.16,,,,126.85,,,125.84,129.11,
2025-02-14,125.45,125.45,121.38,122.41,7715889.0,,,,,4.07,0.39,4.46,4.46,2.55,2.89,125.01,129.03,121.38,0.1,0,-2.19,-65.41,127.2,127.2,-1.5,-56.22,129.47,127.97,,,,124.59,,,122.41,129.11,
2025-02-18,124.24,125.325,123.41,123.76,5386280.0,,,,,1.92,2.92,1.0,2.92,2.81,2.81,125.01,128.26,121.38,0.1,0,-1.04,-46.12,125.04,125.04,-1.51,-56.43,128.59,127.09,,,,123.59,,,122.41,126.78,
2025-02-19,124.41,126.61,124.1,125.41,5124631.0,,,,,2.51,2.85,0.34,2.85,3.06,2.72,125.01,127.57,121.38,0.1,0,1.5,56.31,122.36,122.36,-0.48,-25.73,125.8,125.32,,,,123.64,,,122.41,125.84,
2025-02-20,124.76,125.31,123.1908,125.11,3131993.0,,,,,2.12,0.1,2.22,2.22,2.97,2.61,125.01,126.95,121.38,0.1,0,0.68,34.02,124.08,124.08,0.15,8.75,124.2,124.35,,,,123.63,,,122.41,125.41,
2025-02-21,124.56,125.48,122.68,123.29,4846056.0,,,,,2.8,0.37,2.43,2.8,3.05,2.51,125.01,126.39,121.38,0.1,0,-1.06,-46.67,125.66,125.66,0.31,17.28,123.37,123.69,,,,123.17,,,123.29,125.41,
2025-02-24,125.0,126.225,124.625,125.43,4460973.0,,,,,1.6,2.93,1.33,2.93,2.74,2.46,121.38,126.22,126.22,0.05,1,0.16,9.09,124.45,124.45,0.12,6.96,124.36,124.48,,,,124.23,,,123.29,125.43,
2025-02-25,125.91,127.93,125.66,127.34,6008104.0,126.6,2.09,130.78,122.42,2.27,2.5,0.23,2.5,2.66,2.46,121.62,126.22,127.93,0.1,1,2.02,63.72,123.33,123.33,0.42,22.68,124.48,124.9,,,,125.82,,,123.29,127.34,
2025-02-26,127.52,128.33,126.835,127.31,3904462.0,126.67,2.09,130.85,122.49,1.5,0.99,0.51,1.5,2.39,2.46,122.25,126.22,128.33,0.15,1,0.94,43.23,125.75,125.75,0.84,40.2,124.01,124.85,,,,127.11,,,123.29,127.34,
2025-02-27,128.42,130.99,127.83,130.52,5758937.0,126.91,2.17,131.25,122.57,3.16,3.68,0.52,3.68,2.68,2.5,123.16,126.22,130.99,0.2,1,1.59,57.83,126.8,126.8,1.63,58.53,123.51,125.14,,,,128.76,,,125.43,130.52,
2025-02-28,131.29,133.09,130.615,132.99,7460961.0,127.18,2.48,132.14,122.22,2.47,2.57,0.09,2.57,2.64,2.56,124.73,126.22,133.09,0.21,1,2.84,70.6,127.43,127.43,1.83,61.35,125.06,126.89,,,,131.1,,,127.31,132.99,
2025-03-03,134.34,135.356,132.92,133.83,6215800.0,127.52,2.78,133.08,121.96,2.44,2.37,0.07,2.44,2.54,2.62,126.49,126.22,135.36,0.21,1,1.65,58.86,130.79,130.79,1.87,61.81,126.67,128.53,,,,133.43,,,127.31,133.83,
2025-03-04,133.52,134.725,128.49,128.7,7906240.0,127.67,2.74,133.15,122.19,6.23,0.89,5.34,6.23,3.28,2.72,128.35,126.22,135.36,0.21,1,-2.15,-65.01,133.99,133.99,0.61,31.34,129.45,130.06,,,,132.84,,,128.7,133.83,
2025-03-05,129.48,130.54,128.23,129.64,5774924.0,127.72,2.77,133.26,122.18,2.31,1.84,0.47,2.31,3.45,2.83,128.23,135.36,128.23,0.05,0,-2.1,-64.48,132.82,132.82,-0.61,-31.17,132.35,131.74,,,,131.9,,,128.7,133.83,
2025-03-06,128.61,128.8647,125.96,128.28,6258256.0,127.84,2.72,133.28,122.4,2.9,0.78,3.68,3.68,3.45,2.9,128.23,135.0,125.96,0.1,0,-0.21,-11.86,129.08,129.08,-1.36,-53.69,133.41,132.05,,,,130.39,,,128.28,133.83,
2025-03-07,127.0,128.9,126.26,128.4,6418493.0,127.82,2.71,133.24,122.4,2.64,0.62,2.02,2.64,3.46,2.95,128.23,134.1,125.96,0.1,0,-0.62,-31.8,129.39,129.39,-1.13,-48.44,132.03,130.9,,,,129.18,,,128.28,129.64,
2025-03-10,127.0,129.84,126.41,128.52,4916819.0,127.8,2.7,133.2,122.4,3.43,1.44,1.99,3.43,3.66,3.0,128.23,133.29,125.96,0.1,0,0.12,6.84,128.28,128.28,-0.16,-9.09,129.03,128.87,,,,127.92,,,128.28,129.64,
2025-03-11,128.69,129.05,127.1,128.11,4405170.0,127.73,2.67,133.07,122.39,1.95,0.53,1.42,1.95,2.8,2.98,128.23,132.56,125.96,0.1,0,-0.14,-8.25,128.49,128.49,-0.28,-15.75,129.15,128.87,1.12,,,127.18,,,128.11,128.52,
2025-03-12,128.35,128.55,126.81,127.96,4597043.0,127.72,2.66,133.04,122.4,1.74,0.44,1.3,1.74,2.69,2.96,128.23,131.9,125.96,0.1,0,-0.28,-15.64,128.48,128.48,-0.09,-5.31,128.44,128.35,0.72,,,127.21,,,127.96,128.52,
2025-03-13,128.31,129.64,128.0,129.2,3434129.0,127.72,2.66,133.04,122.4,1.64,1.68,0.04,1.68,2.29,2.92,128.23,131.31,125.96,0.1,0,0.54,28.59,127.88,127.88,0.1,5.94,128.23,128.33,0.77,,,128.38,,,127.96,129.2,
