Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,95.41,98.58,95.41,97.98,8803122.0,,,,,3.17,,,3.17,,,95.41,98.58,98.58,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,97.98,98.535,97.46,97.73,7678895.0,,,,,1.08,0.55,0.52,1.08,,,95.57,98.58,98.58,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,98.0,98.03,97.02,97.99,7901763.0,,,,,1.01,0.3,0.71,1.01,,,95.72,98.58,98.58,0.05,1,,,,,,,,,,,,,,,,,
2025-01-24,97.79,99.01,97.62,98.81,6957146.0,,,,,1.39,1.02,0.37,1.39,,,95.86,98.58,99.01,0.1,1,0.54,28.37,97.64,97.64,,,,,,,,,,,97.73,98.81,
2025-01-27,98.52,100.3299,98.102,100.02,9622891.0,,,,,2.23,1.52,0.71,2.23,1.78,,96.18,98.58,100.33,0.15,1,1.02,45.43,97.92,97.92,,,,,,,,,,,97.73,100.02,
2025-01-28,98.94,100.68,98.5901,100.41,14736485.0,,,,,2.09,0.66,1.43,2.09,1.56,,96.8,98.58,100.68,0.2,1,0.8,38.66,98.95,98.95,0.74,36.46,97.51,98.25,,,,,,,97.99,100.41,
2025-01-29,102.7,110.08,102.68,108.58,40769321.0,,,,,7.4,9.67,2.27,9.67,3.28,,97.58,98.58,110.08,0.21,1,4.28,76.85,98.72,98.72,2.28,66.3,96.61,98.88,,,,,,,98.81,108.58,
2025-01-30,109.0,110.34,108.03,109.0,15023027.0,,,,,2.31,1.76,0.55,2.31,3.54,,100.2,98.58,110.34,0.21,1,4.29,76.89,101.7,101.7,2.89,70.94,97.58,100.47,,,,,,,100.02,109.0,
2025-01-31,109.0,109.36,107.495,107.68,19142472.0,,,,,1.86,0.36,1.5,1.86,3.63,,102.33,98.58,110.34,0.21,1,-0.45,-24.23,108.87,108.87,2.39,67.3,100.36,102.75,,,,108.96,,,100.41,109.0,
2025-02-03,105.72,108.44,105.52,108.16,8894092.0,,,,,2.92,0.76,2.16,2.92,3.77,,104.01,98.58,110.34,0.21,1,-0.42,-22.78,108.7,108.7,1.46,55.59,103.85,105.31,,,,110.11,,,107.68,109.0,
2025-02-04,108.67,111.07,108.13,110.6,11123739.0,,,,,2.94,2.91,0.03,2.94,3.94,,105.34,98.58,111.07,0.21,1,1.46,55.59,107.35,107.35,0.32,17.74,108.16,108.48,,,,111.47,,,107.68,110.6,
2025-02-05,110.18,112.42,109.86,112.25,12830989.0,,,,,2.56,1.82,0.74,2.56,2.52,,106.54,98.58,112.42,0.21,1,2.04,63.94,108.29,108.29,0.94,43.29,107.65,108.6,,,,112.67,,,107.68,112.25,
2025-02-06,112.05,112.31,111.05,111.7,11967307.0,,,,,1.26,0.06,1.2,1.26,2.31,,107.77,98.58,112.42,0.21,1,0.55,28.81,110.97,110.97,1.21,50.5,107.65,108.87,,,,112.82,,,108.16,112.25,
2025-02-07,111.43,112.62,110.06,112.2,11502398.0,,,,,2.56,0.92,1.64,2.56,2.45,,108.75,98.58,112.62,0.21,1,-0.02,-1.43,112.07,112.07,0.92,42.55,109.15,110.06,,,,112.31,,,110.6,112.25,
2025-02-10,112.575,112.58,111.0,111.45,8348363.0,,,,,1.58,0.38,1.2,1.58,2.18,,109.56,98.58,112.62,0.21,1,-0.12,-7.13,111.91,111.91,0.16,9.37,111.31,111.48,,,,112.55,,,111.45,112.25,
2025-02-11,110.88,112.08,110.61,111.03,4683518.0,,,,,1.47,0.63,0.84,1.47,1.89,,110.2,98.58,112.62,0.21,1,-0.59,-30.33,112.15,112.15,-0.27,-15.06,112.26,111.99,,,,112.47,,,111.03,112.2,
2025-02-12,110.56,113.185,110.4002,113.04,7269396.0,,,,,2.78,2.16,0.63,2.78,1.93,2.68,110.4,112.62,110.4,0.05,0,0.8,38.48,111.05,111.05,0.15,8.59,111.58,111.73,,,,112.74,,,111.03,113.04,
2025-02-13,113.12,113.4,111.525,113.0,10046267.0,,,,,1.88,0.36,1.52,1.88,2.05,2.7,110.4,113.4,113.4,0.05,1,0.99,44.57,111.37,111.37,0.32,17.69,111.51,111.83,,,,112.66,,,111.03,113.04,
2025-02-14,112.82,113.47,112.03,112.55,9115007.0,,,,,1.44,0.47,0.97,1.44,1.83,2.72,110.55,113.4,113.47,0.1,1,-0.25,-13.77,113.11,113.11,0.42,22.64,111.38,111.8,,,,112.6,,,111.03,113.04,
2025-02-18,111.8,113.36,111.62,113.03,7574072.0,,,,,1.74,0.81,0.93,1.74,1.86,2.61,110.84,113.4,113.47,0.1,1,0.01,0.86,112.84,112.84,0.35,19.34,111.83,112.18,,,,112.99,,,112.55,113.04,
2025-02-19,112.44,113.34,112.34,112.49,8268899.0,,,,,1.0,0.31,0.69,1.0,1.77,2.47,111.1,113.4,113.47,0.1,1,-0.03,-1.72,112.72,112.72,-0.11,-6.11,113.04,112.93,,,,112.95,,,112.49,113.03,
2025-02-20,112.17,113.5,111.96,113.34,6343805.0,,,,,1.54,1.01,0.53,1.54,1.52,2.31,111.34,113.4,113.5,0.15,1,0.16,8.81,112.8,112.8,0.06,3.55,112.76,112.82,,,,113.33,,,112.49,113.34,
2025-02-21,113.33,114.68,111.63,111.75,9664734.0,,,,,3.05,1.34,1.71,3.05,1.75,2.15,111.63,113.5,111.63,0.05,0,-0.37,-20.3,112.9,112.9,-0.13,-7.35,112.89,112.76,,,,112.76,,,111.75,113.34,
2025-02-24,112.34,113.91,111.89,113.19,13120475.0,,,,,2.02,2.16,0.14,2.16,1.9,2.0,111.63,114.68,111.63,0.05,0,-0.07,-4.29,112.84,112.84,-0.04,-2.41,112.84,112.8,,,,112.66,,,111.75,113.34,
2025-02-25,113.08,115.24,112.67,114.59,11001782.0,108.5,5.82,120.14,96.86,2.57,2.05,0.52,2.57,2.06,1.96,111.63,115.24,115.24,0.05,1,1.42,54.85,111.76,111.76,0.4,22.05,112.26,112.67,,,,113.46,,,111.75,114.59,
2025-02-26,114.61,114.79,112.26,113.0,7466760.0,109.1,5.46,120.02,98.18,2.53,0.2,2.33,2.53,2.37,1.97,111.81,115.24,115.24,0.05,1,-0.09,-5.43,113.69,113.69,0.22,12.19,112.74,112.96,,,,113.47,,,111.75,114.59,
2025-02-27,113.0,115.7,112.8001,114.49,9013720.0,109.77,5.01,119.79,99.75,2.9,2.7,0.2,2.9,2.64,1.98,111.98,115.24,115.7,0.1,1,-0.05,-2.86,114.08,114.08,0.53,27.88,112.35,112.88,,,,113.98,,,113.0,114.59,
2025-02-28,115.06,116.09,114.27,115.81,11466019.0,110.49,4.51,119.51,101.47,1.82,1.6,0.22,1.82,2.4,2.0,112.35,115.24,116.09,0.15,1,1.41,54.56,113.03,113.03,0.51,27.2,113.19,113.7,,,,115.0,,,113.0,115.81,
2025-03-03,116.04,117.46,114.1,115.41,9225548.0,111.15,3.9,118.95,103.35,3.36,1.65,1.71,3.36,2.64,2.06,112.91,115.24,117.46,0.2,1,0.46,24.7,114.78,114.78,0.44,23.99,113.77,114.21,,,,115.49,,,113.0,115.81,
2025-03-04,114.99,115.27,112.0,112.06,12482363.0,111.63,3.13,117.89,105.37,3.27,0.14,3.41,3.41,2.8,2.12,112.0,117.46,112.0,0.05,0,-1.87,-61.93,116.3,116.3,-0.1,-5.48,114.35,114.25,,,,114.56,,,112.06,115.81,
2025-03-05,111.57,112.5194,110.21,111.69,11926817.0,112.08,2.09,116.26,107.9,2.31,0.46,1.85,2.31,2.76,2.18,112.0,117.19,110.21,0.1,0,-1.86,-61.74,114.91,114.91,-0.94,-43.08,115.76,114.83,,,,113.17,,,111.69,115.81,
2025-03-06,110.01,110.4266,104.9054,105.47,16321746.0,111.96,2.38,116.72,107.2,5.52,1.26,6.78,6.78,3.54,2.31,112.0,116.49,104.91,0.15,0,-3.3,-73.12,113.03,113.03,-2.44,-67.71,116.97,114.53,,,,109.56,,,105.47,115.41,
2025-03-07,104.73,106.855,103.4381,106.48,11637376.0,111.86,2.55,116.96,106.76,3.42,1.39,2.03,3.42,3.86,2.46,112.0,114.75,103.44,0.2,0,-2.61,-69.0,110.48,110.48,-2.44,-67.76,115.11,112.67,,,,107.37,,,105.47,112.06,
2025-03-10,105.73,106.0,99.8,101.125,15823316.0,111.6,3.24,118.08,105.12,6.2,0.48,6.68,6.68,4.52,2.67,112.0,112.49,99.8,0.21,0,-2.17,-65.28,106.53,106.53,-2.71,-69.73,112.78,110.07,,,,103.22,,,101.12,111.69,
2025-03-11,101.89,103.0,99.0,99.58,10663530.0,111.25,3.99,119.23,103.27,4.0,1.88,2.12,4.0,4.64,2.91,112.0,109.83,99.0,0.21,0,-3.45,-73.84,105.84,105.84,-2.86,-70.71,110.58,107.73,-3.92,,,99.79,,,99.58,106.48,
